decision_at,cik10,company_name_as_filed,sector,candidate_symbols,base_treatment,base_period_return,adverse_treatment,adverse_period_return,renormalize_into_survivors
2023-01-01 00:00:00+00:00,0000077159,RANGER OIL CORP,energy,ROCC,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000351817,"SILVERBOW RESOURCES, INC.",energy,SBOW,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000732834,"CONTINENTAL RESOURCES, INC",energy,CLR,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000890447,VERTEX ENERGY INC.,energy,VTNR,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001037676,"ARCH RESOURCES, INC.",energy,ARCH,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000028823,"DIEBOLD NIXDORF, INC",technology,DBD,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000730255,CALAMP CORP.,technology,CAMP,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000814549,EBIX INC,technology,EBIX,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0000895419,"WOLFSPEED, INC.",technology,WOLF,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001057083,PC TEL INC,technology,PCTI,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001101680,DZS INC.,technology,DZSI,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001166388,VERINT SYSTEMS INC,technology,VRNT,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001169445,COMPUTER PROGRAMS & SYSTEMS INC,technology,TBRG,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001210618,"SPI ENERGY CO., LTD.",technology,SPI,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
2023-01-01 00:00:00+00:00,0001333835,CASA SYSTEMS INC,technology,CASA,hold_intended_weight_in_cash_for_holding_period,0.0,apply_minus_100_percent_to_intended_weight_for_holding_period,-1.0,False
