ticker,status,start_date,end_date,n_observations,missingness_pct,failed_download,diagnostic_label
MMM,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AOS,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABT,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABBV,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ACN,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADBE,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMD,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AES,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AFL,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
A,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APD,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABNB,OK,2020-12-10,2026-04-29,1351,14.98,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AKAM,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALB,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ARE,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALGN,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALLE,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
LNT,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALL,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GOOGL,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GOOG,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
MO,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMZN,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMCR,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AEE,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AEP,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AXP,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AIG,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMT,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AWK,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMP,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AME,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMGN,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APH,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADI,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AON,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APA,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APO,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AAPL,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMAT,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APP,OK,2021-04-15,2026-04-29,1266,20.33,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APTV,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ACGL,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADM,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ARES,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ANET,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AJG,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AIZ,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
T,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ATO,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADSK,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADP,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AZO,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AVB,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AVY,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AXON,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BKR,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BALL,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BAC,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BAX,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BDX,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BRK-B,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BBY,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
TECH,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BIIB,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BLK,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BX,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
XYZ,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BK,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BA,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BKNG,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BSX,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
BMY,OK,2020-01-02,2026-04-29,1589,0.0,False,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
