Date,m1_pbi,m2_knn,m3_kmeans
2006-04-07,1.0,1.0,1.0
2006-04-14,1.0,1.0,1.0
2006-04-21,1.0,1.0,1.0
2006-04-28,1.0,1.0,1.0
2006-05-05,1.0,1.0,1.0
2006-05-12,1.0,1.0,1.0
2006-05-19,1.0,1.0,1.0
2006-05-26,1.0,1.0,1.0
2006-06-02,1.0,1.0,1.0
2006-06-09,1.0,1.0,1.0
2006-06-16,1.0,1.0,1.0
2006-06-23,1.0,1.0,1.0
2006-06-30,1.0,1.0,1.0
2006-07-07,1.0,1.0,1.0
2006-07-14,1.0,1.0,1.0
2006-07-21,1.0,1.0,1.0
2006-07-28,1.0,1.0,1.0
2006-08-04,1.0,1.0,1.0
2006-08-11,1.0,1.0,1.0
2006-08-18,1.0,1.0,1.0
2006-08-25,1.0,1.0,1.0
2006-09-01,1.0,1.0,1.0
2006-09-08,1.0,1.0,1.0
2006-09-15,1.0,1.0,1.0
2006-09-22,1.0,1.0,1.0
2006-09-29,1.0,1.0,1.0
2006-10-06,1.0,1.0,1.0
2006-10-13,1.0,1.0,1.0
2006-10-20,1.0,1.0,1.0
2006-10-27,1.0,1.0,1.0
2006-11-03,1.0,1.0,1.0
2006-11-10,1.0,1.0,1.0
2006-11-17,1.0,1.0,1.0
2006-11-24,1.0,1.0,1.0
2006-12-01,1.0,1.0,1.0
2006-12-08,1.0,1.0,1.0
2006-12-15,1.0,1.0,1.0
2006-12-22,1.0,1.0,1.0
2006-12-29,1.0,1.0,1.0
2007-01-05,1.0,1.0,1.0
2007-01-12,1.0,1.0,1.0
2007-01-19,1.0,1.0,1.0
2007-01-26,1.0,1.0,1.0
2007-02-02,1.0,1.0,1.0
2007-02-09,1.0,1.0,1.0
2007-02-16,1.0,1.0,1.0
2007-02-23,1.0,1.0,1.0
2007-03-02,1.0,1.0,1.0
2007-03-09,1.0,1.0,1.0
2007-03-16,1.0,1.0,1.0
2007-03-23,1.0,1.0,1.0
2007-03-30,1.0,1.0,1.0
2007-04-06,1.0,1.0,1.0
2007-04-13,1.0,1.0,1.0
2007-04-20,1.0,1.0,1.0
2007-04-27,1.0,1.0,1.0
2007-05-04,1.0,1.0,1.0
2007-05-11,1.0,1.0,1.0
2007-05-18,1.0,1.0,1.0
2007-05-25,1.0,1.0,1.0
2007-06-01,1.0,1.0,1.0
2007-06-08,1.0,1.0,1.0
2007-06-15,1.0,1.0,1.0
2007-06-22,1.0,1.0,1.0
2007-06-29,1.0,1.0,1.0
2007-07-06,1.0,1.0,1.0
2007-07-13,1.0,1.0,1.0
2007-07-20,1.0,1.0,1.0
2007-07-27,1.0,1.0,1.0
2007-08-03,1.0,1.0,1.0
2007-08-10,1.0,1.0,1.0
2007-08-17,1.0,1.0,1.0
2007-08-24,1.0,1.0,1.0
2007-08-31,1.0,1.0,1.0
2007-09-07,1.0,1.0,1.0
2007-09-14,1.0,1.0,1.0
2007-09-21,1.0,1.0,1.0
2007-09-28,1.0,1.0,1.0
2007-10-05,1.0,1.0,1.0
2007-10-12,1.0,1.0,1.0
2007-10-19,1.0,1.0,1.0
2007-10-26,1.0,1.0,1.0
2007-11-02,1.0,1.0,1.0
2007-11-09,1.0,1.0,1.0
2007-11-16,1.0,1.0,1.0
2007-11-23,1.0,1.0,1.0
2007-11-30,1.0,1.0,1.0
2007-12-07,1.0,1.0,1.0
2007-12-14,1.0,1.0,1.0
2007-12-21,1.0,1.0,1.0
2007-12-28,1.0,1.0,1.0
2008-01-04,1.0,1.0,1.0
2008-01-11,1.0,1.0,1.0
2008-01-18,1.0,1.0,1.0
2008-01-25,1.0,1.0,1.0
2008-02-01,1.0,1.0,1.0
2008-02-08,1.0,1.0,1.0
2008-02-15,1.0,1.0,1.0
2008-02-22,1.0,1.0,1.0
2008-02-29,1.15,1.0,1.0
2008-03-07,1.0,1.0,1.0
2008-03-14,1.0,1.0,1.0
2008-03-21,1.0,1.0,1.0
2008-03-28,1.0,1.0,1.0
2008-04-04,1.0,1.0,1.0
2008-04-11,1.3,1.0,1.0
2008-04-18,1.0,1.0,1.0
2008-04-25,1.15,1.0,1.0
2008-05-02,1.0,1.0,1.0
2008-05-09,1.0,1.0,1.0
2008-05-16,1.0,1.0,1.0
2008-05-23,1.0,1.0,1.0
2008-05-30,1.0,1.0,1.0
2008-06-06,1.0,1.0,1.0
2008-06-13,1.0,1.0,1.0
2008-06-20,1.0,1.0,1.0
2008-06-27,1.0,1.0,1.0
2008-07-04,1.0,1.0,1.0
2008-07-11,1.0,1.0,1.0
2008-07-18,1.0,1.0,1.0
2008-07-25,1.0,1.0,1.0
2008-08-01,1.0,1.0,1.0
2008-08-08,1.0,1.0,1.0
2008-08-15,1.0,1.0,1.0
2008-08-22,1.0,1.0,1.0
2008-08-29,1.0,1.0,1.0
2008-09-05,1.15,1.0,1.0
2008-09-12,1.0,1.0,1.0
2008-09-19,1.0,1.0,1.0
2008-09-26,1.0,1.0,1.0
2008-10-03,1.0,1.0,1.0
2008-10-10,1.0,1.0,1.0
2008-10-17,1.0,1.0,1.0
2008-10-24,1.0,1.0,1.0
2008-10-31,1.0,1.0,1.0
2008-11-07,1.0,1.0,1.0
2008-11-14,1.0,1.0,1.0
2008-11-21,1.0,1.0,1.0
2008-11-28,1.0,1.0,1.0
2008-12-05,1.0,1.0,1.0
2008-12-12,1.0,1.0,1.0
2008-12-19,1.0,1.0,1.0
2008-12-26,1.0,1.0,1.0
2009-01-02,1.15,1.0,1.0
2009-01-09,1.15,1.0,1.0
2009-01-16,1.15,1.0,1.0
2009-01-23,1.0,1.0,1.0
2009-01-30,1.0,1.0,1.0
2009-02-06,1.0,1.0,1.0
2009-02-13,1.15,1.0,1.0
2009-02-20,1.0,1.0,1.0
2009-02-27,1.0,1.0,1.0
2009-03-06,1.0,1.0,1.0
2009-03-13,1.0,1.0,1.0
2009-03-20,1.0,1.0,1.0
2009-03-27,1.0,1.0,1.0
2009-04-03,1.0,1.0,1.0
2009-04-10,1.15,1.0,1.0
2009-04-17,1.15,1.0,1.0
2009-04-24,1.15,1.0,1.0
2009-05-01,1.15,1.0,1.0
2009-05-08,1.0,1.0,1.0
2009-05-15,1.15,1.0,1.0
2009-05-22,1.0,1.0,1.0
2009-05-29,1.0,1.0,1.0
2009-06-05,1.0,1.0,1.0
2009-06-12,1.0,1.0,1.0
2009-06-19,1.0,1.0,1.0
2009-06-26,1.0,1.0,1.0
2009-07-03,1.0,1.0,1.0
2009-07-10,1.0,1.0,1.0
2009-07-17,1.0,1.0,1.0
2009-07-24,1.0,1.0,1.0
2009-07-31,1.0,1.0,1.0
2009-08-07,1.0,1.0,1.0
2009-08-14,1.0,1.0,1.0
2009-08-21,1.0,1.0,1.0
2009-08-28,1.0,1.0,1.0
2009-09-04,1.0,1.0,1.0
2009-09-11,1.0,1.0,1.0
2009-09-18,1.0,1.0,1.0
2009-09-25,1.0,1.0,1.0
2009-10-02,1.0,1.0,1.0
2009-10-09,1.0,1.0,1.0
2009-10-16,1.0,1.0,1.0
2009-10-23,1.0,1.0,1.0
2009-10-30,1.0,1.0,1.0
2009-11-06,1.0,1.0,1.0
2009-11-13,1.0,1.0,1.0
2009-11-20,1.0,1.0,1.0
2009-11-27,1.0,1.0,1.0
2009-12-04,1.0,1.0,1.0
2009-12-11,1.0,1.0,1.0
2009-12-18,1.0,1.0,1.0
2009-12-25,1.0,1.0,1.0
2010-01-01,1.0,1.0,1.0
2010-01-08,1.0,1.0,1.0
2010-01-15,1.0,1.0,1.0
2010-01-22,1.0,1.0,1.0
2010-01-29,1.0,1.0,1.0
2010-02-05,1.0,1.0,1.0
2010-02-12,1.0,1.0,1.0
2010-02-19,1.0,1.0,1.0
2010-02-26,1.0,1.0,1.0
2010-03-05,1.0,1.0,1.0
2010-03-12,1.0,1.0,1.0
2010-03-19,1.0,1.0,1.0
2010-03-26,1.0,1.0,1.0
2010-04-02,1.0,1.0,1.0
2010-04-09,1.0,1.0,1.0
2010-04-16,1.0,1.0,1.0
2010-04-23,1.0,1.0,1.0
2010-04-30,1.0,1.0,1.0
2010-05-07,1.0,1.0,1.0
2010-05-14,1.0,1.0,1.0
2010-05-21,1.0,1.0,1.0
2010-05-28,1.0,1.0,1.0
2010-06-04,1.0,1.0,1.0
2010-06-11,1.0,1.0,1.0
2010-06-18,1.0,1.0,1.0
2010-06-25,1.0,1.0,1.0
2010-07-02,1.0,1.0,1.0
2010-07-09,1.0,1.0,1.0
2010-07-16,1.0,1.0,1.0
2010-07-23,1.0,1.0,1.0
2010-07-30,1.0,1.0070843485635645,1.0
2010-08-06,1.0,1.002966183227341,1.0
2010-08-13,1.0,1.0002496755588617,1.0
2010-08-20,1.0,1.0054283515935556,1.0
2010-08-27,1.0,1.008378030924836,1.0
2010-09-03,1.0,1.015848250221119,1.0
2010-09-10,1.0,1.0135719322189773,1.0
2010-09-17,1.0,1.0027348103263158,1.0
2010-09-24,1.0,0.9979660305813861,1.0
2010-10-01,1.0,0.995340733774426,1.0
2010-10-08,1.0,0.995576492706081,1.0
2010-10-15,1.0,0.9955710849738395,1.0
2010-10-22,1.0,0.9981462975898426,1.0
2010-10-29,1.0,0.9985107112932741,1.0
2010-11-05,1.0,0.99551662626429,1.0
2010-11-12,1.0,0.9983851398462056,1.0
2010-11-19,1.0,0.9983825547567878,1.0
2010-11-26,1.0,0.9968809234972167,1.0
2010-12-03,1.0,0.9968733822282876,1.0
2010-12-10,1.0,1.0032764178999574,1.0
2010-12-17,1.0,0.9996010607473779,1.0
2010-12-24,1.0,0.9945419293902886,1.0
2010-12-31,1.0,0.9942565080498222,1.0
2011-01-07,1.0,0.9960874600397548,1.0
2011-01-14,1.0,0.9958982210640431,1.0
2011-01-21,1.0,0.9987170380328964,1.0
2011-01-28,1.0,0.9997932918346468,1.0
2011-02-04,1.0,0.9959234932364315,1.0
2011-02-11,1.0,1.0039110148673067,1.0
2011-02-18,1.0,0.9964734471630088,1.0
2011-02-25,1.0,0.9981374455465143,1.0
2011-03-04,1.0,1.0058307943377705,1.0
2011-03-11,1.0,1.006794772657957,1.0
2011-03-18,1.0,1.0043614923591841,1.0
2011-03-25,1.0,1.0116392662675984,1.0
2011-04-01,1.0,1.0116574645424385,1.0
2011-04-08,1.0,1.0068510634818288,1.0
2011-04-15,1.0,1.0081708844464559,1.0
2011-04-22,1.0,1.0002434179290096,1.0
2011-04-29,1.0,1.0013402453336975,1.0
2011-05-06,1.0,1.0073593117992803,1.0
2011-05-13,1.0,1.0078077917227255,1.0
2011-05-20,1.0,1.0095146736259695,1.0
2011-05-27,1.0,1.0079078683018527,1.0
2011-06-03,1.0,1.0085424717264075,1.0
2011-06-10,1.0,1.0146363753976948,1.0
2011-06-17,1.0,1.017533315795279,1.0
2011-06-24,1.0,1.014425347981894,1.0
2011-07-01,1.0,1.017432727936269,1.0
2011-07-08,1.0,1.013536118670775,1.0
2011-07-15,1.0,0.9983561767330159,1.0
2011-07-22,1.0,1.003876629840185,1.0
2011-07-29,1.0,1.0021564695119063,1.0
2011-08-05,1.0,1.0062334954570273,1.0
2011-08-12,1.0,1.0,1.0
2011-08-19,1.0,1.0,1.0
2011-08-26,1.0,1.0,1.0
2011-09-02,1.0,1.0,1.0
2011-09-09,1.0,1.0,1.0
2011-09-16,1.0,1.013525037384562,1.0
2011-09-23,1.15,1.0,1.0
2011-09-30,1.0,1.0,1.0
2011-10-07,1.0,1.0,1.0
2011-10-14,1.0,1.0,1.0
2011-10-21,1.0,1.0,1.0
2011-10-28,1.3,1.0,1.0
2011-11-04,1.15,1.0,1.0
2011-11-11,1.15,1.0,1.0
2011-11-18,1.0,1.001050076515771,1.0
2011-11-25,1.0,1.0,1.0
2011-12-02,1.0,1.0124244513769936,1.0
2011-12-09,1.0,1.0085767185489425,1.0
2011-12-16,1.0,1.0061153061656314,1.0
2011-12-23,1.0,1.0084344609633047,1.0
2011-12-30,1.0,1.0034438734566544,0.9897734715700796
2012-01-06,1.0,1.0045610520682962,0.9897734715700796
2012-01-13,1.0,1.004594002040381,0.9897734715700796
2012-01-20,1.0,0.9973682726984026,0.9897734715700796
2012-01-27,1.0,1.0052338038410602,0.9897734715700796
2012-02-03,1.0,1.0091931302983645,0.9897734715700796
2012-02-10,1.0,1.0,1.0
2012-02-17,1.0,1.0,1.0
2012-02-24,1.0,1.0064334394911152,1.0153681209713068
2012-03-02,1.0,1.0,1.0
2012-03-09,1.0,1.0078033050142277,1.0153681209713068
2012-03-16,1.0,1.0,1.0
2012-03-23,1.0,1.0089696128055325,1.0153681209713068
2012-03-30,1.0,1.0060348167371196,1.0153681209713068
2012-04-06,1.0,1.0092792620973214,1.0153681209713068
2012-04-13,1.0,1.0064189656484381,1.0153681209713068
2012-04-20,1.0,1.0088177669275968,1.0153681209713068
2012-04-27,1.0,1.0127366851462853,1.0217103270106356
2012-05-04,1.0,1.0118900021234516,1.0153681209713068
2012-05-11,1.0,1.0080141698497305,0.9897734715700796
2012-05-18,1.0,1.0142207674319537,1.0254594647487945
2012-05-25,1.0,1.020982515158815,1.0254594647487945
2012-06-01,1.0,1.0221849902424305,1.0254594647487945
2012-06-08,1.0,1.0198724717429717,1.0254594647487945
2012-06-15,1.0,1.0171954582974123,1.0217103270106356
2012-06-22,1.0,1.018856051450374,1.0254594647487945
2012-06-29,1.0,1.0160045306049248,1.0254594647487945
2012-07-06,1.0,1.0037965377520341,1.0254594647487945
2012-07-13,1.0,1.0003767055588597,0.9897734715700796
2012-07-20,1.0,1.0055473182497867,0.9897734715700796
2012-07-27,1.0,1.0038319954381782,1.0254594647487945
2012-08-03,1.0,1.002046707420016,0.9897734715700796
2012-08-10,1.0,0.9871309158188615,0.9897734715700796
2012-08-17,1.0,0.9910598285250548,0.9897734715700796
2012-08-24,1.0,0.9983095670977997,0.9897734715700796
2012-08-31,1.0,0.9934279081077052,0.9897734715700796
2012-09-07,1.0,0.9934461735068191,0.9897734715700796
2012-09-14,1.0,0.9993092940288612,1.0153681209713068
2012-09-21,1.0,1.0021110582610884,1.0153681209713068
2012-09-28,1.0,1.0021143189723154,1.0153681209713068
2012-10-05,1.0,0.9984528838374995,0.9897734715700796
2012-10-12,1.0,0.9964304111391032,0.9897734715700796
2012-10-19,1.0,0.9975867330051313,0.9897734715700796
2012-10-26,1.0,0.9996126138325941,1.0217103270106356
2012-11-02,1.0,1.0052020016763246,1.0217103270106356
2012-11-09,1.0,1.010907479183571,1.0217103270106356
2012-11-16,1.0,1.0252248585995398,1.007131018221932
2012-11-23,1.0,1.0168346301417648,1.0254594647487945
2012-11-30,1.0,1.001727750594429,1.007131018221932
2012-12-07,1.0,0.9901870747770551,1.007131018221932
2012-12-14,1.0,0.9890887558683933,0.9897734715700796
2012-12-21,1.0,0.9960161138596016,0.9897734715700796
2012-12-28,1.0,0.9888698788354932,1.0106395396814947
2013-01-04,1.0,0.995611682429007,1.0106395396814947
2013-01-11,1.0,0.9948678039475073,1.0106395396814947
2013-01-18,1.0,0.9896277397566713,1.0106395396814947
2013-01-25,1.0,0.9860909884016728,1.0106395396814947
2013-02-01,1.0,0.9928130607600938,0.9893059868987153
2013-02-08,1.0,0.996415994621995,0.9893059868987153
2013-02-15,1.0,1.0008207592497207,0.9893059868987153
2013-02-22,1.0,1.0012442729839037,0.9893059868987153
2013-03-01,1.0,0.9992459406157429,0.9893059868987153
2013-03-08,1.0,0.9975759206196417,0.9893059868987153
2013-03-15,1.0,0.991998038278564,0.9893059868987153
2013-03-22,1.0,1.0038014134595798,1.0054152222603157
2013-03-29,1.0,0.999839527875601,0.9893059868987153
2013-04-05,1.0,1.0015800697387742,0.9893059868987153
2013-04-12,1.0,1.001133680472057,0.9893059868987153
2013-04-19,1.0,0.9968935598566937,0.9893059868987153
2013-04-26,1.0,0.9973078997583522,0.9893059868987153
2013-05-03,1.0,1.0001932757064425,0.9893059868987153
2013-05-10,1.0,1.001901941955847,0.9893059868987153
2013-05-17,1.0,1.003365361696523,0.9893059868987153
2013-05-24,1.0,1.0014222431253923,1.0054152222603157
2013-05-31,1.0,1.003462349635283,1.0054152222603157
2013-06-07,1.0,1.0034208552299033,0.9893059868987153
2013-06-14,1.0,1.0022621964845493,0.9893059868987153
2013-06-21,1.0,1.0029605731527247,0.9893059868987153
2013-06-28,1.0,1.0102941979596345,0.9893059868987153
2013-07-05,1.0,1.0086959534484992,1.020434695033457
2013-07-12,1.0,1.0081932151304602,1.0106395396814947
2013-07-19,1.0,1.0036745338141355,1.0106395396814947
2013-07-26,1.0,1.008131982963242,1.0054152222603157
2013-08-02,1.0,1.0061985047526125,1.0106395396814947
2013-08-09,1.0,1.0062253206157097,1.0106395396814947
2013-08-16,1.0,1.0062610202889066,1.0106395396814947
2013-08-23,1.0,1.0148748339443272,1.0106395396814947
2013-08-30,1.0,1.0101499988187848,1.0106395396814947
2013-09-06,1.0,1.011250424870579,1.0106395396814947
2013-09-13,1.0,1.0200926428710764,1.0106395396814947
2013-09-20,1.0,1.0067195519280034,1.0106395396814947
2013-09-27,1.0,1.0070241497453811,0.9997920098742828
2013-10-04,1.0,1.004686079045941,1.0106395396814947
2013-10-11,1.0,1.0021805394596108,1.0106395396814947
2013-10-18,1.0,1.0020420952780233,1.0106395396814947
2013-10-25,1.0,1.0021298833469046,1.0106395396814947
2013-11-01,1.0,1.002091972013976,0.9997920098742828
2013-11-08,1.0,1.0044939297881716,0.9997920098742828
2013-11-15,1.0,0.9963957984350672,0.9893059868987153
2013-11-22,1.0,0.9997448013592852,0.9893059868987153
2013-11-29,1.0,1.0001620175559087,1.0054152222603157
2013-12-06,1.0,1.0025748487307686,0.9893059868987153
2013-12-13,1.0,1.0034021360550787,0.9893059868987153
2013-12-20,1.0,1.0029474008539592,0.9893059868987153
2013-12-27,1.0,1.0035574309802815,1.0149176949249499
2014-01-03,1.0,1.0004539809497124,0.9997243111510031
2014-01-10,1.0,0.999659841710922,0.9997243111510031
2014-01-17,1.0,1.0002315839971712,1.0149176949249499
2014-01-24,1.0,0.9983140741592067,0.9997243111510031
2014-01-31,1.0,1.0096681071596514,1.0245775121835836
2014-02-07,1.0,1.0160065923763126,1.0245775121835836
2014-02-14,1.0,1.0145722362793395,1.0245775121835836
2014-02-21,1.0,1.0110359991469546,1.0149176949249499
2014-02-28,1.0,1.0080473411666724,1.0149176949249499
2014-03-07,1.0,1.0103349408481832,1.0149176949249499
2014-03-14,1.0,1.0092972020832378,1.0149176949249499
2014-03-21,1.0,1.0,1.0
2014-03-28,1.0,1.0047658288174577,1.0149176949249499
2014-04-04,1.0,1.001886504397804,0.9901864188954033
2014-04-11,1.0,1.001938705182228,0.9901864188954033
2014-04-18,1.0,1.0,1.0
2014-04-25,1.0,1.0070617497304921,0.9901864188954033
2014-05-02,1.0,0.9998980221993027,0.9901864188954033
2014-05-09,1.0,1.0033964451585484,0.9901864188954033
2014-05-16,1.0,1.0079502409335168,0.9901864188954033
2014-05-23,1.0,0.9982558394459372,0.9901864188954033
2014-05-30,1.0,0.9930253649080857,0.9901864188954033
2014-06-06,1.0,1.0,1.0
2014-06-13,1.0,0.9918883224179403,0.9901864188954033
2014-06-20,1.0,0.9949724326504393,0.9901864188954033
2014-06-27,1.0,0.9988240898385563,0.9901864188954033
2014-07-04,1.0,0.9956464447098067,0.9997243111510031
2014-07-11,1.0,1.0027011694377843,0.9997243111510031
2014-07-18,1.0,0.9973945806796775,0.9997243111510031
2014-07-25,1.0,1.0011156003903838,1.0245775121835836
2014-08-01,1.0,1.0016768769065463,1.0245775121835836
2014-08-08,1.0,1.0163160301276724,1.0245775121835836
2014-08-15,1.0,1.0094922983071308,1.0245775121835836
2014-08-22,1.0,1.0053117071789477,1.0245775121835836
2014-08-29,1.0,1.008611924449174,0.9901864188954033
2014-09-05,1.0,0.9998282386675668,0.9901864188954033
2014-09-12,1.0,0.99251175964882,0.9901864188954033
2014-09-19,1.0,1.0069860956476497,0.9901864188954033
2014-09-26,1.0,1.0059392059796703,0.9901864188954033
2014-10-03,1.0,1.0206683839610233,1.021400694747732
2014-10-10,1.0,1.0120968298381559,1.021400694747732
2014-10-17,1.0,1.0,1.0
2014-10-24,1.0,1.0,1.0
2014-10-31,1.0,1.0089010838925156,1.0245775121835836
2014-11-07,1.0,0.9964673455183589,0.9901864188954033
2014-11-14,1.0,0.9942786006764383,0.9901864188954033
2014-11-21,1.0,0.9920731228368522,0.9901864188954033
2014-11-28,1.0,0.9912704946732194,0.9901864188954033
2014-12-05,1.0,1.0035959526279037,0.9901864188954033
2014-12-12,1.0,1.0073505432941454,1.0245775121835836
2014-12-19,1.0,1.0,1.0
2014-12-26,1.0,1.0087055867064862,1.0145935878473025
2015-01-02,1.0,1.0071911702257377,1.0145935878473025
2015-01-09,1.0,1.0125945438681205,0.9956344088549781
2015-01-16,1.0,1.0,1.0
2015-01-23,1.0,1.0,1.0
2015-01-30,1.0,1.0026032313866258,1.038254288804745
2015-02-06,1.0,1.0,1.0
2015-02-13,1.0,1.0042587595483625,0.9956344088549781
2015-02-20,1.0,1.0012974721756311,0.9956344088549781
2015-02-27,1.0,0.9896176036806565,0.9956344088549781
2015-03-06,1.0,1.0,1.0
2015-03-13,1.0,0.9979244360753852,0.9956344088549781
2015-03-20,1.0,1.0040032584572371,0.9956344088549781
2015-03-27,1.0,1.00331212449738,0.9956344088549781
2015-04-03,1.0,1.006698569214864,1.0145935878473025
2015-04-10,1.0,1.0060854784726447,0.9956344088549781
2015-04-17,1.0,1.0076308533482525,0.9956344088549781
2015-04-24,1.0,0.998870542432122,0.9956344088549781
2015-05-01,1.0,1.0049214732922245,1.0102424381145751
2015-05-08,1.0,0.9994920332169732,1.0102424381145751
2015-05-15,1.0,1.0075449950594588,1.0102424381145751
2015-05-22,1.0,1.0051084296138406,1.0102424381145751
2015-05-29,1.0,1.0078239881819253,1.0102424381145751
2015-06-05,1.0,1.0069268843290675,1.0102424381145751
2015-06-12,1.0,1.0079169142378566,1.038254288804745
2015-06-19,1.0,1.010040242915943,1.038254288804745
2015-06-26,1.0,1.010596069045221,1.038254288804745
2015-07-03,1.0,1.010778404626232,1.038254288804745
2015-07-10,1.0,1.010680199022822,1.038254288804745
2015-07-17,1.0,1.0,1.0
2015-07-24,1.0,1.0097655319896148,1.0102424381145751
2015-07-31,1.0,1.0117175683723136,1.038254288804745
2015-08-07,1.0,1.012834102673289,1.038254288804745
2015-08-14,1.0,1.0131068442157656,1.038254288804745
2015-08-21,1.0,1.0,1.0
2015-08-28,1.0,1.0,1.0
2015-09-04,1.0,1.0,1.0
2015-09-11,1.0,1.0,1.0
2015-09-18,1.0,1.0,1.0
2015-09-25,1.0,1.0,1.0
2015-10-02,1.0,1.0,1.0
2015-10-09,1.0,1.0,1.0
2015-10-16,1.0,1.0083877451916745,1.0144103380493887
2015-10-23,1.0,1.009603471683772,1.038254288804745
2015-10-30,1.0,1.000143415096104,1.0102424381145751
2015-11-06,1.0,1.002740999509769,1.0102424381145751
2015-11-13,1.0,1.0068080849073016,1.0102424381145751
2015-11-20,1.0,1.0,1.0
2015-11-27,1.0,1.0065174631799174,1.0102424381145751
2015-12-04,1.0,1.0089436938349654,1.0145935878473025
2015-12-11,1.0,1.004577878641294,0.9973082892218303
2015-12-18,1.0,1.0,1.0
2015-12-25,1.0,1.0,1.0
2016-01-01,1.0,1.004790224565637,1.0167395246655124
2016-01-08,1.0,1.0,1.0
2016-01-15,1.0,1.0,1.0
2016-01-22,1.0,1.0,1.0
2016-01-29,1.0,1.0,1.0
2016-02-05,1.0,1.0,1.0
2016-02-12,1.0,1.0,1.0
2016-02-19,1.15,1.0,1.0
2016-02-26,1.0,1.0,1.0
2016-03-04,1.0,1.0,1.0
2016-03-11,1.0,1.0,1.0
2016-03-18,1.0,1.0,1.0
2016-03-25,1.0,1.0104614092245034,1.012845486423902
2016-04-01,1.0,1.0080713675551725,1.012845486423902
2016-04-08,1.0,1.0005185139968273,1.012845486423902
2016-04-15,1.0,0.9964227807581361,1.0006842258637214
2016-04-22,1.0,0.9982058644879527,1.01991289080334
2016-04-29,1.0,1.0009012057762974,1.0006842258637214
2016-05-06,1.0,1.00561266536455,1.0006842258637214
2016-05-13,1.0,1.0072753994865624,1.0006842258637214
2016-05-20,1.0,1.0014623637570077,1.0006842258637214
2016-05-27,1.0,1.0035978072645246,1.0167395246655124
2016-06-03,1.0,1.0,1.0
2016-06-10,1.0,1.005395423733992,0.9971008977940431
2016-06-17,1.0,1.0028894327750821,0.9971008977940431
2016-06-24,1.0,1.0052019583721048,0.9971008977940431
2016-07-01,1.0,1.017866589792204,1.0167395246655124
2016-07-08,1.0,1.0101878123933612,1.01991289080334
2016-07-15,1.0,1.005079388449184,0.9971008977940431
2016-07-22,1.0,1.0084881205735694,0.9971008977940431
2016-07-29,1.0,0.9942894498567372,0.9971008977940431
2016-08-05,1.0,0.9990071678168797,1.0006842258637214
2016-08-12,1.0,1.0011380159419476,1.0006842258637214
2016-08-19,1.0,0.9973652417752904,1.0006842258637214
2016-08-26,1.0,1.0027706798912583,1.0006842258637214
2016-09-02,1.0,0.9979591926366569,1.0006842258637214
2016-09-09,1.0,0.9954289726222756,1.0006842258637214
2016-09-16,1.0,0.9975443959970816,1.0006842258637214
