candidate,track,status,source_file,parameters,parent_candidate,hypothesis,success_criteria,kill_criteria,promotion_status
track_b_aggressive_cash_cap_20,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""cash_caps"": {""calm_trend"": 0.2, ""neutral_mixed"": 0.2, ""recovery_confirmed"": 0.2, ""recovery_fragile"": 0.2}}",improved_frontier_phase5_fragility_guard,Lower idle cash in non-stress states may raise return without breaking defense.,Return improves with drawdown above -22% and Sharpe >= 0.85.,Reject if return remains near Track A or stress drawdown deteriorates materially.,not_promoted
track_b_aggressive_cash_cap_15_good_20_neutral,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""cash_caps"": {""calm_trend"": 0.15, ""neutral_mixed"": 0.2, ""recovery_confirmed"": 0.15, ""recovery_fragile"": 0.2}}",improved_frontier_phase5_fragility_guard,More targeted cash reduction in good states may improve return with less neutral-state risk.,Return improves and 2x cost Sharpe remains >= 0.85.,Reject if neutral-state losses dominate the improvement.,not_promoted
track_b_aggressive_cash_cap_10_good_18_neutral,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""cash_caps"": {""calm_trend"": 0.1, ""neutral_mixed"": 0.18, ""recovery_confirmed"": 0.1, ""recovery_fragile"": 0.18}}",improved_frontier_phase5_fragility_guard,A stronger cash cap tests whether 9% return is reachable without stress changes.,CAGR approaches 9% with max drawdown above -22%.,Reject if drawdown or CVaR worsens faster than return improves.,not_promoted
track_b_aggressive_offense_boost_10,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""offense_multipliers"": {""calm_trend"": 1.1, ""neutral_mixed"": 1.05, ""recovery_confirmed"": 1.1, ""recovery_fragile"": 1.05}}",improved_frontier_phase5_fragility_guard,Small offense scaling may lift return while retaining Track A state timing.,Return improves with Sharpe near Track A and stress unchanged.,Reject if beta explains nearly all incremental return.,not_promoted
track_b_aggressive_offense_boost_20,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""offense_multipliers"": {""calm_trend"": 1.2, ""neutral_mixed"": 1.1, ""recovery_confirmed"": 1.2, ""recovery_fragile"": 1.05}}",improved_frontier_phase5_fragility_guard,Stronger offense scaling tests the mandate boundary.,CAGR near 9% with max drawdown above -22%.,Reject if 2x costs or CVaR erase the case.,not_promoted
track_b_aggressive_cash10_offense10,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""cash_caps"": {""calm_trend"": 0.1, ""neutral_mixed"": 0.18, ""recovery_confirmed"": 0.1, ""recovery_fragile"": 0.18}, ""offense_multipliers"": {""calm_trend"": 1.1, ""neutral_mixed"": 1.05, ""recovery_confirmed"": 1.1, ""recovery_fragile"": 1.05}}",improved_frontier_phase5_fragility_guard,Combining cash reduction and mild offense boost may reach mandate with controlled stress behavior.,"CAGR >= 9%, Sharpe >= 0.85, drawdown above -22%.",Reject if stress or neutral-state behavior collapses.,not_promoted
track_b_aggressive_cash10_offense20,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""cash_caps"": {""calm_trend"": 0.1, ""neutral_mixed"": 0.18, ""recovery_confirmed"": 0.1, ""recovery_fragile"": 0.18}, ""offense_multipliers"": {""calm_trend"": 1.2, ""neutral_mixed"": 1.1, ""recovery_confirmed"": 1.2, ""recovery_fragile"": 1.05}}",improved_frontier_phase5_fragility_guard,Strongest Track A-timed overlay tests upper edge of drawdown tolerance.,CAGR >= 9% and 2x costs survive without drawdown below -22%.,Reject if it is just higher beta with no benchmark edge.,not_promoted
track_b_aggressive_rerisk_4w,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""rerisk_after_stress_weeks"": 4, ""rerisk_cash_cap"": 0.12, ""rerisk_offense_multiplier"": 1.15}",improved_frontier_phase5_fragility_guard,Faster re-risking after stress exits may reduce cash drag.,Improves recovery_confirmed/recovery_fragile metrics without stress damage.,Reject if benefit is narrow and not robust.,not_promoted
track_b_aggressive_vol_throttled,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""base"": ""cash10_offense20"", ""high_vol_cash_cap"": 0.2, ""high_vol_offense_multiplier"": 1.0, ""spy_vol_13w_threshold"": 0.25}",improved_frontier_phase5_fragility_guard,Higher offense should be disabled during high realized SPY volatility.,Retains much of aggressive return with better tail behavior.,Reject if it gives up return without meaningful risk control.,not_promoted
track_b_aggressive_turnover_banded,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""base"": ""cash10_offense10"", ""full_l1_rebalance_band"": 0.05}",improved_frontier_phase5_fragility_guard,Aggressive weights may survive costs if small weekly changes are ignored.,2x and 3x cost sensitivity improves versus unbanded overlay.,Reject if banding worsens timing more than it saves cost.,not_promoted
track_b_aggressive_blend_static_growth_30,track_b_aggressive,research_only,scripts/track_b_aggressive/run_track_b_research.py,"{""static_growth_mix"": {""BIL"": 0.05, ""EFA"": 0.1, ""GLD"": 0.05, ""IWM"": 0.1, ""QQQ"": 0.2, ""SPY"": 0.45, ""VWO"": 0.05}, ""static_growth_weight"": 0.3, ""track_a_weight"": 0.7}",improved_frontier_phase5_fragility_guard,A simple explicit risk budget may explain return gain versus timing.,Improves return with acceptable drawdown and transparent beta attribution.,Reject if a simple benchmark dominates it.,not_promoted
