sleeve,return_file_exists,position_file_exists,used_in_ggg1
baseline_60_40_proxy,True,True,False
baseline_equal_weight_risk_assets,True,True,False
baseline_market_proxy_buy_hold,True,True,False
cash::BIL,True,True,True
composite_anti_chop_clarity,True,True,False
composite_breadth_filtered,True,True,False
composite_calm_carry_sleeve,True,True,False
composite_calm_trend_participation,True,True,False
composite_calm_trend_specialist,True,True,False
composite_confirmation_aware_momentum,True,True,False
composite_equal_weight,True,True,False
composite_healthier_recovery_specialist,True,True,False
composite_ic_weighted,True,True,False
composite_macro_trend_diversifier_sleeve,True,True,False
composite_recovery_confirmed_offense_sleeve,True,True,False
composite_recovery_transition,True,True,False
composite_regime_cash_component,True,True,False
composite_regime_conditioned,True,True,False
composite_regime_defense_component,True,True,True
composite_regime_offense_component,True,True,True
composite_selective_concentrated,True,True,False
composite_selective_signals,True,True,True
composite_selective_strength_weighted,True,True,False
composite_selective_trend_ensemble,True,True,False
composite_structural_defense_sleeve,True,True,False
composite_trend_quality_module,True,True,False
composite_trend_quality_refined,True,True,False
cross_sectional_reversal_combo_ls,True,True,False
cta_trend_long_only,True,True,True
cta_trend_long_short_research,True,True,False
cta_trend_vol_managed,True,True,False
dual_momentum_single_best,True,True,False
dual_momentum_topn,True,True,True
pairs_stat_arb_research,True,True,False
sector_factor_rotation,True,True,False
sector_rotation_with_sma_filter,True,True,False
taa_10m_sma,True,True,True
