label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,variant,state,period,bl_sharpe,sharpe_delta
neutral_mixed,0.094409,0.073615,1.282481,1.564718,1.094463,-0.086261,-0.017426,-0.024297,0.531034,435,0.064879,3.373722,0.003374,BASELINE,neutral_mixed,dev,,
calm_trend,0.038734,0.07745,0.500116,0.6486,0.273707,-0.141517,-0.061794,-0.026405,0.559567,277,0.068343,3.553854,0.003554,BASELINE,calm_trend,dev,,
stressed_panic,0.035383,0.074641,0.474042,0.536895,0.29089,-0.121637,-0.026317,-0.022606,0.553488,215,0.051709,2.688844,0.002689,BASELINE,stressed_panic,dev,,
recovery_fragile,0.058704,0.059981,0.978698,1.303071,1.875681,-0.031297,-0.008464,-0.017121,0.577778,45,0.110038,5.72197,0.005722,BASELINE,recovery_fragile,dev,,
recovery_confirmed,0.003881,0.075016,0.05173,0.070848,0.071901,-0.053972,-0.016699,-0.025074,0.5,34,0.091399,4.752734,0.004753,BASELINE,recovery_confirmed,dev,,
neutral_mixed,0.097115,0.074536,1.302919,1.601081,1.125638,-0.086275,-0.017489,-0.024353,0.528736,435,0.06798,3.53498,0.003535,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed,dev,1.2825,0.0204
neutral_mixed+slowdown,0.155107,0.07688,2.017519,3.218645,4.65544,-0.033317,-0.005904,-0.018702,0.564103,78,0.069847,3.632019,0.003632,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed+slowdown,dev,2.0069,0.0106
calm_trend,0.039038,0.077907,0.501084,0.646702,0.284237,-0.137343,-0.059952,-0.02672,0.559567,277,0.069586,3.618484,0.003618,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,calm_trend,dev,0.5001,0.001
stressed_panic,0.035162,0.074639,0.471089,0.533568,0.288931,-0.121695,-0.026403,-0.02261,0.553488,215,0.054847,2.852038,0.002852,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,stressed_panic,dev,0.474,-0.0029
recovery_fragile,0.060836,0.060431,1.006696,1.350377,1.943522,-0.031302,-0.008467,-0.017121,0.577778,45,0.108818,5.658519,0.005659,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,recovery_fragile,dev,0.9787,0.028
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.233142,0.097356,2.394753,3.678172,4.593447,-0.050755,-0.00726,-0.026999,0.655172,58,0.075031,3.90161,0.003902,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed,holdout,2.4004,-0.0056
neutral_mixed+slowdown,0.233142,0.097356,2.394753,3.678172,4.593447,-0.050755,-0.00726,-0.026999,0.655172,58,0.075031,3.90161,0.003902,D_nm_slow_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed+slowdown,holdout,2.4004,-0.0056
neutral_mixed,0.096558,0.074469,1.296621,1.592556,1.119184,-0.086275,-0.017492,-0.024353,0.528736,435,0.067677,3.519182,0.003519,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed,dev,1.2825,0.0141
neutral_mixed+slowdown,0.154357,0.076512,2.017426,3.224229,4.632943,-0.033317,-0.00591,-0.018483,0.564103,78,0.067979,3.53492,0.003535,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed+slowdown,dev,2.0069,0.0105
calm_trend,0.038651,0.077837,0.49656,0.640252,0.281376,-0.137363,-0.059968,-0.026722,0.559567,277,0.06966,3.622335,0.003622,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,calm_trend,dev,0.5001,-0.0035
stressed_panic,0.035168,0.074639,0.47118,0.533672,0.288987,-0.121695,-0.026403,-0.02261,0.553488,215,0.054716,2.845219,0.002845,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,stressed_panic,dev,0.474,-0.0028
recovery_fragile,0.058666,0.059982,0.978054,1.302209,1.874197,-0.031302,-0.008467,-0.017121,0.577778,45,0.110768,5.759914,0.00576,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,recovery_fragile,dev,0.9787,-0.0006
recovery_confirmed,0.003871,0.075018,0.051606,0.070684,0.071737,-0.053967,-0.016697,-0.025075,0.5,34,0.091575,4.761919,0.004762,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,recovery_confirmed,dev,0.0517,-0.0001
neutral_mixed,0.232457,0.095078,2.444918,3.873013,4.849972,-0.04793,-0.006979,-0.025787,0.655172,58,0.077073,4.007796,0.004008,E_nm_slow_credit_fc|act2_deact2_hold4|offense_budget|int10pct,neutral_mixed,holdout,2.4004,0.0445
