Date,vote_8w,vote_11w,vote_13w,vote_count,vote_share,active,breadth_high,cash_conversion_weight
2023-01-06,False,False,False,0,0.0,False,False,0.0
2023-01-13,False,False,False,0,0.0,False,False,0.0
2023-01-20,False,False,False,0,0.0,False,False,0.0
2023-01-27,False,False,False,0,0.0,False,False,0.0
2023-02-03,False,False,False,0,0.0,False,False,0.0
2023-02-10,False,False,False,0,0.0,False,False,0.0
2023-02-17,False,False,False,0,0.0,False,False,0.0
2023-02-24,False,False,False,0,0.0,False,False,0.0
2023-03-03,True,False,False,1,0.3333333333333333,False,False,0.0
2023-03-10,True,False,False,1,0.3333333333333333,False,False,0.0
2023-03-17,False,False,False,0,0.0,False,False,0.0
2023-03-24,False,True,False,1,0.3333333333333333,False,False,0.0
2023-03-31,False,False,False,0,0.0,False,False,0.0
2023-04-07,False,False,True,1,0.3333333333333333,False,False,0.0
2023-04-14,False,False,False,0,0.0,False,False,0.0
2023-04-21,False,False,False,0,0.0,False,False,0.0
2023-04-28,False,False,False,0,0.0,False,False,0.0
2023-05-05,False,False,False,0,0.0,False,False,0.0
2023-05-12,False,False,False,0,0.0,False,False,0.0
2023-05-19,False,False,False,0,0.0,False,False,0.0
2023-05-26,False,False,False,0,0.0,False,False,0.0
2023-06-02,False,False,False,0,0.0,False,False,0.0
2023-06-09,False,False,False,0,0.0,False,False,0.0
2023-06-16,False,False,False,0,0.0,False,False,0.0
2023-06-23,True,False,False,1,0.3333333333333333,False,False,0.0
2023-06-30,True,False,False,1,0.3333333333333333,False,False,0.0
2023-07-07,True,False,False,1,0.3333333333333333,False,False,0.0
2023-07-14,True,True,False,2,0.6666666666666666,True,False,0.3333333333333333
2023-07-21,True,True,False,2,0.6666666666666666,True,False,0.3333333333333333
2023-07-28,True,True,True,3,1.0,True,False,0.5
2023-08-04,True,True,True,3,1.0,True,False,0.5
2023-08-11,True,True,True,3,1.0,True,False,0.5
2023-08-18,True,True,True,3,1.0,True,False,0.5
2023-08-25,False,True,True,2,0.6666666666666666,True,False,0.3333333333333333
2023-09-01,True,True,True,3,1.0,True,False,0.5
2023-09-08,False,True,True,2,0.6666666666666666,True,False,0.3333333333333333
2023-09-15,False,True,True,2,0.6666666666666666,True,False,0.3333333333333333
2023-09-22,False,True,True,2,0.6666666666666666,True,False,0.3333333333333333
2023-09-29,False,False,True,1,0.3333333333333333,False,False,0.0
2023-10-06,True,False,True,2,0.6666666666666666,True,False,0.3333333333333333
2023-10-13,True,False,False,1,0.3333333333333333,False,False,0.0
2023-10-20,False,False,False,0,0.0,False,False,0.0
2023-10-27,False,False,False,0,0.0,False,False,0.0
2023-11-03,False,False,False,0,0.0,False,False,0.0
2023-11-10,False,False,False,0,0.0,False,False,0.0
2023-11-17,False,False,False,0,0.0,False,False,0.0
2023-11-24,False,False,False,0,0.0,False,False,0.0
2023-12-01,False,False,False,0,0.0,False,False,0.0
2023-12-08,False,False,False,0,0.0,False,False,0.0
2023-12-15,True,False,False,1,0.3333333333333333,False,False,0.0
2023-12-22,True,False,False,1,0.3333333333333333,False,False,0.0
2023-12-29,True,True,False,2,0.6666666666666666,True,False,0.3333333333333333
2024-01-05,True,False,False,1,0.3333333333333333,False,False,0.0
2024-01-12,True,False,False,1,0.3333333333333333,False,False,0.0
2024-01-19,False,False,False,0,0.0,False,False,0.0
2024-01-26,False,True,False,1,0.3333333333333333,False,False,0.0
2024-02-02,False,False,False,0,0.0,False,False,0.0
2024-02-09,False,False,True,1,0.3333333333333333,False,False,0.0
2024-02-16,False,False,True,1,0.3333333333333333,False,True,0.0
2024-02-23,False,False,False,0,0.0,False,True,0.0
2024-03-01,False,False,False,0,0.0,False,True,0.0
2024-03-08,False,False,False,0,0.0,False,True,0.0
2024-03-15,False,False,False,0,0.0,False,True,0.0
2024-03-22,False,False,False,0,0.0,False,True,0.0
2024-03-29,False,False,False,0,0.0,False,True,0.0
2024-04-05,False,False,False,0,0.0,False,True,0.0
2024-04-12,False,False,False,0,0.0,False,True,0.0
2024-04-19,False,False,False,0,0.0,False,True,0.0
2024-04-26,False,False,False,0,0.0,False,True,0.0
2024-05-03,False,False,False,0,0.0,False,True,0.0
2024-05-10,True,False,False,1,0.3333333333333333,False,True,0.0
2024-05-17,True,True,False,2,0.6666666666666666,True,True,0.5333333333333333
