,all_six,five_sleeve_base,trend_0bps,candidate_0bps,trend_10bps,candidate_10bps,trend_50bps,candidate_50bps,trend_100bps,candidate_100bps
2005-01-07,,,0.0,,0.0,,0.0,,0.0,
2005-01-14,,,0.0,,0.0,,0.0,,0.0,
2005-01-21,,,0.0,,0.0,,0.0,,0.0,
2005-01-28,,,0.0,,0.0,,0.0,,0.0,
2005-02-04,,,0.0,,0.0,,0.0,,0.0,
2005-02-11,,,0.0,,0.0,,0.0,,0.0,
2005-02-18,,,0.0,,0.0,,0.0,,0.0,
2005-02-25,,,0.0,,0.0,,0.0,,0.0,
2005-03-04,,,0.0,,0.0,,0.0,,0.0,
2005-03-11,,,0.0,,0.0,,0.0,,0.0,
2005-03-18,,,0.0,,0.0,,0.0,,0.0,
2005-03-25,,,0.0,,0.0,,0.0,,0.0,
2005-04-01,,,0.0,,0.0,,0.0,,0.0,
2005-04-08,,,0.0,,0.0,,0.0,,0.0,
2005-04-15,,,0.0,,0.0,,0.0,,0.0,
2005-04-22,,,0.0,,0.0,,0.0,,0.0,
2005-04-29,,,0.0,,0.0,,0.0,,0.0,
2005-05-06,,,0.0,,0.0,,0.0,,0.0,
2005-05-13,,,0.0,,0.0,,0.0,,0.0,
2005-05-20,,,0.0,,0.0,,0.0,,0.0,
2005-05-27,,,0.0,,0.0,,0.0,,0.0,
2005-06-03,,,0.0,,0.0,,0.0,,0.0,
2005-06-10,,,0.0,,0.0,,0.0,,0.0,
2005-06-17,,,0.0,,0.0,,0.0,,0.0,
2005-06-24,,,0.0,,0.0,,0.0,,0.0,
2005-07-01,,,0.0,,0.0,,0.0,,0.0,
2005-07-08,,,0.0,,0.0,,0.0,,0.0,
2005-07-15,,,0.0,,0.0,,0.0,,0.0,
2005-07-22,,,0.0,,0.0,,0.0,,0.0,
2005-07-29,,,0.0,,0.0,,0.0,,0.0,
2005-08-05,,,0.0,,0.0,,0.0,,0.0,
2005-08-12,,,0.0,,0.0,,0.0,,0.0,
2005-08-19,,,0.0,,0.0,,0.0,,0.0,
2005-08-26,,,0.0,,0.0,,0.0,,0.0,
2005-09-02,,,0.0,,0.0,,0.0,,0.0,
2005-09-09,,,0.0,,0.0,,0.0,,0.0,
2005-09-16,,,0.0,,0.0,,0.0,,0.0,
