cik10,candidate_symbols,company_name_as_filed,sector,symbol_source,ticker,started_at_utc,status,rows,first_observed_date,last_observed_date,history_file,uncompressed_sha256,compressed_sha256,error_type,error_message,completed_at_utc,first_eligible_decision,last_eligible_decision,history_overlaps_eligible_interval,issuer_period_probe_status
0000002178,AE,"ADAMS RESOURCES & ENERGY, INC.",energy,last_filing_inline_xbrl,AE,2026-08-13T10:04:51.449847+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:51.898356+00:00,2013-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,False,no_free_history
0000004447,HES,HESS CORP,energy,last_filing_inline_xbrl,HES,2026-08-13T10:05:26.028246+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.289646+00:00,2012-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,False,no_free_history
0000007039,TREC,TRECORA RESOURCES,energy,last_filing_inline_xbrl,TREC,2026-08-13T10:06:12.355681+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:12.555851+00:00,2012-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,False,no_free_history
0000007332,SWN,SOUTHWESTERN ENERGY CO,energy,last_filing_inline_xbrl,SWN,2026-08-13T10:06:09.018210+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:09.287475+00:00,2012-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,False,no_free_history
0000008411,ATW,ATWOOD OCEANICS INC,energy,last_filing_instance_xbrl,ATW,2026-08-13T10:04:56.997341+00:00,ok,2434,2012-06-18 00:00:00+00:00,2022-03-02 00:00:00+00:00,histories/ATW.csv.gz,8a05487f549fa81a976fcb8e756888c45d9c45c205380c9298429bf619618751,76694a906f668f7671805e02f90492b7b0f1b985bd401f7c8b7e25629a939fb5,,,2026-08-13T10:04:57.218381+00:00,2012-04-01 00:00:00+00:00,2018-10-01 00:00:00+00:00,True,history_overlaps_eligible_period
0000010254,ESTE,EARTHSTONE ENERGY INC,energy,last_filing_inline_xbrl,ESTE,2026-08-13T10:05:18.881103+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:19.089808+00:00,2016-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,False,no_free_history
0000048039,HFC,HOLLYFRONTIER CORP,energy,last_filing_inline_xbrl,HFC,2026-08-13T10:05:26.289667+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:26.492650+00:00,2012-04-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,False,no_free_history
0000072207,NBL,NOBLE ENERGY INC,energy,last_filing_inline_xbrl,NBL,2026-08-13T10:05:45.892953+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:46.140817+00:00,2012-04-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,False,no_free_history
0000077159,ROCC,RANGER OIL CORP,energy,last_filing_inline_xbrl,ROCC,2026-08-13T10:05:57.816584+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:58.019605+00:00,2012-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,False,no_free_history
0000077877,PDCE,"PDC ENERGY, INC.",energy,last_filing_inline_xbrl,PDCE,2026-08-13T10:05:50.336621+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:50.547624+00:00,2012-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,False,no_free_history
0000095304,SUN,SUNOCO INC,energy,last_filing_instance_xbrl,SUN,2026-08-13T10:06:08.098175+00:00,ok,3491,2012-09-20 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/SUN.csv.gz,cc367f405468905a3bd83be6f7ad91b8213ad8f3f5d34a0b214e14d7d225f963,46e16c149abf1950c0707822ed9be1bd89509ee1b4186cb8e7380028cb9cddf0,,,2026-08-13T10:06:08.375153+00:00,2012-04-01 00:00:00+00:00,2013-10-01 00:00:00+00:00,True,history_overlaps_eligible_period
0000101778,MRO,MARATHON OIL CORP,energy,last_filing_inline_xbrl,MRO,2026-08-13T10:05:43.199402+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:43.477197+00:00,2012-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,False,no_free_history
0000315131,PHX,PHX MINERALS INC.,energy,last_filing_inline_xbrl,PHX,2026-08-13T10:05:51.137105+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:51.389627+00:00,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0000351817,SBOW,"SILVERBOW RESOURCES, INC.",energy,last_filing_inline_xbrl,SBOW,2026-08-13T10:05:59.807241+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:00.054646+00:00,2012-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,False,no_free_history
0000732834,CLR,"CONTINENTAL RESOURCES, INC",energy,last_filing_inline_xbrl,CLR,2026-08-13T10:05:06.477947+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:06.754548+00:00,2012-04-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,False,no_free_history
0000750199,EPL,"EPL OIL & GAS, INC.",energy,last_filing_instance_xbrl,EPL,2026-08-13T10:05:17.975199+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:18.109847+00:00,2012-04-01 00:00:00+00:00,2015-07-01 00:00:00+00:00,False,no_free_history
0000773910,APC,ANADARKO PETROLEUM CORP,energy,last_filing_inline_xbrl,APC,2026-08-13T10:04:53.390154+00:00,ok,124,2026-02-12 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/APC.csv.gz,a3d8272b2b5a18d91fc7203ff57ab8562eff6b1e0707dd7d1bb927db4a2d58c4,4e400e1cf95f8c7bba8ce4c66b8c1dcde9e4dda59b6469a5b615e7cf65caea9d,,,2026-08-13T10:04:53.550574+00:00,2012-04-01 00:00:00+00:00,2020-10-01 00:00:00+00:00,False,history_outside_eligible_period_possible_ticker_reuse
0000858470,CTRA,COTERRA ENERGY INC.,energy,last_filing_inline_xbrl,CTRA,2026-08-13T10:05:09.777982+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:10.028184+00:00,2012-04-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,False,no_free_history
0000866609,IO,ION GEOPHYSICAL CORP,energy,last_filing_inline_xbrl,IO,2026-08-13T10:05:30.809260+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:31.066959+00:00,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0000867665,AXAS,ABRAXAS PETROLEUM CORP,energy,last_filing_inline_xbrl,AXAS,2026-08-13T10:04:58.930731+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:59.133847+00:00,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0000886835,SPNX,SUPERIOR ENERGY SERVICES INC,energy,last_filing_inline_xbrl,SPNX,2026-08-13T10:06:05.213636+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:05.473692+00:00,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
0000890447,VTNR,VERTEX ENERGY INC.,energy,last_filing_inline_xbrl,VTNR,2026-08-13T10:06:16.389159+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:16.681125+00:00,2015-07-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,False,no_free_history
0000891456,PXP,PLAINS EXPLORATION & PRODUCTION CO,energy,last_filing_instance_xbrl,PXP,2026-08-13T10:05:54.581033+00:00,ok,4132,2002-12-18 00:00:00+00:00,2019-06-27 00:00:00+00:00,histories/PXP.csv.gz,8547f5fc8d91446fc389894b51b7d61b6a492b7484945277a575f7200402efbc,b9cc0be6e6c5b52e1f1f7ac3fbdb9863f01d2bb82584e24562c811e9a670de03,,,2026-08-13T10:05:54.823451+00:00,2012-04-01 00:00:00+00:00,2014-07-01 00:00:00+00:00,True,history_overlaps_eligible_period
0000904080,SGY,STONE ENERGY CORP,energy,last_filing_instance_xbrl,SGY,2026-08-13T10:06:01.654239+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:01.876892+00:00,2012-04-01 00:00:00+00:00,2019-07-01 00:00:00+00:00,False,no_free_history
0000907649,FXEN,FX ENERGY INC,energy,last_filing_instance_xbrl,FXEN,2026-08-13T10:05:22.616754+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:22.753270+00:00,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,False,no_free_history
0000928022,CPE,CALLON PETROLEUM CO,energy,last_filing_inline_xbrl,CPE,2026-08-13T10:05:07.493241+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:07.698266+00:00,2012-04-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,False,no_free_history
0000943861,GDP,GOODRICH PETROLEUM CORP,energy,last_filing_instance_xbrl,GDP,2026-08-13T10:05:23.151759+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:23.401279+00:00,2012-04-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,False,no_free_history
0000949039,DO,"DIAMOND OFFSHORE DRILLING, INC.",energy,last_filing_inline_xbrl,DO,2026-08-13T10:05:13.212924+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:13.453558+00:00,2012-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,False,no_free_history
0001037676,ARCH,"ARCH RESOURCES, INC.",energy,last_filing_inline_xbrl,ARCH,2026-08-13T10:04:54.526587+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:04:54.761709+00:00,2012-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,False,no_free_history
0001038357,PXD,PIONEER NATURAL RESOURCES CO,energy,last_filing_inline_xbrl,PXD,2026-08-13T10:05:54.278737+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:54.581013+00:00,2012-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,False,no_free_history
0001040593,CRZO,CARRIZO OIL & GAS INC,energy,last_filing_inline_xbrl,CRZO,2026-08-13T10:05:08.077283+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:08.327452+00:00,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,no_free_history
0001092289,TAT,TRANSATLANTIC PETROLEUM LTD.,energy,last_filing_instance_xbrl,TAT,2026-08-13T10:06:10.462067+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:10.717621+00:00,2012-04-01 00:00:00+00:00,2017-07-01 00:00:00+00:00,False,no_free_history
0001102392,ROYE,"ROYAL ENERGY RESOURCES, INC.",energy,last_filing_instance_xbrl,ROYE,2026-08-13T10:05:58.277363+00:00,ok,4763,2007-09-05 00:00:00+00:00,2026-08-12 00:00:00+00:00,histories/ROYE.csv.gz,d82768820e37aa4561a2d717adb64926daf250ce961363d283d35e039b42d90c,e90f97ff3f1d4c1ed3247bbbcac807bba91f4de34ca1dc535fed30d0751369a7,,,2026-08-13T10:05:58.551083+00:00,2017-07-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,True,history_overlaps_eligible_period
0001108827,QEP,"QEP RESOURCES, INC.",energy,last_filing_inline_xbrl,QEP,2026-08-13T10:05:55.050958+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:55.258390+00:00,2012-04-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,False,no_free_history
0001109189,BAS,"BASIC ENERGY SERVICES, INC.",energy,last_filing_inline_xbrl,BAS,2026-08-13T10:04:59.821556+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:00.076822+00:00,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,no_free_history
0001133260,UDRL,UNION DRILLING INC,energy,last_filing_instance_xbrl,UDRL,2026-08-13T10:06:14.453588+00:00,ok,1750,2005-11-22 00:00:00+00:00,2012-11-05 00:00:00+00:00,histories/UDRL.csv.gz,147e7b33344f1bde4824413a0cb21b6fc06121a6e0878849e10edc9267fa9599,630b3546ef0ccd2c77b639dcea2e3e4b2bc12c8144e07d38f482001339e3b4f5,,,2026-08-13T10:06:14.670376+00:00,2012-04-01 00:00:00+00:00,2014-01-01 00:00:00+00:00,True,history_overlaps_eligible_period
0001144945,PVR,PENN VIRGINIA RESOURCE PARTNERS L P,energy,last_filing_instance_xbrl,PVR,2026-08-13T10:05:53.773685+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:53.940355+00:00,2012-04-01 00:00:00+00:00,2013-10-01 00:00:00+00:00,False,no_free_history
0001157806,ECA,ENCANA CORP,energy,last_filing_inline_xbrl,ECA,2026-08-13T10:05:14.501809+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:14.752780+00:00,2017-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,False,no_free_history
0001168054,XEC,CIMAREX ENERGY CO,energy,last_filing_inline_xbrl,XEC,2026-08-13T10:06:19.038120+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:19.292393+00:00,2012-04-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,False,no_free_history
0001172139,BBG,BILL BARRETT CORP,energy,last_filing_instance_xbrl,BBG,2026-08-13T10:05:00.276185+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:05:00.466669+00:00,2012-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,False,no_free_history
0001173911,EEQ,ENBRIDGE ENERGY MANAGEMENT L L C,energy,last_filing_instance_xbrl,EEQ,2026-08-13T10:05:15.308170+00:00,ok,4077,2002-10-11 00:00:00+00:00,2018-12-20 00:00:00+00:00,histories/EEQ.csv.gz,c7576c837063fe7427b2b645dbbf541d993295eb7da107860e4ebd8fd9e10974,c9cddbe6727c8dfb42b5cc7f4f017cc7172777154686d0b180e5958e453892e2,,,2026-08-13T10:05:15.633937+00:00,2012-04-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,True,history_overlaps_eligible_period
0001255474,WLL,WHITING PETROLEUM CORP,energy,last_filing_inline_xbrl,WLL,2026-08-13T10:06:17.759266+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:17.970506+00:00,2012-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,False,no_free_history
0001326089,SNDE,SUNDANCE ENERGY INC.,energy,last_filing_inline_xbrl,SNDE,2026-08-13T10:06:03.583839+00:00,failed,0,,,,,,RuntimeError,empty history,2026-08-13T10:06:03.799306+00:00,2020-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,False,no_free_history
