decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status,candidate_symbols,symbol_source,symbol_count,collision_flag,single_symbol_usable_for_price_probe,free_execution_price_available
2012-04-01 00:00:00+00:00,0001193125-12-081827,0000004447,HESS CORP,2911,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped,HES,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000007039-12-000003,0000007039,ARABIAN AMERICAN DEVELOPMENT CO,2911,energy,10-K,2-ACC,2012-03-09,2012-03-10 00:00:00+00:00,20111231,2011,FY,2012Q1,22.0,,,former_or_unmapped,TREC,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000007332-12-000003,0000007332,SOUTHWESTERN ENERGY CO,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,SWN,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-041045,0000008411,ATWOOD OCEANICS INC,1381,energy,10-Q,1-LAF,2012-02-06,2012-02-07 00:00:00+00:00,20111231,2012,Q1,2012Q1,54.0,,,former_or_unmapped,ATW,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-078102,0000034088,EXXON MOBIL CORP,2911,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,XOM|XOM28|XOM32|XOM39A,last_filing_inline_xbrl,4,False,False,False
2012-04-01 00:00:00+00:00,0001193125-12-086106,0000048039,HOLLYFRONTIER CORP,2911,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,HFC,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-052465,0000061398,MAGELLAN PETROLEUM CORP /DE/,1311,energy,10-Q,2-ACC,2012-02-10,2012-02-11 00:00:00+00:00,20111231,2012,Q2,2012Q1,50.0,,,former_or_unmapped,TELL|TELZ,last_filing_inline_xbrl,2,False,False,False
2012-04-01 00:00:00+00:00,0001140361-12-006454,0000072207,NOBLE ENERGY INC,1311,energy,10-K,1-LAF,2012-02-09,2012-02-10 00:00:00+00:00,20111231,2011,FY,2012Q1,51.0,,,former_or_unmapped,NBL,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001144204-12-011173,0000077159,PENN VIRGINIA CORP,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped,ROCC,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000077877-12-000013,0000077877,PETROLEUM DEVELOPMENT CORP,1311,energy,10-K,2-ACC,2012-03-01,2012-03-02 00:00:00+00:00,20111231,2011,FY,2012Q1,30.0,,,former_or_unmapped,PDCE,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-085407,0000095304,SUNOCO INC,2911,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,SUN,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-088742,0000101778,MARATHON OIL CORP,2911,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped,MRO,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-046624,0000315131,PANHANDLE OIL & GAS INC,1311,energy,10-Q,2-ACC,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped,PHX,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-046246,0000351231,DAWSON GEOPHYSICAL CO,1382,energy,10-Q,2-ACC,2012-02-08,2012-02-09 00:00:00+00:00,20111231,2012,Q1,2012Q1,52.0,,,former_or_unmapped,DWSN,last_filing_instance_xbrl,1,True,False,False
2012-04-01 00:00:00+00:00,0000351817-12-000006,0000351817,SWIFT ENERGY CO,1311,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped,SBOW,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-077054,0000732834,CONTINENTAL RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,CLR,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-104001,0000750199,ENERGY PARTNERS LTD,1311,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped,EPL,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-070408,0000773910,ANADARKO PETROLEUM CORP,1311,energy,10-K,1-LAF,2012-02-21,2012-02-22 00:00:00+00:00,20111231,2011,FY,2012Q1,39.0,,,former_or_unmapped,APC,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001047469-12-001751,0000858470,CABOT OIL & GAS CORP,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,CTRA,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-078454,0000866609,ION GEOPHYSICAL CORP,1382,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,IO,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000867665-12-000010,0000867665,ABRAXAS PETROLEUM CORP,1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped,AXAS,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-084721,0000886835,SUPERIOR ENERGY SERVICES INC,1389,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped,SPNX,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-078415,0000891456,PLAINS EXPLORATION & PRODUCTION CO,1311,energy,10-K/A,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,PXP,last_filing_instance_xbrl,1,False,True,True
2012-04-01 00:00:00+00:00,0001193125-12-081922,0000904080,STONE ENERGY CORP,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped,SGY,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001038838-12-000060,0000907649,FX ENERGY INC,1311,energy,10-K,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20111231,2011,FY,2012Q1,19.0,,,former_or_unmapped,FXEN,last_filing_instance_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0000928022-12-000026,0000928022,CALLON PETROLEUM CO,1311,energy,10-K,2-ACC,2012-03-15,2012-03-16 00:00:00+00:00,20111231,2011,FY,2012Q1,16.0,,,former_or_unmapped,CPE,last_filing_inline_xbrl,1,False,True,False
2012-04-01 00:00:00+00:00,0001193125-12-076931,0000943861,GOODRICH PETROLEUM CORP,1311,energy,10-K,2-ACC,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped,GDP,last_filing_instance_xbrl,1,False,True,False
