name,kind,reference_type,reference_name,correlation
track_c_residual_xsmom_top5,standalone_sleeve,track_a,improved_frontier_phase5_fragility_guard,0.6615294214075967
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,dual_momentum_topn,0.623303615656398
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,taa_10m_sma,0.6278320525635084
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,composite_trend_quality_refined,0.7318167957387796
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,composite_calm_carry_sleeve,-0.0490120553213873
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,composite_breadth_filtered,0.60248336707437
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,cross_sectional_reversal_combo_ls,0.1828145814283967
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,pairs_stat_arb_research,-0.042497605407913905
track_c_residual_xsmom_top5,standalone_sleeve,existing_sleeve,cta_trend_vol_managed,0.6289032214958028
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,track_a,improved_frontier_phase5_fragility_guard,0.6962788285144903
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,dual_momentum_topn,0.6651559282788191
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,taa_10m_sma,0.6497312326300739
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,composite_trend_quality_refined,0.7515106846566467
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,composite_calm_carry_sleeve,-0.04128878486239299
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,composite_breadth_filtered,0.612567247989484
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,cross_sectional_reversal_combo_ls,0.12640881711699767
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,pairs_stat_arb_research,-0.04877780053137726
track_c_vol_managed_residual_xsmom_top5,standalone_sleeve,existing_sleeve,cta_trend_vol_managed,0.676786271948973
track_c_carry_value_top5,standalone_sleeve,track_a,improved_frontier_phase5_fragility_guard,0.4615006383687135
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,dual_momentum_topn,0.36284832984393556
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,taa_10m_sma,0.4255265295453588
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,composite_trend_quality_refined,0.4611563308878072
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,composite_calm_carry_sleeve,-0.03561569313085879
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,composite_breadth_filtered,0.4749126753737331
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,cross_sectional_reversal_combo_ls,0.26869039477839224
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,pairs_stat_arb_research,0.203667095436666
track_c_carry_value_top5,standalone_sleeve,existing_sleeve,cta_trend_vol_managed,0.38775305611887023
track_c_neutral_reversal_top5,standalone_sleeve,track_a,improved_frontier_phase5_fragility_guard,0.39845697704131583
track_c_neutral_reversal_top5,standalone_sleeve,existing_sleeve,dual_momentum_topn,0.3862998001663016
track_c_neutral_reversal_top5,standalone_sleeve,existing_sleeve,taa_10m_sma,0.41942742098015195
track_c_neutral_reversal_top5,standalone_sleeve,existing_sleeve,composite_trend_quality_refined,0.4876974962383873
