weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,annual_allocation_turnover,high_confidence_share,average_growth_allocation,scenario,variant,cost_bps,window,control_cagr,control_sharpe,control_max_drawdown,cagr_change_vs_fixed_20,sharpe_change_vs_fixed_20,drawdown_change_vs_fixed_20
53,2025-08-08,2026-08-07,0.9256147568720325,0.9500326998170003,2.435094444489919,-0.1349368319752834,0.2872016188383395,0.7482553682601448,0.9245283018867925,0.3773584905660376,base,relative_26w_10_40,50,trailing_1y,0.8282891724575214,2.3950182755981695,-0.11993011159218903,0.09732558441451111,0.040076168891749475,-0.015006720383094363
32,2026-01-02,2026-08-07,0.8871757533998428,0.47819141521405806,2.1502943615835446,-0.1349368319752834,0.3199075405819179,0.547947418732914,1.0,0.4,base,relative_26w_10_40,50,ytd,0.7108812236920168,1.9722996741298513,-0.11993011159218936,0.176294529707826,0.1779946874536933,-0.01500672038309403
188,2023-01-06,2026-08-07,0.3895836046196599,2.285360858169462,1.5543281955906676,-0.1958018954546612,0.22904137243062656,1.1451840640270856,0.2393617021276596,0.24787234042553188,base,dual_13_26w_20_40,50,full_recent,0.4050229057812802,1.678907837345226,-0.19215063787880182,-0.015439301161620289,-0.12457964175455838,-0.003651257575859379
157,2023-08-11,2026-08-07,0.4003952086587719,1.7641675256005227,1.523841287039799,-0.1958018954546611,0.2404595749112463,1.3351638845259668,0.28662420382165604,0.25732484076433115,base,dual_13_26w_20_40,50,since_incumbent_holdout_start,0.41904725510861196,1.6605544522996292,-0.19215063787880204,-0.018652046449840087,-0.13671316525983013,-0.003651257575859046
105,2024-08-09,2026-08-07,0.5822932352896382,1.5258431865463393,1.860837498980725,-0.1958018954546611,0.26645781366433224,1.536705956737811,0.4,0.27999999999999997,base,dual_13_26w_20_40,50,trailing_2y,0.5742382076027759,1.9434324864126415,-0.19215063787880182,0.008055027686862282,-0.08259498743191651,-0.003651257575859268
53,2025-08-08,2026-08-07,0.8797634608659366,0.9027179659365263,2.306323876328579,-0.12269750228363241,0.2934398663361185,1.7050464339257632,0.7169811320754716,0.3433962264150942,base,dual_13_26w_20_40,50,trailing_1y,0.8282891724575214,2.3950182755981695,-0.11993011159218903,0.05147428840841517,-0.08869439926959055,-0.0027673906914433832
32,2026-01-02,2026-08-07,0.7711648393556365,0.4215913041590076,1.9346512604977553,-0.12269750228363219,0.32291118892571297,1.9917491495362303,0.75,0.35,base,dual_13_26w_20_40,50,ytd,0.7108812236920168,1.9722996741298513,-0.11993011159218936,0.06028361566361973,-0.037648413632096034,-0.002767390691442828
188,2023-01-06,2026-08-07,0.3811791089581571,2.214087495733626,1.4861137860332276,-0.19770113293815206,0.23661007190470926,1.617833101424232,0.2393617021276596,0.27180851063829786,base,dual_13_26w_20_50,50,full_recent,0.4050229057812802,1.678907837345226,-0.19215063787880182,-0.023843796823123098,-0.19279405131199834,-0.005550495059350236
157,2023-08-11,2026-08-07,0.390258990101382,1.704201049347052,1.4499865664843772,-0.1977011329381525,0.2490934863911518,1.9011385280333781,0.28662420382165604,0.2859872611464968,base,dual_13_26w_20_50,50,since_incumbent_holdout_start,0.41904725510861196,1.6605544522996292,-0.19215063787880204,-0.028788265007229974,-0.210567885815252,-0.005550495059350458
105,2024-08-09,2026-08-07,0.5852233294423057,1.5352967730522917,1.809976585044053,-0.1977011329381526,0.27641859486534126,2.1854732643877437,0.4,0.32,base,dual_13_26w_20_50,50,trailing_2y,0.5742382076027759,1.9434324864126415,-0.19215063787880182,0.010985121839529821,-0.13345590136858854,-0.005550495059350791
53,2025-08-08,2026-08-07,0.9038568652484087,0.9275776273231515,2.2455232878364875,-0.13401203352820645,0.30913504913013595,2.402411554900367,0.7169811320754716,0.41509433962264153,base,dual_13_26w_20_50,50,trailing_1y,0.8282891724575214,2.3950182755981695,-0.11993011159218903,0.07556769279088726,-0.14949498776168202,-0.014081921936017427
32,2026-01-02,2026-08-07,0.7994323323727828,0.43551083105832644,1.89726449046595,-0.13401203352820645,0.3405926390529465,2.816961923722368,0.75,0.425,base,dual_13_26w_20_50,50,ytd,0.7108812236920168,1.9722996741298513,-0.11993011159218936,0.08855110868076599,-0.07503518366390138,-0.014081921936017094
