feature_name,source,feature_family,feature_type,lag_rule,used_in_models,leakage_check,economic_interpretation,left_feature,right_feature,rule_formula,missingness,non_missing_rows,selected_base_model,selected_interaction_model
z_mom_4w,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized mom_4w,,,,0.03873873873873874,37345.0,False,False
z_mom_13w,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized mom_13w,,,,0.04144144144144144,37240.0,True,True
z_mom_26w,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized mom_26w,,,,0.047747747747747746,36995.0,True,True
z_mom_52w,ppp_panel_characteristics.csv,momentum,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized mom_52w,,,,0.05945945945945946,36540.0,True,True
z_vol_4w,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized vol_4w,,,,0.03873873873873874,37345.0,False,False
z_vol_13w,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized vol_13w,,,,0.04144144144144144,37240.0,True,True
z_vol_26w,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized vol_26w,,,,0.047747747747747746,36995.0,True,True
z_downside_vol_13w,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized downside_vol_13w,,,,0.005405405405405406,38640.0,True,True
z_downside_vol_26w,ppp_panel_characteristics.csv,volatility_quality,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized downside_vol_26w,,,,0.011711711711711712,38395.0,True,True
z_drawdown_26w,ppp_panel_characteristics.csv,drawdown_stress,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized drawdown_26w,,,,0.047747747747747746,36995.0,True,True
z_drawdown_52w,ppp_panel_characteristics.csv,drawdown_stress,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized drawdown_52w,,,,0.05945945945945946,36540.0,False,False
z_ma_distance_13w,ppp_panel_characteristics.csv,trend_breadth,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized ma_distance_13w,,,,0.04054054054054054,37275.0,False,False
z_ma_distance_26w,ppp_panel_characteristics.csv,trend_breadth,cross_sectional_zscore,PPP source feature already lagged; z-score uses same-date cross-section only,True,no forward returns; no future state,cross-sectional standardized ma_distance_26w,,,,0.04684684684684685,37030.0,True,True
