Date,leader,cash_conversion
2023-01-06,1.0,0.0
2023-01-13,1.0,0.0
2023-01-20,1.0,0.0
2023-01-27,1.0,0.0
2023-02-03,1.0,0.0
2023-02-10,1.0,0.0
2023-02-17,1.0,0.0
2023-02-24,1.0,0.0
2023-03-03,1.0,0.0
2023-03-10,1.0,0.0
2023-03-17,1.0,0.0
2023-03-24,0.5,0.5
2023-03-31,0.5,0.5
2023-04-07,1.0,0.0
2023-04-14,1.0,0.0
2023-04-21,1.0,0.0
2023-04-28,1.0,0.0
2023-05-05,1.0,0.0
2023-05-12,1.0,0.0
2023-05-19,1.0,0.0
2023-05-26,1.0,0.0
2023-06-02,1.0,0.0
2023-06-09,1.0,0.0
2023-06-16,1.0,0.0
2023-06-23,1.0,0.0
2023-06-30,1.0,0.0
2023-07-07,1.0,0.0
2023-07-14,0.5,0.5
2023-07-21,0.5,0.5
2023-07-28,0.5,0.5
2023-08-04,0.5,0.5
2023-08-11,0.5,0.5
2023-08-18,0.5,0.5
2023-08-25,0.5,0.5
2023-09-01,0.5,0.5
2023-09-08,0.5,0.5
2023-09-15,1.0,0.0
2023-09-22,1.0,0.0
2023-09-29,1.0,0.0
2023-10-06,1.0,0.0
2023-10-13,1.0,0.0
2023-10-20,1.0,0.0
2023-10-27,1.0,0.0
2023-11-03,1.0,0.0
2023-11-10,1.0,0.0
2023-11-17,1.0,0.0
2023-11-24,1.0,0.0
2023-12-01,1.0,0.0
2023-12-08,1.0,0.0
2023-12-15,1.0,0.0
2023-12-22,1.0,0.0
2023-12-29,1.0,0.0
2024-01-05,1.0,0.0
2024-01-12,1.0,0.0
2024-01-19,1.0,0.0
2024-01-26,0.5,0.5
2024-02-02,0.875,0.125
2024-02-09,0.875,0.125
2024-02-16,0.675,0.325
2024-02-23,0.675,0.325
2024-03-01,0.6,0.4
2024-03-08,0.3999999999999999,0.6000000000000001
2024-03-15,0.3999999999999999,0.6000000000000001
2024-03-22,0.3999999999999999,0.6000000000000001
2024-03-29,0.6,0.4
2024-04-05,0.8,0.2
2024-04-12,0.8,0.2
2024-04-19,0.8,0.2
2024-04-26,0.8,0.2
2024-05-03,0.8,0.2
2024-05-10,1.0,0.0
2024-05-17,1.0,0.0
2024-05-24,1.0,0.0
2024-05-31,0.19999999999999996,0.8
2024-06-07,1.0,0.0
2024-06-14,1.0,0.0
2024-06-21,1.0,0.0
2024-06-28,1.0,0.0
2024-07-05,1.0,0.0
2024-07-12,1.0,0.0
2024-07-19,0.5,0.5
2024-07-26,0.19999999999999996,0.8
2024-08-02,1.0,0.0
2024-08-09,1.0,0.0
2024-08-16,0.5,0.5
2024-08-23,0.5,0.5
2024-08-30,0.5,0.5
2024-09-06,1.0,0.0
2024-09-13,0.5,0.5
2024-09-20,0.5,0.5
2024-09-27,0.5,0.5
2024-10-04,0.5,0.5
2024-10-11,0.5,0.5
2024-10-18,0.19999999999999996,0.8
2024-10-25,0.19999999999999996,0.8
2024-11-01,0.19999999999999996,0.8
2024-11-08,0.19999999999999996,0.8
2024-11-15,0.19999999999999996,0.8
2024-11-22,0.19999999999999996,0.8
2024-11-29,0.19999999999999996,0.8
2024-12-06,0.19999999999999996,0.8
2024-12-13,0.19999999999999996,0.8
2024-12-20,0.19999999999999996,0.8
2024-12-27,0.19999999999999996,0.8
2025-01-03,0.19999999999999996,0.8
