Date,baseline_equity,recovery_options_equity,recovery_tactical_tilt_equity,baseline_return,recovery_options_return,recovery_tactical_tilt_return,v1_rejected_overlay_equity,v2_rejected_overlay_equity
2005-08-19,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-08-26,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-09-02,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-09-09,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-09-16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-09-23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-09-30,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-10-07,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-10-14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-10-21,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-10-28,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-11-04,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-11-11,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-11-18,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-11-25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-12-02,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-12-09,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-12-16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-12-23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2005-12-30,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-01-06,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-01-13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-01-20,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-01-27,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-02-03,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-02-10,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-02-17,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-02-24,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-03-03,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-03-10,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-03-17,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-03-24,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-03-31,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-04-07,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-04-14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-04-21,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-04-28,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-05-05,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-05-12,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-05-19,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-05-26,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-06-02,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-06-09,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-06-16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-06-23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
2006-06-30,1.0048338107612982,1.0048338107612982,1.0048338107612982,0.004833810761298185,0.004833810761298185,0.004833810761298185,1.0048338107612982,1.0048338107612982
2006-07-07,1.0084031697864326,1.0084031697864326,1.0084031697864326,0.0035521884185307773,0.0035521884185307773,0.0035521884185307773,1.0084031697864326,1.0084031697864326
2006-07-14,0.9956905513980364,0.9956905513980364,0.9956905513980364,-0.012606682296614102,-0.012606682296614102,-0.012606682296614102,0.9956905513980364,0.9956905513980364
2006-07-21,1.01855242814597,1.01855242814597,1.01855242814597,0.02296082524418197,0.02296082524418197,0.02296082524418197,1.01855242814597,1.01855242814597
2006-07-28,1.0268960969222296,1.0268960969222296,1.0268960969222296,0.008191692980838772,0.008191692980838772,0.008191692980838772,1.0268960969222296,1.0268960969222296
2006-08-04,1.0100363295351134,1.0100363295351134,1.0100363295351134,-0.016418182362994305,-0.016418182362994305,-0.016418182362994305,1.0100363295351134,1.0100363295351134
2006-08-11,1.015674042108397,1.015674042108397,1.015674042108397,0.005581692864333299,0.005581692864333299,0.005581692864333299,1.015674042108397,1.015674042108397
2006-08-18,1.0176705742627774,1.0176705742627774,1.0176705742627774,0.0019657213550874353,0.0019657213550874353,0.0019657213550874353,1.0176705742627774,1.0176705742627774
2006-08-25,1.0267817321810737,1.0267817321810737,1.0267817321810737,0.008952954078383035,0.008952954078383035,0.008952954078383035,1.0267817321810735,1.0267817321810735
2006-09-01,1.01612382379232,1.01612382379232,1.01612382379232,-0.010379916251640253,-0.010379916251640253,-0.010379916251640253,1.01612382379232,1.01612382379232
2006-09-08,1.005175520888174,1.005175520888174,1.005175520888174,-0.010774575546595555,-0.010774575546595555,-0.010774575546595555,1.005175520888174,1.005175520888174
2006-09-15,1.0082447447723741,1.0082447447723741,1.0082447447723741,0.003053420840857912,0.003053420840857912,0.003053420840857912,1.008244744772374,1.008244744772374
2006-09-22,1.0183486175460255,1.0183486175460255,1.0183486175460255,0.010021250124078174,0.010021250124078174,0.010021250124078174,1.0183486175460257,1.0183486175460257
2006-09-29,1.015512651349881,1.015512651349881,1.015512651349881,-0.002784867723372164,-0.002784867723372164,-0.002784867723372164,1.015512651349881,1.015512651349881
2006-10-06,1.0286012590934375,1.0286012590934375,1.0286012590934375,0.012888670294908033,0.012888670294908033,0.012888670294908033,1.0286012590934377,1.0286012590934377
2006-10-13,1.0311395784939956,1.0311395784939956,1.0311395784939956,0.002467738959210708,0.002467738959210708,0.002467738959210708,1.0311395784939956,1.0311395784939956
2006-10-20,1.0379804865307787,1.0379804865307787,1.0379804865307787,0.006634318165513964,0.006634318165513964,0.006634318165513964,1.037980486530779,1.037980486530779
2006-10-27,1.0380985204443853,1.0380985204443853,1.0380985204443853,0.00011371496395007341,0.00011371496395007341,0.00011371496395007341,1.038098520444385,1.038098520444385
2006-11-03,1.0473829995286323,1.0473829995286323,1.0473829995286323,0.00894373597630449,0.00894373597630449,0.00894373597630449,1.0473829995286323,1.0473829995286323
2006-11-10,1.0528485459988381,1.0528485459988381,1.0528485459988381,0.005218288317325737,0.005218288317325737,0.005218288317325737,1.052848545998838,1.052848545998838
2006-11-17,1.0779489104787559,1.0779489104787559,1.0779489104787559,0.023840432297035585,0.023840432297035585,0.023840432297035585,1.077948910478756,1.077948910478756
2006-11-24,1.0818858823442667,1.0818858823442667,1.0818858823442667,0.003652280574004463,0.003652280574004463,0.003652280574004463,1.07855078977592,1.0818858823442667
2006-12-01,1.084954812538447,1.084954812538447,1.084954812538447,0.002836648711535439,0.002836648711535439,0.002836648711535439,1.0790835098188174,1.084954812538447
2006-12-08,1.086209009113642,1.086209009113642,1.086209009113642,0.0011559896879582698,0.0011559896879582698,0.0011559896879582698,1.0831566039436311,1.086209009113642
2006-12-15,1.0799220943119607,1.082281430072171,1.079987882922256,-0.005787942052525863,-0.0036158593866533195,-0.005727374878304992,1.0831659268115796,1.0799220943119607
2006-12-22,1.0927142823940215,1.0917870367290237,1.092718669674019,0.011845473066472323,0.008782934265275877,0.011787897765404232,1.0853227279405069,1.0927142823940217
2006-12-29,1.069258098862996,1.0692633170434058,1.0692960834382224,-0.021465980548579844,-0.020630140245206152,-0.021435147843482993,1.0629554733466335,1.069258098862996
2007-01-05,1.0918396818263205,1.0897613425708594,1.0918359576176606,0.021118926279199313,0.019170231691976625,0.02107917023969952,1.078835406680022,1.0918396818263203
2007-01-12,1.1034654938066768,1.1056855451772978,1.1035660373557592,0.010647911203327753,0.01461255963518715,0.01074344516340453,1.0988035225174644,1.1034654938066768
2007-01-19,1.1091961381357183,1.109876671224245,1.1092804624892616,0.0051933153879348826,0.0037905225995109593,0.005178145158575731,1.0986534316342955,1.1091961381357185
2007-01-26,1.1259075827636829,1.1246461847507976,1.1259652636670965,0.015066266509052628,0.013307346581364898,0.01504110253631774,1.1094594246235412,1.1259075827636829
2007-02-02,1.1294334670771498,1.1339905858034778,1.1295946408944866,0.003131593007671407,0.008308747390407767,0.0032233474197682632,1.1198242687404882,1.1294334670771498
2007-02-09,1.1428518178900327,1.1441292293744802,1.1429793948323381,0.011880603155498992,0.008940677019658727,0.01184916557965665,1.123516538087909,1.1428518178900329
2007-02-16,1.1415598397714428,1.1472949909841939,1.1417565416905968,-0.0011304861210923445,0.0027669615708048045,-0.0010698820532286657,1.1190609555602682,1.1415598397714428
2007-02-23,1.1017250137204209,1.107460164933172,1.1019217156395749,-0.03489508360682825,-0.03472064845053502,-0.03488907187870249,1.0951602202150288,1.1017250137204209
2007-03-02,1.1132440193647586,1.1189791705775096,1.1134407212839126,0.010455427171830456,0.010401282149081092,0.010453560793701078,1.092083141543453,1.1132440193647586
2007-03-09,1.102870681816605,1.108605833029356,1.103067383735759,-0.009318116574363322,-0.009270358037853255,-0.009316470423492373,1.0820753049517753,1.102870681816605
2007-03-16,1.1319705835362526,1.1377057347490036,1.1321672854554066,0.026385597331969546,0.026249096705661223,0.026380892181849358,1.1104544399397818,1.1319705835362526
2007-03-23,1.1263498314628368,1.1320849826755879,1.1265465333819908,-0.004965457720514821,-0.004940426950256871,-0.004964595025508833,1.1071714370726595,1.1263498314628368
2007-03-30,1.139427758593054,1.145162909805805,1.139624460512208,0.011610892783845195,0.011552071911870465,0.01160886545090678,1.1180099883459769,1.139427758593054
2007-04-06,1.1419325628475376,1.1476677140602887,1.1421292647666916,0.002198300186732949,0.002187290762768912,0.002197920754840599,1.1215582087118765,1.1419325628475376
2007-04-13,1.1559499447753045,1.1616850959880556,1.1561466466944585,0.012275139867115259,0.012213798258883912,0.012273025795053405,1.1358026224014606,1.1559499447753043
2007-04-20,1.152584860127612,1.158320011340363,1.152781562046766,-0.002911098930279854,-0.0028967270556486957,-0.0029106036481735265,1.1421391393438718,1.152584860127612
2007-04-27,1.1565668960893043,1.1623020473020553,1.1567635980084583,0.00345487443002801,0.00343776842557042,0.0034542849164087563,1.1473537403214462,1.1565668960893043
2007-05-04,1.1553201521987029,1.161055303411454,1.1555168541178569,-0.001077969544880708,-0.0010726505158408228,-0.0010777862414999007,1.152762834591634,1.1553201521987029
2007-05-11,1.13915951097953,1.144894662192281,1.139356212898684,-0.013988019847500532,-0.013918924595313409,-0.0139856386876418,1.1244247907700675,1.13915951097953
2007-05-18,1.1396490128916104,1.1453841641043614,1.1398457148107644,0.0004297044508361214,0.0004275519209278045,0.0004296302653539197,1.125600785081419,1.1396490128916104
2007-05-25,1.159038694768113,1.164773845980864,1.159235396687267,0.017013731119992492,0.0169285402087469,0.01701079507915826,1.159038694768113,1.159038694768113
2007-06-01,1.1362726768771718,1.1420078280899228,1.1364693787963258,-0.019642155170234377,-0.019545440490011834,-0.01963882224093516,1.1362726768771718,1.1362726768771718
2007-06-08,1.1454712390082056,1.1512063902209566,1.1456679409273596,0.0080953826649377,0.008054727738967316,0.00809398150329077,1.1454712390082056,1.1454712390082056
2007-06-15,1.1361234971099587,1.1418586483227098,1.1363201990291127,-0.008160608123465862,-0.008119953101070498,-0.008159207013055059,1.1361234971099587,1.1361234971099587
2007-06-22,1.142606716556289,1.14834186776904,1.142803418475443,0.005706439011975428,0.00567777759169541,0.005705451202812073,1.142606716556289,1.142606716556289
2007-06-29,1.1562947428177823,1.1620298940305334,1.1564914447369363,0.0119796479953731,0.011919818170599283,0.011977586031159948,1.1562947428177823,1.1562947428177823
2007-07-06,1.1692768282102544,1.1750119794230054,1.1694735301294084,0.011227315070927224,0.011171903114680859,0.011225405472346628,1.1692768282102544,1.1692768282102544
2007-07-13,1.1659221177037868,1.1716572689165379,1.1661188196229408,-0.002869047282500592,-0.0028550436635674803,-0.002868564717404376,1.1659221177037868,1.1659221177037868
2007-07-20,1.1259258239898822,1.1316609752026332,1.1261225259090362,-0.034304430035751454,-0.03413651310411814,-0.034298643535173645,1.1259258239898822,1.1259258239898822
2007-07-27,1.1266662076568652,1.1324013588696162,1.1268629095760192,0.0006575776584991644,0.0006542451168738417,0.0006574627981847936,1.1266662076568652,1.1266662076568652
2007-08-03,1.1252692202746704,1.1310043714874214,1.1254659221938244,-0.001239930134320999,-0.0012336503936990484,-0.0012397136957151833,1.1252692202746704,1.1252692202746704
2007-08-10,1.1182866892136318,1.1240218404263829,1.1184833911327858,-0.006205209327003636,-0.006173743653930863,-0.006204124819192858,1.1182866892136318,1.1182866892136318
2007-08-17,1.1424845075006433,1.1482196587133944,1.1426812094197973,0.021638295904270466,0.021527889776441045,0.02163449048850352,1.1424845075006431,1.1424845075006431
2007-08-24,1.1516589008048166,1.1573940520175676,1.1518556027239706,0.008030212439592344,0.00799010296902014,0.0080288301133713,1.1516589008048166,1.1516589008048166
2007-08-31,1.1510074053271537,1.1567425565399048,1.1512041072463077,-0.0005657017691675925,-0.0005628985880195003,-0.0005656051645034355,1.1510074053271535,1.1510074053271535
2007-09-07,1.1569403364530302,1.1626754876657812,1.1571370383721842,0.005154555130068905,0.005128998749404756,0.005153674390606655,1.1569403364530302,1.1569403364530302
2007-09-14,1.1629036131253458,1.1686387643380969,1.1631003150444998,0.005154351079674546,0.005128926115306465,0.0051534748906703065,1.1629036131253458,1.1629036131253458
2007-09-21,1.1692807933651665,1.1750159445779176,1.1694774952843205,0.005483842485175305,0.005456930263161963,0.005482915065306848,1.1692807933651663,1.1692807933651663
2007-09-28,1.185641226447838,1.191376377660589,1.185837928366992,0.013991877037154099,0.013923583895321778,0.01398952365363293,1.185641226447838,1.185641226447838
2007-10-05,1.1919849761441086,1.1977201273568596,1.1921816780632626,0.0053504800227606175,0.005324723416731958,0.005349592507136736,1.1919849761441086,1.1919849761441086
2007-10-12,1.187400581171901,1.193135732384652,1.187597283091055,-0.003846017411257452,-0.0038276011795213005,-0.003845382844379075,1.187400581171901,1.187400581171901
2007-10-19,1.2067565632734794,1.2124917144862304,1.2069532651926334,0.01630113915093001,0.016222783021419218,0.0162984391907659,1.2067565632734794,1.2067565632734794
2007-10-26,1.210859110705293,1.216594261918044,1.211055812624447,0.003399647912984971,0.003383567394975584,0.003399093858997837,1.210859110705293,1.210859110705293
2007-11-02,1.2100553331691217,1.2157904843818728,1.2102520350882757,-0.000663807646211767,-0.0006606783882936451,-0.000663699829349329,1.2100553331691215,1.2100553331691215
2007-11-09,1.2053369031148762,1.2110720543276272,1.2055336050340302,-0.0038993506535672795,-0.0038809565586002126,-0.0038987168932141936,1.2053369031148762,1.2053369031148762
2007-11-16,1.2080331370860715,1.2137682882988226,1.2082298390052255,0.002236913152022124,0.0022263200290690843,0.002236548164179286,1.2080331370860715,1.2080331370860715
2007-11-23,1.2091960028506568,1.2149311540634078,1.2093927047698108,0.0009626108166123082,0.0009580624043283859,0.0009624541018973254,1.2091960028506568,1.2091960028506568
2007-11-30,1.2112192120579774,1.2169543632707285,1.2114159139771314,0.0016731854906490984,0.0016652871239279943,0.0016729133550592579,1.2112192120579774,1.2112192120579774
2007-12-07,1.2032096335679985,1.2089447847807495,1.2034063354871525,-0.006612823186952221,-0.0065816588786881125,-0.006611749439284775,1.2032096335679985,1.2032096335679985
2007-12-14,1.2092690667570938,1.2150042179698448,1.2094657686762478,0.005036057740932964,0.005012167028119574,0.005035234575728298,1.2092690667570938,1.2092690667570938
2007-12-21,1.2116512135800117,1.2173863647927627,1.2118479154991657,0.001969906357818463,0.001960607862661057,0.001969585981358657,1.2116512135800117,1.2116512135800117
2007-12-28,1.2170203025212858,1.2227554537340368,1.2172170044404398,0.004431216575445207,0.00441034095382542,0.004430497319511062,1.2170203025212858,1.2170203025212858
2008-01-04,1.2237468101966171,1.2294819614093682,1.2239435121157711,0.005527029961124086,0.0055011062553760315,0.005526136794665959,1.2237468101966171,1.2237468101966171
2008-01-11,1.2136599971567175,1.2193951483694685,1.2138566990758715,-0.008242565337742591,-0.00820411633232665,-0.008241240661885696,1.2136599971567177,1.2136599971567177
2008-01-18,1.222289666669251,1.2280248178820021,1.222486368588405,0.007110450647422439,0.007077008239759541,0.007109298419742283,1.222289666669251,1.222289666669251
2008-01-25,1.2282098561673689,1.23394500738012,1.2284065580865229,0.004843524133072652,0.004820903789492181,0.004842744794736564,1.2282098561673689,1.2282098561673689
2008-02-01,1.2216490255014523,1.2273841767142033,1.2218457274206063,-0.0053417831105749825,-0.005316955477494445,-0.005340927743121449,1.2216490255014525,1.2216490255014525
2008-02-08,1.2193112328624327,1.2250463840751837,1.2195079347815867,-0.001913636887697745,-0.0019046951096257647,-0.0019133288160321227,1.2193112328624327,1.2193112328624327
2008-02-15,1.224885529776209,1.23062068098896,1.225082231695363,0.00457167683159132,0.004550274166136514,0.004570939437777977,1.224885529776209,1.224885529776209
2008-02-22,1.2314944999498225,1.2372296511625736,1.2316912018689765,0.005395581883330003,0.005370436460000461,0.005394715556740648,1.2314944999498223,1.2314944999498223
2008-02-29,1.2232819856339883,1.2290171368467393,1.2234786875531423,-0.006668738119552153,-0.006637825328642322,-0.006667673117557782,1.2232819856339885,1.2232819856339885
2008-03-07,1.2294241052488446,1.2351592564615956,1.2296208071679986,0.005021016974817272,0.004997586633018747,0.005020209732578218,1.2294241052488446,1.2294241052488446
2008-03-14,1.2231672458582052,1.2289023970709563,1.2233639477773592,-0.005089260381284766,-0.005065629681279771,-0.005088446254459367,1.2231672458582052,1.2231672458582052
2008-03-21,1.2258149376905714,1.2315500889033224,1.2260116396097254,0.0021646196309879073,0.0021545175912072168,0.0021642715866987405,1.2258149376905714,1.2258149376905714
2008-03-28,1.2291676179649045,1.2349027691776555,1.2293643198840585,0.002735062341995498,0.0027223255509798427,0.0027346235272287522,1.2291676179649045,1.2291676179649045
2008-04-04,1.2305597917996844,1.2362949430124355,1.2307564937188384,0.0011326151246036087,0.001127355018976095,0.0011324339028411234,1.2305597917996844,1.2305597917996844
2008-04-11,1.2259643401403286,1.2316994913530797,1.2261610420594826,-0.0037344399597478706,-0.0037171159562929823,-0.0037338431142217576,1.2259643401403286,1.2259643401403286
2008-04-18,1.220850598334988,1.226585749547739,1.221047300254142,-0.004171199469598985,-0.004151777151196967,-0.004170530321817689,1.220850598334988,1.220850598334988
2008-04-25,1.2184371155909226,1.2241722668036736,1.2186338175100766,-0.001976886236003783,-0.0019676429022229547,-0.0019765677738798892,1.2184371155909226,1.2184371155909226
2008-05-02,1.2245086492297552,1.2302438004425063,1.2247053511489092,0.004983050467801897,0.0049597052665515395,0.004982246144488389,1.2245086492297552,1.2245086492297552
2008-05-09,1.2270269402200933,1.2327620914328443,1.2272236421392473,0.0020565726439925047,0.0020469853125308912,0.002056242334513847,1.2270269402200933,1.2270269402200933
2008-05-16,1.2269015516715178,1.2326367028842689,1.2270982535906718,-0.00010218891245616923,-0.000101713501288625,-0.00010217253340794041,1.2269015516715178,1.2269015516715178
2008-05-23,1.2181645822329703,1.2238997334457213,1.2183612841521243,-0.00712116585609035,-0.007088032847069825,-0.00712002434440917,1.2181645822329703,1.2181645822329703
2008-05-30,1.2226804136141822,1.2284155648269333,1.2228771155333362,0.003707078211824255,0.0036897069733794474,0.003706479711684585,1.2226804136141822,1.2226804136141822
2008-06-06,1.2092914794964105,1.2150266307091615,1.2094881814155645,-0.01095047730272769,-0.010899352386224526,-0.010948715899334216,1.2092914794964105,1.2092914794964105
2008-06-13,1.2147899096773327,1.2205250608900837,1.2149866115964867,0.004546819583324924,0.004525357750976289,0.0045460801233188075,1.2147899096773327,1.2147899096773327
2008-06-20,1.2234666967764205,1.2292018479891715,1.2236633986955745,0.007142623617439003,0.007109060991144389,0.007141467252619771,1.2234666967764205,1.2234666967764205
2008-06-27,1.221429261109834,1.227164412322585,1.221625963028988,-0.0016652972017584533,-0.001657527337694309,-0.0016650295079172484,1.221429261109834,1.221429261109834
2008-07-04,1.2289169885692401,1.2346521397819912,1.2291136904883941,0.006130299721657684,0.006101649774242102,0.0061293126423414,1.22891698856924,1.22891698856924
2008-07-11,1.2167496557117663,1.2224848069245173,1.2169463576309203,-0.009900858211456254,-0.009854867185199456,-0.009899273721895585,1.2167496557117663,1.2167496557117663
2008-07-18,1.2071113082325629,1.2128464594453139,1.2073080101517168,-0.00792138911563145,-0.007884226801518457,-0.007920108736729214,1.2071113082325629,1.2071113082325629
2008-07-25,1.206909958460995,1.212645109673746,1.207106660380149,-0.00016680298676241545,-0.0001660142304079626,-0.00016677581021140586,1.206909958460995,1.206909958460995
2008-08-01,1.1861891333184749,1.191924284531226,1.1863858352376289,-0.017168492974357852,-0.01708729534900355,-0.01716569531311729,1.1861891333184749,1.1861891333184749
2008-08-08,1.177188524410275,1.1829236756230261,1.177385226329429,-0.00758783625257109,-0.007551326057375851,-0.007586578194771709,1.177188524410275,1.177188524410275
2008-08-15,1.193436331690108,1.199171482902859,1.193633033609262,0.013802213445779588,0.013735296380195772,0.013799907554884472,1.193436331690108,1.193436331690108
2008-08-22,1.1940813314358119,1.1998164826485629,1.1942780333549659,0.0005404559326516178,0.0005378711509571588,0.0005403668695005415,1.194081331435812,1.194081331435812
2008-08-29,1.1878335853531499,1.193568736565901,1.1880302872723039,-0.005232261754858358,-0.005207251419709014,-0.005231399982390084,1.18783358535315,1.18783358535315
2008-09-05,1.1752119847111373,1.1809471359238883,1.1754086866302913,-0.010625731413597017,-0.01057467429846315,-0.010623972113532165,1.1752119847111373,1.1752119847111373
2008-09-12,1.1868826910125634,1.1926178422253144,1.1870793929317174,0.009930724374202837,0.009882496808204522,0.009929062490497742,1.1868826910125634,1.1868826910125634
2008-09-19,1.1800147863720862,1.1857499375848373,1.1802114882912402,-0.005786506697319838,-0.00575868010465308,-0.0057855478592004905,1.1800147863720862,1.1800147863720862
2008-09-26,1.167248363479425,1.172983514692176,1.167445065398579,-0.010818866882093103,-0.010766538953958626,-0.010817063737572075,1.167248363479425,1.167248363479425
2008-10-03,1.1343083074711073,1.1400434586838584,1.1345050093902613,-0.028220263175291582,-0.028082283847750467,-0.028215508364902497,1.1343083074711071,1.1343083074711071
2008-10-10,1.129546910964048,1.135282062176799,1.129743612883202,-0.004197621119142458,-0.004176504387434776,-0.004196893330262519,1.129546910964048,1.129546910964048
2008-10-17,1.1284880065672882,1.1342231577800392,1.1286847084864422,-0.0009374594242004264,-0.0009327236217662183,-0.0009372962012658137,1.1284880065672882,1.1284880065672882
2008-10-24,1.1342574487519634,1.1399925999647145,1.1344541506711174,0.005112541871158394,0.005086690520380133,0.005111650881149954,1.1342574487519634,1.1342574487519634
2008-10-31,1.1429365983434152,1.1486717495561662,1.1431333002625692,0.007651833894502191,0.007613338535461089,0.007650507150348318,1.1429365983434152,1.1429365983434152
2008-11-07,1.141891538404101,1.147626689616852,1.142088240323255,-0.0009143638770766627,-0.000909798591040456,-0.0009142065401069877,1.141891538404101,1.141891538404101
2008-11-14,1.1503255178889322,1.1560606691016833,1.1505222198080862,0.0073859724861595755,0.007349061816998015,0.007384700399720501,1.1503255178889322,1.1503255178889322
2008-11-21,1.15978951058031,1.165524661793061,1.159986212499464,0.008227230070272595,0.00818641524992958,0.00822582348123313,1.15978951058031,1.15978951058031
2008-11-28,1.1644206840304927,1.1701558352432437,1.1646173859496467,0.003993115481675247,0.003973466715889273,0.003992438358559225,1.1644206840304927,1.1644206840304927
2008-12-05,1.1766748070011859,1.182409958213937,1.1768715089203399,0.010523793624377387,0.010472214556060289,0.010522016173321047,1.176674807001186,1.176674807001186
2008-12-12,1.2037480388036803,1.2094831900164313,1.2039447407228343,0.023008253122621003,0.02289665408720798,0.023004407530717863,1.2037480388036803,1.2037480388036803
2008-12-19,1.2125196892334669,1.218254840446218,1.2127163911526209,0.007286948885502742,0.007252395487751695,0.007285758335154213,1.2125196892334669,1.2125196892334669
2008-12-26,1.2070911599979615,1.2128263112107125,1.2072878619171155,-0.004477064812809073,-0.004455988234380426,-0.004476338635404975,1.2070911599979617,1.2070911599979617
2009-01-02,1.2068578760113415,1.2125930272240926,1.2070545779304955,-0.00019326128328234216,-0.00019234739918116972,-0.0001932297954603257,1.2068578760113415,1.2068578760113415
2009-01-09,1.203439055240982,1.209174206453733,1.203635757160136,-0.002832827989372566,-0.0028194296797054985,-0.002832366351007254,1.203439055240982,1.203439055240982
2009-01-16,1.1908606379261326,1.1965957891388836,1.1910573398452866,-0.01045206008569377,-0.010402485636655578,-0.010450351977351446,1.1908606379261326,1.1908606379261326
2009-01-23,1.1888445964810226,1.1945797476937736,1.1890412984001766,-0.001692928106701852,-0.0016848140896107422,-0.0016926485213314413,1.1888445964810226,1.1888445964810226
