cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256
0001378125,,,,,,accession_not_in_submissions,,
0000006769,APACHE CORP,energy,0001784031-22-000029,2022-11-04 00:00:00+00:00,,no_explicit_symbol_tag,apa-20220930.htm,d84ddce5b7859afe9ecb8eece74a86beb4a7ffbe3bc362c5a3684d3376da3486
0000008411,ATWOOD OCEANICS INC,energy,0000008411-17-000030,2017-08-04 00:00:00+00:00,,no_explicit_symbol_tag,atw-20170630x10q.htm,ad0cfafd932d8f2bbba84c98bcaac0f3c4caa8d6120edd1c3d1f64093a9234d5
0000029834,DOUBLE EAGLE PETROLEUM CO,energy,0001193125-12-458768,2012-11-09 00:00:00+00:00,,no_explicit_symbol_tag,d398861d10q.htm,3fef0ba3268a2a98bbc18d2d8e166eb75e1c7cb10310b561ce4a1f99b9433093
0000038079,SABINE OIL & GAS CORP,energy,0001558370-15-002518,2015-11-10 00:00:00+00:00,,no_explicit_symbol_tag,sogc-20150930x10q.htm,fdcbac47bd528781904ae0fd68ef715d1105d3ed36bb05ab2f0e234b42702bc7
0000041023,GEORESOURCES INC,energy,0001193125-12-346488,2012-08-10 00:00:00+00:00,,no_explicit_symbol_tag,d351628d10q.htm,69247f8625fa3f553892a462d5913da6807bdc55f864174dba947c404586fb6a
0000050104,ANDEAVOR,energy,0000050104-18-000181,2018-08-08 00:00:00+00:00,,no_explicit_symbol_tag,andv2q201810-q.htm,09dd0297740776049a9899a2b39a3f2fd2047fa3369f1425e1977ce8f3a7bada
0000064279,MCMORAN EXPLORATION CO /DE/,energy,0000064279-13-000016,2013-05-07 00:00:00+00:00,,no_explicit_symbol_tag,mmr1q13_10q.htm,7b58e40fcd7e2df485414b9323d79713b9871e155cd02192ecdbaecdbaa05eea
0000076321,PARKER DRILLING CO /DE/,energy,0000076321-20-000014,2020-03-05 00:00:00+00:00,,no_explicit_symbol_tag,q4-12312019x10k.htm,022feeb7a2971918bb36f93f8437169cf60ec8c8104021778b3effc3f6c5710a
0000085408,ROWAN COMPANIES PLC,energy,0000085408-19-000010,2019-02-28 00:00:00+00:00,,no_explicit_symbol_tag,rdc-12312018x10k.htm,2bcd706797b6bd1a2c42070c07ddb89cd771100604a30868e431ac7495bb91eb
0000095304,SUNOCO INC,energy,0001193125-12-332203,2012-08-03 00:00:00+00:00,,no_explicit_symbol_tag,d366684d10q.htm,ea13c15865704ae2905706643c08c3af1dd730aec2b998f6fd35641715906362
0000106455,WESTMORELAND COAL CO,energy,0000106455-18-000080,2018-11-02 00:00:00+00:00,,no_explicit_symbol_tag,q32018wlb.htm,d7002eaea9593e560ffd01dbe9284ad0b0b71fa4877dd0f25fc386249996528f
0000277595,ENERGEN CORP,energy,0000277595-18-000084,2018-11-09 00:00:00+00:00,,no_explicit_symbol_tag,egn9301810q.htm,da09231ae9951d822ea345e34c5240a519cce138e086f2b1f49d6addbab68751
0000277924,CREDO PETROLEUM CORP,energy,0001104659-12-062616,2012-09-11 00:00:00+00:00,,no_explicit_symbol_tag,a12-18519_110q.htm,50b496d71625f5510e81d1e9712a32e4615e2e56f8f772bae4f693112613b36e
0000311471,APCO OIL & GAS INTERNATIONAL INC,energy,0000311471-14-000013,2014-11-05 00:00:00+00:00,,no_explicit_symbol_tag,apco10q32014.htm,7a28a81b6a53c41849ab1a63fdedbfb7c8652c54e9425a006569a13034288c8a
0000314606,GEOKINETICS INC,energy,0001104659-12-075977,2012-11-09 00:00:00+00:00,,no_explicit_symbol_tag,a12-20058_110q.htm,cd0c1caeb3428c89471a7152b70c7ca1531ee52980e8e6f2f356efec6088cdb1
0000316300,EXCO RESOURCES INC,energy,0000316300-17-000038,2017-11-08 00:00:00+00:00,,no_explicit_symbol_tag,q32017-xco10q.htm,fc7cd329269f55f97683cd479fb24bcc7ea54b0f9d7affb9e940c6a5a6764eaf
0000318996,KEY ENERGY SERVICES INC,energy,0000318996-19-000025,2019-11-09 00:00:00+00:00,,no_explicit_symbol_tag,keg10-q9302019.htm,78dfa20a676e69dc1d84cbb7d0ebe9a7b1d2fece3c709a82b8e19c10209326a6
0000320575,PIONEER ENERGY SERVICES CORP,energy,0000320575-19-000053,2019-11-01 00:00:00+00:00,,no_explicit_symbol_tag,form10q-q32019.htm,08aba5abf179be97790832abdfb0c886031d80ea7935e1819706821e89b8c194
0000351231,DAWSON GEOPHYSICAL CO,energy,0001193125-15-037407,2015-02-07 00:00:00+00:00,,no_explicit_symbol_tag,d845949d10q.htm,ad836bda4b7a7a0369c38bd919197b57d085d267a79ff2c8815cb97a6e1b4285
0000709804,STEEL EXCEL INC.,energy,0000709804-16-000032,2016-03-12 00:00:00+00:00,,no_explicit_symbol_tag,sxcl1231201510-k.htm,be255866e2dd3d9bcc35754e7c29c9a7edf929773830e3c2a55334960aca972b
0000719209,ISRAMCO INC,energy,0001185185-19-001102,2019-08-10 00:00:00+00:00,,no_explicit_symbol_tag,isramco20190630_10q.htm,ec583eee09c2875027407759afde571029eb1adfc2e4a72ad1c3ce1ebb54f95f
0000750199,"EPL OIL & GAS, INC.",energy,0000750199-14-000026,2014-05-09 00:00:00+00:00,,no_explicit_symbol_tag,epl-20140331x10q.htm,bcac8467c73dc678abb830ae5b43b422bf5543f9514352ab8b304f99ef6b2d26
0000778438,BERRY PETROLEUM CO,energy,0000778438-13-000026,2013-10-25 00:00:00+00:00,,no_explicit_symbol_tag,a09302013form10-q.htm,69a453eb4f527d86cc99f235c310a470b07cbaef5d2d1070d3041865265bcb4b
0000785968,"MILLER ENERGY RESOURCES, INC.",energy,0000785968-15-000012,2015-03-13 00:00:00+00:00,,no_explicit_symbol_tag,a2015millq310q.htm,534a6f7b4f860b603a7886b37fac5a319b93da775e8b8f4bb0ae72bb60908f5b
0000798949,UNIT CORP,energy,0000798949-21-000003,2021-01-29 00:00:00+00:00,,no_explicit_symbol_tag,unt-20200930.htm,296b35a1c67a7acc9f35b2f181153b2364d15b33ff1be718b045853035de8962
0000799235,ERHC ENERGY INC,energy,0001140361-13-005405,2013-02-09 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,712e143a9c8e1327f8ef45c10147ba39330c6cecb88e2b735ef747b869769578
0000813779,CRIMSON EXPLORATION INC.,energy,0000813779-13-000021,2013-08-09 00:00:00+00:00,,no_explicit_symbol_tag,form10q.htm,70e8c6ab72c3518e2134d3ac8a688ef19cfea7c6c8416b2ea015d68b3bba06aa
0000837173,"WALTER ENERGY, INC.",energy,0000837173-15-000055,2015-11-06 00:00:00+00:00,,no_explicit_symbol_tag,a2015-q3x9302015x10q.htm,291206a23913ff72579026cb34d0708025b9021c01896fd697fd6eb0b647984d
0000845289,"HARVEST NATURAL RESOURCES, INC.",energy,0000845289-16-000037,2016-08-10 00:00:00+00:00,,no_explicit_symbol_tag,c289-20160630x10q.htm,187052932776e0028ea89b09484372430d0d23a68163ae1bc6734ad85eee0576
0000872248,PETROQUEST ENERGY INC,energy,0000872248-17-000031,2017-05-05 00:00:00+00:00,,no_explicit_symbol_tag,pq3311710q.htm,32caebd992601e7d0c07ba33249f9e405f33eed3352ed7c791eddcab31ce9c0a
0000880115,CLAYTON WILLIAMS ENERGY INC /DE,energy,0000880115-17-000006,2017-03-03 00:00:00+00:00,,no_explicit_symbol_tag,cwei-123116x10xk.htm,72765b1bc0ce78d3ffc316a9403e3e4b71374dbc615d5ccf52bfa036fe169a28
0000891456,PLAINS EXPLORATION & PRODUCTION CO,energy,0001193125-13-201832,2013-05-07 00:00:00+00:00,,no_explicit_symbol_tag,d524701d10q.htm,2a0069c380b7080cf270f471f365594ce6fdcc33ae013413835676b228fec68d
0000892986,WARREN RESOURCES INC,energy,0001104659-15-076987,2015-11-10 00:00:00+00:00,,no_explicit_symbol_tag,a15-17873_110q.htm,040cc084797ddfb332c3e698a38b2f51fb98ff13bf8857378c97329f45b2bbde
0000904080,STONE ENERGY CORP,energy,0000904080-18-000023,2018-05-08 00:00:00+00:00,,no_explicit_symbol_tag,sgy03311810-q.htm,630d335e47427ce0302a0d62c4c2df52af529ea9022276c33543648a18cdc3e9
0000907649,FX ENERGY INC,energy,0001038838-15-000167,2015-11-07 00:00:00+00:00,,no_explicit_symbol_tag,q093015.htm,356e6dd85cdf7c8513e90f15e2cbd4320d2faa569db55e543d090fc0ae818b0e
0000912750,NEWFIELD EXPLORATION CO /DE/,energy,0000912750-18-000027,2018-11-01 00:00:00+00:00,,no_explicit_symbol_tag,nfx2018q3-10q.htm,ef00fc88f53ce0bf82d71e3944fb394b457039f39e9067307ef18e6e8af31404
0000937136,HYPERDYNAMICS CORP,energy,0001104659-15-078308,2015-11-13 00:00:00+00:00,,no_explicit_symbol_tag,a15-20368_110q.htm,c9796bb5b3fccaf4391c09a3c5c30fd791404c5bef0136805f3be94278143311
