Date,Ticker,mom_13_4w,mom_26_4w,mom_39_4w,mom_52_4w,multi_mom_equal_observed,multi_mom_equal_score_observed,multi_mom_equal_score_tradable,multi_mom_invvol_observed,multi_mom_invvol_score_observed,multi_mom_invvol_score_tradable,asset_class
2005-02-04,LQD,,,,,,,,,,,Bonds
2005-02-04,SHY,,,,,,,,,,,Bonds
2005-02-04,IWM,,,,,,,,,,,Equities
2005-02-04,IAU,,,,,,,,,,,Commodities
2005-02-04,VWO,,,,,,,,,,,Equities
2005-02-04,USO,,,,,,,,,,,Commodities
2005-02-04,SLV,,,,,,,,,,,Commodities
2005-02-04,DBA,,,,,,,,,,,Commodities
2005-02-04,UUP,,,,,,,,,,,FX
2005-02-04,MBB,,,,,,,,,,,Bonds
2005-02-04,HYG,,,,,,,,,,,Bonds
2005-02-04,BIL,,,,,,,,,,,Bonds
2005-02-04,VEA,,,,,,,,,,,Equities
2005-02-04,PDBC,,,,,,,,,,,Commodities
2005-02-11,TIP,,,,,,,,,,,Bonds
2005-02-11,SPY,,,,,,,,,,,Equities
2005-02-11,XLV,,,,,,,,,,,Equities
2005-02-11,XLU,,,,,,,,,,,Equities
2005-02-11,XLP,,,,,,,,,,,Equities
2005-02-11,XLK,,,,,,,,,,,Equities
2005-02-11,XLI,,,,,,,,,,,Equities
2005-02-11,XLF,,,,,,,,,,,Equities
2005-02-11,XLE,,,,,,,,,,,Equities
2005-02-11,XLB,,,,,,,,,,,Equities
2005-02-11,VUG,,,,,,,,,,,Equities
2005-02-11,VTV,,,,,,,,,,,Equities
2005-02-11,VNQ,,,,,,,,,,,REITs
2005-02-11,TLT,,,,,,,,,,,Bonds
2005-02-11,XLY,,,,,,,,,,,Equities
2005-02-11,IEF,,,,,,,,,,,Bonds
2005-02-11,EEM,,,,,,,,,,,Equities
2005-02-11,QQQ,,,,,,,,,,,Equities
2005-02-11,EFA,,,,,,,,,,,Equities
2005-02-11,EWJ,,,,,,,,,,,Equities
2005-02-11,GLD,,,,,,,,,,,Commodities
2005-02-11,LQD,,,,,,,,,,,Bonds
2005-02-11,SHY,,,,,,,,,,,Bonds
2005-02-11,IWM,,,,,,,,,,,Equities
2005-02-11,IAU,,,,,,,,,,,Commodities
2005-02-11,VWO,,,,,,,,,,,Equities
2005-02-11,USO,,,,,,,,,,,Commodities
2005-02-11,SLV,,,,,,,,,,,Commodities
2005-02-11,DBA,,,,,,,,,,,Commodities
2005-02-11,UUP,,,,,,,,,,,FX
2005-02-11,MBB,,,,,,,,,,,Bonds
2005-02-11,HYG,,,,,,,,,,,Bonds
2005-02-11,BIL,,,,,,,,,,,Bonds
2005-02-11,VEA,,,,,,,,,,,Equities
2005-02-11,PDBC,,,,,,,,,,,Commodities
2005-02-18,TIP,,,,,,,,,,,Bonds
2005-02-18,SPY,,,,,,,,,,,Equities
2005-02-18,XLV,,,,,,,,,,,Equities
2005-02-18,XLU,,,,,,,,,,,Equities
2005-02-18,XLP,,,,,,,,,,,Equities
2005-02-18,XLK,,,,,,,,,,,Equities
2005-02-18,XLI,,,,,,,,,,,Equities
2005-02-18,XLF,,,,,,,,,,,Equities
2005-02-18,XLE,,,,,,,,,,,Equities
2005-02-18,XLB,,,,,,,,,,,Equities
2005-02-18,VUG,,,,,,,,,,,Equities
2005-02-18,VTV,,,,,,,,,,,Equities
2005-02-18,VNQ,,,,,,,,,,,REITs
2005-02-18,TLT,,,,,,,,,,,Bonds
2005-02-18,XLY,,,,,,,,,,,Equities
2005-02-18,IEF,,,,,,,,,,,Bonds
2005-02-18,EEM,,,,,,,,,,,Equities
2005-02-18,QQQ,,,,,,,,,,,Equities
2005-02-18,EFA,,,,,,,,,,,Equities
2005-02-18,EWJ,,,,,,,,,,,Equities
2005-02-18,GLD,,,,,,,,,,,Commodities
2005-02-18,LQD,,,,,,,,,,,Bonds
2005-02-18,SHY,,,,,,,,,,,Bonds
2005-02-18,IWM,,,,,,,,,,,Equities
2005-02-18,IAU,,,,,,,,,,,Commodities
2005-02-18,VWO,,,,,,,,,,,Equities
2005-02-18,USO,,,,,,,,,,,Commodities
2005-02-18,SLV,,,,,,,,,,,Commodities
2005-02-18,DBA,,,,,,,,,,,Commodities
2005-02-18,UUP,,,,,,,,,,,FX
2005-02-18,MBB,,,,,,,,,,,Bonds
2005-02-18,HYG,,,,,,,,,,,Bonds
2005-02-18,BIL,,,,,,,,,,,Bonds
2005-02-18,VEA,,,,,,,,,,,Equities
2005-02-18,PDBC,,,,,,,,,,,Commodities
2005-02-25,TIP,,,,,,,,,,,Bonds
2005-02-25,SPY,,,,,,,,,,,Equities
2005-02-25,XLV,,,,,,,,,,,Equities
2005-02-25,XLU,,,,,,,,,,,Equities
2005-02-25,XLP,,,,,,,,,,,Equities
2005-02-25,XLK,,,,,,,,,,,Equities
2005-02-25,XLI,,,,,,,,,,,Equities
2005-02-25,XLF,,,,,,,,,,,Equities
2005-02-25,XLE,,,,,,,,,,,Equities
2005-02-25,XLB,,,,,,,,,,,Equities
2005-02-25,VUG,,,,,,,,,,,Equities
2005-02-25,VTV,,,,,,,,,,,Equities
2005-02-25,VNQ,,,,,,,,,,,REITs
2005-02-25,TLT,,,,,,,,,,,Bonds
2005-02-25,XLY,,,,,,,,,,,Equities
2005-02-25,IEF,,,,,,,,,,,Bonds
2005-02-25,EEM,,,,,,,,,,,Equities
2005-02-25,QQQ,,,,,,,,,,,Equities
2005-02-25,EFA,,,,,,,,,,,Equities
2005-02-25,EWJ,,,,,,,,,,,Equities
2005-02-25,GLD,,,,,,,,,,,Commodities
2005-02-25,LQD,,,,,,,,,,,Bonds
2005-02-25,SHY,,,,,,,,,,,Bonds
2005-02-25,IWM,,,,,,,,,,,Equities
2005-02-25,IAU,,,,,,,,,,,Commodities
2005-02-25,VWO,,,,,,,,,,,Equities
2005-02-25,USO,,,,,,,,,,,Commodities
2005-02-25,SLV,,,,,,,,,,,Commodities
2005-02-25,DBA,,,,,,,,,,,Commodities
2005-02-25,UUP,,,,,,,,,,,FX
2005-02-25,MBB,,,,,,,,,,,Bonds
2005-02-25,HYG,,,,,,,,,,,Bonds
2005-02-25,BIL,,,,,,,,,,,Bonds
2005-02-25,VEA,,,,,,,,,,,Equities
2005-02-25,PDBC,,,,,,,,,,,Commodities
2005-03-04,TIP,,,,,,,,,,,Bonds
2005-03-04,SPY,,,,,,,,,,,Equities
2005-03-04,XLV,,,,,,,,,,,Equities
2005-03-04,XLU,,,,,,,,,,,Equities
2005-03-04,XLP,,,,,,,,,,,Equities
2005-03-04,XLK,,,,,,,,,,,Equities
2005-03-04,XLI,,,,,,,,,,,Equities
2005-03-04,XLF,,,,,,,,,,,Equities
2005-03-04,XLE,,,,,,,,,,,Equities
2005-03-04,XLB,,,,,,,,,,,Equities
2005-03-04,VUG,,,,,,,,,,,Equities
2005-03-04,VTV,,,,,,,,,,,Equities
2005-03-04,VNQ,,,,,,,,,,,REITs
2005-03-04,TLT,,,,,,,,,,,Bonds
2005-03-04,XLY,,,,,,,,,,,Equities
2005-03-04,IEF,,,,,,,,,,,Bonds
2005-03-04,EEM,,,,,,,,,,,Equities
2005-03-04,QQQ,,,,,,,,,,,Equities
2005-03-04,EFA,,,,,,,,,,,Equities
2005-03-04,EWJ,,,,,,,,,,,Equities
2005-03-04,GLD,,,,,,,,,,,Commodities
2005-03-04,LQD,,,,,,,,,,,Bonds
2005-03-04,SHY,,,,,,,,,,,Bonds
2005-03-04,IWM,,,,,,,,,,,Equities
2005-03-04,IAU,,,,,,,,,,,Commodities
2005-03-04,VWO,,,,,,,,,,,Equities
2005-03-04,USO,,,,,,,,,,,Commodities
2005-03-04,SLV,,,,,,,,,,,Commodities
2005-03-04,DBA,,,,,,,,,,,Commodities
2005-03-04,UUP,,,,,,,,,,,FX
2005-03-04,MBB,,,,,,,,,,,Bonds
2005-03-04,HYG,,,,,,,,,,,Bonds
2005-03-04,BIL,,,,,,,,,,,Bonds
2005-03-04,VEA,,,,,,,,,,,Equities
2005-03-04,PDBC,,,,,,,,,,,Commodities
2005-03-11,TIP,,,,,,,,,,,Bonds
2005-03-11,SPY,,,,,,,,,,,Equities
2005-03-11,XLV,,,,,,,,,,,Equities
2005-03-11,XLU,,,,,,,,,,,Equities
2005-03-11,XLP,,,,,,,,,,,Equities
2005-03-11,XLK,,,,,,,,,,,Equities
2005-03-11,XLI,,,,,,,,,,,Equities
2005-03-11,XLF,,,,,,,,,,,Equities
2005-03-11,XLE,,,,,,,,,,,Equities
2005-03-11,XLB,,,,,,,,,,,Equities
2005-03-11,VUG,,,,,,,,,,,Equities
2005-03-11,VTV,,,,,,,,,,,Equities
2005-03-11,VNQ,,,,,,,,,,,REITs
2005-03-11,TLT,,,,,,,,,,,Bonds
2005-03-11,XLY,,,,,,,,,,,Equities
2005-03-11,IEF,,,,,,,,,,,Bonds
2005-03-11,EEM,,,,,,,,,,,Equities
2005-03-11,QQQ,,,,,,,,,,,Equities
2005-03-11,EFA,,,,,,,,,,,Equities
2005-03-11,EWJ,,,,,,,,,,,Equities
2005-03-11,GLD,,,,,,,,,,,Commodities
2005-03-11,LQD,,,,,,,,,,,Bonds
2005-03-11,SHY,,,,,,,,,,,Bonds
2005-03-11,IWM,,,,,,,,,,,Equities
2005-03-11,IAU,,,,,,,,,,,Commodities
2005-03-11,VWO,,,,,,,,,,,Equities
2005-03-11,USO,,,,,,,,,,,Commodities
2005-03-11,SLV,,,,,,,,,,,Commodities
2005-03-11,DBA,,,,,,,,,,,Commodities
2005-03-11,UUP,,,,,,,,,,,FX
2005-03-11,MBB,,,,,,,,,,,Bonds
2005-03-11,HYG,,,,,,,,,,,Bonds
2005-03-11,BIL,,,,,,,,,,,Bonds
2005-03-11,VEA,,,,,,,,,,,Equities
2005-03-11,PDBC,,,,,,,,,,,Commodities
2005-03-18,TIP,,,,,,,,,,,Bonds
2005-03-18,SPY,,,,,,,,,,,Equities
2005-03-18,XLV,,,,,,,,,,,Equities
2005-03-18,XLU,,,,,,,,,,,Equities
2005-03-18,XLP,,,,,,,,,,,Equities
2005-03-18,XLK,,,,,,,,,,,Equities
2005-03-18,XLI,,,,,,,,,,,Equities
2005-03-18,XLF,,,,,,,,,,,Equities
2005-03-18,XLE,,,,,,,,,,,Equities
2005-03-18,XLB,,,,,,,,,,,Equities
2005-03-18,VUG,,,,,,,,,,,Equities
2005-03-18,VTV,,,,,,,,,,,Equities
2005-03-18,VNQ,,,,,,,,,,,REITs
2005-03-18,TLT,,,,,,,,,,,Bonds
2005-03-18,XLY,,,,,,,,,,,Equities
2005-03-18,IEF,,,,,,,,,,,Bonds
2005-03-18,EEM,,,,,,,,,,,Equities
2005-03-18,QQQ,,,,,,,,,,,Equities
2005-03-18,EFA,,,,,,,,,,,Equities
2005-03-18,EWJ,,,,,,,,,,,Equities
2005-03-18,GLD,,,,,,,,,,,Commodities
2005-03-18,LQD,,,,,,,,,,,Bonds
2005-03-18,SHY,,,,,,,,,,,Bonds
2005-03-18,IWM,,,,,,,,,,,Equities
2005-03-18,IAU,,,,,,,,,,,Commodities
2005-03-18,VWO,,,,,,,,,,,Equities
2005-03-18,USO,,,,,,,,,,,Commodities
2005-03-18,SLV,,,,,,,,,,,Commodities
2005-03-18,DBA,,,,,,,,,,,Commodities
2005-03-18,UUP,,,,,,,,,,,FX
2005-03-18,MBB,,,,,,,,,,,Bonds
2005-03-18,HYG,,,,,,,,,,,Bonds
2005-03-18,BIL,,,,,,,,,,,Bonds
2005-03-18,VEA,,,,,,,,,,,Equities
2005-03-18,PDBC,,,,,,,,,,,Commodities
2005-03-25,TIP,,,,,,,,,,,Bonds
2005-03-25,SPY,,,,,,,,,,,Equities
2005-03-25,XLV,,,,,,,,,,,Equities
2005-03-25,XLU,,,,,,,,,,,Equities
2005-03-25,XLP,,,,,,,,,,,Equities
2005-03-25,XLK,,,,,,,,,,,Equities
2005-03-25,XLI,,,,,,,,,,,Equities
2005-03-25,XLF,,,,,,,,,,,Equities
2005-03-25,XLE,,,,,,,,,,,Equities
2005-03-25,XLB,,,,,,,,,,,Equities
2005-03-25,VUG,,,,,,,,,,,Equities
2005-03-25,VTV,,,,,,,,,,,Equities
2005-03-25,VNQ,,,,,,,,,,,REITs
2005-03-25,TLT,,,,,,,,,,,Bonds
2005-03-25,XLY,,,,,,,,,,,Equities
2005-03-25,IEF,,,,,,,,,,,Bonds
2005-03-25,EEM,,,,,,,,,,,Equities
2005-03-25,QQQ,,,,,,,,,,,Equities
2005-03-25,EFA,,,,,,,,,,,Equities
2005-03-25,EWJ,,,,,,,,,,,Equities
2005-03-25,GLD,,,,,,,,,,,Commodities
2005-03-25,LQD,,,,,,,,,,,Bonds
2005-03-25,SHY,,,,,,,,,,,Bonds
2005-03-25,IWM,,,,,,,,,,,Equities
2005-03-25,IAU,,,,,,,,,,,Commodities
2005-03-25,VWO,,,,,,,,,,,Equities
2005-03-25,USO,,,,,,,,,,,Commodities
2005-03-25,SLV,,,,,,,,,,,Commodities
2005-03-25,DBA,,,,,,,,,,,Commodities
2005-03-25,UUP,,,,,,,,,,,FX
2005-03-25,MBB,,,,,,,,,,,Bonds
2005-03-25,HYG,,,,,,,,,,,Bonds
2005-03-25,BIL,,,,,,,,,,,Bonds
2005-03-25,VEA,,,,,,,,,,,Equities
2005-03-25,PDBC,,,,,,,,,,,Commodities
2005-04-01,TIP,,,,,,,,,,,Bonds
2005-04-01,SPY,,,,,,,,,,,Equities
2005-04-01,XLV,,,,,,,,,,,Equities
2005-04-01,XLU,,,,,,,,,,,Equities
2005-04-01,XLP,,,,,,,,,,,Equities
2005-04-01,XLK,,,,,,,,,,,Equities
2005-04-01,XLI,,,,,,,,,,,Equities
2005-04-01,XLF,,,,,,,,,,,Equities
2005-04-01,XLE,,,,,,,,,,,Equities
2005-04-01,XLB,,,,,,,,,,,Equities
2005-04-01,VUG,,,,,,,,,,,Equities
2005-04-01,VTV,,,,,,,,,,,Equities
2005-04-01,VNQ,,,,,,,,,,,REITs
2005-04-01,TLT,,,,,,,,,,,Bonds
2005-04-01,XLY,,,,,,,,,,,Equities
2005-04-01,IEF,,,,,,,,,,,Bonds
2005-04-01,EEM,,,,,,,,,,,Equities
2005-04-01,QQQ,,,,,,,,,,,Equities
2005-04-01,EFA,,,,,,,,,,,Equities
2005-04-01,EWJ,,,,,,,,,,,Equities
2005-04-01,GLD,,,,,,,,,,,Commodities
2005-04-01,LQD,,,,,,,,,,,Bonds
2005-04-01,SHY,,,,,,,,,,,Bonds
2005-04-01,IWM,,,,,,,,,,,Equities
2005-04-01,IAU,,,,,,,,,,,Commodities
2005-04-01,VWO,,,,,,,,,,,Equities
2005-04-01,USO,,,,,,,,,,,Commodities
2005-04-01,SLV,,,,,,,,,,,Commodities
2005-04-01,DBA,,,,,,,,,,,Commodities
2005-04-01,UUP,,,,,,,,,,,FX
2005-04-01,MBB,,,,,,,,,,,Bonds
2005-04-01,HYG,,,,,,,,,,,Bonds
2005-04-01,BIL,,,,,,,,,,,Bonds
2005-04-01,VEA,,,,,,,,,,,Equities
2005-04-01,PDBC,,,,,,,,,,,Commodities
2005-04-08,TIP,-0.00161988159073434,,,,,,,,,,Bonds
2005-04-08,SPY,0.0164642677656619,,,,,,,,,,Equities
2005-04-08,XLV,0.015126289427637385,,,,,,,,,,Equities
2005-04-08,XLU,0.08133144942559545,,,,,,,,,,Equities
2005-04-08,XLP,0.006493786796535783,,,,,,,,,,Equities
2005-04-08,XLK,-0.02738415399320704,,,,,,,,,,Equities
2005-04-08,XLI,0.02817295385823959,,,,,,,,,,Equities
2005-04-08,XLF,-0.012637248982128368,,,,,,,,,,Equities
2005-04-08,XLE,0.22390611040463337,,,,,,,,,,Equities
2005-04-08,XLB,0.09290183318951728,,,,,,,,,,Equities
2005-04-08,VUG,0.004991037814792376,,,,,,,,,,Equities
2005-04-08,VTV,0.03224012135112808,,,,,,,,,,Equities
2005-04-08,VNQ,-0.00934408264792419,,,,,,,,,,REITs
2005-04-08,TLT,0.005679057936532672,,,,,,,,,,Bonds
2005-04-08,XLY,-0.017186337371351113,,,,,,,,,,Equities
2005-04-08,IEF,-0.013296586058049398,,,,,,,,,,Bonds
2005-04-08,EEM,0.12592014457506662,,,,,,,,,,Equities
2005-04-08,QQQ,-0.035797625644516606,,,,,,,,,,Equities
2005-04-08,EFA,0.06441221234173833,,,,,,,,,,Equities
2005-04-08,EWJ,0.048387317727682344,,,,,,,,,,Equities
2005-04-08,GLD,0.06190248908083951,,,,,,,,,,Commodities
2005-04-08,LQD,-0.007293332287901633,,,,,,,,,,Bonds
2005-04-08,SHY,-0.0026647833032278356,,,,,,,,,,Bonds
2005-04-08,IWM,0.02642344958158782,,,,,,,,,,Equities
2005-04-08,IAU,,,,,,,,,,,Commodities
2005-04-08,VWO,,,,,,,,,,,Equities
2005-04-08,USO,,,,,,,,,,,Commodities
2005-04-08,SLV,,,,,,,,,,,Commodities
2005-04-08,DBA,,,,,,,,,,,Commodities
2005-04-08,UUP,,,,,,,,,,,FX
2005-04-08,MBB,,,,,,,,,,,Bonds
2005-04-08,HYG,,,,,,,,,,,Bonds
2005-04-08,BIL,,,,,,,,,,,Bonds
2005-04-08,VEA,,,,,,,,,,,Equities
2005-04-08,PDBC,,,,,,,,,,,Commodities
2005-04-15,TIP,-0.0031106493825602266,,,,,,,,,,Bonds
2005-04-15,SPY,0.006474623896105314,,,,,,,,,,Equities
2005-04-15,XLV,0.0003678123565606928,,,,,,,,,,Equities
2005-04-15,XLU,0.06647302695686252,,,,,,,,,,Equities
2005-04-15,XLP,-0.002772514790055025,,,,,,,,,,Equities
2005-04-15,XLK,-0.038081254041326784,,,,,,,,,,Equities
2005-04-15,XLI,0.0198446471710374,,,,,,,,,,Equities
2005-04-15,XLF,-0.020704730971564,,,,,,,,,,Equities
2005-04-15,XLE,0.20476629561752224,,,,,,,,,,Equities
2005-04-15,XLB,0.06970943928187401,,,,,,,,,,Equities
2005-04-15,VUG,-0.010971692735409322,,,,,,,,,,Equities
2005-04-15,VTV,0.028208245034967883,,,,,,,,,,Equities
2005-04-15,VNQ,0.003947084627218489,,,,,,,,,,REITs
2005-04-15,TLT,-0.009820807004983334,,,,,,,,,,Bonds
2005-04-15,XLY,-0.030202461747114606,,,,,,,,,,Equities
2005-04-15,IEF,-0.01599667711326269,,,,,,,,,,Bonds
2005-04-15,EEM,0.06773592922872629,,,,,,,,,,Equities
2005-04-15,QQQ,-0.049960846754043886,,,,,,,,,,Equities
2005-04-15,EFA,0.04523355781947691,,,,,,,,,,Equities
2005-04-15,EWJ,0.007373091619885974,,,,,,,,,,Equities
2005-04-15,GLD,0.03709829173312196,,,,,,,,,,Commodities
2005-04-15,LQD,-0.018602784121556803,,,,,,,,,,Bonds
2005-04-15,SHY,-0.0027854863950389497,,,,,,,,,,Bonds
2005-04-15,IWM,0.007404754347461795,,,,,,,,,,Equities
2005-04-15,IAU,,,,,,,,,,,Commodities
2005-04-15,VWO,,,,,,,,,,,Equities
2005-04-15,USO,,,,,,,,,,,Commodities
2005-04-15,SLV,,,,,,,,,,,Commodities
2005-04-15,DBA,,,,,,,,,,,Commodities
2005-04-15,UUP,,,,,,,,,,,FX
2005-04-15,MBB,,,,,,,,,,,Bonds
2005-04-15,HYG,,,,,,,,,,,Bonds
2005-04-15,BIL,,,,,,,,,,,Bonds
