Date,Ticker,ma_13w_observed,ma_52w_observed,moving_average_distance_observed,moving_average_distance_tradable,moving_average_distance_score_observed,moving_average_distance_score_tradable,asset_class
2005-02-11,EFA,,,,,,,Equities
2005-02-11,EWJ,,,,,,,Equities
2005-02-11,GLD,,,,,,,Commodities
2005-02-11,LQD,,,,,,,Bonds
2005-02-11,SHY,,,,,,,Bonds
2005-02-11,IWM,,,,,,,Equities
2005-02-11,IAU,,,,,,,Commodities
2005-02-11,VWO,,,,,,,Equities
2005-02-11,USO,,,,,,,Commodities
2005-02-11,SLV,,,,,,,Commodities
2005-02-11,DBA,,,,,,,Commodities
2005-02-11,UUP,,,,,,,FX
2005-02-11,MBB,,,,,,,Bonds
2005-02-11,HYG,,,,,,,Bonds
2005-02-11,BIL,,,,,,,Bonds
2005-02-11,VEA,,,,,,,Equities
2005-02-11,PDBC,,,,,,,Commodities
2005-02-18,TIP,,,,,,,Bonds
2005-02-18,SPY,,,,,,,Equities
2005-02-18,XLV,,,,,,,Equities
2005-02-18,XLU,,,,,,,Equities
2005-02-18,XLP,,,,,,,Equities
2005-02-18,XLK,,,,,,,Equities
2005-02-18,XLI,,,,,,,Equities
2005-02-18,XLF,,,,,,,Equities
2005-02-18,XLE,,,,,,,Equities
2005-02-18,XLB,,,,,,,Equities
2005-02-18,VUG,,,,,,,Equities
2005-02-18,VTV,,,,,,,Equities
2005-02-18,VNQ,,,,,,,REITs
2005-02-18,TLT,,,,,,,Bonds
2005-02-18,XLY,,,,,,,Equities
2005-02-18,IEF,,,,,,,Bonds
2005-02-18,EEM,,,,,,,Equities
2005-02-18,QQQ,,,,,,,Equities
2005-02-18,EFA,,,,,,,Equities
2005-02-18,EWJ,,,,,,,Equities
2005-02-18,GLD,,,,,,,Commodities
2005-02-18,LQD,,,,,,,Bonds
2005-02-18,SHY,,,,,,,Bonds
2005-02-18,IWM,,,,,,,Equities
2005-02-18,IAU,,,,,,,Commodities
2005-02-18,VWO,,,,,,,Equities
2005-02-18,USO,,,,,,,Commodities
2005-02-18,SLV,,,,,,,Commodities
2005-02-18,DBA,,,,,,,Commodities
2005-02-18,UUP,,,,,,,FX
2005-02-18,MBB,,,,,,,Bonds
2005-02-18,HYG,,,,,,,Bonds
2005-02-18,BIL,,,,,,,Bonds
2005-02-18,VEA,,,,,,,Equities
2005-02-18,PDBC,,,,,,,Commodities
2005-02-25,TIP,55.24710178375244,,,,,,Bonds
2005-02-25,SPY,80.64887809753418,,,,,,Equities
2005-02-25,XLV,20.82235813140869,,,,,,Equities
2005-02-25,XLU,6.8184139132499695,,,,,,Equities
2005-02-25,XLP,13.441673398017883,,,,,,Equities
2005-02-25,XLK,7.6876630783081055,,,,,,Equities
2005-02-25,XLI,20.185781240463257,,,,,,Equities
2005-02-25,XLF,15.892940163612366,,,,,,Equities
2005-02-25,XLE,10.626877427101135,,,,,,Equities
2005-02-25,XLB,9.27199637889862,,,,,,Equities
2005-02-25,VUG,40.253117084503174,,,,,,Equities
2005-02-25,VTV,31.125855207443237,,,,,,Equities
2005-02-25,VNQ,21.58620023727417,,,,,,REITs
2005-02-25,TLT,45.811842918395996,,,,,,Bonds
2005-02-25,XLY,13.075006484985352,,,,,,Equities
2005-02-25,IEF,48.42006158828735,,,,,,Bonds
2005-02-25,EEM,14.843084812164307,,,,,,Equities
2005-02-25,QQQ,32.09489583969116,,,,,,Equities
2005-02-25,EFA,28.789002180099487,,,,,,Equities
2005-02-25,EWJ,30.21168541908264,,,,,,Equities
2005-02-25,GLD,42.42375040054321,,,,,,Commodities
2005-02-25,LQD,47.871750831604004,,,,,,Bonds
2005-02-25,SHY,54.369895935058594,,,,,,Bonds
2005-02-25,IWM,46.89569616317749,,,,,,Equities
2005-02-25,IAU,,,,,,,Commodities
2005-02-25,VWO,,,,,,,Equities
2005-02-25,USO,,,,,,,Commodities
2005-02-25,SLV,,,,,,,Commodities
2005-02-25,DBA,,,,,,,Commodities
2005-02-25,UUP,,,,,,,FX
2005-02-25,MBB,,,,,,,Bonds
2005-02-25,HYG,,,,,,,Bonds
2005-02-25,BIL,,,,,,,Bonds
2005-02-25,VEA,,,,,,,Equities
2005-02-25,PDBC,,,,,,,Commodities
2005-03-04,TIP,55.256727854410805,,,,,,Bonds
2005-03-04,SPY,80.9131842719184,,,,,,Equities
2005-03-04,XLV,20.885458416408962,,,,,,Equities
2005-03-04,XLU,6.855317857530382,,,,,,Equities
2005-03-04,XLP,13.466222233242458,,,,,,Equities
2005-03-04,XLK,7.690057542588976,,,,,,Equities
2005-03-04,XLI,20.2603333791097,,,,,,Equities
2005-03-04,XLF,15.907679345872667,,,,,,Equities
2005-03-04,XLE,10.81211026509603,,,,,,Equities
2005-03-04,XLB,9.358841684129503,,,,,,Equities
2005-03-04,VUG,40.34776306152344,,,,,,Equities
2005-03-04,VTV,31.256825553046333,,,,,,Equities
2005-03-04,VNQ,21.64643563164605,,,,,,REITs
2005-03-04,TLT,45.80654949612088,,,,,,Bonds
2005-03-04,XLY,13.085903697543674,,,,,,Equities
2005-03-04,IEF,48.383538987901474,,,,,,Bonds
2005-03-04,EEM,14.979203754001194,,,,,,Equities
2005-03-04,QQQ,32.08057657877604,,,,,,Equities
2005-03-04,EFA,28.941556294759113,,,,,,Equities
2005-03-04,EWJ,30.319768057929146,,,,,,Equities
2005-03-04,GLD,42.53000047471788,,,,,,Commodities
2005-03-04,LQD,47.85115602281358,,,,,,Bonds
2005-03-04,SHY,54.361143324110245,,,,,,Bonds
2005-03-04,IWM,47.075873904758026,,,,,,Equities
2005-03-04,IAU,,,,,,,Commodities
2005-03-04,VWO,,,,,,,Equities
2005-03-04,USO,,,,,,,Commodities
2005-03-04,SLV,,,,,,,Commodities
2005-03-04,DBA,,,,,,,Commodities
2005-03-04,UUP,,,,,,,FX
2005-03-04,MBB,,,,,,,Bonds
2005-03-04,HYG,,,,,,,Bonds
2005-03-04,BIL,,,,,,,Bonds
2005-03-04,VEA,,,,,,,Equities
2005-03-04,PDBC,,,,,,,Commodities
2005-03-11,TIP,55.193856430053714,,,,,,Bonds
2005-03-11,SPY,80.96632766723633,,,,,,Equities
2005-03-11,XLV,20.904534339904785,,,,,,Equities
2005-03-11,XLU,6.873770046234131,,,,,,Equities
2005-03-11,XLP,13.458225727081299,,,,,,Equities
2005-03-11,XLK,7.683160448074341,,,,,,Equities
2005-03-11,XLI,20.305285835266112,,,,,,Equities
2005-03-11,XLF,15.892408466339111,,,,,,Equities
2005-03-11,XLE,10.902274227142334,,,,,,Equities
2005-03-11,XLB,9.410398578643798,,,,,,Equities
2005-03-11,VUG,40.35838928222656,,,,,,Equities
2005-03-11,VTV,31.308257865905762,,,,,,Equities
2005-03-11,VNQ,21.620391654968262,,,,,,REITs
2005-03-11,TLT,45.69714508056641,,,,,,Bonds
2005-03-11,XLY,13.075005912780762,,,,,,Equities
2005-03-11,IEF,48.28476486206055,,,,,,Bonds
2005-03-11,EEM,15.052958488464355,,,,,,Equities
2005-03-11,QQQ,32.0393045425415,,,,,,Equities
2005-03-11,EFA,29.054500579833984,,,,,,Equities
2005-03-11,EWJ,30.426115036010742,,,,,,Equities
2005-03-11,GLD,42.720000457763675,,,,,,Commodities
2005-03-11,LQD,47.779870223999026,,,,,,Bonds
2005-03-11,SHY,54.344750595092776,,,,,,Bonds
2005-03-11,IWM,47.083915328979494,,,,,,Equities
2005-03-11,IAU,,,,,,,Commodities
2005-03-11,VWO,,,,,,,Equities
2005-03-11,USO,,,,,,,Commodities
2005-03-11,SLV,,,,,,,Commodities
2005-03-11,DBA,,,,,,,Commodities
2005-03-11,UUP,,,,,,,FX
2005-03-11,MBB,,,,,,,Bonds
2005-03-11,HYG,,,,,,,Bonds
2005-03-11,BIL,,,,,,,Bonds
2005-03-11,VEA,,,,,,,Equities
2005-03-11,PDBC,,,,,,,Commodities
2005-03-18,TIP,55.17378373579545,,,,,,Bonds
2005-03-18,SPY,80.92466735839844,,,,,,Equities
2005-03-18,XLV,20.887207898226652,,,,,,Equities
2005-03-18,XLU,6.891740452159535,,,,,,Equities
2005-03-18,XLP,13.445177511735396,,,,,,Equities
2005-03-18,XLK,7.662191217595881,,,,,,Equities
2005-03-18,XLI,20.321863521229137,,,,,,Equities
2005-03-18,XLF,15.852621165188877,,,,,,Equities
2005-03-18,XLE,11.004054936495693,,,,,,Equities
2005-03-18,XLB,9.439034548672764,,,,,,Equities
2005-03-18,VUG,40.31155985051935,,,,,,Equities
2005-03-18,VTV,31.332087776877664,,,,,,Equities
2005-03-18,VNQ,21.613752711902965,,,,,,REITs
2005-03-18,TLT,45.6186637878418,,,,,,Bonds
2005-03-18,XLY,13.056569532914596,,,,,,Equities
2005-03-18,IEF,48.221566980535336,,,,,,Bonds
2005-03-18,EEM,15.074001225558193,,,,,,Equities
2005-03-18,QQQ,31.954416621815074,,,,,,Equities
2005-03-18,EFA,29.11580935391513,,,,,,Equities
2005-03-18,EWJ,30.482142188332297,,,,,,Equities
2005-03-18,GLD,42.82636399702592,,,,,,Commodities
2005-03-18,LQD,47.69585210626776,,,,,,Bonds
2005-03-18,SHY,54.33316698941317,,,,,,Bonds
2005-03-18,IWM,47.046625657515094,,,,,,Equities
2005-03-18,IAU,8.61424994468689,,,,,,Commodities
2005-03-18,VWO,,,,,,,Equities
2005-03-18,USO,,,,,,,Commodities
2005-03-18,SLV,,,,,,,Commodities
2005-03-18,DBA,,,,,,,Commodities
2005-03-18,UUP,,,,,,,FX
2005-03-18,MBB,,,,,,,Bonds
2005-03-18,HYG,,,,,,,Bonds
2005-03-18,BIL,,,,,,,Bonds
2005-03-18,VEA,,,,,,,Equities
2005-03-18,PDBC,,,,,,,Commodities
2005-03-25,TIP,55.119592348734535,,,,,,Bonds
2005-03-25,SPY,80.81071281433105,,,,,,Equities
2005-03-25,XLV,20.885607560475666,,,,,,Equities
2005-03-25,XLU,6.897824088732402,,,,,,Equities
2005-03-25,XLP,13.428521712621054,,,,,,Equities
2005-03-25,XLK,7.642162402470906,,,,,,Equities
2005-03-25,XLI,20.329536120096844,,,,,,Equities
2005-03-25,XLF,15.780787944793701,,,,,,Equities
2005-03-25,XLE,11.048826694488525,,,,,,Equities
2005-03-25,XLB,9.447651227315268,,,,,,Equities
2005-03-25,VUG,40.262524922688804,,,,,,Equities
2005-03-25,VTV,31.300116221110027,,,,,,Equities
2005-03-25,VNQ,21.564690907796223,,,,,,REITs
2005-03-25,TLT,45.5364096959432,,,,,,Bonds
2005-03-25,XLY,13.0251571337382,,,,,,Equities
2005-03-25,IEF,48.14752801259359,,,,,,Bonds
2005-03-25,EEM,15.032970746358236,,,,,,Equities
2005-03-25,QQQ,31.866638501485188,,,,,,Equities
2005-03-25,EFA,29.10517962773641,,,,,,Equities
2005-03-25,EWJ,30.476763407389324,,,,,,Equities
2005-03-25,GLD,42.79000027974447,,,,,,Commodities
2005-03-25,LQD,47.60728073120117,,,,,,Bonds
2005-03-25,SHY,54.31904379526774,,,,,,Bonds
2005-03-25,IWM,46.979421615600586,,,,,,Equities
2005-03-25,IAU,8.600888888041178,,,,,,Commodities
2005-03-25,VWO,,,,,,,Equities
2005-03-25,USO,,,,,,,Commodities
2005-03-25,SLV,,,,,,,Commodities
2005-03-25,DBA,,,,,,,Commodities
2005-03-25,UUP,,,,,,,FX
2005-03-25,MBB,,,,,,,Bonds
2005-03-25,HYG,,,,,,,Bonds
2005-03-25,BIL,,,,,,,Bonds
2005-03-25,VEA,,,,,,,Equities
2005-03-25,PDBC,,,,,,,Commodities
2005-04-01,TIP,55.12068205613356,,,,,,Bonds
2005-04-01,SPY,80.7294423029973,,,,,,Equities
2005-04-01,XLV,20.8734801365779,,,,,,Equities
2005-04-01,XLU,6.912858632894663,,,,,,Equities
2005-04-01,XLP,13.409536435053898,,,,,,Equities
2005-04-01,XLK,7.625804277566763,,,,,,Equities
2005-04-01,XLI,20.319021518413837,,,,,,Equities
2005-04-01,XLF,15.715901888333834,,,,,,Equities
2005-04-01,XLE,11.126843599172739,,,,,,Equities
2005-04-01,XLB,9.450574434720552,,,,,,Equities
2005-04-01,VUG,40.20492524367113,,,,,,Equities
2005-04-01,VTV,31.29169566814716,,,,,,Equities
2005-04-01,VNQ,21.534170004037712,,,,,,REITs
2005-04-01,TLT,45.51974868774414,,,,,,Bonds
2005-04-01,XLY,12.997985546405499,,,,,,Equities
2005-04-01,IEF,48.12169705904447,,,,,,Bonds
2005-04-01,EEM,15.020628415621244,,,,,,Equities
2005-04-01,QQQ,31.787775919987606,,,,,,Equities
2005-04-01,EFA,29.084987346942608,,,,,,Equities
2005-04-01,EWJ,30.41759520310622,,,,,,Equities
2005-04-01,GLD,42.77692325298603,,,,,,Commodities
2005-04-01,LQD,47.55837015005258,,,,,,Bonds
2005-04-01,SHY,54.316905095027046,,,,,,Bonds
2005-04-01,IWM,46.909155919001655,,,,,,Equities
2005-04-01,IAU,8.593400001525879,,,,,,Commodities
2005-04-01,VWO,,,,,,,Equities
2005-04-01,USO,,,,,,,Commodities
2005-04-01,SLV,,,,,,,Commodities
2005-04-01,DBA,,,,,,,Commodities
2005-04-01,UUP,,,,,,,FX
2005-04-01,MBB,,,,,,,Bonds
2005-04-01,HYG,,,,,,,Bonds
2005-04-01,BIL,,,,,,,Bonds
2005-04-01,VEA,,,,,,,Equities
2005-04-01,PDBC,,,,,,,Commodities
2005-04-08,TIP,55.13582904522236,,,,,,Bonds
2005-04-08,SPY,80.73066652738132,,,,,,Equities
2005-04-08,XLV,20.917173238900993,,,,,,Equities
2005-04-08,XLU,6.961429926065298,,,,,,Equities
2005-04-08,XLP,13.413342989408052,,,,,,Equities
2005-04-08,XLK,7.60045678798969,,,,,,Equities
2005-04-08,XLI,20.326510796180138,,,,,,Equities
2005-04-08,XLF,15.650622514578012,,,,,,Equities
2005-04-08,XLE,11.29299706679124,,,,,,Equities
2005-04-08,XLB,9.48329573411208,,,,,,Equities
2005-04-08,VUG,40.173451350285454,,,,,,Equities
2005-04-08,VTV,31.332690752469578,,,,,,Equities
2005-04-08,VNQ,21.506588275615986,,,,,,REITs
2005-04-08,TLT,45.572221315824066,,,,,,Bonds
2005-04-08,XLY,12.958252906799316,,,,,,Equities
2005-04-08,IEF,48.10412157498873,,,,,,Bonds
2005-04-08,EEM,15.115011875446026,,,,,,Equities
2005-04-08,QQQ,31.66260161766639,,,,,,Equities
2005-04-08,EFA,29.158476169292744,,,,,,Equities
2005-04-08,EWJ,30.426334381103516,,,,,,Equities
2005-04-08,GLD,42.842307750995346,,,,,,Commodities
2005-04-08,LQD,47.499053074763374,,,,,,Bonds
2005-04-08,SHY,54.31506699782152,,,,,,Bonds
2005-04-08,IWM,46.90876183143029,,,,,,Equities
2005-04-08,IAU,8.588181842457164,,,,,,Commodities
2005-04-08,VWO,,,,,,,Equities
2005-04-08,USO,,,,,,,Commodities
2005-04-08,SLV,,,,,,,Commodities
2005-04-08,DBA,,,,,,,Commodities
2005-04-08,UUP,,,,,,,FX
2005-04-08,MBB,,,,,,,Bonds
2005-04-08,HYG,,,,,,,Bonds
2005-04-08,BIL,,,,,,,Bonds
2005-04-08,VEA,,,,,,,Equities
2005-04-08,PDBC,,,,,,,Commodities
2005-04-15,TIP,55.18056018535908,,,,,,Bonds
2005-04-15,SPY,80.54115764911359,,,,,,Equities
2005-04-15,XLV,20.98347678551307,,,,,,Equities
2005-04-15,XLU,6.992536728198711,,,,,,Equities
2005-04-15,XLP,13.402934514559233,,,,,,Equities
2005-04-15,XLK,7.548877092508169,,,,,,Equities
2005-04-15,XLI,20.273172818697414,,,,,,Equities
2005-04-15,XLF,15.574602860670824,,,,,,Equities
2005-04-15,XLE,11.364624757033129,,,,,,Equities
2005-04-15,XLB,9.451728600722094,,,,,,Equities
2005-04-15,VUG,40.04347434410682,,,,,,Equities
2005-04-15,VTV,31.30399968073918,,,,,,Equities
2005-04-15,VNQ,21.51060984684871,,,,,,REITs
2005-04-15,TLT,45.64528010441707,,,,,,Bonds
2005-04-15,XLY,12.86964174417349,,,,,,Equities
2005-04-15,IEF,48.12726299579327,,,,,,Bonds
2005-04-15,EEM,15.109123376699594,,,,,,Equities
2005-04-15,QQQ,31.42077328608586,,,,,,Equities
2005-04-15,EFA,29.151056876549355,,,,,,Equities
2005-04-15,EWJ,30.255927892831657,,,,,,Equities
2005-04-15,GLD,42.84846173799955,,,,,,Commodities
2005-04-15,LQD,47.456173823429985,,,,,,Bonds
2005-04-15,SHY,54.33031258216271,,,,,,Bonds
2005-04-15,IWM,46.71361365685096,,,,,,Equities
2005-04-15,IAU,8.580333391825357,,,,,,Commodities
2005-04-15,VWO,,,,,,,Equities
2005-04-15,USO,,,,,,,Commodities
2005-04-15,SLV,,,,,,,Commodities
2005-04-15,DBA,,,,,,,Commodities
2005-04-15,UUP,,,,,,,FX
2005-04-15,MBB,,,,,,,Bonds
2005-04-15,HYG,,,,,,,Bonds
2005-04-15,BIL,,,,,,,Bonds
2005-04-15,VEA,,,,,,,Equities
2005-04-15,PDBC,,,,,,,Commodities
2005-04-22,TIP,55.24788724459135,,,,,,Bonds
2005-04-22,SPY,80.50181286151593,,,,,,Equities
2005-04-22,XLV,21.049185826228214,,,,,,Equities
2005-04-22,XLU,7.038368995373066,,,,,,Equities
2005-04-22,XLP,13.382738040043758,,,,,,Equities
2005-04-22,XLK,7.522055442516621,,,,,,Equities
2005-04-22,XLI,20.267144423264725,,,,,,Equities
2005-04-22,XLF,15.507156518789438,,,,,,Equities
2005-04-22,XLE,11.486309344951923,,,,,,Equities
2005-04-22,XLB,9.442696938147911,,,,,,Equities
2005-04-22,VUG,39.97223164485051,,,,,,Equities
2005-04-22,VTV,31.31423730116624,,,,,,Equities
2005-04-22,VNQ,21.514799118041992,,,,,,REITs
2005-04-22,TLT,45.70072643573467,,,,,,Bonds
2005-04-22,XLY,12.800847640404335,,,,,,Equities
2005-04-22,IEF,48.13601713914137,,,,,,Bonds
2005-04-22,EEM,15.14333226130559,,,,,,Equities
2005-04-22,QQQ,31.2923223055326,,,,,,Equities
2005-04-22,EFA,29.194730318509617,,,,,,Equities
2005-04-22,EWJ,30.155432627751278,,,,,,Equities
2005-04-22,GLD,42.8984615619366,,,,,,Commodities
2005-04-22,LQD,47.42001724243164,,,,,,Bonds
2005-04-22,SHY,54.33422117966872,,,,,,Bonds
2005-04-22,IWM,46.60743185190054,,,,,,Equities
2005-04-22,IAU,8.58907699584961,,,,,,Commodities
2005-04-22,VWO,,,,,,,Equities
2005-04-22,USO,,,,,,,Commodities
2005-04-22,SLV,,,,,,,Commodities
2005-04-22,DBA,,,,,,,Commodities
2005-04-22,UUP,,,,,,,FX
2005-04-22,MBB,,,,,,,Bonds
2005-04-22,HYG,,,,,,,Bonds
2005-04-22,BIL,,,,,,,Bonds
2005-04-22,VEA,,,,,,,Equities
2005-04-22,PDBC,,,,,,,Commodities
2005-04-29,TIP,55.31239406879131,,,,,,Bonds
2005-04-29,SPY,80.43804755577675,,,,,,Equities
2005-04-29,XLV,21.14610642653245,,,,,,Equities
2005-04-29,XLU,7.078323437617375,,,,,,Equities
2005-04-29,XLP,13.364342836233286,,,,,,Equities
2005-04-29,XLK,7.495234049283541,,,,,,Equities
2005-04-29,XLI,20.24725517859826,,,,,,Equities
2005-04-29,XLF,15.469252219566933,,,,,,Equities
2005-04-29,XLE,11.561572955204891,,,,,,Equities
