cik10,company_name_as_filed,sector,current_tickers,current_exchanges,has_current_sec_ticker,identity_status,candidate_symbols,symbol_count,symbol_source,collision_flag,single_symbol_usable_for_price_probe,tiingo_symbol,first_eligible_decision,last_eligible_decision,inventory_interval_overlap,inventory_status,ticker,status
0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,,,False,former_or_unmapped,AE,1,last_filing_inline_xbrl,False,True,AE,2013-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,True,candidate_supported,AE,failed
0000004447,HESS CORP,energy,,,False,former_or_unmapped,HES,1,last_filing_inline_xbrl,False,True,HES,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported,HES,failed
0000007039,TRECORA RESOURCES,energy,,,False,former_or_unmapped,TREC,1,last_filing_inline_xbrl,False,True,TREC,2012-04-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,True,candidate_supported,TREC,failed
0000007332,SOUTHWESTERN ENERGY CO,energy,,,False,former_or_unmapped,SWN,1,last_filing_inline_xbrl,False,True,SWN,2012-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,True,candidate_supported,SWN,failed
0000010254,EARTHSTONE ENERGY INC,energy,,,False,former_or_unmapped,ESTE,1,last_filing_inline_xbrl,False,True,ESTE,2016-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,True,candidate_supported,ESTE,failed
0000048039,HOLLYFRONTIER CORP,energy,,,False,former_or_unmapped,HFC,1,last_filing_inline_xbrl,False,True,HFC,2012-04-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,False,not_supported_for_eligible_interval,HFC,failed
0000072207,NOBLE ENERGY INC,energy,,,False,former_or_unmapped,NBL,1,last_filing_inline_xbrl,False,True,NBL,2012-04-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,True,candidate_supported,NBL,failed
0000077159,RANGER OIL CORP,energy,,,False,former_or_unmapped,ROCC,1,last_filing_inline_xbrl,False,True,ROCC,2012-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,True,candidate_supported,ROCC,failed
0000077877,"PDC ENERGY, INC.",energy,,,False,former_or_unmapped,PDCE,1,last_filing_inline_xbrl,False,True,PDCE,2012-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,True,candidate_supported,PDCE,failed
0000101778,MARATHON OIL CORP,energy,,,False,former_or_unmapped,MRO,1,last_filing_inline_xbrl,False,True,MRO,2012-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,True,candidate_supported,MRO,failed
0000315131,PHX MINERALS INC.,energy,,,False,former_or_unmapped,PHX,1,last_filing_inline_xbrl,False,True,PHX,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,True,candidate_supported,PHX,failed
0000351817,"SILVERBOW RESOURCES, INC.",energy,,,False,former_or_unmapped,SBOW,1,last_filing_inline_xbrl,False,True,SBOW,2012-04-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,True,candidate_supported,SBOW,failed
0000732834,"CONTINENTAL RESOURCES, INC",energy,,,False,former_or_unmapped,CLR,1,last_filing_inline_xbrl,False,True,CLR,2012-04-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,False,not_supported_for_eligible_interval,CLR,failed
0000750199,"EPL OIL & GAS, INC.",energy,,,False,former_or_unmapped,EPL,1,last_filing_instance_xbrl,False,True,EPL,2012-04-01 00:00:00+00:00,2015-07-01 00:00:00+00:00,True,candidate_supported,EPL,failed
