ticker,name,sector,index,source_url,fetch_date,diagnostic_label
MMM,3M,Industrials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AOS,A. O. Smith,Industrials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABT,Abbott Laboratories,Health Care,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABBV,AbbVie,Health Care,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ACN,Accenture,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADBE,Adobe Inc.,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMD,Advanced Micro Devices,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AES,AES Corporation,Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AFL,Aflac,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
A,Agilent Technologies,Health Care,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APD,Air Products,Materials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABNB,Airbnb,Consumer Discretionary,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AKAM,Akamai Technologies,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALB,Albemarle Corporation,Materials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ARE,Alexandria Real Estate Equities,Real Estate,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALGN,Align Technology,Health Care,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALLE,Allegion,Industrials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
LNT,Alliant Energy,Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALL,Allstate,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GOOGL,Alphabet Inc. (Class A),Communication Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GOOG,Alphabet Inc. (Class C),Communication Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
MO,Altria,Consumer Staples,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMZN,Amazon,Consumer Discretionary,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMCR,Amcor,Materials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AEE,Ameren,Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AEP,American Electric Power,Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AXP,American Express,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AIG,American International Group,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMT,American Tower,Real Estate,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AWK,American Water Works,Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMP,Ameriprise Financial,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AME,Ametek,Industrials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMGN,Amgen,Health Care,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APH,Amphenol,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADI,Analog Devices,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AON,Aon plc,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APA,APA Corporation,Energy,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APO,Apollo Global Management,Financials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AAPL,Apple Inc.,Information Technology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-07,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
