decision_at,symbol,weight
2025-04-25,ATEN,0.0
2025-04-25,BSY,0.0
2025-04-25,DUOL,0.08000000000000002
2025-04-25,EB,0.0
2025-04-25,EQT,0.0
2025-04-25,GLD,0.06
2025-04-25,GPOR,0.0
2025-04-25,KRP,0.0
2025-04-25,MDRX,0.0
2025-04-25,NOG,0.08000000000000002
2025-04-25,NOW,0.0
2025-04-25,NRP,0.0
2025-04-25,NVDA,0.08000000000000002
2025-04-25,OSPN,0.0
2025-04-25,PANW,0.0
2025-04-25,PEGA,0.0
2025-04-25,PI,0.0
2025-04-25,PLXS,0.0
2025-04-25,PR,0.08000000000000002
2025-04-25,PTEN,0.08000000000000002
2025-04-25,TUSK,0.0
2025-04-25,VEEV,0.0
2025-04-25,VERI,0.0
2025-04-25,VRNS,0.0
2025-04-25,XLK,0.54
2025-04-25,ZM,0.0
2025-04-25,ZS,0.0
