ticker_raw,ticker,name,sector,sub_industry,index,source_url,fetch_date,diagnostic_label
MMM,MMM,3M,Industrials,Industrial Conglomerates,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AOS,AOS,A. O. Smith,Industrials,Building Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABBV,ABBV,AbbVie,Health Care,Biotechnology,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AFL,AFL,Aflac,Financials,Life & Health Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
APD,APD,Air Products,Materials,Industrial Gases,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALLE,ALLE,Allegion,Industrials,Building Products,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
LNT,LNT,Alliant Energy,Utilities,Electric Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ALL,ALL,Allstate,Financials,Property & Casualty Insurance,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
MO,MO,Altria,Consumer Staples,Tobacco,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AMCR,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AEE,AEE,Ameren,Utilities,Multi-Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
AEP,AEP,American Electric Power,Utilities,Electric Utilities,S&P 500,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-05-12,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
