cik10,sec_company_name,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,symbol_count,recovered_symbol,symbol_unique_across_recovered_ciks,first_eligible_decision,last_eligible_decision,recent_decision_rows,tiingo_symbol,ticker,exchange,assetType,priceCurrency,startDate,endDate,inventory_interval_overlap
0000794619,AMERICAN WOODMARK CORP,manufacturing,0000794619-26-000005,2026-02-27 00:00:00+00:00,AMWD,xbrl_symbol_recovered,amwd-20260131.htm,3757f79a25248f9ee072c7b3ffa32be67c5eeb7d6b8b78fe2673165aec328355,1,AMWD,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AMWD,AMWD,NASDAQ,Stock,USD,1986-07-21 00:00:00+00:00,2026-05-28 00:00:00+00:00,True
0000803649,EQUITY COMMONWEALTH,finance_insurance_real_estate,0000803649-25-000044,2025-05-07 00:00:00+00:00,EQC,xbrl_symbol_recovered,eqc-20250331.htm,347e820cd03ac4be8a6783b762b60d28b8a15e72c5a66c9be612639285462066,1,EQC,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,EQC,EQC,NYSE,Stock,USD,1988-01-05 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0000859737,HOLOGIC INC,manufacturing,0000859737-26-000008,2026-01-30 00:00:00+00:00,HOLX,xbrl_symbol_recovered,holx-20251227.htm,41ed78bee33874fdb49a87cefd00324d8eb12598422ebbb6f6a25c6edb34fb5f,1,HOLX,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,HOLX,HOLX,NASDAQ,Stock,USD,1990-03-26 00:00:00+00:00,2026-04-07 00:00:00+00:00,True
0000892553,CHART INDUSTRIES INC,manufacturing,0000892553-26-000027,2026-02-28 00:00:00+00:00,GTLS,xbrl_symbol_recovered,gtls-20251231.htm,a1221d212873406b854ae7657a2e32c726c29d4e6d99f03f15cbb03c0ee0373e,1,GTLS,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,GTLS,GTLS,NYSE,Stock,USD,2006-07-26 00:00:00+00:00,2026-07-16 00:00:00+00:00,True
0000909108,DIAMOND HILL INVESTMENT GROUP INC,finance_insurance_real_estate,0001193125-26-076604,2026-02-27 00:00:00+00:00,DHIL,xbrl_symbol_recovered,dhil-20251231.htm,06e62ffc9c4dcee681237924752b677ffcc8f8670e473072096f68ccaf377d91,1,DHIL,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,DHIL,DHIL,NASDAQ,Stock,USD,1997-05-09 00:00:00+00:00,2026-04-22 00:00:00+00:00,True
0000923139,FLUSHING FINANCIAL CORP,finance_insurance_real_estate,0001104659-26-024646,2026-03-07 00:00:00+00:00,FFIC,xbrl_symbol_recovered,ffic-20251231x10k.htm,e91ef5b3f828bf504928cd9fe960958521da7a7ba499974a1921efbe246f6ead,1,FFIC,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,FFIC,FFIC,NASDAQ,Stock,USD,1995-11-21 00:00:00+00:00,2026-06-01 00:00:00+00:00,True
0000924901,"VERIS RESIDENTIAL, INC.",finance_insurance_real_estate,0001628280-26-010572,2026-02-24 00:00:00+00:00,VRE,xbrl_symbol_recovered,vre-20251231.htm,886f00ec937d7aef6761aec23d4c93a47f20139ce3383f02c1ce36acbf087e7a,1,VRE,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,VRE,VRE,NYSE,Stock,USD,1994-08-25 00:00:00+00:00,2026-05-26 00:00:00+00:00,True
0000937556,MASIMO CORP,manufacturing,0000937556-26-000017,2026-02-28 00:00:00+00:00,MASI,xbrl_symbol_recovered,masi-20260103.htm,10cc1fed67a22b2a8acbf10d8040599e314c39f266a1cebce65648785514b32d,1,MASI,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,MASI,MASI,NASDAQ,Stock,USD,2007-08-08 00:00:00+00:00,2026-06-10 00:00:00+00:00,True
0001012100,SEALED AIR CORP/DE,manufacturing,0001012100-26-000016,2026-03-03 00:00:00+00:00,SEE,xbrl_symbol_recovered,see-20251231.htm,a3ec94281aa2ece82409ec7930fef8f74a7a46de7baad1790bf64ae915ad266d,1,SEE,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,SEE,SEE,NYSE,Stock,USD,1987-12-30 00:00:00+00:00,2026-04-09 00:00:00+00:00,True
0001053352,HERITAGE COMMERCE CORP,finance_insurance_real_estate,0001628280-26-016050,2026-03-10 00:00:00+00:00,HTBK,xbrl_symbol_recovered,htbk-20251231.htm,e609b710f3c717fc2ab6e701e303cebe1c3e780490673149d3d649dafbcbe2fd,1,HTBK,True,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,HTBK,HTBK,NASDAQ,Stock,USD,1998-07-20 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
