,SPY,QQQ,EFA,VEA,LQD,HYG,GLD,TLT,PDBC,DBA,VNQ,BIL
2005-11-11,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-11-18,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-11-25,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-12-02,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-12-09,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-12-16,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-12-23,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2005-12-30,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-01-06,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-01-13,0.06307758623425934,0.0,0.3869224137657407,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2006-01-20,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-01-27,0.0,0.0,0.45,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2006-02-03,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-02-10,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-02-17,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-02-24,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-03-03,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-03-10,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-03-17,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-03-24,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-03-31,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-04-07,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-04-14,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-04-21,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-04-28,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-05-05,0.0,0.0,0.45,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2006-05-12,0.0,0.0,0.45,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2006-05-19,0.0,0.0,0.45,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2006-05-26,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-06-02,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-06-09,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-06-16,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-06-23,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-06-30,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-07-07,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-07-14,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-07-21,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-07-28,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-08-04,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-08-11,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-08-18,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2006-08-25,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-09-08,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-09-15,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-09-22,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.45,0.0
2006-09-29,0.06331278568453147,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.38668721431546854,0.0
2006-10-06,0.0,0.0,0.1185868327235921,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.3314131672764079,0.0
2006-10-13,0.0,0.0,0.1178083516194634,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.33219164838053655,0.0
2006-10-20,0.0,0.0,0.14967467029578732,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.3003253297042127,0.0
2006-10-27,0.0,0.0,0.1654703557655505,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.2845296442344495,0.0
2006-11-03,0.0,0.0,0.1726896508736122,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.2773103491263878,0.0
2006-11-10,0.2035284858558601,0.0,0.2464715141441399,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2006-11-17,0.0,0.0,0.1969631061432151,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.25303689385678496,0.0
2006-11-24,0.0,0.0,0.1893702651592506,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.2606297348407494,0.0
2006-12-01,0.3058062360429345,0.0,0.39419376395706557,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2006-12-08,0.28748370070978035,0.0,0.4125162992902196,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2006-12-15,0.2557880161570526,0.0,0.44421198384294724,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2006-12-22,0.2539148094411523,0.0,0.44608519055884766,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.25322007331861396,0.0,0.446779926681386,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-01-05,0.27107742478349667,0.0,0.42892257521650323,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-01-12,0.26024691436100267,0.0,0.4397530856389973,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-01-19,0.2846732712488219,0.0,0.41532672875117804,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-01-26,0.2425168399511223,0.0,0.4574831600488777,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-02-02,0.2634578494313237,0.0,0.43654215056867623,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-02-09,0.28071819278044147,0.0,0.4192818072195586,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0
2007-02-16,0.1583170991259757,0.0,0.29168290087402426,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-02-23,0.15922975265550496,0.0,0.2907702473444951,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-03-02,0.1612212537315931,0.0,0.28877874626840694,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-03-09,0.1485014346119876,0.0,0.3014985653880124,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-03-16,0.1387801489485843,0.0,0.31121985105141575,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-03-23,0.12909553832636156,0.0,0.32090446167363845,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-03-30,0.2345657797347064,0.0,0.0,0.0,0.31543422026529355,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-04-06,0.0,0.0,0.0,0.0,0.4451219881565768,0.0,0.25,0.3048780118434232,0.0,0.0,0.0,0.0
2007-04-13,0.2666744870848655,0.0,0.0,0.0,0.2833255129151345,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-04-20,0.23557114100997675,0.0,0.0,0.0,0.3144288589900233,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-04-27,0.400630350159451,0.0,0.0,0.0,0.1,0.0,0.25,0.24936964984054905,0.0,0.0,0.0,0.0
2007-05-04,0.2521378096108255,0.0,0.0,0.0,0.2978621903891745,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-05-11,0.2721831489733251,0.0,0.0,0.0,0.2778168510266749,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-05-18,0.45,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-05-25,0.45,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-06-01,0.45,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-06-08,0.45,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-06-15,0.2350714149164752,0.21492858508352478,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-06-22,0.45,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-06-29,0.17835598488475957,0.0,0.2716440151152404,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-07-06,0.20481241526586388,0.0,0.24518758473413618,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-07-13,0.19048543522855957,0.0,0.25951456477144047,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-07-20,0.0,0.2105477158236034,0.23945228417639652,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-07-27,0.0,0.2184774131276268,0.23152258687237326,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-08-03,0.08290763991625287,0.3670923600837471,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-08-10,0.04397325256471719,0.40602674743528283,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-08-17,0.051668945850811936,0.39833105414918807,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-08-24,0.09092304959551466,0.3590769504044854,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-08-31,0.11186422588016537,0.33813577411983464,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-09-07,0.09068710558151995,0.35931289441848,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-09-14,0.10490485212248474,0.3450951478775153,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.0,0.0,0.0
2007-09-21,0.0,0.2607701580453818,0.0,0.0,0.1,0.0,0.4392298419546182,0.2,0.0,0.0,0.0,0.0
2007-09-28,0.0,0.2701810323327911,0.0,0.0,0.1,0.0,0.42981896766720895,0.2,0.0,0.0,0.0,0.0
2007-10-05,0.0,0.24538156563686142,0.0,0.0,0.1,0.0,0.4546184343631386,0.2,0.0,0.0,0.0,0.0
2007-10-12,0.03362386976022032,0.0,0.0,0.0,0.1,0.0,0.6663761302397797,0.2,0.0,0.0,0.0,0.0
2007-10-19,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0
2007-10-26,0.0,0.2007033534330166,0.0,0.0,0.1,0.0,0.4992966465669834,0.2,0.0,0.0,0.0,0.0
2007-11-02,0.0,0.20500973816097834,0.0,0.0,0.1,0.0,0.4949902618390216,0.2,0.0,0.0,0.0,0.0
2007-11-09,0.0,0.22590405084012055,0.0,0.0,0.1,0.0,0.47409594915987946,0.2,0.0,0.0,0.0,0.0
2007-11-16,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0
2007-11-23,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.0
2007-11-30,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2007-12-07,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2007-12-14,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2007-12-21,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2007-12-28,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2008-01-04,0.0,0.0,0.0,0.0,0.15,0.0,0.35,0.35,0.0,0.0,0.0,0.15
2008-01-11,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.45,0.0,0.0
2008-01-18,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.45,0.0,0.0
2008-01-25,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.2,0.0,0.45,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.3604233661180556,0.0,0.28957663388194443,0.0,0.0
2008-02-08,0.0,0.0,0.0,0.0,0.1,0.0,0.41586902278063576,0.2,0.0,0.28413097721936426,0.0,0.0
2008-02-15,0.0,0.0,0.0,0.0,0.1,0.0,0.4323141059219284,0.2,0.0,0.26768589407807153,0.0,0.0
2008-02-22,0.0,0.0,0.0,0.0,0.1,0.0,0.44533408322998813,0.2,0.0,0.2546659167700119,0.0,0.0
2008-02-29,0.0,0.0,0.0,0.0,0.1,0.0,0.4466630819674191,0.2,0.0,0.25333691803258085,0.0,0.0
2008-03-07,0.0,0.0,0.0,0.0,0.1,0.0,0.4538254166741852,0.2,0.0,0.24617458332581488,0.0,0.0
2008-03-14,0.0,0.0,0.0,0.0,0.1,0.0,0.4685680145226015,0.2,0.0,0.23143198547739852,0.0,0.0
2008-03-21,0.0,0.0,0.0,0.0,0.1,0.0,0.46248698065733607,0.2,0.0,0.23751301934266397,0.0,0.0
2008-03-28,0.0,0.0,0.0,0.0,0.29301875801009203,0.0,0.25,0.45698124198990797,0.0,0.0,0.0,0.0
2008-04-04,0.0,0.0,0.0,0.0,0.2793045907952232,0.0,0.25,0.4706954092047768,0.0,0.0,0.0,0.0
2008-04-11,0.0,0.0,0.0,0.0,0.2822404011369573,0.0,0.25,0.46775959886304275,0.0,0.0,0.0,0.0
2008-04-18,0.0,0.0,0.0,0.0,0.266150873669183,0.0,0.25,0.48384912633081706,0.0,0.0,0.0,0.0
2008-04-25,0.0,0.0,0.0,0.0,0.2779757496286935,0.0,0.25,0.4720242503713066,0.0,0.0,0.0,0.0
2008-05-02,0.0,0.0,0.0,0.0,0.2994748624243772,0.0,0.25,0.4505251375756228,0.0,0.0,0.0,0.0
2008-05-09,0.0,0.0,0.0,0.0,0.3112446851682609,0.0,0.25,0.4387553148317391,0.0,0.0,0.0,0.0
2008-05-16,0.0,0.0,0.0,0.0,0.31318528667357737,0.0,0.25,0.43681471332642263,0.0,0.0,0.0,0.0
2008-05-23,0.0,0.0,0.0,0.0,0.3116572677440159,0.0,0.25,0.4383427322559841,0.0,0.0,0.0,0.0
2008-05-30,0.0,0.0,0.0,0.0,0.3036782816369006,0.0,0.25,0.44632171836309953,0.0,0.0,0.0,0.0
2008-06-06,0.0,0.0,0.0,0.0,0.31891809489353995,0.0,0.25,0.43108190510646005,0.0,0.0,0.0,0.0
2008-06-13,0.0,0.0,0.0,0.0,0.3290147283856196,0.0,0.25,0.4209852716143804,0.0,0.0,0.0,0.0
2008-06-20,0.0,0.0,0.0,0.0,0.3389931111875874,0.0,0.25,0.41100688881241265,0.0,0.0,0.0,0.0
2008-06-27,0.0,0.0,0.0,0.0,0.35973221325721894,0.0,0.25,0.390267786742781,0.0,0.0,0.0,0.0
2008-07-04,0.0,0.0,0.0,0.0,0.3121811066023458,0.0,0.25,0.43781889339765423,0.0,0.0,0.0,0.0
2008-07-11,0.0,0.0,0.0,0.0,0.2952877948383655,0.0,0.25,0.4547122051616345,0.0,0.0,0.0,0.0
2008-07-18,0.0,0.0,0.0,0.0,0.3069745120805746,0.0,0.25,0.4430254879194254,0.0,0.0,0.0,0.0
2008-07-25,0.0,0.0,0.0,0.0,0.2940354662898986,0.0,0.25,0.4559645337101014,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.2923837101099871,0.0,0.25,0.4576162898900129,0.0,0.0,0.0,0.0
2008-08-08,0.0,0.0,0.0,0.0,0.2816772095090728,0.0,0.25,0.46832279049092723,0.0,0.0,0.0,0.0
2008-08-15,0.0,0.0,0.0,0.0,0.28129253297510126,0.0,0.25,0.46870746702489874,0.0,0.0,0.0,0.0
2008-08-22,0.0,0.0,0.0,0.0,0.26615809236262344,0.0,0.25,0.48384190763737656,0.0,0.0,0.0,0.0
2008-08-29,0.0,0.0,0.0,0.0,0.1,0.16820351737375405,0.25,0.4817964826262459,0.0,0.0,0.0,0.0
2008-09-05,0.0,0.0,0.0,0.0,0.2698506375564085,0.0,0.25,0.4801493624435916,0.0,0.0,0.0,0.0
2008-09-12,0.0,0.0,0.0,0.0,0.27854212649665233,0.0,0.25,0.4714578735033477,0.0,0.0,0.0,0.0
2008-09-19,0.0,0.0,0.0,0.0,0.26021215186280966,0.0,0.25,0.4897878481371904,0.0,0.0,0.0,0.0
2008-09-26,0.0,0.0,0.0,0.0,0.18703212681661358,0.0,0.25,0.5629678731833865,0.0,0.0,0.0,0.0
2008-10-03,0.0,0.0,0.0,0.0,0.17908292085284155,0.0,0.25,0.5709170791471585,0.0,0.0,0.0,0.0
2008-10-10,0.0,0.0,0.0,0.0,0.20332360328645754,0.0,0.25,0.5466763967135425,0.0,0.0,0.0,0.0
2008-10-17,0.0,0.0,0.0,0.0,0.1,0.0,0.3626883606893606,0.5373116393106394,0.0,0.0,0.0,0.0
2008-10-24,0.0,0.0,0.0,0.0,0.1,0.0,0.3604863648516269,0.5395136351483731,0.0,0.0,0.0,0.0
2008-10-31,0.0,0.0,0.0,0.0,0.1,0.0,0.35387614947316115,0.5461238505268389,0.0,0.0,0.0,0.0
2008-11-07,0.0,0.0,0.0,0.0,0.1,0.0,0.3841075677449571,0.5158924322550429,0.0,0.0,0.0,0.0
2008-11-14,0.0,0.0,0.0,0.0,0.1,0.0,0.38889421855684964,0.5111057814431503,0.0,0.0,0.0,0.0
2008-11-21,0.0,0.0,0.0,0.0,0.1,0.0,0.39494855363519354,0.5050514463648065,0.0,0.0,0.0,0.0
2008-11-28,0.0,0.0,0.0,0.0,0.1,0.0,0.39275385191103884,0.5072461480889612,0.0,0.0,0.0,0.0
2008-12-05,0.0,0.0,0.0,0.0,0.1,0.0,0.397868770072063,0.502131229927937,0.0,0.0,0.0,0.0
2008-12-12,0.0,0.0,0.0,0.0,0.1,0.0,0.4002875657892193,0.49971243421078065,0.0,0.0,0.0,0.0
2008-12-19,0.0,0.0,0.0,0.0,0.1,0.0,0.4102990695508686,0.48970093044913143,0.0,0.0,0.0,0.0
2008-12-26,0.0,0.0,0.0,0.0,0.2710867477450886,0.0,0.25,0.4789132522549114,0.0,0.0,0.0,0.0
2009-01-02,0.0,0.0,0.0,0.0,0.27311908086602554,0.0,0.25,0.4768809191339745,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,0.0,0.0,0.2826050952108313,0.0,0.25,0.46739490478916873,0.0,0.0,0.0,0.0
2009-01-16,0.0,0.0,0.0,0.0,0.2968850496791118,0.0,0.25,0.45311495032088817,0.0,0.0,0.0,0.0
2009-01-23,0.0,0.0,0.0,0.0,0.29553628393041187,0.0,0.25,0.4544637160695882,0.0,0.0,0.0,0.0
2009-01-30,0.0,0.0,0.0,0.0,0.3058034706727189,0.0,0.25,0.44419652932728104,0.0,0.0,0.0,0.0
2009-02-06,0.0,0.0,0.0,0.0,0.30613508886441854,0.0,0.25,0.44386491113558146,0.0,0.0,0.0,0.0
2009-02-13,0.0,0.0,0.0,0.0,0.30613508886441854,0.0,0.25,0.44386491113558146,0.0,0.0,0.0,0.0
2009-02-20,0.0,0.0,0.0,0.0,0.3098796763642625,0.0,0.25,0.4401203236357375,0.0,0.0,0.0,0.0
2009-02-27,0.0,0.0,0.0,0.0,0.324609369668922,0.0,0.25,0.42539063033107805,0.0,0.0,0.0,0.0
2009-03-06,0.0,0.0,0.0,0.0,0.3150578759328358,0.0,0.25,0.43494212406716426,0.0,0.0,0.0,0.0
2009-03-13,0.0,0.0,0.0,0.0,0.30170871041267733,0.0,0.25,0.44829128958732267,0.0,0.0,0.0,0.0
2009-03-20,0.0,0.0,0.0,0.0,0.1,0.0,0.4717826102983992,0.4282173897016009,0.0,0.0,0.0,0.0
2009-03-27,0.0,0.0,0.0,0.0,0.1,0.0,0.48231830122311126,0.4176816987768887,0.0,0.0,0.0,0.0
2009-04-03,0.0,0.0,0.0,0.0,0.1,0.0,0.4836078894318716,0.4163921105681284,0.0,0.0,0.0,0.0
2009-04-10,0.0,0.0,0.0,0.0,0.1,0.0,0.46785458348347164,0.4321454165165283,0.0,0.0,0.0,0.0
2009-04-17,0.0,0.0,0.0,0.0,0.1,0.0,0.4926945032831651,0.4073054967168349,0.0,0.0,0.0,0.0
2009-04-24,0.0,0.0,0.0,0.0,0.1,0.0,0.48616863911005515,0.4138313608899449,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.1,0.0,0.4523428134587414,0.44765718654125863,0.0,0.0,0.0,0.0
2009-05-08,0.0,0.0,0.0,0.0,0.30755700273200737,0.0,0.25,0.44244299726799263,0.0,0.0,0.0,0.0
2009-05-15,0.0,0.0,0.0,0.0,0.32571622386059357,0.0,0.4742837761394065,0.2,0.0,0.0,0.0,0.0
2009-05-22,0.0,0.0,0.0,0.0,0.3550008802369581,0.0,0.25,0.3949991197630419,0.0,0.0,0.0,0.0
2009-05-29,0.0,0.0,0.0,0.0,0.3645204546922759,0.0,0.43547954530772415,0.2,0.0,0.0,0.0,0.0
2009-06-05,0.0,0.0,0.0,0.0,0.5557753045934494,0.0,0.44422469540655074,0.0,0.0,0.0,0.0,0.0
