cik10,company_name_as_filed,sector,current_tickers,current_exchanges,has_current_sec_ticker,identity_status
0000023194,COMSTOCK RESOURCES INC,energy,CRK,NYSE,True,current_ticker_available
0000033213,EQT CORP,energy,EQT,NYSE,True,current_ticker_available
0000045012,HALLIBURTON CO,energy,HAL,NYSE,True,current_ticker_available
0000046765,"HELMERICH & PAYNE, INC.",energy,HP,NYSE,True,current_ticker_available
0000049938,IMPERIAL OIL LTD,energy,IMO,NYSE,True,current_ticker_available
0000073756,OCEANEERING INTERNATIONAL INC,energy,OII,NYSE,True,current_ticker_available
0000087347,SLB LIMITED/NV,energy,SLB,NYSE,True,current_ticker_available
0000093410,CHEVRON CORP,energy,CVX,NYSE,True,current_ticker_available
0000101594,US ENERGY CORP,energy,BSIN,Nasdaq,True,current_ticker_available
0000314808,VALARIS LTD,energy,VAL|VAL-WT,NYSE,True,current_ticker_available
0000315852,RANGE RESOURCES CORP,energy,RRC,NYSE,True,current_ticker_available
0000717423,MURPHY OIL CORP,energy,MUR,NYSE,True,current_ticker_available
0000742278,RPC INC,energy,RES,NYSE,True,current_ticker_available
0000788965,HALLADOR ENERGY CO,energy,HNRG,Nasdaq,True,current_ticker_available
0000789460,WORLD KINECT CORP,energy,WKC,NYSE,True,current_ticker_available
0000789933,NACCO INDUSTRIES INC,energy,NC,NYSE,True,current_ticker_available
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,energy,OXY|OXY-WT,NYSE,True,current_ticker_available
0000799165,DAWSON GEOPHYSICAL CO,energy,DWSN,Nasdaq,True,current_ticker_available
0000813762,ICAHN ENTERPRISES L.P.,energy,IEP,Nasdaq,True,current_ticker_available
0000821189,EOG RESOURCES INC,energy,EOG,NYSE,True,current_ticker_available
0000821483,"PAR PACIFIC HOLDINGS, INC.",energy,PARR,NYSE,True,current_ticker_available
0000844965,TETRA TECHNOLOGIES INC,energy,TTI,NYSE,True,current_ticker_available
0000866829,HELIX ENERGY SOLUTIONS GROUP INC,energy,HLX,NYSE,True,current_ticker_available
0000874499,GULFPORT ENERGY CORP,energy,GPOR,NYSE,True,current_ticker_available
0000889900,PATTERSON UTI ENERGY INC,energy,PTEN,Nasdaq,True,current_ticker_available
0000893538,SM ENERGY CO,energy,SM,NYSE,True,current_ticker_available
0000894627,VAALCO ENERGY INC /DE/,energy,EGY,NYSE,True,current_ticker_available
0000895126,EXPAND ENERGY CORP,energy,EXE,Nasdaq,True,current_ticker_available
0001001614,"RILEY EXPLORATION PERMIAN, INC.",energy,REPX,NYSE,True,current_ticker_available
0001006655,EVOLUTION PETROLEUM CORP,energy,EPM,NYSE,True,current_ticker_available
0001022321,GENESIS ENERGY LP,energy,GEL,NYSE,True,current_ticker_available
0001035002,VALERO ENERGY CORP/TX,energy,VLO,NYSE,True,current_ticker_available
0001064728,PEABODY ENERGY CORP,energy,BTU,NYSE,True,current_ticker_available
0001070412,CNX RESOURCES CORP,energy,CNX,NYSE,True,current_ticker_available
0001084991,NATURAL GAS SERVICES GROUP INC,energy,NGS,NYSE,True,current_ticker_available
0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,ARLP,Nasdaq,True,current_ticker_available
0001090012,DEVON ENERGY CORP/DE,energy,DVN,NYSE,True,current_ticker_available
0001103795,SAVE THE WORLD AIR INC,energy,QSEP,OTC,True,current_ticker_available
0001104485,"NORTHERN OIL & GAS, INC.",energy,NOG,NYSE,True,current_ticker_available
0001131312,ZION OIL & GAS INC,energy,ZNOG|ZNOGW,OTC,True,current_ticker_available
0001156041,HOUSTON AMERICAN ENERGY CORP,energy,AGIG,NYSE,True,current_ticker_available
0001163165,CONOCOPHILLIPS,energy,COP,NYSE,True,current_ticker_available
0001163739,NABORS INDUSTRIES LTD,energy,NBR,NYSE,True,current_ticker_available
0001171486,NATURAL RESOURCE PARTNERS LP,energy,NRP,NYSE,True,current_ticker_available
0001172358,"DORCHESTER MINERALS, L.P.",energy,DMLP,Nasdaq,True,current_ticker_available
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,MMLP,Nasdaq,True,current_ticker_available
0001273441,GRAN TIERRA ENERGY INC.,energy,GTE,NYSE,True,current_ticker_available
0001282648,HALCON RESOURCES CORP,energy,BATL,NYSE,True,current_ticker_available
