phase_or_branch,candidate_or_idea,layer,category,status,main_question,what_worked,what_failed,best_metric_change,holdout_result,state_impact,turnover_or_cost_impact,hidden_beta_or_cash_issue,final_decision,reason_for_decision,reuse_later,next_action,source_doc
Phase 2B,improved_phase2b_regime_confidence_boost / combo_abc,Layer 3,production baseline / shadow,active reference,Can regime confidence improve the base allocator?,Became pinned production reference in registry; combo_abc remains important comparator.,Later GGG dashboard candidate appears stronger on headline metrics.,Phase2B Sharpe around 0.88 in exact comparator context.,Useful but no longer best dashboard candidate.,Production fallback behavior remains important in stressed states.,Controlled turnover profile.,No current hidden beta issue identified; compare against GGG mismatch explicitly.,Keep as pinned comparator,Registry still pins Phase2B while dashboard uses GGG candidate.,Yes,Always compare frontier candidates against Phase2B and GGG.,docs/research/phase2b_dual_track_summary.md
GGG / Phaseggg,improved_phaseggg_confirmed_only_robust_offense,Layer 3,dashboard candidate,current research benchmark,Can confirmed robust offense improve return without breaking defense?,Exact reconstruction succeeded with net-return max error near 2.1e-16 and correlation 1.0000.,Still below long-term 10% annual-return aspiration.,"Annual return about 7.14%, Sharpe about 0.94, max DD about -11.77%.",Exact saved path validates the benchmark.,Stressed_panic defense is the preservation constraint.,One-way turnover/cost convention must be reused.,Future improvements must not be hidden offense/beta increases.,Use as official research baseline,Exact-plumbing fidelity is now locked.,Yes,Use no-write wrapper for all deployment tests.,docs/research/path1_rebuild_report.md
R1-R4,Renaissance signal discovery foundation,Layer 1,signal research,completed,Can broader signal discovery find orthogonal candidates?,"Signal decay, state IC, R2 signal validation, and ETF pairs lab were completed.",ETF pairs mostly failed weekly cointegration/half-life gates.,Only r2_dollar_strength passed strict unconditional new-signal gate.,Mixed; strong conditional macro but weak unconditional pass rate.,Macro/VIX/credit useful in calm_trend but dangerous in stressed_panic.,Not a turnover solution.,No deployment yet.,Research-only memory,Signal discovery alone is not the bottleneck.,Yes,Use validated signals only through stabilized deployment harness.,docs/research/renaissance_r1_r4_overnight_summary.md
Dollar Strength,r2_dollar_strength / bm_dollar_strength_4w / blended,Layer 1,macro/cross-asset signal,promising,Does dollar pressure predict ETF allocation conditions?,Only strict R2 pass; 4w and blended variants remained useful diagnostics.,Needs deployment discipline; not a standalone production rule.,"Best as filter/pressure signal, not alpha claim.",Useful enough for B6/B7/B8 and confidence inputs.,Can help detect pressure for EM/commodity/offense exposure.,Low turnover as filter.,Must avoid simply reducing risk too often.,Reuse as confidence input,Works best as bounded filter in deployment architecture.,Yes,Keep in confidence and deterioration feature sets.,docs/research/dollar_strength_deep_dive_report.md
Breadth + Macro,ETF/sector breadth and state-gated macro,Layer 1 / deployment diagnostics,breadth / macro,promising diagnostics,Can breadth and macro improve calm_trend participation without harming stress?,"ETF breadth, sector breadth, risk-on participation, and gated macro showed real information.",Naive pass-through did not beat GGG.,Breadth looked promising at signal level but lost edge in naive portfolio plumbing.,Mixed; not enough for deployment.,"Calm_trend useful, stressed_panic danger requires gating.",Turnover not the bottleneck.,Risk of lower-BIL/higher-offense illusion if deployed naively.,Reuse through wrapper only,Deployment location matters more than raw signal existence.,Yes,Test with allocator-native insertion points only.,docs/research/breadth_macro_sprint_summary.md
B6,Unified signal validation,Layer 1 validation,robustness validation,completed,Which breadth/macro/dollar candidates deserve pass-through?,"Separated candidates into pass-through, gate/filter, and reject buckets.",Many candidates were conditional or redundant.,Identified top breadth and dollar candidates for controlled tests.,Not a portfolio proof.,Helped classify stressed_panic dangers.,No production turnover changes.,No direct beta deployment.,Research-only gating memory,Narrowed candidate set before portfolio tests.,Yes,Use B6 table for future rule inputs.,docs/research/b6_sprint_summary.md
B7/B8,Controlled pass-through and bounded refinement,Layer 3 sandbox,deployment test,negative result,Do breadth/macro filters improve portfolio outcomes?,Showed breadth/macro information is real but naive deployment fails.,B7/B8 plumbing used wrong return/turnover convention versus exact GGG.,Best B7 sector breadth gate still worsened Sharpe vs GGG.,Failed to beat benchmark.,Stressed_panic preservation was not enough to offset return drag.,Sandbox cost/turnover convention mismatch polluted comparisons.,Some variants risked cash/offense artifacts.,Closed as naive-pass-through branch,"Deployment architecture, not raw signal discovery, became the bottleneck.","Yes, as a warning",Do not repeat post-hoc scaling without exact wrapper.,docs/research/b8_sprint_summary.md
Path 1/3 + Native Confidence,exact plumbing and confidence-aware deployment,Layer 3 research architecture,plumbing / confidence,near miss,Can exact GGG plumbing and confidence insertion improve deployment?,Exact GGG reconstruction succeeded; confidence modifier nearly improved exact GGG.,Native insertion did not pass strict improvement gate.,Best confidence sandbox Sharpe around 0.9395 vs exact GGG around 0.9366; native variants near-missed.,Promising but not enough.,Stressed_panic roughly preserved.,Correct one-way turnover convention locked.,Must avoid hidden offense increase.,Keep as architecture direction,Correct insertion point is necessary but not sufficient.,Yes,Use stabilized wrapper for transition-quality frontier.,docs/research/c7_native_confidence_sprint_summary.md
Stabilization,no-write checkpoint wrapper and rule harness,research infrastructure,architecture,completed,Can future deployment tests be run cleanly and reproducibly?,Wrapper reproduced exact GGG; rule harness ran standardized checks.,Early checkpoint modifications are still final-weight proxies until deeper allocator hook exists.,No-modifier max net-return error around 2.1e-16.,Stable baseline.,Architecture-valid rules preserved stressed_panic within gate.,Turnover controlled in harness.,Designed to expose hidden beta/cash checks.,Use as mandatory framework,Prevents B7/B8-style plumbing mistakes.,Yes,Run frontier tests only through wrapper/harness.,docs/research/deployment_architecture_stabilization_summary.md
W1 / Structural Defense,structural defense / W1 sizing family,Layer 3,defense architecture,historical branch,Can structural defense sizing improve drawdowns and state behavior?,W/AA branches appear in project history and candidate files.,Details require deeper parse of dated phase reports.,Not automatically parsed in this starter scoreboard.,Unknown in this pass.,Likely stress-defense focused.,Needs source-specific review.,Potential lower-return/cash-drag risk.,Diagnostic until reviewed,Included to avoid research-memory loss.,Maybe,Parse W/AA reports in a future memory-cleanup sprint.,docs/research/2026-04-25_phase_y_conditional_w1_sizing_report.md
Q-V / Trust / ML Allocator,trust-aware and abstention meta-allocators,ML / meta-allocation,trust model,plateaued,Can ML/trust layers decide when to trust production vs ML experts?,Q/R/S reports found useful trust concepts and bucket structure.,Repeated holdout residuals and plateau; Phase S recommended stopping narrow trust refinement.,"Some holdout Sharpe improvements vs ML references, not enough for production.",Mixed; branch plateaued.,Trust buckets helped stressed_panic production fallback.,"Some turnover improvements, but not final gate.",Complexity risk high.,Do not revive without new hypothesis,Three-sprint failure mode suggests pivot.,Limited,"Use lessons, not the old branch itself.",docs/research/2026-04-24_phase_s_targeted_trust_fix_report.md
ML Lab,"rankers, attention, decision-focused, RL, triple barrier",ML research,frontier ML,defer,Can advanced ML find allocation edge?,Generated study artifacts and possible future frameworks.,High overfitting risk before deployment architecture is fully mature.,No production proof.,Not ready.,Unknown.,Potentially high turnover/complexity.,Major hidden complexity risk.,Research-only,Governance says frontier ML comes after simpler deployment architecture.,Maybe later,Only revisit after transition-quality wrapper tests.,docs/research/ml_lab/phase_mlx_machine_learning_in_finance_study_guide.md
Pre-frontier Validation,"statistical validation, governance, scoreboard",research infrastructure,discipline layer,new,Can the project defend against overfitting and research-memory mistakes?,"Adds PSR/DSR proxy, purged CV utilities, PBO proxy, governance, and scoreboard.",Approximations depend on available logged trials.,No performance target; infrastructure only.,N/A.,N/A.,N/A.,Designed to flag hidden beta/cash issues.,Mandatory for frontier phase,Raises evidence standard before bigger ideas.,Yes,Use in every frontier sprint summary.,docs/research/statistical_validation_layer.md
