metric,canonical,registry_summary,legacy_population_vol_formula,canonical_minus_registry,canonical_minus_legacy
ann_return,0.07134169431933479,0.0713416943193356,0.07134169431933479,-8.049116928532385e-16,0.0
ann_vol,0.07523466354534096,0.0752346635453412,0.07520076642104977,-2.3592239273284576e-16,3.3897124291193403e-05
sharpe,0.9482556438408204,0.9482556438408292,0.9486830748491578,-8.770761894538737e-15,-0.00042743100833742
max_drawdown,-0.11603457885760937,-0.1160345788576096,-0.11603457885760937,2.220446049250313e-16,0.0
cvar_5,-0.02494792885739992,-0.0249479288573999,-0.02494792885739992,-2.0816681711721685e-17,0.0
calmar,0.6148313289168827,0.6148313289168892,,-6.439293542825908e-15,
avg_weekly_turnover,0.06738780265652737,0.0673878026565274,0.0673878026565274,-2.7755575615628914e-17,-2.7755575615628914e-17
holdout_ann_return,0.17909299664100753,0.1790929966410082,0.17909299664100753,-6.661338147750939e-16,0.0
holdout_ann_vol,0.08220610256668094,0.0822061025666811,0.08180992627249656,-1.5265566588595902e-16,0.00039617629418438327
holdout_sharpe,2.178585178584977,2.1785851785849784,2.1891352895793563,-1.3322676295501878e-15,-0.010550110994379303
holdout_max_drawdown,-0.07285258948618911,-0.0728525894861895,-0.07285258948618911,3.885780586188048e-16,0.0
holdout_cvar_5,-0.02300079828386332,-0.0230007982838633,-0.02300079828386332,-2.0816681711721685e-17,0.0
