strategy_name,audit_type,item,category,average_weight,max_weight,holding_frequency
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,UUP,Currency/dollar,0.003698831348755718,0.026701358511553735,0.12349397590361445
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,MUB,Bonds,0.0036651588387847447,0.034495975712809,0.1686746987951807
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,AGG,Bonds,0.0034541579900077457,0.031433289450304006,0.16265060240963855
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,LQD,Credit,0.0023556457643282708,0.016584230841313163,0.05421686746987952
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,XLP,US sectors,0.0023172835461940937,0.012389899506467305,0.02710843373493976
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,BKLN,Credit,0.0015600573401565567,0.034112759251504615,0.06325301204819277
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,VGIT,Bonds,0.0011456657841587546,0.01806638288951763,0.04819277108433735
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,VGSH,Bonds,0.0009646512881675192,0.09241111131447305,0.03313253012048193
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,TLT,Bonds,0.0006851824909287936,0.009788802052682927,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,XLU,US sectors,0.0004475983462405069,0.0069326471648484414,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,BND,Bonds,0.00014708346953723855,0.010191728268653213,0.0030120481927710845
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,MTUM,Factors/styles,0.00010094878794360003,0.0071519517696385015,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,VCIT,Credit,6.744492783658634e-05,0.012042137204701996,0.0030120481927710845
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,DBA,Commodities,2.72754629644581e-05,0.0012818977483764907,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,EWA,International equity,1.6662266666155446e-05,0.0007577486360391815,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,IAU,Commodities,1.267463528663895e-05,0.003221510012966375,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,FXE,Currency/dollar,1.0549402217735914e-05,0.0035024015362883237,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,EWJ,International equity,7.1736982588348465e-06,0.0008217940255874265,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,GLD,Commodities,3.1788630891582643e-06,0.0010553825456005438,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,ASHR,International equity,2.2069852450203444e-06,0.0007327191013467544,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,Bonds,Bonds,0.9606495360013703,1.0,1.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,Credit,Credit,0.030068232392649188,0.09285842437509859,0.6987951807228916
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,Currency/dollar,Currency/dollar,0.0046847413013012375,0.024413564808597712,0.10843373493975904
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,US sectors,US sectors,0.003812110956920701,0.018449462610169415,0.04819277108433735
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,Factors/styles,Factors/styles,0.00043154893381975223,0.011090834184930438,0.0030120481927710845
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,Commodities,Commodities,0.00017390486680809178,0.005928046659489374,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,International equity,International equity,0.0001538372061999936,0.008297244715837782,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,category,Real estate,Real estate,2.608834093071043e-05,0.0024507682733159227,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,summary,average_top3_weight,,0.8963092843385855,1.0,
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,summary,average_safe_asset_weight,,0.6651277408849835,1.0,
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,summary,average_BIL_weight,,0.591543608184058,1.0,
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,summary,average_sector_weight,,0.003812110956920701,0.018449462610169415,
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,summary,average_commodities_weight,,0.00017390486680809178,0.005928046659489374,
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,summary,average_SPY_QQQ_SMH_weight,,0.0,0.0,
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,BIL,Bonds,0.591543608184058,1.0,0.9969879518072289
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,SHV,Bonds,0.2694977474882579,0.6526527536161224,0.9939759036144579
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,SHY,Bonds,0.03391295291762324,0.12280545271753149,0.8373493975903614
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,STIP,Bonds,0.017359380081617266,0.05874578231484708,0.7620481927710844
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,VCSH,Credit,0.012795743083536584,0.06424800667926037,0.5873493975903614
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,MBB,Bonds,0.011614488524027886,0.06337108409642876,0.3825301204819277
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,MUB,Bonds,0.007664516629221713,0.029984711297799876,0.37650602409638556
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,TIP,Bonds,0.007587982373766314,0.02147728794450279,0.2710843373493976
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,JNK,Credit,0.006406857237728233,0.020702292763786424,0.2620481927710843
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,BKLN,Credit,0.006218431126445844,0.04382923411761859,0.2710843373493976
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,AGG,Bonds,0.006096955726030956,0.019196389028581045,0.2469879518072289
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,IEF,Bonds,0.005550044111560604,0.01425491444932483,0.05120481927710843
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,UUP,Currency/dollar,0.004552990365632195,0.024413564808597712,0.10843373493975904
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,LQD,Credit,0.0036345516969761124,0.015155150795137054,0.03313253012048193
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,BND,Bonds,0.0034910317332000145,0.018470105935564904,0.08734939759036145
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,VGSH,Bonds,0.003078125583894853,0.09908006231463845,0.09036144578313253
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,XLP,US sectors,0.002775333680817987,0.011544946043244717,0.012048192771084338
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,TLT,Bonds,0.0016961256177403818,0.008809543617061539,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,VGIT,Bonds,0.0015565770303711808,0.01716768879166905,0.06325301204819277
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,XLU,US sectors,0.0010331445480494248,0.007085417058721517,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,VCIT,Credit,0.001012649247962412,0.016555323257082543,0.0572289156626506
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,MTUM,Factors/styles,0.0003753810244912135,0.008241153235228248,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,FXE,Currency/dollar,0.00013175093566904344,0.0037272219770189755,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,IAU,Commodities,9.348159917483018e-05,0.005776305388344042,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,EWJ,International equity,7.747850353983592e-05,0.008297244715837782,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,DBA,Commodities,6.563719883988578e-05,0.0035820519559625758,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,EWA,International equity,5.7217682454440756e-05,0.004102711732556515,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,USMV,Factors/styles,3.797204250739276e-05,0.011090834184930438,0.0030120481927710845
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,REET,Real estate,1.8623494278674693e-05,0.001346103757723525,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,GLD,Commodities,1.4786068793375875e-05,0.001422842828528864,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,DVY,Factors/styles,1.388254388208459e-05,0.001630533906295188,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,EEM,International equity,1.0318644143281519e-05,0.0013702601024620162,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,ASHR,International equity,8.822376062435405e-06,0.0007923129272563931,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,IWD,Factors/styles,4.313322939061406e-06,0.0009141013993805736,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,VNQI,Real estate,4.137543894227313e-06,0.0009329198841429377,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,XBI,US sectors,3.6327280532892444e-06,0.0006097651429501068,0.0
decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,ticker,IYR,Real estate,3.327302757808427e-06,0.0011046645155923978,0.0
