strategy_name,audit_type,item,category,average_weight,max_weight,holding_frequency
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,Bonds,Bonds,0.9733713997285312,1.0,1.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,Credit,Credit,0.019984216928607038,0.12911402057930177,0.5180722891566265
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,Currency/dollar,Currency/dollar,0.003709380750973454,0.026701358511553735,0.12349397590361445
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,US sectors,US sectors,0.0027648818924346005,0.01720770246603964,0.045180722891566265
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,Factors/styles,Factors/styles,0.00010094878794360003,0.0071519517696385015,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,Commodities,Commodities,4.312896134025531e-05,0.003221510012966375,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,category,International equity,International equity,2.6042950170010633e-05,0.0015179044563212712,0.0
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,summary,average_top3_weight,,0.9279603807066256,1.0,
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,summary,average_safe_asset_weight,,0.697036713297982,1.0,
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,summary,average_BIL_weight,,0.6242474832600423,1.0,
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,summary,average_sector_weight,,0.0027648818924346005,0.01720770246603964,
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,summary,average_commodities_weight,,4.312896134025531e-05,0.003221510012966375,
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,summary,average_SPY_QQQ_SMH_weight,,0.0,0.0,
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,BIL,Bonds,0.6242474832600423,1.0,0.9849397590361446
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,SHV,Bonds,0.25731768781069875,0.7245355982225045,0.891566265060241
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,SHY,Bonds,0.040019410655365587,0.19204045848758303,0.8403614457831325
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,STIP,Bonds,0.015597168473067536,0.06621007539209728,0.608433734939759
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,MBB,Bonds,0.013785743022489217,0.07616572828746683,0.45481927710843373
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,VCSH,Credit,0.009989167994928137,0.10024399793415167,0.3493975903614458
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,IEF,Bonds,0.006341381420440742,0.019013999884474896,0.14457831325301204
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,JNK,Credit,0.006011900901357488,0.02802950958637737,0.2710843373493976
decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,ticker,TIP,Bonds,0.006000625224842089,0.028274685251133268,0.25903614457831325
