,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma
2006-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-07,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-14,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-21,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-28,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-04,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-11,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-18,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-25,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-08,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-15,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-22,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-29,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-06,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-13,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-20,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-27,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-03,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-10,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-17,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-24,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-08,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-15,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-22,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-29,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-12,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-19,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-26,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-02,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-09,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-16,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-23,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-02,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-09,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-16,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-23,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-06,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-13,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-20,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-27,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-04,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-11,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-18,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-25,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-08,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-15,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-22,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-29,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-06,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-13,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-20,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-27,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-03,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-10,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-17,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-24,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-07,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-14,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-21,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-05,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-12,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-19,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-26,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-02,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-09,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-16,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-23,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-07,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-14,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-21,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-28,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.013242243775591044,0.0066596745574522675,0.011770102347546076,0.0011971024663217159,0.007022500959347414,0.018706537913328842
2008-02-08,0.01359168123559373,0.017039817046525504,0.010783659093380285,-0.007777583780852118,0.014899820755581345,0.019618960451464523
2008-02-15,-0.011391398796463576,-0.00034649641615650244,0.002619476415941368,-0.020013199307932758,-0.0027560796812284077,-0.00671968313484649
2008-02-22,-0.015099794770533411,0.0007721342215607045,-0.0012927286113361457,-0.04070122147591721,0.00017061540839651348,-0.0029132435695489707
2008-02-29,-0.010890449761207,-0.00395132612829946,-0.0018448535382871037,-0.040552555015443546,-0.0004402581117968129,-0.005266046606157764
2008-03-07,-0.014221837904874985,0.0007212934863080334,0.0028758350744312903,-0.02856253823635377,0.004316860140460227,-0.0039073034526341316
2008-03-14,-0.00131808170212177,0.0035942189872587224,0.005466953029446621,-0.036118274935075426,0.005667049039823036,0.008150444806731013
2008-03-21,0.008991068097271637,0.024333671351164335,0.012912126949909824,0.00875325931298295,0.026530306001923347,0.018114018000540338
2008-03-28,0.0003707562668598726,0.015914996498771112,0.0080436145253575,-0.0014339869605392913,0.01714774997604207,0.00933834212151329
2008-04-04,0.0003395365987797685,0.0035600405534786227,0.005569990376467732,-0.00933414888622788,0.011373776543695658,0.008553135418818716
2008-04-11,9.857564777906135e-05,0.009607462644988343,0.009429842634723727,-0.001687500310548931,0.015206808699510854,0.011350929060997595
2008-04-18,0.00476102762377659,0.011429554678202827,0.010174993854970274,0.0008515088664877261,0.01870199978455657,0.013145356928778579
2008-04-25,0.013093088527923485,0.008758499349973822,0.009469302185845196,0.006463016939887553,0.01529168729191202,0.027396183934241647
2008-05-02,0.01302655208976614,0.006395169450240006,0.006283508999398625,0.005237802455564124,0.010969207114382132,0.02330561502761872
2008-05-09,0.0650836134866643,0.056551624268927674,0.053781072079534864,0.05187340070355537,0.05837325709513212,0.08569313640592474
2008-05-16,0.04011537693773033,0.04653569915807186,0.03697902747169499,0.035692763679626587,0.0437199980363383,0.060385383607452735
2008-05-23,0.04170732712963311,0.046126734609901576,0.044451226709048705,0.041320067600494344,0.04654016854875826,0.06252664920717554
2008-05-30,0.032400373342092545,0.04174667620603866,0.030763262310300677,0.03232805264334457,0.04574954315515953,0.05552209876261404
2008-06-06,0.048626848496238634,0.04093222689143376,0.039102482923250415,0.03756811649317762,0.049413452242285376,0.07390820452481958
2008-06-13,0.06629302872172338,0.05832957905726894,0.05413269787308275,0.046866184647396426,0.058352360658769364,0.08798306781689721
2008-06-20,0.07390956581522413,0.062858197834865,0.052723841267256336,0.06529306679348693,0.051457298929898324,0.09897612472274538
2008-06-27,0.06848829741088629,0.044330896463927086,0.044866227336316795,0.052868500529301914,0.037635242550992466,0.0963713752352384
2008-07-04,0.06466321866613683,0.04737757301421581,0.0469077087831731,0.05614378142885436,0.04264075171863521,0.08725692363305045
2008-07-11,-0.0014531838565727167,-0.009975188856745917,-0.008270705181875226,-0.00796916641507927,-0.008143933605291264,0.014208262212730183
2008-07-18,0.008541463399750378,-0.00379036613427173,-0.00023462414739786833,0.0042669444911964186,0.0025188888105709623,0.01604982939876029
2008-07-25,0.01821524716459381,0.005006948921834913,0.001996254246109475,0.01498120258102815,0.012553673734248167,0.026208018286941873
2008-08-01,-0.01890935145719344,-0.022922279049238412,-0.01727581422569772,-0.013685472036268211,-0.01367981745221887,-0.0072192384795377665
2008-08-08,0.014976601395471292,0.00010647136704769553,0.0019097972916032819,-0.00541760071999812,0.005446966412758734,0.02732458611782071
2008-08-15,0.02082361150403913,0.012761472095236193,0.0014832162459051676,0.006158015122751388,0.00023143680789194238,0.03370519138738718
2008-08-22,0.003417085576796156,0.0006976301106489669,-0.01353975063592465,-0.009569609327603569,-0.020326502328689836,0.007565771534196916
2008-08-29,0.012445209397384492,0.005502714526212544,-0.010263790396404258,-0.009701971732915645,-0.014900166937122285,0.007309565493822408
2008-09-05,-0.022833835166043967,-0.026480759679292896,-0.04464497621976468,-0.04107601048366072,-0.03874765278796516,-0.029915171550513635
2008-09-12,-0.007263888121925953,-0.016088459406548596,-0.02989444181657996,-0.023947558140207905,-0.015700116913971322,-0.026142583583380476
2008-09-19,-0.006457077620284012,-0.008626126346896676,-0.011839660256784203,-0.004013363686154851,-0.011271977549703587,-0.009019655748433348
2008-09-26,0.006893965924699846,0.003315817542692824,0.004774949161828014,0.003908261415578562,-0.0016640254285332284,-0.004666155496246778
2008-10-03,-0.010397188463266621,-0.009416793541140563,-0.01226567059673759,-0.016053043911017115,-0.021426287879668736,-0.02100395626343957
2008-10-10,-0.021675221489438852,-0.012852087153511757,-0.019448217014530107,-0.02916431153370694,-0.020401244872591685,-0.02781738234770906
2008-10-17,0.03297188782845202,0.028421767819289984,0.02638245044225094,0.028401425338075006,0.028926851525856393,0.023217648144543804
2008-10-24,0.011764441786894456,0.0038143318470092707,-0.002852203197909702,0.008780400017018315,0.007937105266996345,0.011151302422884653
2008-10-31,0.02127613679824414,0.012392745219244498,0.007764424628788176,0.023536449552558802,0.01069344702513722,-0.006444466585496264
2008-11-07,-0.003423995598270186,-0.022029785155782914,-0.02711622321347346,-0.002399789184544157,-0.017337677473049436,-0.03062847003983685
2008-11-14,-0.01676797177907509,-0.036048873929854536,-0.035799189493998865,-0.022034772857010814,-0.02702099152427943,-0.04391929861111578
2008-11-21,-0.06157291529412397,-0.05964982973646371,-0.06448501034327846,-0.0685123721465398,-0.0477695789007062,-0.0927182705888991
2008-11-28,-0.05848919135870928,-0.04564008385991687,-0.055937144743709616,-0.06887111172547007,-0.04587131543938876,-0.07648596611006232
2008-12-05,-0.07450646637219752,-0.0575316553606979,-0.0668097504780679,-0.07140566490721316,-0.05287426377946716,-0.09687617683495871
2008-12-12,-0.06723265793712664,-0.057434473352587154,-0.06914476356781607,-0.08229738572280335,-0.052107364946625864,-0.09154147605320258
2008-12-19,-0.07365490440520338,-0.07878685835817509,-0.09083543134419125,-0.10128035448396697,-0.06526740214814075,-0.11341279931202682
2008-12-26,-0.07079704470616577,-0.08350822008145718,-0.09489603369176712,-0.10201630284409641,-0.07163658385497634,-0.11199636410186152
2009-01-02,-0.07041323860343586,-0.08835141259116648,-0.09605894650247608,-0.09459401334555892,-0.07201080037079052,-0.10639353824212262
2009-01-09,-0.07103154206908495,-0.08272792352521463,-0.0976158152041968,-0.09482167428453966,-0.07361749211533967,-0.11061031123823335
2009-01-16,-0.08110911918003055,-0.09388327892156828,-0.10224051927479295,-0.10166705053246142,-0.07862527201929864,-0.12293682554211162
2009-01-23,-0.08397521454348063,-0.09434040731434733,-0.09403396134604076,-0.10267593378869665,-0.07936565071395908,-0.12059901938246505
2009-01-30,-0.004821956939999414,-0.015323046528031641,-0.01971066644036453,-0.022959265018183177,-0.006437740266177109,-0.008345845034573654
2009-02-06,-0.003145329451502678,-0.013581744174231048,-0.019978312443725416,-0.019977886641473666,-0.008561959740793285,-0.017175447621188646
2009-02-13,-0.007398334457890359,-0.01867856449151766,-0.021838330882466034,-0.024027578294851318,-0.005974751414976526,-0.030774081406238087
2009-02-20,0.004339940565999799,-0.010308285588444271,-0.006825402502032197,-0.009115066342653988,0.008560211877623602,-0.02896842213806402
2009-02-27,0.005265512454365215,0.0032410538318145355,0.0020119008308044552,0.001763288250476773,0.013215045988232347,-0.019578940542033553
2009-03-06,-0.0015199231839840817,-0.0024267565967094947,0.005725280189845908,-0.005282988886784088,0.012390411955112583,-0.02258528823269343
2009-03-13,0.0001855620068975895,-0.0017027315807413073,0.0010308077454666328,-0.0008408254756054343,0.005138350829139289,-0.02177949167313676
2009-03-20,-0.0018230586905326794,-0.0021159601012696455,-0.006335758428877016,-0.0005402216834040222,0.002480191568984336,-0.02357677213778145
2009-03-27,-0.00750135028616874,-0.007588986944539444,-0.011918404572637034,-0.0013010869478693463,0.006553736528850756,-0.024133922960032646
2009-04-03,-0.006305107250629393,-0.01100203691081006,-0.016727732186451058,0.0023642526732362617,-0.00382631449369881,-0.025106701182446935
2009-04-10,-0.0059632546104813645,-0.011790945151812187,-0.019584093503487256,-0.0017550729406127803,-0.010950362636136942,-0.028912955931930613
2009-04-17,-0.03893658680593534,-0.04191589824232473,-0.04466548494626105,-0.030449080412481185,-0.03884986625772891,-0.061120145898943004
2009-04-24,-0.03226122733330161,-0.036356932476038654,-0.03731955544986944,-0.026510560585091006,-0.029669500081960523,-0.05147874223468755
2009-05-01,-0.039467110128702784,-0.04125007203983533,-0.04460405447298094,-0.029924436303882397,-0.029893831322214605,-0.048602398392656065
2009-05-08,-0.004403384367907335,-0.00545248619485722,-0.004384667609362293,0.005387646256846819,0.0023324071440039983,-0.011509817311377847
2009-05-15,-0.03262148388751779,-0.04482654181800049,-0.039246722847460266,-0.03136886011343918,-0.034000396907212446,-0.04931038441736525
2009-05-22,0.005320981629352154,-0.006852929924841112,-0.006408472929688122,0.00539480870132547,-0.006910717259854801,-0.01076425078740067
2009-05-29,0.005418293115025438,-0.007195526729227764,-0.0018948999427346874,0.0022910989811423185,-0.005665352155561647,-0.01339605425604509
2009-06-05,0.0003135726260991385,-0.014529272382709362,-0.013006663359849914,-0.005168134440016807,-0.012821924850376353,-0.014622989858031241
2009-06-12,-0.00037340014257581777,-0.011973056920936224,-0.01533967092273693,0.0013612360737760539,-0.010510132828605709,-0.014204297896483668
2009-06-19,0.0102880844532111,-0.0018148964949423639,-0.001916449458981109,0.015304071109115948,-0.004095877976594333,0.020570423991511454
2009-06-26,0.004391746784227904,-0.007890389499257406,-0.0024953903314361876,0.012607789156186308,-0.006753167296250457,0.01411478860302787
2009-07-03,0.0016596968194718164,-0.006154753228691863,-0.003946038775281307,0.008678668446182414,-0.0094016964063885,0.009511439927760707
2009-07-10,0.002535500850465787,-0.0030819462643155403,0.0030273179044858077,0.00333815754308665,-0.009829464647503191,0.015774005786203183
2009-07-17,0.004502421080228407,-0.017285311338297263,-0.014621139925745456,0.0037788249872845424,-0.005840282668261851,-0.00531801464414491
2009-07-24,-0.011502038107412292,-0.027583662154162226,-0.027677564533643804,-0.010814667773460773,-0.020387615490171103,-0.02577421528072093
2009-07-31,0.0063226696599960105,0.000762155788813613,0.008392027761466934,0.010296267303990459,0.000379580240273107,-0.0007942670764980071
2009-08-07,0.01378346346976857,0.0015023373683920906,0.0055498937822858795,0.020212580841971344,0.007772147789460013,-0.011096627622375246
2009-08-14,0.017330449448665387,0.00674187928215684,0.015955477391647887,0.016555590682926006,0.007824523515583747,0.0012064037304264225
2009-08-21,0.016153118267407066,0.006500563324840749,0.009945184974984162,0.014593794718127131,0.0018680550262502268,0.0005244214917953065
2009-08-28,-0.0070723523504192904,-0.016644293567089775,-0.011248433329676403,-0.009507213649232914,-0.019745087037076205,-0.022303654428426873
2009-09-04,-0.007789217436386745,-0.01350619199873257,-0.00690785951255845,-0.01166242489885845,-0.01780474006489498,-0.01283399825078545
2009-09-11,0.002839471360358945,-0.004263265827345631,0.00149054395513302,-0.00467245203913419,-0.011611424048001463,-0.013580779470585402
2009-09-18,-0.021570873447651,-0.02967245933451973,-0.025706557993073167,-0.026235105536597587,-0.036535063791217536,-0.04607875583428686
2009-09-25,-0.002830832856460884,-0.0029587176724730204,-0.005515520758673676,-0.005636471888916924,-0.014908707916804088,-0.02243314194443196
2009-10-02,0.0022496270505843407,0.0006999431519570457,-0.0037846778135932424,-0.0045162122064579995,-0.009061386787674867,-0.010541914826119665
2009-10-09,-0.0014633288811191905,-0.006290814231976982,-0.016177023554642057,-0.003926002340607678,-0.00477774455353958,-0.027850383576341627
2009-10-16,-0.004869516535750029,-0.005859368686012052,-0.006291196740414431,0.003527596442923225,-0.002436403066194621,-0.00847172765637964
2009-10-23,-0.0006683768604438135,-0.006185751074311306,-0.005312007332816262,0.0020990330508793686,-0.003416337260483341,-0.006862204057195173
2009-10-30,-2.4676320466912073e-05,0.0073539282781246275,-0.0019719600669295297,0.004813822933677369,0.005389574991643871,-0.005400330854319864
2009-11-06,0.0008312103326501711,0.005996617872082462,0.005821336329010717,0.0025323968132039184,0.010717412220451932,0.0017429862526322534
2009-11-13,-0.013961083420558098,-0.005976834161834252,-0.007465840331323913,-0.004561841637518194,-0.013691868007192028,-0.010778463804712483
2009-11-20,-0.010088427717520398,-0.005955433124621848,-0.002019722764561808,-0.005428879550833494,-0.0005449793250775683,-0.006052477698804679
2009-11-27,-0.010235378405599672,-0.009342833009158353,-0.010047219464725438,-0.007183349017440705,0.0018318110114286194,-0.008399817770850988
2009-12-04,-0.01830070993249901,-0.021801812239474045,-0.02225150414127856,-0.02564271296232142,-0.022679377435969393,-0.02372677419455098
2009-12-11,-0.012673941221754938,-0.020100228815739602,-0.017020991165127623,-0.024558510156472247,-0.01899722726800024,-0.015496549227839627
2009-12-18,-0.014336699473292875,-0.016839356509188597,-0.018816968881175563,-0.0177129257331991,-0.018622502261361598,-0.01914955129640565
2009-12-25,-0.028603338664331207,-0.025378173540774738,-0.03060789030632726,-0.03380262525378659,-0.027248938303559657,-0.02460374668409854
2010-01-01,-0.014977763017131173,-0.021125395614787292,-0.02724072019888263,-0.028509935907936247,-0.021168730816609478,-0.017419371321821177
2010-01-08,-0.0282069606819806,-0.029362168599350313,-0.024616214812413693,-0.033045686394814706,-0.034507024045371246,-0.028817416519810957
2010-01-15,-0.025761426013986535,-0.026898712598744795,-0.026807712476469472,-0.025165546815501493,-0.02742675887769213,-0.025385612201137657
2010-01-22,-0.010800096604603644,-0.018270265702973226,-0.017490761988594995,-0.014218644647998744,-0.016422029261621,-0.013430183091964407
2010-01-29,0.017962717695264852,0.011887678193665763,0.006931891532199302,0.009907351043897096,0.011009248576137515,0.015534792779594426
2010-02-05,0.02196007242287497,0.01087893569622142,0.0035869410012489425,0.012471327912400056,0.013024776779713435,0.01801510101249513
2010-02-12,0.01920479144549338,0.00420022609125284,-0.0012495059080394923,0.00936782296059381,0.007677282307910856,0.013363681063658539
2010-02-19,0.007538540410084062,-0.0017184845344296847,-0.005881481503785654,0.000771576407577035,-0.0014249951513662365,0.004134516092151103
2010-02-26,0.015368794310756002,0.0009284968243681475,0.0005220273397485578,0.007506015537338541,0.005534386531365939,0.012078278778258698
2010-03-05,0.0024247080860790443,-0.00961731528167234,-0.013531030144251523,-0.0018388670844656863,-0.0044766261199429965,-0.006333229060615631
2010-03-12,0.0018220850195320203,-0.005450929772254657,-0.010318883076891428,0.0002641496985155605,0.0005534470443129625,-0.0017787727761667356
2010-03-19,-0.004337337416080303,-0.009593337539579791,-0.018140365499742114,-0.004580869161420525,-0.006036700096613354,-0.005997896847663075
2010-03-26,-0.0019066360375127817,-0.010552225138099228,-0.0169167565886953,-0.003745345261813229,-0.004673999831610965,-0.005807797605890054
2010-04-02,0.0004756768352478895,-0.006234691912700611,-0.015037803904224784,-0.0033121661679644124,5.136695622102658e-05,-0.0015267134305078965
2010-04-09,-0.006510114996466446,-0.011384516754892243,-0.014408292274090156,-0.007558376800181082,-0.004341551121021165,-0.007694284745259791
2010-04-16,-0.008257093753859822,-0.013645270893556365,-0.0200164802072918,-0.010254492163196492,-0.010257067080039858,-0.012335706285487903
2010-04-23,-0.007787409904482769,-0.008279685906084043,-0.013992386848129739,-0.0036617619371702203,-0.01098150376805955,-0.008740762564894752
2010-04-30,-0.0019226695589415468,-0.005164264590418864,-0.013327208744390213,-0.00598121148903833,-0.008213600382193383,-0.008759910742557709
2010-05-07,0.0034605945182992295,-0.0031011584737893278,-0.005829754034262609,-0.006980907344752994,-0.0004497572199741156,-0.0007748596879359115
2010-05-14,-0.0018291650142934308,-0.005034107901421769,-0.00344095661524495,-0.008987442251666929,-0.00762060741741694,-0.005636589726410123
2010-05-21,0.0018617961603508374,-0.0011423024141486325,-0.007850461754577532,-0.005132445183065327,-0.0017285586799189725,-0.0015560133181714798
2010-05-28,0.0037250045623884675,0.005582976451423553,0.0009741093778836123,0.00021295941658638993,-0.000987232691943632,0.0021465429168533324
2010-06-04,-0.005897077916271633,-0.012061120793242466,-0.00840724296161471,-0.008561836956685682,-0.006426478713824316,-0.005595387637400715
2010-06-11,-0.006889829015801904,-0.0062992005240350086,-0.006982866514668419,-0.0078557138210574,-0.003743796278829513,-0.007543932790136171
2010-06-18,-0.0052383516338168875,0.001104240538885224,0.00436550324502342,-0.0024038375108312244,-0.0018305237445260065,-0.0013048833701799724
2010-06-25,-0.011580720219684534,-0.007891729793665835,-0.0053394080149104005,-0.007602262838284273,-0.007774476445472244,-0.007363764838140154
2010-07-02,-0.005856607505495826,-0.003348236356231617,0.0007092411333958449,-0.0002333492236304838,-0.001198077237155733,0.0026255321749008506
2010-07-09,-0.005507125204638075,-0.0014369069361852135,-0.0008261780352449974,0.003225835527151233,-0.004611509718961547,0.0015240914306078714
2010-07-16,-0.002901159079188173,-0.004677710008230799,-0.0010248164636942397,0.005792886927898139,-0.002815082153786734,0.001174644115816228
2010-07-23,-0.005249547433334918,0.0011548054211728345,0.0028246958512928143,0.008163897528959947,-0.003508240503765167,0.0051875899027357
2010-07-30,-0.024927391997747156,-0.012058601658159456,-0.013964857555711117,-0.003830075186894345,-0.010558825516495098,-0.010555362387893407
2010-08-06,-0.009922153951566055,0.0006525306873089226,-0.0018361448428397377,0.010736559543144324,-0.007530726108983045,-0.0005110677187250444
2010-08-13,-0.02696361805860057,-0.019782413318219033,-0.019150617679764673,-0.00010544589396243188,-0.02053278628107468,-0.011497852472323239
2010-08-20,-0.016010687233357374,-0.007130310204776066,-0.006907562288433357,0.0041431080805066365,-0.014294493939766797,-0.002361778153319771
2010-08-27,-0.0218005664291274,-0.011448055012431277,-0.0059068359057041315,-0.0013083288433708637,-0.016725599890954828,-0.007750794860253746
