,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,phase4b_sector_blend_spy_qqq_sleeve,cash::BIL
2006-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-30,0.11304130461476897,0.0,0.2019303006772693,0.09892383034859381,0.20246653001412696,0.11697136767857433,0.06666666666666667,0.20000000000000007
2006-07-07,0.11304130461476897,0.0,0.2019303006772693,0.09892383034859381,0.20246653001412696,0.11697136767857433,0.06666666666666667,0.20000000000000007
2006-07-14,0.11304130461476897,0.0,0.2019303006772693,0.09892383034859381,0.20246653001412696,0.11697136767857433,0.06666666666666667,0.20000000000000007
2006-07-21,0.11304130461476897,0.0,0.2019303006772693,0.09892383034859381,0.20246653001412696,0.11697136767857433,0.06666666666666667,0.20000000000000007
2006-07-28,0.0873563718850327,0.18,0.18094750188513972,0.07462808157575058,0.14973016042631074,0.09400455089443294,0.03333333333333333,0.19999999999999996
2006-08-04,0.0873563718850327,0.18,0.18094750188513972,0.07462808157575058,0.14973016042631074,0.09400455089443294,0.03333333333333333,0.19999999999999996
2006-08-11,0.0873563718850327,0.18,0.18094750188513972,0.07462808157575058,0.14973016042631074,0.09400455089443294,0.03333333333333333,0.19999999999999996
2006-08-18,0.0873563718850327,0.18,0.18094750188513972,0.07462808157575058,0.14973016042631074,0.09400455089443294,0.03333333333333333,0.19999999999999996
2006-08-25,0.07532143832521737,0.27,0.17040171478343696,0.06395672108782124,0.12107248027186812,0.0825809788649897,0.01666666666666667,0.19999999999999984
2006-09-01,0.07532143832521737,0.27,0.17040171478343696,0.06395672108782124,0.12107248027186812,0.0825809788649897,0.01666666666666667,0.19999999999999984
2006-09-08,0.07532143832521737,0.27,0.17040171478343696,0.06395672108782124,0.12107248027186812,0.0825809788649897,0.01666666666666667,0.19999999999999984
2006-09-15,0.07532143832521737,0.27,0.17040171478343696,0.06395672108782124,0.12107248027186812,0.0825809788649897,0.01666666666666667,0.19999999999999984
2006-09-22,0.07532143832521737,0.27,0.17040171478343696,0.06395672108782124,0.12107248027186812,0.0825809788649897,0.01666666666666667,0.19999999999999984
2006-09-29,0.07112038770436095,0.31500000000000006,0.16813279068095108,0.06048943730554164,0.09786980872962024,0.07905424224619283,0.008333333333333335,0.19999999999999984
2006-10-06,0.07112038770436095,0.31500000000000006,0.16813279068095108,0.06048943730554164,0.09786980872962024,0.07905424224619283,0.008333333333333335,0.19999999999999984
2006-10-13,0.07112038770436095,0.31500000000000006,0.16813279068095108,0.06048943730554164,0.09786980872962024,0.07905424224619283,0.008333333333333335,0.19999999999999984
2006-10-20,0.07112038770436095,0.31500000000000006,0.16813279068095108,0.06048943730554164,0.09786980872962024,0.07905424224619283,0.008333333333333335,0.19999999999999984
2006-10-27,0.08357366326053658,0.34166865725492807,0.1367782240379947,0.08204333894447735,0.11690269253970485,0.10958618344018838,0.08055595833333332,0.04889128218883687
2006-11-03,0.08357366326053658,0.34166865725492807,0.1367782240379947,0.08204333894447735,0.11690269253970485,0.10958618344018838,0.08055595833333332,0.04889128218883687
2006-11-10,0.08357366326053658,0.34166865725492807,0.1367782240379947,0.08204333894447735,0.11690269253970485,0.10958618344018838,0.08055595833333332,0.04889128218883687
2006-11-17,0.08357366326053658,0.34166865725492807,0.1367782240379947,0.08204333894447735,0.11690269253970485,0.10958618344018838,0.08055595833333332,0.04889128218883687
2006-11-24,0.08133588593038184,0.4409231968813438,0.13583655009376588,0.05155558475062447,0.06840745649564665,0.06947163601943211,0.1524696898288054,0.0
2006-12-01,0.08133588593038184,0.4409231968813438,0.13583655009376588,0.05155558475062447,0.06840745649564665,0.06947163601943211,0.1524696898288054,0.0
2006-12-08,0.08133588593038184,0.4409231968813438,0.13583655009376588,0.05155558475062447,0.06840745649564665,0.06947163601943211,0.1524696898288054,0.0
2006-12-15,0.08133588593038184,0.4409231968813438,0.13583655009376588,0.05155558475062447,0.06840745649564665,0.06947163601943211,0.1524696898288054,0.0
2006-12-22,0.08133588593038184,0.4409231968813438,0.13583655009376588,0.05155558475062447,0.06840745649564665,0.06947163601943211,0.1524696898288054,0.0
2006-12-29,0.07877808000063381,0.4490923196881344,0.13308337246135368,0.050531841363538735,0.0639041235579721,0.06536329394548683,0.15924696898288054,0.0
2007-01-05,0.07877808000063381,0.4490923196881344,0.13308337246135368,0.050531841363538735,0.0639041235579721,0.06536329394548683,0.15924696898288054,0.0
2007-01-12,0.07877808000063381,0.4490923196881344,0.13308337246135368,0.050531841363538735,0.0639041235579721,0.06536329394548683,0.15924696898288054,0.0
2007-01-19,0.07877808000063381,0.4490923196881344,0.13308337246135368,0.050531841363538735,0.0639041235579721,0.06536329394548683,0.15924696898288054,0.0
2007-01-26,0.07712995537702746,0.4499092319688134,0.13114114810045358,0.050850582270552294,0.06512096957767285,0.06592341580719237,0.15992469689828806,0.0
2007-02-02,0.07712995537702746,0.4499092319688134,0.13114114810045358,0.050850582270552294,0.06512096957767285,0.06592341580719237,0.15992469689828806,0.0
2007-02-09,0.07712995537702746,0.4499092319688134,0.13114114810045358,0.050850582270552294,0.06512096957767285,0.06592341580719237,0.15992469689828806,0.0
2007-02-16,0.07712995537702746,0.4499092319688134,0.13114114810045358,0.050850582270552294,0.06512096957767285,0.06592341580719237,0.15992469689828806,0.0
2007-02-23,0.0861515844964473,0.3247583370349893,0.1840300318976749,0.06410262527774259,0.09624179458283821,0.08472315702047896,0.15999246968982883,0.0
2007-03-02,0.0861515844964473,0.3247583370349893,0.1840300318976749,0.06410262527774259,0.09624179458283821,0.08472315702047896,0.15999246968982883,0.0
2007-03-09,0.0861515844964473,0.3247583370349893,0.1840300318976749,0.06410262527774259,0.09624179458283821,0.08472315702047896,0.15999246968982883,0.0
2007-03-16,0.0861515844964473,0.3247583370349893,0.1840300318976749,0.06410262527774259,0.09624179458283821,0.08472315702047896,0.15999246968982883,0.0
2007-03-23,0.0861515844964473,0.3247583370349893,0.1840300318976749,0.06410262527774259,0.09624179458283821,0.08472315702047896,0.15999246968982883,0.0
2007-03-30,0.09110663730388499,0.25168533352661376,0.15466648108243686,0.08752490603626585,0.11522425209569223,0.09864380058804992,0.1512604404223821,0.049888148944674415
2007-04-06,0.09110663730388499,0.25168533352661376,0.15466648108243686,0.08752490603626585,0.11522425209569223,0.09864380058804992,0.1512604404223821,0.049888148944674415
2007-04-13,0.09110663730388499,0.25168533352661376,0.15466648108243686,0.08752490603626585,0.11522425209569223,0.09864380058804992,0.1512604404223821,0.049888148944674415
2007-04-20,0.09110663730388499,0.25168533352661376,0.15466648108243686,0.08752490603626585,0.11522425209569223,0.09864380058804992,0.1512604404223821,0.049888148944674415
2007-04-27,0.09582325136977385,0.22294164789376283,0.14458659137726748,0.10087786150732786,0.12716150703823031,0.10767376356297821,0.15088715033650127,0.05004822691415811
2007-05-04,0.09582325136977385,0.22294164789376283,0.14458659137726748,0.10087786150732786,0.12716150703823031,0.10767376356297821,0.15088715033650127,0.05004822691415811
2007-05-11,0.09582325136977385,0.22294164789376283,0.14458659137726748,0.10087786150732786,0.12716150703823031,0.10767376356297821,0.15088715033650127,0.05004822691415811
2007-05-18,0.09582325136977385,0.22294164789376283,0.14458659137726748,0.10087786150732786,0.12716150703823031,0.10767376356297821,0.15088715033650127,0.05004822691415811
2007-05-25,0.09382189663969223,0.23498607095555854,0.12727763853571786,0.10069917935489102,0.15218255074241901,0.09019094454732582,0.15071408099067252,0.050127638233723015
2007-06-01,0.09382189663969223,0.23498607095555854,0.12727763853571786,0.10069917935489102,0.15218255074241901,0.09019094454732582,0.15071408099067252,0.050127638233723015
2007-06-08,0.09382189663969223,0.23498607095555854,0.12727763853571786,0.10069917935489102,0.15218255074241901,0.09019094454732582,0.15071408099067252,0.050127638233723015
2007-06-15,0.09382189663969223,0.23498607095555854,0.12727763853571786,0.10069917935489102,0.15218255074241901,0.09019094454732582,0.15071408099067252,0.050127638233723015
2007-06-22,0.09382189663969223,0.23498607095555854,0.12727763853571786,0.10069917935489102,0.15218255074241901,0.09019094454732582,0.15071408099067252,0.050127638233723015
2007-06-29,0.09551130744343393,0.20198879975797573,0.15233398560841907,0.13767801523213474,0.19463942565182205,0.09240808521977874,0.07500223077531827,0.050438150311117425
2007-07-06,0.09551130744343393,0.20198879975797573,0.15233398560841907,0.13767801523213474,0.19463942565182205,0.09240808521977874,0.07500223077531827,0.050438150311117425
2007-07-13,0.09551130744343393,0.20198879975797573,0.15233398560841907,0.13767801523213474,0.19463942565182205,0.09240808521977874,0.07500223077531827,0.050438150311117425
2007-07-20,0.09551130744343393,0.20198879975797573,0.15233398560841907,0.13767801523213474,0.19463942565182205,0.09240808521977874,0.07500223077531827,0.050438150311117425
2007-07-27,0.06859432960118213,0.15186554422386705,0.16418169195408325,0.10800437678867872,0.19626737948609754,0.07949221959674119,0.03159445834935017,0.19999999999999996
2007-08-03,0.06859432960118213,0.15186554422386705,0.16418169195408325,0.10800437678867872,0.19626737948609754,0.07949221959674119,0.03159445834935017,0.19999999999999996
2007-08-10,0.06859432960118213,0.15186554422386705,0.16418169195408325,0.10800437678867872,0.19626737948609754,0.07949221959674119,0.03159445834935017,0.19999999999999996
2007-08-17,0.06859432960118213,0.15186554422386705,0.16418169195408325,0.10800437678867872,0.19626737948609754,0.07949221959674119,0.03159445834935017,0.19999999999999996
2007-08-24,0.06859432960118213,0.15186554422386705,0.16418169195408325,0.10800437678867872,0.19626737948609754,0.07949221959674119,0.03159445834935017,0.19999999999999996
2007-08-31,0.030169798002179882,0.06628821378812155,0.08873097817026435,0.05163878874464263,0.11415985763347868,0.041113749073975414,0.007898614587337543,0.6
2007-09-07,0.030169798002179882,0.06628821378812155,0.08873097817026435,0.05163878874464263,0.11415985763347868,0.041113749073975414,0.007898614587337543,0.6
2007-09-14,0.030169798002179882,0.06628821378812155,0.08873097817026435,0.05163878874464263,0.11415985763347868,0.041113749073975414,0.007898614587337543,0.6
2007-09-21,0.030169798002179882,0.06628821378812155,0.08873097817026435,0.05163878874464263,0.11415985763347868,0.041113749073975414,0.007898614587337543,0.6
2007-09-28,0.07910827690570986,0.14155550826693902,0.18282558625260192,0.1750897052498636,0.2874755057395103,0.09589120015096382,0.005715437515397446,0.032338779919013905
2007-10-05,0.07910827690570986,0.14155550826693902,0.18282558625260192,0.1750897052498636,0.2874755057395103,0.09589120015096382,0.005715437515397446,0.032338779919013905
2007-10-12,0.07910827690570986,0.14155550826693902,0.18282558625260192,0.1750897052498636,0.2874755057395103,0.09589120015096382,0.005715437515397446,0.032338779919013905
2007-10-19,0.07910827690570986,0.14155550826693902,0.18282558625260192,0.1750897052498636,0.2874755057395103,0.09589120015096382,0.005715437515397446,0.032338779919013905
2007-10-26,0.028154026237768276,0.05459985394192977,0.08678797068825275,0.06083067370158928,0.1278371655191333,0.04060902096499084,0.0011812889463358072,0.6
2007-11-02,0.028154026237768276,0.05459985394192977,0.08678797068825275,0.06083067370158928,0.1278371655191333,0.04060902096499084,0.0011812889463358072,0.6
2007-11-09,0.028154026237768276,0.05459985394192977,0.08678797068825275,0.06083067370158928,0.1278371655191333,0.04060902096499084,0.0011812889463358072,0.6
2007-11-16,0.028154026237768276,0.05459985394192977,0.08678797068825275,0.06083067370158928,0.1278371655191333,0.04060902096499084,0.0011812889463358072,0.6
2007-11-23,0.028154026237768276,0.05459985394192977,0.08678797068825275,0.06083067370158928,0.1278371655191333,0.04060902096499084,0.0011812889463358072,0.6
2007-11-30,0.025718920235315752,0.051869322778494736,0.09274772210674836,0.05545894733896618,0.1326954306159698,0.040919012451337236,0.0005906444731679034,0.6
2007-12-07,0.025718920235315752,0.051869322778494736,0.09274772210674836,0.05545894733896618,0.1326954306159698,0.040919012451337236,0.0005906444731679034,0.6
2007-12-14,0.025718920235315752,0.051869322778494736,0.09274772210674836,0.05545894733896618,0.1326954306159698,0.040919012451337236,0.0005906444731679034,0.6
2007-12-21,0.025718920235315752,0.051869322778494736,0.09274772210674836,0.05545894733896618,0.1326954306159698,0.040919012451337236,0.0005906444731679034,0.6
2007-12-28,0.05027459483096807,0.10287342733912137,0.1969108242181844,0.1090676156017795,0.2615684575863865,0.07871443595039235,0.0005906444731679036,0.19999999999999984
2008-01-04,0.05027459483096807,0.10287342733912137,0.1969108242181844,0.1090676156017795,0.2615684575863865,0.07871443595039235,0.0005906444731679036,0.19999999999999984
2008-01-11,0.05027459483096807,0.10287342733912137,0.1969108242181844,0.1090676156017795,0.2615684575863865,0.07871443595039235,0.0005906444731679036,0.19999999999999984
2008-01-18,0.05027459483096807,0.10287342733912137,0.1969108242181844,0.1090676156017795,0.2615684575863865,0.07871443595039235,0.0005906444731679036,0.19999999999999984
2008-01-25,0.023653307641136476,0.049121859780256766,0.09865581225241275,0.05254168152744265,0.13628000961340508,0.03959966806705429,0.00014766111829197585,0.6000000000000001
2008-02-01,0.023653307641136476,0.049121859780256766,0.09865581225241275,0.05254168152744265,0.13628000961340508,0.03959966806705429,0.00014766111829197585,0.6000000000000001
2008-02-08,0.023653307641136476,0.049121859780256766,0.09865581225241275,0.05254168152744265,0.13628000961340508,0.03959966806705429,0.00014766111829197585,0.6000000000000001
2008-02-15,0.023653307641136476,0.049121859780256766,0.09865581225241275,0.05254168152744265,0.13628000961340508,0.03959966806705429,0.00014766111829197585,0.6000000000000001
2008-02-22,0.023653307641136476,0.049121859780256766,0.09865581225241275,0.05254168152744265,0.13628000961340508,0.03959966806705429,0.00014766111829197585,0.6000000000000001
2008-02-29,0.023093615519947305,0.048225006825748075,0.09922919695090673,0.050377636930085214,0.13875668153926046,0.04024403167490624,7.383055914598794e-05,0.5999999999999999
2008-03-07,0.023093615519947305,0.048225006825748075,0.09922919695090673,0.050377636930085214,0.13875668153926046,0.04024403167490624,7.383055914598794e-05,0.5999999999999999
2008-03-14,0.023093615519947305,0.048225006825748075,0.09922919695090673,0.050377636930085214,0.13875668153926046,0.04024403167490624,7.383055914598794e-05,0.5999999999999999
2008-03-21,0.023093615519947305,0.048225006825748075,0.09922919695090673,0.050377636930085214,0.13875668153926046,0.04024403167490624,7.383055914598794e-05,0.5999999999999999
2008-03-28,0.022799312699486162,0.04766613037302469,0.09880185929916367,0.04501863499639523,0.14541666731552924,0.040260480036828056,3.691527957299397e-05,0.5999999999999999
2008-04-04,0.022799312699486162,0.04766613037302469,0.09880185929916367,0.04501863499639523,0.14541666731552924,0.040260480036828056,3.691527957299397e-05,0.5999999999999999
2008-04-11,0.022799312699486162,0.04766613037302469,0.09880185929916367,0.04501863499639523,0.14541666731552924,0.040260480036828056,3.691527957299397e-05,0.5999999999999999
2008-04-18,0.022799312699486162,0.04766613037302469,0.09880185929916367,0.04501863499639523,0.14541666731552924,0.040260480036828056,3.691527957299397e-05,0.5999999999999999
2008-04-25,0.022855630910424977,0.047227253836319844,0.09875314325166105,0.04206140420551533,0.1489836282246985,0.04010048193159386,1.8457639786496987e-05,0.6
2008-05-02,0.022855630910424977,0.047227253836319844,0.09875314325166105,0.04206140420551533,0.1489836282246985,0.04010048193159386,1.8457639786496987e-05,0.6
2008-05-09,0.022855630910424977,0.047227253836319844,0.09875314325166105,0.04206140420551533,0.1489836282246985,0.04010048193159386,1.8457639786496987e-05,0.6
2008-05-16,0.022855630910424977,0.047227253836319844,0.09875314325166105,0.04206140420551533,0.1489836282246985,0.04010048193159386,1.8457639786496987e-05,0.6
2008-05-23,0.022855630910424977,0.047227253836319844,0.09875314325166105,0.04206140420551533,0.1489836282246985,0.04010048193159386,1.8457639786496987e-05,0.6
2008-05-30,0.04803478475235362,0.0981162766351001,0.20583716043247918,0.08251053639947609,0.28734034082749343,0.07814244331331102,1.845763978649698e-05,0.20000000000000018
2008-06-06,0.04803478475235362,0.0981162766351001,0.20583716043247918,0.08251053639947609,0.28734034082749343,0.07814244331331102,1.845763978649698e-05,0.20000000000000018
2008-06-13,0.04803478475235362,0.0981162766351001,0.20583716043247918,0.08251053639947609,0.28734034082749343,0.07814244331331102,1.845763978649698e-05,0.20000000000000018
2008-06-20,0.04803478475235362,0.0981162766351001,0.20583716043247918,0.08251053639947609,0.28734034082749343,0.07814244331331102,1.845763978649698e-05,0.20000000000000018
2008-06-27,0.04927254911771226,0.09925296429862102,0.20918198446572278,0.08013183352737874,0.2846789862903302,0.0774724534803418,9.228819893248494e-06,0.19999999999999996
2008-07-04,0.04927254911771226,0.09925296429862102,0.20918198446572278,0.08013183352737874,0.2846789862903302,0.0774724534803418,9.228819893248494e-06,0.19999999999999996
2008-07-11,0.04927254911771226,0.09925296429862102,0.20918198446572278,0.08013183352737874,0.2846789862903302,0.0774724534803418,9.228819893248494e-06,0.19999999999999996
2008-07-18,0.04927254911771226,0.09925296429862102,0.20918198446572278,0.08013183352737874,0.2846789862903302,0.0774724534803418,9.228819893248494e-06,0.19999999999999996
2008-07-25,0.048583597380789545,0.09445763571124859,0.2048646998561405,0.07829223968269126,0.2954173883586259,0.07837982460055765,4.614409946624247e-06,0.19999999999999996
2008-08-01,0.048583597380789545,0.09445763571124859,0.2048646998561405,0.07829223968269126,0.2954173883586259,0.07837982460055765,4.614409946624247e-06,0.19999999999999996
2008-08-08,0.048583597380789545,0.09445763571124859,0.2048646998561405,0.07829223968269126,0.2954173883586259,0.07837982460055765,4.614409946624247e-06,0.19999999999999996
2008-08-15,0.048583597380789545,0.09445763571124859,0.2048646998561405,0.07829223968269126,0.2954173883586259,0.07837982460055765,4.614409946624247e-06,0.19999999999999996
2008-08-22,0.048583597380789545,0.09445763571124859,0.2048646998561405,0.07829223968269126,0.2954173883586259,0.07837982460055765,4.614409946624247e-06,0.19999999999999996
2008-08-29,0.05154350990174272,0.09473553531761056,0.21177622261706183,0.0738832528896846,0.297146858439353,0.07091231362957413,2.307204973312124e-06,0.19999999999999973
2008-09-05,0.05154350990174272,0.09473553531761056,0.21177622261706183,0.0738832528896846,0.297146858439353,0.07091231362957413,2.307204973312124e-06,0.19999999999999973
2008-09-12,0.05154350990174272,0.09473553531761056,0.21177622261706183,0.0738832528896846,0.297146858439353,0.07091231362957413,2.307204973312124e-06,0.19999999999999973
2008-09-19,0.05154350990174272,0.09473553531761056,0.21177622261706183,0.0738832528896846,0.297146858439353,0.07091231362957413,2.307204973312124e-06,0.19999999999999973
2008-09-26,0.02629367287860221,0.046275355539340514,0.10507501655759986,0.032987060148314,0.1540912228116698,0.03527709526323034,5.76801243328031e-07,0.5999999999999999
2008-10-03,0.02629367287860221,0.046275355539340514,0.10507501655759986,0.032987060148314,0.1540912228116698,0.03527709526323034,5.76801243328031e-07,0.5999999999999999
2008-10-10,0.02629367287860221,0.046275355539340514,0.10507501655759986,0.032987060148314,0.1540912228116698,0.03527709526323034,5.76801243328031e-07,0.5999999999999999
2008-10-17,0.02629367287860221,0.046275355539340514,0.10507501655759986,0.032987060148314,0.1540912228116698,0.03527709526323034,5.76801243328031e-07,0.5999999999999999
2008-10-24,0.02629367287860221,0.046275355539340514,0.10507501655759986,0.032987060148314,0.1540912228116698,0.03527709526323034,5.76801243328031e-07,0.5999999999999999
2008-10-31,0.032240479463979274,0.05107794901826688,0.1129718712081284,0.026035096572724625,0.1341593527980216,0.04351496253825758,2.884006216640155e-07,0.5999999999999999
2008-11-07,0.032240479463979274,0.05107794901826688,0.1129718712081284,0.026035096572724625,0.1341593527980216,0.04351496253825758,2.884006216640155e-07,0.5999999999999999
2008-11-14,0.032240479463979274,0.05107794901826688,0.1129718712081284,0.026035096572724625,0.1341593527980216,0.04351496253825758,2.884006216640155e-07,0.5999999999999999
2008-11-21,0.032240479463979274,0.05107794901826688,0.1129718712081284,0.026035096572724625,0.1341593527980216,0.04351496253825758,2.884006216640155e-07,0.5999999999999999
2008-11-28,0.037247565908294304,0.055900672504260146,0.1250882172796748,0.022358423535833602,0.11870953193043908,0.04069544464118722,1.4420031083200771e-07,0.5999999999999999
2008-12-05,0.037247565908294304,0.055900672504260146,0.1250882172796748,0.022358423535833602,0.11870953193043908,0.04069544464118722,1.4420031083200771e-07,0.5999999999999999
2008-12-12,0.037247565908294304,0.055900672504260146,0.1250882172796748,0.022358423535833602,0.11870953193043908,0.04069544464118722,1.4420031083200771e-07,0.5999999999999999
2008-12-19,0.037247565908294304,0.055900672504260146,0.1250882172796748,0.022358423535833602,0.11870953193043908,0.04069544464118722,1.4420031083200771e-07,0.5999999999999999
2008-12-26,0.044878023605544985,0.05566707104237001,0.1232373425086451,0.022258940169928996,0.11476241580895281,0.03919613476440267,7.210015541600386e-08,0.6000000000000001
2009-01-02,0.044878023605544985,0.05566707104237001,0.1232373425086451,0.022258940169928996,0.11476241580895281,0.03919613476440267,7.210015541600386e-08,0.6000000000000001
2009-01-09,0.044878023605544985,0.05566707104237001,0.1232373425086451,0.022258940169928996,0.11476241580895281,0.03919613476440267,7.210015541600386e-08,0.6000000000000001
2009-01-16,0.044878023605544985,0.05566707104237001,0.1232373425086451,0.022258940169928996,0.11476241580895281,0.03919613476440267,7.210015541600386e-08,0.6000000000000001
2009-01-23,0.044878023605544985,0.05566707104237001,0.1232373425086451,0.022258940169928996,0.11476241580895281,0.03919613476440267,7.210015541600386e-08,0.6000000000000001
2009-01-30,0.04931909855088659,0.05553223283086124,0.12282486953110433,0.022259209527433182,0.112208010850653,0.037856542658983944,3.605007770800192e-08,0.6
2009-02-06,0.04931909855088659,0.05553223283086124,0.12282486953110433,0.022259209527433182,0.112208010850653,0.037856542658983944,3.605007770800192e-08,0.6
2009-02-13,0.04931909855088659,0.05553223283086124,0.12282486953110433,0.022259209527433182,0.112208010850653,0.037856542658983944,3.605007770800192e-08,0.6
