,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,composite_confirmation_aware_momentum,cash::BIL
2005-07-29,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-08-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-08-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-08-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-08-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-09-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-09-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-09-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-09-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-09-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-10-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-10-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-10-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-10-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-11-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-11-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-11-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-11-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-12-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-12-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-12-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-12-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2005-12-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-01-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-01-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-01-20,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-01-27,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-02-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-02-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-02-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-17,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-30,0.14709744150544446,0.0,0.17892178462762165,0.1895362812363126,0.15142774307545856,0.1330167495551628,0.19999999999999996
2006-07-07,0.14709744150544446,0.0,0.17892178462762165,0.1895362812363126,0.15142774307545856,0.1330167495551628,0.19999999999999996
2006-07-14,0.14709744150544446,0.0,0.17892178462762165,0.1895362812363126,0.15142774307545856,0.1330167495551628,0.19999999999999996
2006-07-21,0.14709744150544446,0.0,0.17892178462762165,0.1895362812363126,0.15142774307545856,0.1330167495551628,0.19999999999999996
2006-07-28,0.10137002050316968,0.14400000000000002,0.16354400695739588,0.18115933878052798,0.10595950728706494,0.10396712647184161,0.19999999999999996
2006-08-04,0.10137002050316968,0.14400000000000002,0.16354400695739588,0.18115933878052798,0.10595950728706494,0.10396712647184161,0.19999999999999996
2006-08-11,0.10137002050316968,0.14400000000000002,0.16354400695739588,0.18115933878052798,0.10595950728706494,0.10396712647184161,0.19999999999999996
2006-08-18,0.10137002050316968,0.14400000000000002,0.16354400695739588,0.18115933878052798,0.10595950728706494,0.10396712647184161,0.19999999999999996
2006-08-25,0.0756333694099616,0.23040000000000005,0.15306641711576094,0.17345989087125285,0.08022914047890398,0.08721118212412061,0.19999999999999996
2006-09-01,0.0756333694099616,0.23040000000000005,0.15306641711576094,0.17345989087125285,0.08022914047890398,0.08721118212412061,0.19999999999999996
2006-09-08,0.0756333694099616,0.23040000000000005,0.15306641711576094,0.17345989087125285,0.08022914047890398,0.08721118212412061,0.19999999999999996
2006-09-15,0.0756333694099616,0.23040000000000005,0.15306641711576094,0.17345989087125285,0.08022914047890398,0.08721118212412061,0.19999999999999996
2006-09-22,0.0756333694099616,0.23040000000000005,0.15306641711576094,0.17345989087125285,0.08022914047890398,0.08721118212412061,0.19999999999999996
2006-09-29,0.060798354681076375,0.28224,0.14709434729630005,0.16646025943025697,0.06553915450443401,0.07786788408793265,0.19999999999999996
2006-10-06,0.060798354681076375,0.28224,0.14709434729630005,0.16646025943025697,0.06553915450443401,0.07786788408793265,0.19999999999999996
2006-10-13,0.060798354681076375,0.28224,0.14709434729630005,0.16646025943025697,0.06553915450443401,0.07786788408793265,0.19999999999999996
2006-10-20,0.060798354681076375,0.28224,0.14709434729630005,0.16646025943025697,0.06553915450443401,0.07786788408793265,0.19999999999999996
2006-10-27,0.0629041598473216,0.37640448,0.17909122640297437,0.1836664454387025,0.07048340159289594,0.08422461384917951,0.0432256728689262
2006-11-03,0.0629041598473216,0.37640448,0.17909122640297437,0.1836664454387025,0.07048340159289594,0.08422461384917951,0.0432256728689262
2006-11-10,0.0629041598473216,0.37640448,0.17909122640297437,0.1836664454387025,0.07048340159289594,0.08422461384917951,0.0432256728689262
2006-11-17,0.0629041598473216,0.37640448,0.17909122640297437,0.1836664454387025,0.07048340159289594,0.08422461384917951,0.0432256728689262
2006-11-24,0.09218040322265666,0.4471128408028361,0.17976276610291475,0.18970606961717393,0.06060755713482457,0.03063036311959396,0.0
2006-12-01,0.09218040322265666,0.4471128408028361,0.17976276610291475,0.18970606961717393,0.06060755713482457,0.03063036311959396,0.0
2006-12-08,0.09218040322265666,0.4471128408028361,0.17976276610291475,0.18970606961717393,0.06060755713482457,0.03063036311959396,0.0
2006-12-15,0.09218040322265666,0.4471128408028361,0.17976276610291475,0.18970606961717393,0.06060755713482457,0.03063036311959396,0.0
2006-12-22,0.09218040322265666,0.4471128408028361,0.17976276610291475,0.18970606961717393,0.06060755713482457,0.03063036311959396,0.0
2006-12-29,0.11000468812403322,0.4122964788313635,0.1913973389157822,0.1741323540833671,0.07432034193588445,0.037848798109569606,0.0
2007-01-05,0.11000468812403322,0.4122964788313635,0.1913973389157822,0.1741323540833671,0.07432034193588445,0.037848798109569606,0.0
2007-01-12,0.11000468812403322,0.4122964788313635,0.1913973389157822,0.1741323540833671,0.07432034193588445,0.037848798109569606,0.0
2007-01-19,0.11000468812403322,0.4122964788313635,0.1913973389157822,0.1741323540833671,0.07432034193588445,0.037848798109569606,0.0
2007-01-26,0.12362839960968273,0.41843918699779753,0.17563820845811368,0.16358380680301218,0.07885344959675142,0.039856948534642445,0.0
2007-02-02,0.12362839960968273,0.41843918699779753,0.17563820845811368,0.16358380680301218,0.07885344959675142,0.039856948534642445,0.0
2007-02-09,0.12362839960968273,0.41843918699779753,0.17563820845811368,0.16358380680301218,0.07885344959675142,0.039856948534642445,0.0
2007-02-16,0.12362839960968273,0.41843918699779753,0.17563820845811368,0.16358380680301218,0.07885344959675142,0.039856948534642445,0.0
2007-02-23,0.10991237461521437,0.31761976941746595,0.22583136736625734,0.22553609314346026,0.08023282810224636,0.040867567355355794,0.0
2007-03-02,0.10991237461521437,0.31761976941746595,0.22583136736625734,0.22553609314346026,0.08023282810224636,0.040867567355355794,0.0
2007-03-09,0.10991237461521437,0.31761976941746595,0.22583136736625734,0.22553609314346026,0.08023282810224636,0.040867567355355794,0.0
2007-03-16,0.10991237461521437,0.31761976941746595,0.22583136736625734,0.22553609314346026,0.08023282810224636,0.040867567355355794,0.0
2007-03-23,0.10991237461521437,0.31761976941746595,0.22583136736625734,0.22553609314346026,0.08023282810224636,0.040867567355355794,0.0
2007-03-30,0.10790017811179549,0.2939569176716565,0.2203561088813714,0.21878867666051205,0.07532676011685398,0.04014030205739718,0.043531056500413445
2007-04-06,0.10790017811179549,0.2939569176716565,0.2203561088813714,0.21878867666051205,0.07532676011685398,0.04014030205739718,0.043531056500413445
2007-04-13,0.10790017811179549,0.2939569176716565,0.2203561088813714,0.21878867666051205,0.07532676011685398,0.04014030205739718,0.043531056500413445
2007-04-20,0.10790017811179549,0.2939569176716565,0.2203561088813714,0.21878867666051205,0.07532676011685398,0.04014030205739718,0.043531056500413445
2007-04-27,0.10270786837859869,0.29801702208324743,0.22140494596743152,0.21606199343256247,0.07856312643328942,0.03973369318671882,0.04351135051815158
2007-05-04,0.10270786837859869,0.29801702208324743,0.22140494596743152,0.21606199343256247,0.07856312643328942,0.03973369318671882,0.04351135051815158
2007-05-11,0.10270786837859869,0.29801702208324743,0.22140494596743152,0.21606199343256247,0.07856312643328942,0.03973369318671882,0.04351135051815158
2007-05-18,0.10270786837859869,0.29801702208324743,0.22140494596743152,0.21606199343256247,0.07856312643328942,0.03973369318671882,0.04351135051815158
2007-05-25,0.10839517287750504,0.3157433563297794,0.21290288274019617,0.20194974135237395,0.07696655950961222,0.04073525888507237,0.04330702830546085
2007-06-01,0.10839517287750504,0.3157433563297794,0.21290288274019617,0.20194974135237395,0.07696655950961222,0.04073525888507237,0.04330702830546085
2007-06-08,0.10839517287750504,0.3157433563297794,0.21290288274019617,0.20194974135237395,0.07696655950961222,0.04073525888507237,0.04330702830546085
2007-06-15,0.10839517287750504,0.3157433563297794,0.21290288274019617,0.20194974135237395,0.07696655950961222,0.04073525888507237,0.04330702830546085
2007-06-22,0.10839517287750504,0.3157433563297794,0.21290288274019617,0.20194974135237395,0.07696655950961222,0.04073525888507237,0.04330702830546085
2007-06-29,0.11078016870992097,0.3223146296562957,0.20224890801895518,0.19789947681048814,0.0815762293060852,0.042000607528484404,0.0431799799697703
2007-07-06,0.11078016870992097,0.3223146296562957,0.20224890801895518,0.19789947681048814,0.0815762293060852,0.042000607528484404,0.0431799799697703
2007-07-13,0.11078016870992097,0.3223146296562957,0.20224890801895518,0.19789947681048814,0.0815762293060852,0.042000607528484404,0.0431799799697703
2007-07-20,0.11078016870992097,0.3223146296562957,0.20224890801895518,0.19789947681048814,0.0815762293060852,0.042000607528484404,0.0431799799697703
2007-07-27,0.07619156366350707,0.2383267569912847,0.17458724366432676,0.18150275662620996,0.07041388785970669,0.058977791194965004,0.19999999999999973
2007-08-03,0.07619156366350707,0.2383267569912847,0.17458724366432676,0.18150275662620996,0.07041388785970669,0.058977791194965004,0.19999999999999973
2007-08-10,0.07619156366350707,0.2383267569912847,0.17458724366432676,0.18150275662620996,0.07041388785970669,0.058977791194965004,0.19999999999999973
2007-08-17,0.07619156366350707,0.2383267569912847,0.17458724366432676,0.18150275662620996,0.07041388785970669,0.058977791194965004,0.19999999999999973
2007-08-24,0.07619156366350707,0.2383267569912847,0.17458724366432676,0.18150275662620996,0.07041388785970669,0.058977791194965004,0.19999999999999973
2007-08-31,0.03234138734084154,0.10437156027095931,0.08762921228591881,0.10205585050036606,0.03659468870479722,0.03700730089711706,0.6000000000000001
2007-09-07,0.03234138734084154,0.10437156027095931,0.08762921228591881,0.10205585050036606,0.03659468870479722,0.03700730089711706,0.6000000000000001
2007-09-14,0.03234138734084154,0.10437156027095931,0.08762921228591881,0.10205585050036606,0.03659468870479722,0.03700730089711706,0.6000000000000001
2007-09-21,0.03234138734084154,0.10437156027095931,0.08762921228591881,0.10205585050036606,0.03659468870479722,0.03700730089711706,0.6000000000000001
2007-09-28,0.06717330249969797,0.2413978951257602,0.22400782333847824,0.23633343910204363,0.0917985938146576,0.1097552898037984,0.029533656315563928
2007-10-05,0.06717330249969797,0.2413978951257602,0.22400782333847824,0.23633343910204363,0.0917985938146576,0.1097552898037984,0.029533656315563928
2007-10-12,0.06717330249969797,0.2413978951257602,0.22400782333847824,0.23633343910204363,0.0917985938146576,0.1097552898037984,0.029533656315563928
2007-10-19,0.06717330249969797,0.2413978951257602,0.22400782333847824,0.23633343910204363,0.0917985938146576,0.1097552898037984,0.029533656315563928
2007-10-26,0.025329776825280804,0.08958667693444852,0.0923911575489933,0.10887200637738648,0.03805648991960353,0.0457638923942874,0.6
2007-11-02,0.025329776825280804,0.08958667693444852,0.0923911575489933,0.10887200637738648,0.03805648991960353,0.0457638923942874,0.6
2007-11-09,0.025329776825280804,0.08958667693444852,0.0923911575489933,0.10887200637738648,0.03805648991960353,0.0457638923942874,0.6
2007-11-16,0.025329776825280804,0.08958667693444852,0.0923911575489933,0.10887200637738648,0.03805648991960353,0.0457638923942874,0.6
2007-11-23,0.025329776825280804,0.08958667693444852,0.0923911575489933,0.10887200637738648,0.03805648991960353,0.0457638923942874,0.6
2007-11-30,0.030666337207491103,0.07140628145018932,0.11142500401532214,0.11472726736943728,0.036805416305871176,0.034969693651689046,0.5999999999999999
2007-12-07,0.030666337207491103,0.07140628145018932,0.11142500401532214,0.11472726736943728,0.036805416305871176,0.034969693651689046,0.5999999999999999
2007-12-14,0.030666337207491103,0.07140628145018932,0.11142500401532214,0.11472726736943728,0.036805416305871176,0.034969693651689046,0.5999999999999999
2007-12-21,0.030666337207491103,0.07140628145018932,0.11142500401532214,0.11472726736943728,0.036805416305871176,0.034969693651689046,0.5999999999999999
2007-12-28,0.06944913244399807,0.12248847354543234,0.25257876653226774,0.22872976558723934,0.06987801597969799,0.056875845911364645,0.19999999999999984
2008-01-04,0.06944913244399807,0.12248847354543234,0.25257876653226774,0.22872976558723934,0.06987801597969799,0.056875845911364645,0.19999999999999984
2008-01-11,0.06944913244399807,0.12248847354543234,0.25257876653226774,0.22872976558723934,0.06987801597969799,0.056875845911364645,0.19999999999999984
2008-01-18,0.06944913244399807,0.12248847354543234,0.25257876653226774,0.22872976558723934,0.06987801597969799,0.056875845911364645,0.19999999999999984
2008-01-25,0.0356402097136856,0.05361907771866495,0.1320946713123198,0.11942759056624817,0.034592961035351866,0.024625489653729616,0.6
2008-02-01,0.0356402097136856,0.05361907771866495,0.1320946713123198,0.11942759056624817,0.034592961035351866,0.024625489653729616,0.6
2008-02-08,0.0356402097136856,0.05361907771866495,0.1320946713123198,0.11942759056624817,0.034592961035351866,0.024625489653729616,0.6
2008-02-15,0.0356402097136856,0.05361907771866495,0.1320946713123198,0.11942759056624817,0.034592961035351866,0.024625489653729616,0.6
2008-02-22,0.0356402097136856,0.05361907771866495,0.1320946713123198,0.11942759056624817,0.034592961035351866,0.024625489653729616,0.6
2008-02-29,0.036022687084940344,0.048850419820530094,0.13493669182878917,0.12339384319528915,0.03438008498864902,0.02241627308180224,0.6
2008-03-07,0.036022687084940344,0.048850419820530094,0.13493669182878917,0.12339384319528915,0.03438008498864902,0.02241627308180224,0.6
2008-03-14,0.036022687084940344,0.048850419820530094,0.13493669182878917,0.12339384319528915,0.03438008498864902,0.02241627308180224,0.6
2008-03-21,0.036022687084940344,0.048850419820530094,0.13493669182878917,0.12339384319528915,0.03438008498864902,0.02241627308180224,0.6
2008-03-28,0.03617524040280296,0.04592211602455391,0.1362102512052703,0.1269179901590712,0.03399361567709993,0.020780786531201755,0.6
2008-04-04,0.03617524040280296,0.04592211602455391,0.1362102512052703,0.1269179901590712,0.03399361567709993,0.020780786531201755,0.6
2008-04-11,0.03617524040280296,0.04592211602455391,0.1362102512052703,0.1269179901590712,0.03399361567709993,0.020780786531201755,0.6
2008-04-18,0.03617524040280296,0.04592211602455391,0.1362102512052703,0.1269179901590712,0.03399361567709993,0.020780786531201755,0.6
2008-04-25,0.03636894580655958,0.043959790609688985,0.13710111817760945,0.1291701068205152,0.033561343742187645,0.019838694843439173,0.5999999999999999
2008-05-02,0.03636894580655958,0.043959790609688985,0.13710111817760945,0.1291701068205152,0.033561343742187645,0.019838694843439173,0.5999999999999999
2008-05-09,0.03636894580655958,0.043959790609688985,0.13710111817760945,0.1291701068205152,0.033561343742187645,0.019838694843439173,0.5999999999999999
2008-05-16,0.03636894580655958,0.043959790609688985,0.13710111817760945,0.1291701068205152,0.033561343742187645,0.019838694843439173,0.5999999999999999
2008-05-23,0.03636894580655958,0.043959790609688985,0.13710111817760945,0.1291701068205152,0.033561343742187645,0.019838694843439173,0.5999999999999999
2008-05-30,0.07540327334528127,0.08810555735292892,0.2833670956958844,0.24930339620362504,0.06522788982052345,0.038592787581756965,0.19999999999999996
2008-06-06,0.07540327334528127,0.08810555735292892,0.2833670956958844,0.24930339620362504,0.06522788982052345,0.038592787581756965,0.19999999999999996
2008-06-13,0.07540327334528127,0.08810555735292892,0.2833670956958844,0.24930339620362504,0.06522788982052345,0.038592787581756965,0.19999999999999996
2008-06-20,0.07540327334528127,0.08810555735292892,0.2833670956958844,0.24930339620362504,0.06522788982052345,0.038592787581756965,0.19999999999999996
2008-06-27,0.07679174379928543,0.08803865589652236,0.28773640665358785,0.24507581071632725,0.06423639411907603,0.03812098881520115,0.19999999999999996
2008-07-04,0.07679174379928543,0.08803865589652236,0.28773640665358785,0.24507581071632725,0.06423639411907603,0.03812098881520115,0.19999999999999996
2008-07-11,0.07679174379928543,0.08803865589652236,0.28773640665358785,0.24507581071632725,0.06423639411907603,0.03812098881520115,0.19999999999999996
2008-07-18,0.07679174379928543,0.08803865589652236,0.28773640665358785,0.24507581071632725,0.06423639411907603,0.03812098881520115,0.19999999999999996
2008-07-25,0.07579349032110945,0.08419680569016952,0.28458818093371463,0.25253592860660246,0.0645544891733024,0.038331105275101564,0.19999999999999996
2008-08-01,0.07579349032110945,0.08419680569016952,0.28458818093371463,0.25253592860660246,0.0645544891733024,0.038331105275101564,0.19999999999999996
2008-08-08,0.07579349032110945,0.08419680569016952,0.28458818093371463,0.25253592860660246,0.0645544891733024,0.038331105275101564,0.19999999999999996
2008-08-15,0.07579349032110945,0.08419680569016952,0.28458818093371463,0.25253592860660246,0.0645544891733024,0.038331105275101564,0.19999999999999996
2008-08-22,0.07579349032110945,0.08419680569016952,0.28458818093371463,0.25253592860660246,0.0645544891733024,0.038331105275101564,0.19999999999999996
2008-08-29,0.062382444679650755,0.08351885867296992,0.29283560729217245,0.2479686474716305,0.07525437910794758,0.03804006277562887,0.19999999999999984
2008-09-05,0.062382444679650755,0.08351885867296992,0.29283560729217245,0.2479686474716305,0.07525437910794758,0.03804006277562887,0.19999999999999984
2008-09-12,0.062382444679650755,0.08351885867296992,0.29283560729217245,0.2479686474716305,0.07525437910794758,0.03804006277562887,0.19999999999999984
2008-09-19,0.062382444679650755,0.08351885867296992,0.29283560729217245,0.2479686474716305,0.07525437910794758,0.03804006277562887,0.19999999999999984
2008-09-26,0.026891661275745216,0.040370444752663465,0.1452445046841387,0.12642987729220972,0.04221933475246486,0.01884417724277809,0.6
2008-10-03,0.026891661275745216,0.040370444752663465,0.1452445046841387,0.12642987729220972,0.04221933475246486,0.01884417724277809,0.6
2008-10-10,0.026891661275745216,0.040370444752663465,0.1452445046841387,0.12642987729220972,0.04221933475246486,0.01884417724277809,0.6
2008-10-17,0.026891661275745216,0.040370444752663465,0.1452445046841387,0.12642987729220972,0.04221933475246486,0.01884417724277809,0.6
2008-10-24,0.026891661275745216,0.040370444752663465,0.1452445046841387,0.12642987729220972,0.04221933475246486,0.01884417724277809,0.6
2008-10-31,0.0333903551624089,0.0396040075152447,0.1415856633402975,0.13170844386530264,0.03519389568727501,0.01851763442947125,0.6
2008-11-07,0.0333903551624089,0.0396040075152447,0.1415856633402975,0.13170844386530264,0.03519389568727501,0.01851763442947125,0.6
2008-11-14,0.0333903551624089,0.0396040075152447,0.1415856633402975,0.13170844386530264,0.03519389568727501,0.01851763442947125,0.6
2008-11-21,0.0333903551624089,0.0396040075152447,0.1415856633402975,0.13170844386530264,0.03519389568727501,0.01851763442947125,0.6
2008-11-28,0.03105270687147721,0.039596882451913784,0.12173966834880559,0.1434926948125914,0.03989545993626358,0.024222587578948462,0.6
2008-12-05,0.03105270687147721,0.039596882451913784,0.12173966834880559,0.1434926948125914,0.03989545993626358,0.024222587578948462,0.6
2008-12-12,0.03105270687147721,0.039596882451913784,0.12173966834880559,0.1434926948125914,0.03989545993626358,0.024222587578948462,0.6
2008-12-19,0.03105270687147721,0.039596882451913784,0.12173966834880559,0.1434926948125914,0.03989545993626358,0.024222587578948462,0.6
2008-12-26,0.038827456997529,0.038785139434782456,0.10586190466376906,0.1537438644347335,0.03415620267644255,0.02862543179274345,0.6
2009-01-02,0.038827456997529,0.038785139434782456,0.10586190466376906,0.1537438644347335,0.03415620267644255,0.02862543179274345,0.6
2009-01-09,0.038827456997529,0.038785139434782456,0.10586190466376906,0.1537438644347335,0.03415620267644255,0.02862543179274345,0.6
2009-01-16,0.038827456997529,0.038785139434782456,0.10586190466376906,0.1537438644347335,0.03415620267644255,0.02862543179274345,0.6
2009-01-23,0.038827456997529,0.038785139434782456,0.10586190466376906,0.1537438644347335,0.03415620267644255,0.02862543179274345,0.6
2009-01-30,0.0435750921372766,0.03800405686552443,0.09623849775764348,0.1601019058066834,0.030205428405763315,0.031875019027108764,0.6000000000000001
2009-02-06,0.0435750921372766,0.03800405686552443,0.09623849775764348,0.1601019058066834,0.030205428405763315,0.031875019027108764,0.6000000000000001
2009-02-13,0.0435750921372766,0.03800405686552443,0.09623849775764348,0.1601019058066834,0.030205428405763315,0.031875019027108764,0.6000000000000001
2009-02-20,0.0435750921372766,0.03800405686552443,0.09623849775764348,0.1601019058066834,0.030205428405763315,0.031875019027108764,0.6000000000000001
2009-02-27,0.04730140643741455,0.03783032749751121,0.09025792325804417,0.16231740220182003,0.027968458289842596,0.034324482315367465,0.6
2009-03-06,0.04730140643741455,0.03783032749751121,0.09025792325804417,0.16231740220182003,0.027968458289842596,0.034324482315367465,0.6
2009-03-13,0.04730140643741455,0.03783032749751121,0.09025792325804417,0.16231740220182003,0.027968458289842596,0.034324482315367465,0.6
2009-03-20,0.04730140643741455,0.03783032749751121,0.09025792325804417,0.16231740220182003,0.027968458289842596,0.034324482315367465,0.6
2009-03-27,0.04961986716282068,0.037444216302181886,0.08660409131121255,0.16401456418375931,0.02647520971282546,0.03584205132720015,0.6
2009-04-03,0.04961986716282068,0.037444216302181886,0.08660409131121255,0.16401456418375931,0.02647520971282546,0.03584205132720015,0.6
2009-04-10,0.04961986716282068,0.037444216302181886,0.08660409131121255,0.16401456418375931,0.02647520971282546,0.03584205132720015,0.6
2009-04-17,0.04961986716282068,0.037444216302181886,0.08660409131121255,0.16401456418375931,0.02647520971282546,0.03584205132720015,0.6
2009-04-24,0.08527815503166414,0.09822427326701018,0.1638917203346082,0.3290119324563408,0.05235202802311409,0.07124189088726267,0.19999999999999996
2009-05-01,0.08527815503166414,0.09822427326701018,0.1638917203346082,0.3290119324563408,0.05235202802311409,0.07124189088726267,0.19999999999999996
2009-05-08,0.08527815503166414,0.09822427326701018,0.1638917203346082,0.3290119324563408,0.05235202802311409,0.07124189088726267,0.19999999999999996
2009-05-15,0.08527815503166414,0.09822427326701018,0.1638917203346082,0.3290119324563408,0.05235202802311409,0.07124189088726267,0.19999999999999996
2009-05-22,0.08527815503166414,0.09822427326701018,0.1638917203346082,0.3290119324563408,0.05235202802311409,0.07124189088726267,0.19999999999999996
2009-05-29,0.08152662089290459,0.11250872548012186,0.15784681806748538,0.3253766687397135,0.051058455777887306,0.07168271104188746,0.19999999999999996
2009-06-05,0.08152662089290459,0.11250872548012186,0.15784681806748538,0.3253766687397135,0.051058455777887306,0.07168271104188746,0.19999999999999996
2009-06-12,0.08152662089290459,0.11250872548012186,0.15784681806748538,0.3253766687397135,0.051058455777887306,0.07168271104188746,0.19999999999999996
2009-06-19,0.08152662089290459,0.11250872548012186,0.15784681806748538,0.3253766687397135,0.051058455777887306,0.07168271104188746,0.19999999999999996
2009-06-26,0.0976106074234133,0.14529843497692102,0.20543639244345266,0.3758679667110422,0.05379835448311222,0.09181601026729534,0.030172233694763184
2009-07-03,0.0976106074234133,0.14529843497692102,0.20543639244345266,0.3758679667110422,0.05379835448311222,0.09181601026729534,0.030172233694763184
2009-07-10,0.0976106074234133,0.14529843497692102,0.20543639244345266,0.3758679667110422,0.05379835448311222,0.09181601026729534,0.030172233694763184
2009-07-17,0.0976106074234133,0.14529843497692102,0.20543639244345266,0.3758679667110422,0.05379835448311222,0.09181601026729534,0.030172233694763184
2009-07-24,0.0976106074234133,0.14529843497692102,0.20543639244345266,0.3758679667110422,0.05379835448311222,0.09181601026729534,0.030172233694763184
2009-07-31,0.09712326482509395,0.1599147008234479,0.2028688058362938,0.3493932965560315,0.06020312420250213,0.10045106498363916,0.030045742772991435
2009-08-07,0.09712326482509395,0.1599147008234479,0.2028688058362938,0.3493932965560315,0.06020312420250213,0.10045106498363916,0.030045742772991435
2009-08-14,0.09712326482509395,0.1599147008234479,0.2028688058362938,0.3493932965560315,0.06020312420250213,0.10045106498363916,0.030045742772991435
