,dual_momentum_topn,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2005-09-16,0.0,0.0,0.0,0.0,1.0
2005-09-23,0.0,0.0,0.0,0.0,1.0
2005-09-30,0.0,0.0,0.0,0.0,1.0
2005-10-07,0.0,0.0,0.0,0.0,1.0
2005-10-14,0.0,0.0,0.0,0.0,1.0
2005-10-21,0.0,0.0,0.0,0.0,1.0
2005-10-28,0.0,0.0,0.0,0.0,1.0
2005-11-04,0.0,0.0,0.0,0.0,1.0
2005-11-11,0.0,0.0,0.0,0.0,1.0
2005-11-18,0.0,0.0,0.0,0.0,1.0
2005-11-25,0.0,0.0,0.0,0.0,1.0
2005-12-02,0.0,0.0,0.0,0.0,1.0
2005-12-09,0.0,0.0,0.0,0.0,1.0
2005-12-16,0.0,0.0,0.0,0.0,1.0
2005-12-23,0.0,0.0,0.0,0.0,1.0
2005-12-30,0.0,0.0,0.0,0.0,1.0
2006-01-06,0.0,0.0,0.0,0.0,1.0
2006-01-13,0.0,0.0,0.0,0.0,1.0
2006-01-20,0.0,0.0,0.0,0.0,1.0
2006-01-27,0.0,0.0,0.0,0.0,1.0
2006-02-03,0.0,0.0,0.0,0.0,1.0
2006-02-10,0.0,0.0,0.0,0.0,1.0
2006-02-17,0.0,0.0,0.0,0.0,1.0
2006-02-24,0.0,0.0,0.0,0.0,1.0
2006-03-03,0.0,0.0,0.0,0.0,1.0
2006-03-10,0.0,0.0,0.0,0.0,1.0
2006-03-17,0.0,0.0,0.0,0.0,1.0
2006-03-24,0.0,0.0,0.0,0.0,1.0
2006-03-31,0.0,0.0,0.0,0.0,1.0
2006-04-07,0.0,0.0,0.0,0.0,1.0
2006-04-14,0.0,0.0,0.0,0.0,1.0
2006-04-21,0.0,0.0,0.0,0.0,1.0
2006-04-28,0.0,0.0,0.0,0.0,1.0
2006-05-05,0.0,0.0,0.0,0.0,1.0
2006-05-12,0.0,0.0,0.0,0.0,1.0
2006-05-19,0.0,0.0,0.0,0.0,1.0
2006-05-26,0.0,0.0,0.0,0.0,1.0
2006-06-02,0.0,0.0,0.0,0.0,1.0
2006-06-09,0.0,0.0,0.0,0.0,1.0
2006-06-16,0.0,0.0,0.0,0.0,1.0
2006-06-23,0.0,0.0,0.0,0.0,1.0
2006-06-30,0.1637501725536847,0.2275147301543366,0.2412772745054067,0.16745782278657204,0.19999999999999996
2006-07-07,0.1637501725536847,0.2275147301543366,0.2412772745054067,0.16745782278657204,0.19999999999999996
2006-07-14,0.1637501725536847,0.2275147301543366,0.2412772745054067,0.16745782278657204,0.19999999999999996
2006-07-21,0.1637501725536847,0.2275147301543366,0.2412772745054067,0.16745782278657204,0.19999999999999996
2006-07-28,0.13783926029536647,0.24323296342909717,0.27285135787798853,0.1460764183975478,0.19999999999999996
2006-08-04,0.13783926029536647,0.24323296342909717,0.27285135787798853,0.1460764183975478,0.19999999999999996
2006-08-11,0.13783926029536647,0.24323296342909717,0.27285135787798853,0.1460764183975478,0.19999999999999996
2006-08-18,0.13783926029536647,0.24323296342909717,0.27285135787798853,0.1460764183975478,0.19999999999999996
2006-08-25,0.12436861069144266,0.25218454596572465,0.2889540816416918,0.1344927617011409,0.19999999999999996
2006-09-01,0.12436861069144266,0.25218454596572465,0.2889540816416918,0.1344927617011409,0.19999999999999996
2006-09-08,0.12436861069144266,0.25218454596572465,0.2889540816416918,0.1344927617011409,0.19999999999999996
2006-09-15,0.12436861069144266,0.25218454596572465,0.2889540816416918,0.1344927617011409,0.19999999999999996
2006-09-22,0.12436861069144266,0.25218454596572465,0.2889540816416918,0.1344927617011409,0.19999999999999996
2006-09-29,0.11750380032628781,0.2587389289267451,0.2946627724463551,0.12909449830061204,0.19999999999999996
2006-10-06,0.11750380032628781,0.2587389289267451,0.2946627724463551,0.12909449830061204,0.19999999999999996
2006-10-13,0.11750380032628781,0.2587389289267451,0.2946627724463551,0.12909449830061204,0.19999999999999996
2006-10-20,0.11750380032628781,0.2587389289267451,0.2946627724463551,0.12909449830061204,0.19999999999999996
2006-10-27,0.1330432610215206,0.3087261904434643,0.34897820699061494,0.1492523415444002,0.06000000000000005
2006-11-03,0.1330432610215206,0.3087261904434643,0.34897820699061494,0.1492523415444002,0.06000000000000005
2006-11-10,0.1330432610215206,0.3087261904434643,0.34897820699061494,0.1492523415444002,0.06000000000000005
2006-11-17,0.1330432610215206,0.3087261904434643,0.34897820699061494,0.1492523415444002,0.06000000000000005
2006-11-24,0.1420942758849503,0.35956487960960193,0.34527728096740173,0.15306356353804615,0.0
2006-12-01,0.1420942758849503,0.35956487960960193,0.34527728096740173,0.15306356353804615,0.0
2006-12-08,0.1420942758849503,0.35956487960960193,0.34527728096740173,0.15306356353804615,0.0
2006-12-15,0.1420942758849503,0.35956487960960193,0.34527728096740173,0.15306356353804615,0.0
2006-12-22,0.1420942758849503,0.35956487960960193,0.34527728096740173,0.15306356353804615,0.0
2006-12-29,0.14168166020359424,0.35775631029574173,0.3429329472830684,0.15762908221759564,0.0
2007-01-05,0.14168166020359424,0.35775631029574173,0.3429329472830684,0.15762908221759564,0.0
2007-01-12,0.14168166020359424,0.35775631029574173,0.3429329472830684,0.15762908221759564,0.0
2007-01-19,0.14168166020359424,0.35775631029574173,0.3429329472830684,0.15762908221759564,0.0
2007-01-26,0.14199401350849128,0.3569074074012718,0.3375419548915005,0.16355662419873637,0.0
2007-02-02,0.14199401350849128,0.3569074074012718,0.3375419548915005,0.16355662419873637,0.0
2007-02-09,0.14199401350849128,0.3569074074012718,0.3375419548915005,0.16355662419873637,0.0
2007-02-16,0.14199401350849128,0.3569074074012718,0.3375419548915005,0.16355662419873637,0.0
2007-02-23,0.13160833564094615,0.3718067188009738,0.3378767248612265,0.15870822069685353,0.0
2007-03-02,0.13160833564094615,0.3718067188009738,0.3378767248612265,0.15870822069685353,0.0
2007-03-09,0.13160833564094615,0.3718067188009738,0.3378767248612265,0.15870822069685353,0.0
2007-03-16,0.13160833564094615,0.3718067188009738,0.3378767248612265,0.15870822069685353,0.0
2007-03-23,0.13160833564094615,0.3718067188009738,0.3378767248612265,0.15870822069685353,0.0
2007-03-30,0.1187165810198719,0.3420951732498185,0.326857496586331,0.1523307491439785,0.060000000000000164
2007-04-06,0.1187165810198719,0.3420951732498185,0.326857496586331,0.1523307491439785,0.060000000000000164
2007-04-13,0.1187165810198719,0.3420951732498185,0.326857496586331,0.1523307491439785,0.060000000000000164
2007-04-20,0.1187165810198719,0.3420951732498185,0.326857496586331,0.1523307491439785,0.060000000000000164
2007-04-27,0.11566107291213862,0.33699629739310644,0.3333202447282503,0.15402238496650467,0.05999999999999994
2007-05-04,0.11566107291213862,0.33699629739310644,0.3333202447282503,0.15402238496650467,0.05999999999999994
2007-05-11,0.11566107291213862,0.33699629739310644,0.3333202447282503,0.15402238496650467,0.05999999999999994
2007-05-18,0.11566107291213862,0.33699629739310644,0.3333202447282503,0.15402238496650467,0.05999999999999994
2007-05-25,0.1140401693713529,0.3320952853878647,0.33695913446799736,0.15690541077278497,0.06000000000000005
2007-06-01,0.1140401693713529,0.3320952853878647,0.33695913446799736,0.15690541077278497,0.06000000000000005
2007-06-08,0.1140401693713529,0.3320952853878647,0.33695913446799736,0.15690541077278497,0.06000000000000005
2007-06-15,0.1140401693713529,0.3320952853878647,0.33695913446799736,0.15690541077278497,0.06000000000000005
2007-06-22,0.1140401693713529,0.3320952853878647,0.33695913446799736,0.15690541077278497,0.06000000000000005
2007-06-29,0.1128706266548022,0.3273273177847795,0.3413014003872482,0.1585006551731699,0.060000000000000164
2007-07-06,0.1128706266548022,0.3273273177847795,0.3413014003872482,0.1585006551731699,0.060000000000000164
2007-07-13,0.1128706266548022,0.3273273177847795,0.3413014003872482,0.1585006551731699,0.060000000000000164
2007-07-20,0.1128706266548022,0.3273273177847795,0.3413014003872482,0.1585006551731699,0.060000000000000164
2007-07-27,0.0939506160920599,0.2762317075479656,0.2969384255008202,0.13287925085915436,0.19999999999999996
2007-08-03,0.0939506160920599,0.2762317075479656,0.2969384255008202,0.13287925085915436,0.19999999999999996
2007-08-10,0.0939506160920599,0.2762317075479656,0.2969384255008202,0.13287925085915436,0.19999999999999996
2007-08-17,0.0939506160920599,0.2762317075479656,0.2969384255008202,0.13287925085915436,0.19999999999999996
2007-08-24,0.0939506160920599,0.2762317075479656,0.2969384255008202,0.13287925085915436,0.19999999999999996
2007-08-31,0.044118539881095334,0.13310629315467568,0.15692030667903853,0.0658548602851905,0.6
2007-09-07,0.044118539881095334,0.13310629315467568,0.15692030667903853,0.0658548602851905,0.6
2007-09-14,0.044118539881095334,0.13310629315467568,0.15692030667903853,0.0658548602851905,0.6
2007-09-21,0.044118539881095334,0.13310629315467568,0.15692030667903853,0.0658548602851905,0.6
2007-09-28,0.10754490907662974,0.3477541962214601,0.3619960084697975,0.14270488623211272,0.039999999999999925
2007-10-05,0.10754490907662974,0.3477541962214601,0.3619960084697975,0.14270488623211272,0.039999999999999925
2007-10-12,0.10754490907662974,0.3477541962214601,0.3619960084697975,0.14270488623211272,0.039999999999999925
2007-10-19,0.10754490907662974,0.3477541962214601,0.3619960084697975,0.14270488623211272,0.039999999999999925
2007-10-26,0.041132747706876506,0.1379987181733094,0.16009974744157374,0.060768786678240407,0.5999999999999999
2007-11-02,0.041132747706876506,0.1379987181733094,0.16009974744157374,0.060768786678240407,0.5999999999999999
2007-11-09,0.041132747706876506,0.1379987181733094,0.16009974744157374,0.060768786678240407,0.5999999999999999
2007-11-16,0.041132747706876506,0.1379987181733094,0.16009974744157374,0.060768786678240407,0.5999999999999999
2007-11-23,0.041132747706876506,0.1379987181733094,0.16009974744157374,0.060768786678240407,0.5999999999999999
2007-11-30,0.038746139627541976,0.1333716938612068,0.16651314497628153,0.06136902153496975,0.5999999999999999
2007-12-07,0.038746139627541976,0.1333716938612068,0.16651314497628153,0.06136902153496975,0.5999999999999999
2007-12-14,0.038746139627541976,0.1333716938612068,0.16651314497628153,0.06136902153496975,0.5999999999999999
2007-12-21,0.038746139627541976,0.1333716938612068,0.16651314497628153,0.06136902153496975,0.5999999999999999
2007-12-28,0.07677099794145839,0.2699795838538528,0.3330071691714216,0.12024224903326719,0.20000000000000007
2008-01-04,0.07677099794145839,0.2699795838538528,0.3330071691714216,0.12024224903326719,0.20000000000000007
2008-01-11,0.07677099794145839,0.2699795838538528,0.3330071691714216,0.12024224903326719,0.20000000000000007
2008-01-18,0.07677099794145839,0.2699795838538528,0.3330071691714216,0.12024224903326719,0.20000000000000007
2008-01-25,0.0363472670921287,0.1317467986014534,0.17190215075142645,0.06000378355499141,0.6000000000000001
2008-02-01,0.0363472670921287,0.1317467986014534,0.17190215075142645,0.06000378355499141,0.6000000000000001
2008-02-08,0.0363472670921287,0.1317467986014534,0.17190215075142645,0.06000378355499141,0.6000000000000001
2008-02-15,0.0363472670921287,0.1317467986014534,0.17190215075142645,0.06000378355499141,0.6000000000000001
2008-02-22,0.0363472670921287,0.1317467986014534,0.17190215075142645,0.06000378355499141,0.6000000000000001
2008-02-29,0.035029168654012295,0.12983776701709093,0.1751412904508559,0.05999177387804089,0.6
2008-03-07,0.035029168654012295,0.12983776701709093,0.1751412904508559,0.05999177387804089,0.6
2008-03-14,0.035029168654012295,0.12983776701709093,0.1751412904508559,0.05999177387804089,0.6
2008-03-21,0.035029168654012295,0.12983776701709093,0.1751412904508559,0.05999177387804089,0.6
2008-03-28,0.0343501426318677,0.12870876087710906,0.17708477427051356,0.05985632222050972,0.6
2008-04-04,0.0343501426318677,0.12870876087710906,0.17708477427051356,0.05985632222050972,0.6
2008-04-11,0.0343501426318677,0.12870876087710906,0.17708477427051356,0.05985632222050972,0.6
2008-04-18,0.0343501426318677,0.12870876087710906,0.17708477427051356,0.05985632222050972,0.6
2008-04-25,0.03410524299847223,0.12820512033768253,0.17825086456230813,0.05943877210153712,0.6
2008-05-02,0.03410524299847223,0.12820512033768253,0.17825086456230813,0.05943877210153712,0.6
2008-05-09,0.03410524299847223,0.12820512033768253,0.17825086456230813,0.05943877210153712,0.6
2008-05-16,0.03410524299847223,0.12820512033768253,0.17825086456230813,0.05943877210153712,0.6
2008-05-23,0.03410524299847223,0.12820512033768253,0.17825086456230813,0.05943877210153712,0.6
2008-05-30,0.06992488946982336,0.26285664873505327,0.35207936129708317,0.11513910049804017,0.19999999999999996
2008-06-06,0.06992488946982336,0.26285664873505327,0.35207936129708317,0.11513910049804017,0.19999999999999996
2008-06-13,0.06992488946982336,0.26285664873505327,0.35207936129708317,0.11513910049804017,0.19999999999999996
2008-06-20,0.06992488946982336,0.26285664873505327,0.35207936129708317,0.11513910049804017,0.19999999999999996
2008-06-27,0.07070275342592318,0.26617169537670304,0.3503301590458198,0.11279539215155399,0.19999999999999996
2008-07-04,0.07070275342592318,0.26617169537670304,0.3503301590458198,0.11279539215155399,0.19999999999999996
2008-07-11,0.07070275342592318,0.26617169537670304,0.3503301590458198,0.11279539215155399,0.19999999999999996
2008-07-18,0.07070275342592318,0.26617169537670304,0.3503301590458198,0.11279539215155399,0.19999999999999996
2008-07-25,0.06973071963568778,0.26318515110338997,0.3541980954274919,0.11288603383343039,0.19999999999999984
2008-08-01,0.06973071963568778,0.26318515110338997,0.3541980954274919,0.11288603383343039,0.19999999999999984
2008-08-08,0.06973071963568778,0.26318515110338997,0.3541980954274919,0.11288603383343039,0.19999999999999984
2008-08-15,0.06973071963568778,0.26318515110338997,0.3541980954274919,0.11288603383343039,0.19999999999999984
2008-08-22,0.06973071963568778,0.26318515110338997,0.3541980954274919,0.11288603383343039,0.19999999999999984
2008-08-29,0.07204454728657975,0.2700952505751383,0.3549671011068798,0.10289310103140215,0.20000000000000007
2008-09-05,0.07204454728657975,0.2700952505751383,0.3549671011068798,0.10289310103140215,0.20000000000000007
2008-09-12,0.07204454728657975,0.2700952505751383,0.3549671011068798,0.10289310103140215,0.20000000000000007
2008-09-19,0.07204454728657975,0.2700952505751383,0.3549671011068798,0.10289310103140215,0.20000000000000007
2008-09-26,0.03641565091369663,0.13485206833788116,0.17849013033206396,0.050242150416358294,0.6
2008-10-03,0.03641565091369663,0.13485206833788116,0.17849013033206396,0.050242150416358294,0.6
2008-10-10,0.03641565091369663,0.13485206833788116,0.17849013033206396,0.050242150416358294,0.6
2008-10-17,0.03641565091369663,0.13485206833788116,0.17849013033206396,0.050242150416358294,0.6
2008-10-24,0.03641565091369663,0.13485206833788116,0.17849013033206396,0.050242150416358294,0.6
2008-10-31,0.03957725587776541,0.1327741716380035,0.1790940781992384,0.04855449428499275,0.5999999999999999
2008-11-07,0.03957725587776541,0.1327741716380035,0.1790940781992384,0.04855449428499275,0.5999999999999999
2008-11-14,0.03957725587776541,0.1327741716380035,0.1790940781992384,0.04855449428499275,0.5999999999999999
2008-11-21,0.03957725587776541,0.1327741716380035,0.1790940781992384,0.04855449428499275,0.5999999999999999
2008-11-28,0.041199463580703394,0.13333460231138058,0.17945644691954304,0.04600948718837306,0.5999999999999999
2008-12-05,0.041199463580703394,0.13333460231138058,0.17945644691954304,0.04600948718837306,0.5999999999999999
2008-12-12,0.041199463580703394,0.13333460231138058,0.17945644691954304,0.04600948718837306,0.5999999999999999
2008-12-19,0.041199463580703394,0.13333460231138058,0.17945644691954304,0.04600948718837306,0.5999999999999999
2008-12-26,0.04450136723554777,0.13048572808166534,0.1796738681517258,0.04533903653106111,0.6
2009-01-02,0.04450136723554777,0.13048572808166534,0.1796738681517258,0.04533903653106111,0.6
2009-01-09,0.04450136723554777,0.13048572808166534,0.1796738681517258,0.04533903653106111,0.6
2009-01-16,0.04450136723554777,0.13048572808166534,0.1796738681517258,0.04533903653106111,0.6
2009-01-23,0.04450136723554777,0.13048572808166534,0.1796738681517258,0.04533903653106111,0.6
2009-01-30,0.046715993262155135,0.12919116872171552,0.1798043208910355,0.04428851712509386,0.6
2009-02-06,0.046715993262155135,0.12919116872171552,0.1798043208910355,0.04428851712509386,0.6
2009-02-13,0.046715993262155135,0.12919116872171552,0.1798043208910355,0.04428851712509386,0.6
2009-02-20,0.046715993262155135,0.12919116872171552,0.1798043208910355,0.04428851712509386,0.6
2009-02-27,0.04879112726257737,0.12752352267867437,0.1798825925346213,0.04380275752412699,0.6
2009-03-06,0.04879112726257737,0.12752352267867437,0.1798825925346213,0.04380275752412699,0.6
2009-03-13,0.04879112726257737,0.12752352267867437,0.1798825925346213,0.04380275752412699,0.6
2009-03-20,0.04879112726257737,0.12752352267867437,0.1798825925346213,0.04380275752412699,0.6
2009-03-27,0.05022773809888408,0.12645734248856916,0.17992955552077278,0.04338536389177399,0.6
2009-04-03,0.05022773809888408,0.12645734248856916,0.17992955552077278,0.04338536389177399,0.6
2009-04-10,0.05022773809888408,0.12645734248856916,0.17992955552077278,0.04338536389177399,0.6
2009-04-17,0.05022773809888408,0.12645734248856916,0.17992955552077278,0.04338536389177399,0.6
2009-04-24,0.10304817663463409,0.2507634404724855,0.35991546662492735,0.08627291626795307,0.19999999999999996
2009-05-01,0.10304817663463409,0.2507634404724855,0.35991546662492735,0.08627291626795307,0.19999999999999996
2009-05-08,0.10304817663463409,0.2507634404724855,0.35991546662492735,0.08627291626795307,0.19999999999999996
2009-05-15,0.10304817663463409,0.2507634404724855,0.35991546662492735,0.08627291626795307,0.19999999999999996
2009-05-22,0.10304817663463409,0.2507634404724855,0.35991546662492735,0.08627291626795307,0.19999999999999996
2009-05-29,0.11018254073148787,0.24681246866041506,0.3599492799749564,0.08305571063314068,0.19999999999999996
2009-06-05,0.11018254073148787,0.24681246866041506,0.3599492799749564,0.08305571063314068,0.19999999999999996
2009-06-12,0.11018254073148787,0.24681246866041506,0.3599492799749564,0.08305571063314068,0.19999999999999996
2009-06-19,0.11018254073148787,0.24681246866041506,0.3599492799749564,0.08305571063314068,0.19999999999999996
2009-06-26,0.1514543300335987,0.30879339240710657,0.4102685359070819,0.08948374165221282,0.039999999999999925
2009-07-03,0.1514543300335987,0.30879339240710657,0.4102685359070819,0.08948374165221282,0.039999999999999925
2009-07-10,0.1514543300335987,0.30879339240710657,0.4102685359070819,0.08948374165221282,0.039999999999999925
2009-07-17,0.1514543300335987,0.30879339240710657,0.4102685359070819,0.08948374165221282,0.039999999999999925
2009-07-24,0.1514543300335987,0.30879339240710657,0.4102685359070819,0.08948374165221282,0.039999999999999925
2009-07-31,0.1623510971801041,0.3096448272140194,0.40362387372516295,0.08438020188071343,0.040000000000000036
2009-08-07,0.1623510971801041,0.3096448272140194,0.40362387372516295,0.08438020188071343,0.040000000000000036
2009-08-14,0.1623510971801041,0.3096448272140194,0.40362387372516295,0.08438020188071343,0.040000000000000036
2009-08-21,0.1623510971801041,0.3096448272140194,0.40362387372516295,0.08438020188071343,0.040000000000000036
2009-08-28,0.1556642994045965,0.2938128716658459,0.40632902581353314,0.08419380311602437,0.06000000000000005
2009-09-04,0.1556642994045965,0.2938128716658459,0.40632902581353314,0.08419380311602437,0.06000000000000005
2009-09-11,0.1556642994045965,0.2938128716658459,0.40632902581353314,0.08419380311602437,0.06000000000000005
2009-09-18,0.1556642994045965,0.2938128716658459,0.40632902581353314,0.08419380311602437,0.06000000000000005
2009-09-25,0.17404433694111965,0.3192303124839554,0.42041649997583747,0.08630885059908742,0.0
2009-10-02,0.17404433694111965,0.3192303124839554,0.42041649997583747,0.08630885059908742,0.0
2009-10-09,0.17404433694111965,0.3192303124839554,0.42041649997583747,0.08630885059908742,0.0
2009-10-16,0.17404433694111965,0.3192303124839554,0.42041649997583747,0.08630885059908742,0.0
2009-10-23,0.17404433694111965,0.3192303124839554,0.42041649997583747,0.08630885059908742,0.0
2009-10-30,0.1730112119316242,0.3240965898894198,0.42022705921599457,0.08266513896296147,0.0
2009-11-06,0.1730112119316242,0.3240965898894198,0.42022705921599457,0.08266513896296147,0.0
2009-11-13,0.1730112119316242,0.3240965898894198,0.42022705921599457,0.08266513896296147,0.0
2009-11-20,0.1730112119316242,0.3240965898894198,0.42022705921599457,0.08266513896296147,0.0
2009-11-27,0.17017206341428504,0.3270548729535661,0.42022117138876014,0.08255189224338877,0.0
2009-12-04,0.17017206341428504,0.3270548729535661,0.42022117138876014,0.08255189224338877,0.0
2009-12-11,0.17017206341428504,0.3270548729535661,0.42022117138876014,0.08255189224338877,0.0
2009-12-18,0.17017206341428504,0.3270548729535661,0.42022117138876014,0.08255189224338877,0.0
2009-12-25,0.16936030969548935,0.3286601370486402,0.4201819547876192,0.08179759846825115,0.0
2010-01-01,0.16936030969548935,0.3286601370486402,0.4201819547876192,0.08179759846825115,0.0
2010-01-08,0.16936030969548935,0.3286601370486402,0.4201819547876192,0.08179759846825115,0.0
2010-01-15,0.16936030969548935,0.3286601370486402,0.4201819547876192,0.08179759846825115,0.0
2010-01-22,0.16936030969548935,0.3286601370486402,0.4201819547876192,0.08179759846825115,0.0
2010-01-29,0.1679420699782757,0.3299459961041993,0.4201884972598566,0.08192343665766853,0.0
2010-02-05,0.1679420699782757,0.3299459961041993,0.4201884972598566,0.08192343665766853,0.0
2010-02-12,0.1679420699782757,0.3299459961041993,0.4201884972598566,0.08192343665766853,0.0
2010-02-19,0.1679420699782757,0.3299459961041993,0.4201884972598566,0.08192343665766853,0.0
2010-02-26,0.1771322501001278,0.3186705309442752,0.42029155551094954,0.08390566344464746,0.0
2010-03-05,0.1771322501001278,0.3186705309442752,0.42029155551094954,0.08390566344464746,0.0
2010-03-12,0.1771322501001278,0.3186705309442752,0.42029155551094954,0.08390566344464746,0.0
2010-03-19,0.1771322501001278,0.3186705309442752,0.42029155551094954,0.08390566344464746,0.0
2010-03-26,0.17983577099162867,0.31640263888850834,0.42027002601012986,0.08349156410973314,0.0
2010-04-02,0.17983577099162867,0.31640263888850834,0.42027002601012986,0.08349156410973314,0.0
2010-04-09,0.17983577099162867,0.31640263888850834,0.42027002601012986,0.08349156410973314,0.0
2010-04-16,0.17983577099162867,0.31640263888850834,0.42027002601012986,0.08349156410973314,0.0
2010-04-23,0.17983577099162867,0.31640263888850834,0.42027002601012986,0.08349156410973314,0.0
2010-04-30,0.1800765298098784,0.3284631502020525,0.39846717123219716,0.09299314875587199,0.0
2010-05-07,0.1800765298098784,0.3284631502020525,0.39846717123219716,0.09299314875587199,0.0
2010-05-14,0.1800765298098784,0.3284631502020525,0.39846717123219716,0.09299314875587199,0.0
2010-05-21,0.1800765298098784,0.3284631502020525,0.39846717123219716,0.09299314875587199,0.0
2010-05-28,0.1423697072052231,0.26223175867516074,0.3176813976919662,0.07771713642765006,0.19999999999999996
2010-06-04,0.1423697072052231,0.26223175867516074,0.3176813976919662,0.07771713642765006,0.19999999999999996
2010-06-11,0.1423697072052231,0.26223175867516074,0.3176813976919662,0.07771713642765006,0.19999999999999996
2010-06-18,0.1423697072052231,0.26223175867516074,0.3176813976919662,0.07771713642765006,0.19999999999999996
2010-06-25,0.14315780021673546,0.26609728399614857,0.30787803322277785,0.08286688256433822,0.19999999999999996
2010-07-02,0.14315780021673546,0.26609728399614857,0.30787803322277785,0.08286688256433822,0.19999999999999996
2010-07-09,0.14315780021673546,0.26609728399614857,0.30787803322277785,0.08286688256433822,0.19999999999999996
2010-07-16,0.14315780021673546,0.26609728399614857,0.30787803322277785,0.08286688256433822,0.19999999999999996
2010-07-23,0.14315780021673546,0.26609728399614857,0.30787803322277785,0.08286688256433822,0.19999999999999996
2010-07-30,0.1457532521557102,0.271837469196271,0.2951426922090725,0.0872665864389463,0.19999999999999996
2010-08-06,0.1457532521557102,0.271837469196271,0.2951426922090725,0.0872665864389463,0.19999999999999996
2010-08-13,0.1457532521557102,0.271837469196271,0.2951426922090725,0.0872665864389463,0.19999999999999996
2010-08-20,0.1457532521557102,0.271837469196271,0.2951426922090725,0.0872665864389463,0.19999999999999996
2010-08-27,0.14860591504150852,0.27554609878194575,0.28550423308251827,0.0903437530940275,0.19999999999999996
2010-09-03,0.14860591504150852,0.27554609878194575,0.28550423308251827,0.0903437530940275,0.19999999999999996
2010-09-10,0.14860591504150852,0.27554609878194575,0.28550423308251827,0.0903437530940275,0.19999999999999996
2010-09-17,0.14860591504150852,0.27554609878194575,0.28550423308251827,0.0903437530940275,0.19999999999999996
2010-09-24,0.17871623656894484,0.3254691779993807,0.3273153922895456,0.10849919314212886,0.06000000000000005
2010-10-01,0.17871623656894484,0.3254691779993807,0.3273153922895456,0.10849919314212886,0.06000000000000005
2010-10-08,0.17871623656894484,0.3254691779993807,0.3273153922895456,0.10849919314212886,0.06000000000000005
2010-10-15,0.17871623656894484,0.3254691779993807,0.3273153922895456,0.10849919314212886,0.06000000000000005
2010-10-22,0.17871623656894484,0.3254691779993807,0.3273153922895456,0.10849919314212886,0.06000000000000005
2010-10-29,0.2184115075412418,0.36640642249985667,0.3037809140666274,0.11140115589227406,0.0
2010-11-05,0.2184115075412418,0.36640642249985667,0.3037809140666274,0.11140115589227406,0.0
2010-11-12,0.2184115075412418,0.36640642249985667,0.3037809140666274,0.11140115589227406,0.0
2010-11-19,0.2184115075412418,0.36640642249985667,0.3037809140666274,0.11140115589227406,0.0
2010-11-26,0.20109603597161416,0.3384173455032006,0.29257370437557984,0.10791291414960544,0.05999999999999994
2010-12-03,0.20109603597161416,0.3384173455032006,0.29257370437557984,0.10791291414960544,0.05999999999999994
2010-12-10,0.20109603597161416,0.3384173455032006,0.29257370437557984,0.10791291414960544,0.05999999999999994
2010-12-17,0.20109603597161416,0.3384173455032006,0.29257370437557984,0.10791291414960544,0.05999999999999994
2010-12-24,0.20109603597161416,0.3384173455032006,0.29257370437557984,0.10791291414960544,0.05999999999999994
2010-12-31,0.2232719137298093,0.3717900207774395,0.29003991565274034,0.11489814984001066,2.220446049250313e-16
