,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,phase4b_top5_smooth_sector_sleeve,cash::BIL
2006-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-30,0.14385340500387692,0.0,0.18646494691092208,0.12165264977797592,0.15124787720205474,0.11678112110517042,0.08,0.20000000000000007
2006-07-07,0.14385340500387692,0.0,0.18646494691092208,0.12165264977797592,0.15124787720205474,0.11678112110517042,0.08,0.20000000000000007
2006-07-14,0.14385340500387692,0.0,0.18646494691092208,0.12165264977797592,0.15124787720205474,0.11678112110517042,0.08,0.20000000000000007
2006-07-21,0.14385340500387692,0.0,0.18646494691092208,0.12165264977797592,0.15124787720205474,0.11678112110517042,0.08,0.20000000000000007
2006-07-28,0.11416742266858669,0.14400000000000002,0.1742892401921855,0.08639879629609303,0.13538394284263686,0.09776059800049793,0.04799999999999999,0.19999999999999996
2006-08-04,0.11416742266858669,0.14400000000000002,0.1742892401921855,0.08639879629609303,0.13538394284263686,0.09776059800049793,0.04799999999999999,0.19999999999999996
2006-08-11,0.11416742266858669,0.14400000000000002,0.1742892401921855,0.08639879629609303,0.13538394284263686,0.09776059800049793,0.04799999999999999,0.19999999999999996
2006-08-18,0.11416742266858669,0.14400000000000002,0.1742892401921855,0.08639879629609303,0.13538394284263686,0.09776059800049793,0.04799999999999999,0.19999999999999996
2006-08-25,0.09236667264352989,0.23040000000000005,0.16468357525013352,0.07070836222110087,0.13088635113088307,0.08215503875435269,0.028799999999999992,0.19999999999999996
2006-09-01,0.09236667264352989,0.23040000000000005,0.16468357525013352,0.07070836222110087,0.13088635113088307,0.08215503875435269,0.028799999999999992,0.19999999999999996
2006-09-08,0.09236667264352989,0.23040000000000005,0.16468357525013352,0.07070836222110087,0.13088635113088307,0.08215503875435269,0.028799999999999992,0.19999999999999996
2006-09-15,0.09236667264352989,0.23040000000000005,0.16468357525013352,0.07070836222110087,0.13088635113088307,0.08215503875435269,0.028799999999999992,0.19999999999999996
2006-09-22,0.09236667264352989,0.23040000000000005,0.16468357525013352,0.07070836222110087,0.13088635113088307,0.08215503875435269,0.028799999999999992,0.19999999999999996
2006-09-29,0.08107550434163999,0.28224,0.16236440157899934,0.06286350411360116,0.1193369700778076,0.07483961988795187,0.017279999999999997,0.20000000000000007
2006-10-06,0.08107550434163999,0.28224,0.16236440157899934,0.06286350411360116,0.1193369700778076,0.07483961988795187,0.017279999999999997,0.20000000000000007
2006-10-13,0.08107550434163999,0.28224,0.16236440157899934,0.06286350411360116,0.1193369700778076,0.07483961988795187,0.017279999999999997,0.20000000000000007
2006-10-20,0.08107550434163999,0.28224,0.16236440157899934,0.06286350411360116,0.1193369700778076,0.07483961988795187,0.017279999999999997,0.20000000000000007
2006-10-27,0.0935040901030451,0.31414244652804896,0.1532197649588523,0.0870524931248265,0.15055614002594284,0.09465500884811642,0.057631584,0.049238472411167744
2006-11-03,0.0935040901030451,0.31414244652804896,0.1532197649588523,0.0870524931248265,0.15055614002594284,0.09465500884811642,0.057631584,0.049238472411167744
2006-11-10,0.0935040901030451,0.31414244652804896,0.1532197649588523,0.0870524931248265,0.15055614002594284,0.09465500884811642,0.057631584,0.049238472411167744
2006-11-17,0.0935040901030451,0.31414244652804896,0.1532197649588523,0.0870524931248265,0.15055614002594284,0.09465500884811642,0.057631584,0.049238472411167744
2006-11-24,0.07968234760827246,0.42608227981725894,0.14594399440724698,0.058970517128478395,0.11195537839056674,0.06924223568715245,0.10812324696102416,0.0
2006-12-01,0.07968234760827246,0.42608227981725894,0.14594399440724698,0.058970517128478395,0.11195537839056674,0.06924223568715245,0.10812324696102416,0.0
2006-12-08,0.07968234760827246,0.42608227981725894,0.14594399440724698,0.058970517128478395,0.11195537839056674,0.06924223568715245,0.10812324696102416,0.0
2006-12-15,0.07968234760827246,0.42608227981725894,0.14594399440724698,0.058970517128478395,0.11195537839056674,0.06924223568715245,0.10812324696102416,0.0
2006-12-22,0.07968234760827246,0.42608227981725894,0.14594399440724698,0.058970517128478395,0.11195537839056674,0.06924223568715245,0.10812324696102416,0.0
2006-12-29,0.07411623495002712,0.4452164559634518,0.1397881181761898,0.054185895072841814,0.10486967592238813,0.06419897052289661,0.11762464939220485,0.0
2007-01-05,0.07411623495002712,0.4452164559634518,0.1397881181761898,0.054185895072841814,0.10486967592238813,0.06419897052289661,0.11762464939220485,0.0
2007-01-12,0.07411623495002712,0.4452164559634518,0.1397881181761898,0.054185895072841814,0.10486967592238813,0.06419897052289661,0.11762464939220485,0.0
2007-01-19,0.07411623495002712,0.4452164559634518,0.1397881181761898,0.054185895072841814,0.10486967592238813,0.06419897052289661,0.11762464939220485,0.0
2007-01-26,0.07184922827471377,0.4490432911926904,0.13639650456664593,0.05342440975781344,0.10522382718852577,0.06453780914116988,0.11952492987844096,0.0
2007-02-02,0.07184922827471377,0.4490432911926904,0.13639650456664593,0.05342440975781344,0.10522382718852577,0.06453780914116988,0.11952492987844096,0.0
2007-02-09,0.07184922827471377,0.4490432911926904,0.13639650456664593,0.05342440975781344,0.10522382718852577,0.06453780914116988,0.11952492987844096,0.0
2007-02-16,0.07184922827471377,0.4490432911926904,0.13639650456664593,0.05342440975781344,0.10522382718852577,0.06453780914116988,0.11952492987844096,0.0
2007-02-23,0.06797863260069881,0.4079390960911049,0.1447886128950136,0.062399453222234585,0.1305287604278612,0.06646045878739885,0.11990498597568819,0.0
2007-03-02,0.06797863260069881,0.4079390960911049,0.1447886128950136,0.062399453222234585,0.1305287604278612,0.06646045878739885,0.11990498597568819,0.0
2007-03-09,0.06797863260069881,0.4079390960911049,0.1447886128950136,0.062399453222234585,0.1305287604278612,0.06646045878739885,0.11990498597568819,0.0
2007-03-16,0.06797863260069881,0.4079390960911049,0.1447886128950136,0.062399453222234585,0.1305287604278612,0.06646045878739885,0.11990498597568819,0.0
2007-03-23,0.06797863260069881,0.4079390960911049,0.1447886128950136,0.062399453222234585,0.1305287604278612,0.06646045878739885,0.11990498597568819,0.0
2007-03-30,0.0745617327710628,0.3318435723743796,0.12614498653503564,0.08410768296957101,0.14833291415769556,0.07212277845507159,0.11339410424484936,0.049492228492334256
2007-04-06,0.0745617327710628,0.3318435723743796,0.12614498653503564,0.08410768296957101,0.14833291415769556,0.07212277845507159,0.11339410424484936,0.049492228492334256
2007-04-13,0.0745617327710628,0.3318435723743796,0.12614498653503564,0.08410768296957101,0.14833291415769556,0.07212277845507159,0.11339410424484936,0.049492228492334256
2007-04-20,0.0745617327710628,0.3318435723743796,0.12614498653503564,0.08410768296957101,0.14833291415769556,0.07212277845507159,0.11339410424484936,0.049492228492334256
2007-04-27,0.08064047351280627,0.29793352950539526,0.11930752294302223,0.09899032162121313,0.1627342211295536,0.07761318480215165,0.11305005301135762,0.04973069347450032
2007-05-04,0.08064047351280627,0.29793352950539526,0.11930752294302223,0.09899032162121313,0.1627342211295536,0.07761318480215165,0.11305005301135762,0.04973069347450032
2007-05-11,0.08064047351280627,0.29793352950539526,0.11930752294302223,0.09899032162121313,0.1627342211295536,0.07761318480215165,0.11305005301135762,0.04973069347450032
2007-05-18,0.08064047351280627,0.29793352950539526,0.11930752294302223,0.09899032162121313,0.1627342211295536,0.07761318480215165,0.11305005301135762,0.04973069347450032
2007-05-25,0.08700821680383274,0.2670484643085783,0.12129310788320895,0.10880147949886468,0.18019247022519055,0.07275030412365463,0.11286166168723509,0.050044295469434896
2007-06-01,0.08700821680383274,0.2670484643085783,0.12129310788320895,0.10880147949886468,0.18019247022519055,0.07275030412365463,0.11286166168723509,0.050044295469434896
2007-06-08,0.08700821680383274,0.2670484643085783,0.12129310788320895,0.10880147949886468,0.18019247022519055,0.07275030412365463,0.11286166168723509,0.050044295469434896
2007-06-15,0.08700821680383274,0.2670484643085783,0.12129310788320895,0.10880147949886468,0.18019247022519055,0.07275030412365463,0.11286166168723509,0.050044295469434896
2007-06-22,0.08700821680383274,0.2670484643085783,0.12129310788320895,0.10880147949886468,0.18019247022519055,0.07275030412365463,0.11286166168723509,0.050044295469434896
2007-06-29,0.09142447060266984,0.24584433992586238,0.1344876568277979,0.12645742549972386,0.20945781039817335,0.07473373335176382,0.06739224647016938,0.050202316923839474
2007-07-06,0.09142447060266984,0.24584433992586238,0.1344876568277979,0.12645742549972386,0.20945781039817335,0.07473373335176382,0.06739224647016938,0.050202316923839474
2007-07-13,0.09142447060266984,0.24584433992586238,0.1344876568277979,0.12645742549972386,0.20945781039817335,0.07473373335176382,0.06739224647016938,0.050202316923839474
2007-07-20,0.09142447060266984,0.24584433992586238,0.1344876568277979,0.12645742549972386,0.20945781039817335,0.07473373335176382,0.06739224647016938,0.050202316923839474
2007-07-27,0.06784190249842313,0.1932907376569658,0.13225945839982586,0.08984103796260552,0.2148509042818387,0.06785788674757072,0.034058072452770365,0.19999999999999984
2007-08-03,0.06784190249842313,0.1932907376569658,0.13225945839982586,0.08984103796260552,0.2148509042818387,0.06785788674757072,0.034058072452770365,0.19999999999999984
2007-08-10,0.06784190249842313,0.1932907376569658,0.13225945839982586,0.08984103796260552,0.2148509042818387,0.06785788674757072,0.034058072452770365,0.19999999999999984
2007-08-17,0.06784190249842313,0.1932907376569658,0.13225945839982586,0.08984103796260552,0.2148509042818387,0.06785788674757072,0.034058072452770365,0.19999999999999984
2007-08-24,0.06784190249842313,0.1932907376569658,0.13225945839982586,0.08984103796260552,0.2148509042818387,0.06785788674757072,0.034058072452770365,0.19999999999999984
2007-08-31,0.030246891867063364,0.08784829891174978,0.07039030253430126,0.03976846354557603,0.12536894492198752,0.03615967648349098,0.01021742173583111,0.5999999999999999
2007-09-07,0.030246891867063364,0.08784829891174978,0.07039030253430126,0.03976846354557603,0.12536894492198752,0.03615967648349098,0.01021742173583111,0.5999999999999999
2007-09-14,0.030246891867063364,0.08784829891174978,0.07039030253430126,0.03976846354557603,0.12536894492198752,0.03615967648349098,0.01021742173583111,0.5999999999999999
2007-09-21,0.030246891867063364,0.08784829891174978,0.07039030253430126,0.03976846354557603,0.12536894492198752,0.03615967648349098,0.01021742173583111,0.5999999999999999
2007-09-28,0.0796965865756448,0.1871811048878667,0.15989280656157134,0.14318912547338025,0.3050277869062995,0.08311830173323745,0.009857768490729852,0.03203651937127017
2007-10-05,0.0796965865756448,0.1871811048878667,0.15989280656157134,0.14318912547338025,0.3050277869062995,0.08311830173323745,0.009857768490729852,0.03203651937127017
2007-10-12,0.0796965865756448,0.1871811048878667,0.15989280656157134,0.14318912547338025,0.3050277869062995,0.08311830173323745,0.009857768490729852,0.03203651937127017
2007-10-19,0.0796965865756448,0.1871811048878667,0.15989280656157134,0.14318912547338025,0.3050277869062995,0.08311830173323745,0.009857768490729852,0.03203651937127017
2007-10-26,0.028893256566089126,0.07325835278276592,0.07166981688751416,0.048209536680049646,0.13915563859743238,0.03636923144356733,0.0024441670425814446,0.6
2007-11-02,0.028893256566089126,0.07325835278276592,0.07166981688751416,0.048209536680049646,0.13915563859743238,0.03636923144356733,0.0024441670425814446,0.6
2007-11-09,0.028893256566089126,0.07325835278276592,0.07166981688751416,0.048209536680049646,0.13915563859743238,0.03636923144356733,0.0024441670425814446,0.6
2007-11-16,0.028893256566089126,0.07325835278276592,0.07166981688751416,0.048209536680049646,0.13915563859743238,0.03636923144356733,0.0024441670425814446,0.6
2007-11-23,0.028893256566089126,0.07325835278276592,0.07166981688751416,0.048209536680049646,0.13915563859743238,0.03636923144356733,0.0024441670425814446,0.6
2007-11-30,0.027661872829280506,0.06199772688144509,0.08660720582198597,0.03982788750823017,0.14300776873606189,0.03943103799744756,0.0014665002255488668,0.5999999999999999
2007-12-07,0.027661872829280506,0.06199772688144509,0.08660720582198597,0.03982788750823017,0.14300776873606189,0.03943103799744756,0.0014665002255488668,0.5999999999999999
2007-12-14,0.027661872829280506,0.06199772688144509,0.08660720582198597,0.03982788750823017,0.14300776873606189,0.03943103799744756,0.0014665002255488668,0.5999999999999999
2007-12-21,0.027661872829280506,0.06199772688144509,0.08660720582198597,0.03982788750823017,0.14300776873606189,0.03943103799744756,0.0014665002255488668,0.5999999999999999
2007-12-28,0.053183471058689494,0.11402919476615372,0.19717353764197668,0.07142460452497587,0.2843452791649776,0.07808411257256803,0.00175980027065864,0.20000000000000007
2008-01-04,0.053183471058689494,0.11402919476615372,0.19717353764197668,0.07142460452497587,0.2843452791649776,0.07808411257256803,0.00175980027065864,0.20000000000000007
2008-01-11,0.053183471058689494,0.11402919476615372,0.19717353764197668,0.07142460452497587,0.2843452791649776,0.07808411257256803,0.00175980027065864,0.20000000000000007
2008-01-18,0.053183471058689494,0.11402919476615372,0.19717353764197668,0.07142460452497587,0.2843452791649776,0.07808411257256803,0.00175980027065864,0.20000000000000007
2008-01-25,0.024970037170515293,0.05218689919335463,0.10332262090152906,0.03252438772686588,0.14684136642472875,0.03962674850180878,0.000527940081197592,0.6
2008-02-01,0.024970037170515293,0.05218689919335463,0.10332262090152906,0.03252438772686588,0.14684136642472875,0.03962674850180878,0.000527940081197592,0.6
2008-02-08,0.024970037170515293,0.05218689919335463,0.10332262090152906,0.03252438772686588,0.14684136642472875,0.03962674850180878,0.000527940081197592,0.6
2008-02-15,0.024970037170515293,0.05218689919335463,0.10332262090152906,0.03252438772686588,0.14684136642472875,0.03962674850180878,0.000527940081197592,0.6
2008-02-22,0.024970037170515293,0.05218689919335463,0.10332262090152906,0.03252438772686588,0.14684136642472875,0.03962674850180878,0.000527940081197592,0.6
2008-02-29,0.02397115575498379,0.049541493106547096,0.10602593769167222,0.030264666542680032,0.14979291523533292,0.04008706762006544,0.0003167640487185552,0.6
2008-03-07,0.02397115575498379,0.049541493106547096,0.10602593769167222,0.030264666542680032,0.14979291523533292,0.04008706762006544,0.0003167640487185552,0.6
2008-03-14,0.02397115575498379,0.049541493106547096,0.10602593769167222,0.030264666542680032,0.14979291523533292,0.04008706762006544,0.0003167640487185552,0.6
2008-03-21,0.02397115575498379,0.049541493106547096,0.10602593769167222,0.030264666542680032,0.14979291523533292,0.04008706762006544,0.0003167640487185552,0.6
2008-03-28,0.023427377620362816,0.048177613923820924,0.10696161613429574,0.026635991572525986,0.15436794615184524,0.04023939616791819,0.00019005842923113306,0.6
2008-04-04,0.023427377620362816,0.048177613923820924,0.10696161613429574,0.026635991572525986,0.15436794615184524,0.04023939616791819,0.00019005842923113306,0.6
2008-04-11,0.023427377620362816,0.048177613923820924,0.10696161613429574,0.026635991572525986,0.15436794615184524,0.04023939616791819,0.00019005842923113306,0.6
2008-04-18,0.023427377620362816,0.048177613923820924,0.10696161613429574,0.026635991572525986,0.15436794615184524,0.04023939616791819,0.00019005842923113306,0.6
2008-04-25,0.02282644767789975,0.04681578481792506,0.10195812506022076,0.026141138125763554,0.162712787567096,0.03943168169355624,0.00011403505753867984,0.5999999999999999
2008-05-02,0.02282644767789975,0.04681578481792506,0.10195812506022076,0.026141138125763554,0.162712787567096,0.03943168169355624,0.00011403505753867984,0.5999999999999999
2008-05-09,0.02282644767789975,0.04681578481792506,0.10195812506022076,0.026141138125763554,0.162712787567096,0.03943168169355624,0.00011403505753867984,0.5999999999999999
2008-05-16,0.02282644767789975,0.04681578481792506,0.10195812506022076,0.026141138125763554,0.162712787567096,0.03943168169355624,0.00011403505753867984,0.5999999999999999
2008-05-23,0.02282644767789975,0.04681578481792506,0.10195812506022076,0.026141138125763554,0.162712787567096,0.03943168169355624,0.00011403505753867984,0.5999999999999999
2008-05-30,0.04650992482887526,0.09481828175055732,0.2036571817645886,0.053518669885356376,0.32515633996912474,0.07620275973245137,0.0001368420690464158,0.19999999999999996
2008-06-06,0.04650992482887526,0.09481828175055732,0.2036571817645886,0.053518669885356376,0.32515633996912474,0.07620275973245137,0.0001368420690464158,0.19999999999999996
2008-06-13,0.04650992482887526,0.09481828175055732,0.2036571817645886,0.053518669885356376,0.32515633996912474,0.07620275973245137,0.0001368420690464158,0.19999999999999996
2008-06-20,0.04650992482887526,0.09481828175055732,0.2036571817645886,0.053518669885356376,0.32515633996912474,0.07620275973245137,0.0001368420690464158,0.19999999999999996
2008-06-27,0.04767294610421657,0.09617802214422665,0.20536575000092397,0.0653376047143314,0.3095856062852195,0.07577796550965406,8.210524142784947e-05,0.20000000000000007
2008-07-04,0.04767294610421657,0.09617802214422665,0.20536575000092397,0.0653376047143314,0.3095856062852195,0.07577796550965406,8.210524142784947e-05,0.20000000000000007
2008-07-11,0.04767294610421657,0.09617802214422665,0.20536575000092397,0.0653376047143314,0.3095856062852195,0.07577796550965406,8.210524142784947e-05,0.20000000000000007
2008-07-18,0.04767294610421657,0.09617802214422665,0.20536575000092397,0.0653376047143314,0.3095856062852195,0.07577796550965406,8.210524142784947e-05,0.20000000000000007
2008-07-25,0.04734981036366298,0.09280078705814329,0.20171403659314283,0.07180828676488664,0.30977789858353416,0.07649991749177347,4.926314485670969e-05,0.19999999999999984
2008-08-01,0.04734981036366298,0.09280078705814329,0.20171403659314283,0.07180828676488664,0.30977789858353416,0.07649991749177347,4.926314485670969e-05,0.19999999999999984
2008-08-08,0.04734981036366298,0.09280078705814329,0.20171403659314283,0.07180828676488664,0.30977789858353416,0.07649991749177347,4.926314485670969e-05,0.19999999999999984
2008-08-15,0.04734981036366298,0.09280078705814329,0.20171403659314283,0.07180828676488664,0.30977789858353416,0.07649991749177347,4.926314485670969e-05,0.19999999999999984
2008-08-22,0.04734981036366298,0.09280078705814329,0.20171403659314283,0.07180828676488664,0.30977789858353416,0.07649991749177347,4.926314485670969e-05,0.19999999999999984
2008-08-29,0.04944905656543126,0.0923571386493024,0.20544529934345857,0.07365975808032033,0.30866855653339453,0.07039063294117891,2.9557886914025812e-05,0.20000000000000007
2008-09-05,0.04944905656543126,0.0923571386493024,0.20544529934345857,0.07365975808032033,0.30866855653339453,0.07039063294117891,2.9557886914025812e-05,0.20000000000000007
2008-09-12,0.04944905656543126,0.0923571386493024,0.20544529934345857,0.07365975808032033,0.30866855653339453,0.07039063294117891,2.9557886914025812e-05,0.20000000000000007
2008-09-19,0.04944905656543126,0.0923571386493024,0.20544529934345857,0.07365975808032033,0.30866855653339453,0.07039063294117891,2.9557886914025812e-05,0.20000000000000007
2008-09-26,0.0252313349878267,0.04522492843256305,0.1020567668531248,0.03508273792892107,0.15767038748505652,0.03472497694643372,8.867366074207745e-06,0.5999999999999999
2008-10-03,0.0252313349878267,0.04522492843256305,0.1020567668531248,0.03508273792892107,0.15767038748505652,0.03472497694643372,8.867366074207745e-06,0.5999999999999999
2008-10-10,0.0252313349878267,0.04522492843256305,0.1020567668531248,0.03508273792892107,0.15767038748505652,0.03472497694643372,8.867366074207745e-06,0.5999999999999999
2008-10-17,0.0252313349878267,0.04522492843256305,0.1020567668531248,0.03508273792892107,0.15767038748505652,0.03472497694643372,8.867366074207745e-06,0.5999999999999999
2008-10-24,0.0252313349878267,0.04522492843256305,0.1020567668531248,0.03508273792892107,0.15767038748505652,0.03472497694643372,8.867366074207745e-06,0.5999999999999999
2008-10-31,0.029356760912490322,0.047940502457411105,0.1114214708239904,0.03404063432219908,0.13713161700576798,0.04010369405849658,5.320419644524645e-06,0.6000000000000001
2008-11-07,0.029356760912490322,0.047940502457411105,0.1114214708239904,0.03404063432219908,0.13713161700576798,0.04010369405849658,5.320419644524645e-06,0.6000000000000001
2008-11-14,0.029356760912490322,0.047940502457411105,0.1114214708239904,0.03404063432219908,0.13713161700576798,0.04010369405849658,5.320419644524645e-06,0.6000000000000001
2008-11-21,0.029356760912490322,0.047940502457411105,0.1114214708239904,0.03404063432219908,0.13713161700576798,0.04010369405849658,5.320419644524645e-06,0.6000000000000001
2008-11-28,0.03252530648818293,0.050192988836541844,0.11836380787367502,0.0283929077922522,0.12104592620935634,0.04947587054820497,3.192251786714787e-06,0.6000000000000001
2008-12-05,0.03252530648818293,0.050192988836541844,0.11836380787367502,0.0283929077922522,0.12104592620935634,0.04947587054820497,3.192251786714787e-06,0.6000000000000001
2008-12-12,0.03252530648818293,0.050192988836541844,0.11836380787367502,0.0283929077922522,0.12104592620935634,0.04947587054820497,3.192251786714787e-06,0.6000000000000001
2008-12-19,0.03252530648818293,0.050192988836541844,0.11836380787367502,0.0283929077922522,0.12104592620935634,0.04947587054820497,3.192251786714787e-06,0.6000000000000001
2008-12-26,0.03635594050803582,0.05157735117931888,0.134251915573777,0.025363958257680497,0.10816873773975666,0.0442801813903591,1.9153510720288723e-06,0.6
2009-01-02,0.03635594050803582,0.05157735117931888,0.134251915573777,0.025363958257680497,0.10816873773975666,0.0442801813903591,1.9153510720288723e-06,0.6
2009-01-09,0.03635594050803582,0.05157735117931888,0.134251915573777,0.025363958257680497,0.10816873773975666,0.0442801813903591,1.9153510720288723e-06,0.6
2009-01-16,0.03635594050803582,0.05157735117931888,0.134251915573777,0.025363958257680497,0.10816873773975666,0.0442801813903591,1.9153510720288723e-06,0.6
2009-01-23,0.03635594050803582,0.05157735117931888,0.134251915573777,0.025363958257680497,0.10816873773975666,0.0442801813903591,1.9153510720288723e-06,0.6
2009-01-30,0.03890219706703702,0.0525328066098392,0.14427446906678992,0.023735308697619042,0.09975660266754521,0.040797466680526445,1.1492106432173236e-06,0.6
2009-02-06,0.03890219706703702,0.0525328066098392,0.14427446906678992,0.023735308697619042,0.09975660266754521,0.040797466680526445,1.1492106432173236e-06,0.6
2009-02-13,0.03890219706703702,0.0525328066098392,0.14427446906678992,0.023735308697619042,0.09975660266754521,0.040797466680526445,1.1492106432173236e-06,0.6
2009-02-20,0.03890219706703702,0.0525328066098392,0.14427446906678992,0.023735308697619042,0.09975660266754521,0.040797466680526445,1.1492106432173236e-06,0.6
