register,cik10,company_name,sec_terminal_date,terminal_reason,weekly_observations_after,distinct_values_after,last_observation,probable_successor_continuation,continuation_kind,safe_to_treat_as_continuing
sec_terminal_membership_v1,0001823593,TUSIMPLE HOLDINGS INC.,2024-01-29,form25_plus_form15_no_later_periodic,132,86,2026-09-04,True,probable_reorganisation,True
sec_terminal_membership_v1,0001576914,MIX TELEMATICS LTD,2024-03-26,form25_plus_form15_no_later_periodic,52,1,2025-04-11,False,not_flagged,False
sec_terminal_membership_v1,0000867773,SUNPOWER CORP,2024-08-06,bankruptcy_equity_termination,105,82,2026-09-04,True,probable_name_reuse_after_wipeout,False
sec_terminal_membership_v1,0001110611,ON24 INC.,2026-04-01,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0001889956,"ONESTREAM, INC.",2026-04-01,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0001831840,"SEMRUSH HOLDINGS, INC.",2026-04-28,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0000858470,COTERRA ENERGY INC.,2026-05-07,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0000896429,"CANTALOUPE, INC.",2026-05-08,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0001005757,CSG SYSTEMS INTERNATIONAL INC,2026-05-14,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0001575828,EXPRO GROUP HOLDINGS N.V.,2026-07-14,form25_plus_form15_no_later_periodic,4,4,2026-09-04,True,probable_reorganisation,True
sec_terminal_membership_v1,0001819974,"SKYWATER TECHNOLOGY, INC",2026-07-31,completion_8k,0,0,,False,not_flagged,False
sec_terminal_membership_v1,0000712515,ELECTRONIC ARTS INC.,2026-08-04,completion_8k,0,0,,False,not_flagged,False
sec_broad_terminal_membership_v2,0001637761,SEASPINE HOLDINGS CORP,2023-01-05,completion_8k,187,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001576169,"BENEFITFOCUS, INC.",2023-01-24,completion_8k,184,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0000794172,MERIDIAN BIOSCIENCE INC,2023-02-01,completion_8k,185,177,2026-09-04,True,probable_reorganisation,True
sec_broad_terminal_membership_v2,0000091928,SOUTH JERSEY INDUSTRIES INC,2023-02-06,form25_plus_form15_no_later_periodic,182,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001637655,HORIZON GLOBAL CORP,2023-02-08,completion_8k,182,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001857951,WEBER INC.,2023-02-21,completion_8k,180,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001303313,"LHC GROUP, INC",2023-02-22,completion_8k,180,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001404123,1LIFE HEALTHCARE INC,2023-02-22,completion_8k,180,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001819881,PAYA HOLDINGS INC.,2023-02-22,completion_8k,180,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001385867,COUPA SOFTWARE INC,2023-02-28,completion_8k,179,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001077771,UMPQUA HOLDINGS CORP,2023-03-01,completion_8k,179,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001393066,RESOLUTE FOREST PRODUCTS INC.,2023-03-01,completion_8k,179,1,2026-08-21,False,not_flagged,False
sec_broad_terminal_membership_v2,0001466538,COWEN INC.,2023-03-01,completion_8k,179,1,2026-08-21,False,not_flagged,False
