cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0001104042,ADVANCED ANALOGIC TECHNOLOGIES INC,2012-01-17,0001193125-12-013772,2.01|3.01|3.03|5.01|5.02|5.03,True,0001354457-12-000016,False,completion_8k
0001134203,TALEO CORP,2012-04-05,0001193125-12-152072,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-12-000069,False,completion_8k
0000943580,LECROY CORP,2012-08-06,0001193125-12-336299,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-12-000173,False,completion_8k
0001088033,QUEST SOFTWARE INC,2012-09-28,0001193125-12-407602,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-12-000210,False,completion_8k
0001084755,ARIBA INC,2012-10-01,0001193125-12-410942,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-12-000213,False,completion_8k
0000095304,SUNOCO INC,2012-10-11,0001193125-12-421137,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0000876661-12-000632,False,completion_8k
0001350684,"CHINA INFORMATION TECHNOLOGY, INC.",2012-11-01,0001354457-12-000244,,True,0001354457-12-000244,False,form25_plus_form15_no_later_periodic
0001133260,UNION DRILLING INC,2012-11-06,0001193125-12-453969,1.01|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-12-000246,False,completion_8k
0000915735,STRATASYS INC,2012-11-30,0001354457-12-000270,,True,0001354457-12-000270,False,form25_plus_form15_no_later_periodic
0001114714,KENEXA CORP,2012-12-07,0000876661-12-000738,,True,0000876661-12-000738,False,form25_plus_form15_no_later_periodic
0001469433,ANCESTRY.COM INC.,2012-12-28,0001193125-12-517358,2.01|3.01|3.03|5.01|5.02|8.01|9.01,True,0001354457-12-000294,False,completion_8k
0001023362,POWERWAVE TECHNOLOGIES INC,2013-01-28,0001193125-13-026381,1.02|1.03|2.04|3.01,True,0001354457-13-000065,False,bankruptcy_equity_termination
0001130258,ACME PACKET INC,2013-03-28,0001193125-13-132439,2.01|3.01|3.03|5.01|5.02|5.03|5.07|9.01,True,0001354457-13-000071,False,completion_8k
0000891456,PLAINS EXPLORATION & PRODUCTION CO,2013-06-03,0001193125-13-244647,1.01|1.02|2.01|3.01|3.03|5.01|5.02|9.01,True,0000876661-13-000380,False,completion_8k
0001102741,"STEC, INC.",2013-09-13,0001193125-13-365472,2.01|3.01|3.03|5.01|5.02|5.03|5.07|8.01|9.01,True,0001354457-13-000184,False,completion_8k
0001044590,"INTERMEC, INC.",2013-09-17,0001193125-13-368729,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-13-000718,False,completion_8k
