,dual_momentum_topn,cta_trend_long_only,composite_selective_strength_weighted,composite_regime_conditioned,taa_10m_sma,cash::BIL
2006-03-03,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-10,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-17,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-24,0.0,0.0,0.0,0.0,0.0,1.0
2006-03-31,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-07,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-14,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-21,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-28,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-05,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-12,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-19,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-26,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-02,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-09,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-16,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-23,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-30,0.1634857727161328,0.0,0.22722654607795345,0.24211666507410268,0.1671710161318111,0.20000000000000007
2006-07-07,0.1634857727161328,0.0,0.22722654607795345,0.24211666507410268,0.1671710161318111,0.20000000000000007
2006-07-14,0.1634857727161328,0.0,0.22722654607795345,0.24211666507410268,0.1671710161318111,0.20000000000000007
2006-07-21,0.1634857727161328,0.0,0.22722654607795345,0.24211666507410268,0.1671710161318111,0.20000000000000007
2006-07-28,0.1095456172940823,0.144,0.22182817898418775,0.21112985098078108,0.11349635274094894,0.19999999999999996
2006-08-04,0.1095456172940823,0.144,0.22182817898418775,0.21112985098078108,0.11349635274094894,0.19999999999999996
2006-08-11,0.1095456172940823,0.144,0.22182817898418775,0.21112985098078108,0.11349635274094894,0.19999999999999996
2006-08-18,0.1095456172940823,0.144,0.22182817898418775,0.21112985098078108,0.11349635274094894,0.19999999999999996
2006-08-25,0.07813039562823419,0.23039999999999994,0.21603066795657044,0.19339554321094898,0.08204339320424647,0.19999999999999996
2006-09-01,0.07813039562823419,0.23039999999999994,0.21603066795657044,0.19339554321094898,0.08204339320424647,0.19999999999999996
2006-09-08,0.07813039562823419,0.23039999999999994,0.21603066795657044,0.19339554321094898,0.08204339320424647,0.19999999999999996
2006-09-15,0.07813039562823419,0.23039999999999994,0.21603066795657044,0.19339554321094898,0.08204339320424647,0.19999999999999996
2006-09-22,0.07813039562823419,0.23039999999999994,0.21603066795657044,0.19339554321094898,0.08204339320424647,0.19999999999999996
2006-09-29,0.05989772207685774,0.28224,0.21192256648253496,0.1820194294780583,0.0639202819625491,0.19999999999999996
2006-10-06,0.05989772207685774,0.28224,0.21192256648253496,0.1820194294780583,0.0639202819625491,0.19999999999999996
2006-10-13,0.05989772207685774,0.28224,0.21192256648253496,0.1820194294780583,0.0639202819625491,0.19999999999999996
2006-10-20,0.05989772207685774,0.28224,0.21192256648253496,0.1820194294780583,0.0639202819625491,0.19999999999999996
2006-10-27,0.05555140579020948,0.352512,0.23193345759328313,0.1993156822518736,0.06068745436463381,0.09999999999999998
2006-11-03,0.05555140579020948,0.352512,0.23193345759328313,0.1993156822518736,0.06068745436463381,0.09999999999999998
2006-11-10,0.05555140579020948,0.352512,0.23193345759328313,0.1993156822518736,0.06068745436463381,0.09999999999999998
2006-11-17,0.05555140579020948,0.352512,0.23193345759328313,0.1993156822518736,0.06068745436463381,0.09999999999999998
2006-11-24,0.049496420443802445,0.44999999999999996,0.22963503894051066,0.2175511325193892,0.05331740809629767,1.1102230246251565e-16
2006-12-01,0.049496420443802445,0.44999999999999996,0.22963503894051066,0.2175511325193892,0.05331740809629767,1.1102230246251565e-16
2006-12-08,0.049496420443802445,0.44999999999999996,0.22963503894051066,0.2175511325193892,0.05331740809629767,1.1102230246251565e-16
2006-12-15,0.049496420443802445,0.44999999999999996,0.22963503894051066,0.2175511325193892,0.05331740809629767,1.1102230246251565e-16
2006-12-22,0.049496420443802445,0.44999999999999996,0.22963503894051066,0.2175511325193892,0.05331740809629767,1.1102230246251565e-16
2006-12-29,0.04992218678949829,0.45,0.22454480856956288,0.21999167011241844,0.055541334528520434,0.0
2007-01-05,0.04992218678949829,0.45,0.22454480856956288,0.21999167011241844,0.055541334528520434,0.0
2007-01-12,0.04992218678949829,0.45,0.22454480856956288,0.21999167011241844,0.055541334528520434,0.0
2007-01-19,0.04992218678949829,0.45,0.22454480856956288,0.21999167011241844,0.055541334528520434,0.0
2007-01-26,0.12271294657221254,0.44788100065679654,0.12050831951207812,0.1660577625598513,0.14283997069906149,0.0
2007-02-02,0.12271294657221254,0.44788100065679654,0.12050831951207812,0.1660577625598513,0.14283997069906149,0.0
2007-02-09,0.12271294657221254,0.44788100065679654,0.12050831951207812,0.1660577625598513,0.14283997069906149,0.0
2007-02-16,0.12271294657221254,0.44788100065679654,0.12050831951207812,0.1660577625598513,0.14283997069906149,0.0
2007-02-23,0.13235956679623653,0.36518507822187607,0.1445193589095732,0.19370702671667622,0.16422896935563802,0.0
2007-03-02,0.13235956679623653,0.36518507822187607,0.1445193589095732,0.19370702671667622,0.16422896935563802,0.0
2007-03-09,0.13235956679623653,0.36518507822187607,0.1445193589095732,0.19370702671667622,0.16422896935563802,0.0
2007-03-16,0.13235956679623653,0.36518507822187607,0.1445193589095732,0.19370702671667622,0.16422896935563802,0.0
2007-03-23,0.13235956679623653,0.36518507822187607,0.1445193589095732,0.19370702671667622,0.16422896935563802,0.0
2007-03-30,0.11691799172370242,0.30945688719537073,0.13445052823949286,0.1839696553115296,0.1552049375299044,0.09999999999999998
2007-04-06,0.11691799172370242,0.30945688719537073,0.13445052823949286,0.1839696553115296,0.1552049375299044,0.09999999999999998
2007-04-13,0.11691799172370242,0.30945688719537073,0.13445052823949286,0.1839696553115296,0.1552049375299044,0.09999999999999998
2007-04-20,0.11691799172370242,0.30945688719537073,0.13445052823949286,0.1839696553115296,0.1552049375299044,0.09999999999999998
2007-04-27,0.11559923827825318,0.2973236631699095,0.13723149774990673,0.19028635879938388,0.15955924200254681,0.09999999999999998
2007-05-04,0.11559923827825318,0.2973236631699095,0.13723149774990673,0.19028635879938388,0.15955924200254681,0.09999999999999998
2007-05-11,0.11559923827825318,0.2973236631699095,0.13723149774990673,0.19028635879938388,0.15955924200254681,0.09999999999999998
2007-05-18,0.11559923827825318,0.2973236631699095,0.13723149774990673,0.19028635879938388,0.15955924200254681,0.09999999999999998
2007-05-25,0.11489874719441769,0.2875949267091777,0.13907285661556526,0.1940693300074506,0.16436413947338885,0.09999999999999987
2007-06-01,0.11489874719441769,0.2875949267091777,0.13907285661556526,0.1940693300074506,0.16436413947338885,0.09999999999999987
2007-06-08,0.11489874719441769,0.2875949267091777,0.13907285661556526,0.1940693300074506,0.16436413947338885,0.09999999999999987
2007-06-15,0.11489874719441769,0.2875949267091777,0.13907285661556526,0.1940693300074506,0.16436413947338885,0.09999999999999987
2007-06-22,0.11489874719441769,0.2875949267091777,0.13907285661556526,0.1940693300074506,0.16436413947338885,0.09999999999999987
2007-06-29,0.11501370533729063,0.2752238337617324,0.14142376297142883,0.19936217656076058,0.16897652136878763,0.09999999999999987
2007-07-06,0.11501370533729063,0.2752238337617324,0.14142376297142883,0.19936217656076058,0.16897652136878763,0.09999999999999987
2007-07-13,0.11501370533729063,0.2752238337617324,0.14142376297142883,0.19936217656076058,0.16897652136878763,0.09999999999999987
2007-07-20,0.11501370533729063,0.2752238337617324,0.14142376297142883,0.19936217656076058,0.16897652136878763,0.09999999999999987
2007-07-27,0.10180675366021226,0.22706715606464553,0.13238687336055663,0.18631074411629278,0.15242847279829277,0.20000000000000007
2007-08-03,0.10180675366021226,0.22706715606464553,0.13238687336055663,0.18631074411629278,0.15242847279829277,0.20000000000000007
2007-08-10,0.10180675366021226,0.22706715606464553,0.13238687336055663,0.18631074411629278,0.15242847279829277,0.20000000000000007
2007-08-17,0.10180675366021226,0.22706715606464553,0.13238687336055663,0.18631074411629278,0.15242847279829277,0.20000000000000007
2007-08-24,0.10180675366021226,0.22706715606464553,0.13238687336055663,0.18631074411629278,0.15242847279829277,0.20000000000000007
2007-08-31,0.048681082229073865,0.10156103409300893,0.06981997534461892,0.10172653425878118,0.07821137407451716,0.5999999999999999
2007-09-07,0.048681082229073865,0.10156103409300893,0.06981997534461892,0.10172653425878118,0.07821137407451716,0.5999999999999999
2007-09-14,0.048681082229073865,0.10156103409300893,0.06981997534461892,0.10172653425878118,0.07821137407451716,0.5999999999999999
2007-09-21,0.048681082229073865,0.10156103409300893,0.06981997534461892,0.10172653425878118,0.07821137407451716,0.5999999999999999
2007-09-28,0.07120836723092432,0.19413536131692874,0.23131810034493283,0.3192393792149269,0.1040987918922871,0.08000000000000007
2007-10-05,0.07120836723092432,0.19413536131692874,0.23131810034493283,0.3192393792149269,0.1040987918922871,0.08000000000000007
2007-10-12,0.07120836723092432,0.19413536131692874,0.23131810034493283,0.3192393792149269,0.1040987918922871,0.08000000000000007
2007-10-19,0.07120836723092432,0.19413536131692874,0.23131810034493283,0.3192393792149269,0.1040987918922871,0.08000000000000007
2007-10-26,0.025979403901679316,0.07602615795038786,0.10547922038339999,0.1523194769710548,0.040195740793478055,0.6
2007-11-02,0.025979403901679316,0.07602615795038786,0.10547922038339999,0.1523194769710548,0.040195740793478055,0.6
2007-11-09,0.025979403901679316,0.07602615795038786,0.10547922038339999,0.1523194769710548,0.040195740793478055,0.6
2007-11-16,0.025979403901679316,0.07602615795038786,0.10547922038339999,0.1523194769710548,0.040195740793478055,0.6
2007-11-23,0.025979403901679316,0.07602615795038786,0.10547922038339999,0.1523194769710548,0.040195740793478055,0.6
2007-11-30,0.02294806902779924,0.0699235715077257,0.1084369227834797,0.16154077274104373,0.03715066393995161,0.6000000000000001
2007-12-07,0.02294806902779924,0.0699235715077257,0.1084369227834797,0.16154077274104373,0.03715066393995161,0.6000000000000001
2007-12-14,0.02294806902779924,0.0699235715077257,0.1084369227834797,0.16154077274104373,0.03715066393995161,0.6000000000000001
2007-12-21,0.02294806902779924,0.0699235715077257,0.1084369227834797,0.16154077274104373,0.03715066393995161,0.6000000000000001
2007-12-28,0.04346659026931343,0.13614402521663824,0.2235581425537154,0.32773310607015377,0.06909813589017925,0.19999999999999996
2008-01-04,0.04346659026931343,0.13614402521663824,0.2235581425537154,0.32773310607015377,0.06909813589017925,0.19999999999999996
2008-01-11,0.04346659026931343,0.13614402521663824,0.2235581425537154,0.32773310607015377,0.06909813589017925,0.19999999999999996
2008-01-18,0.04346659026931343,0.13614402521663824,0.2235581425537154,0.32773310607015377,0.06909813589017925,0.19999999999999996
2008-01-25,0.019896369031399935,0.06367901009409188,0.11342079330991586,0.16995225853534757,0.0330515690292448,0.6
2008-02-01,0.019896369031399935,0.06367901009409188,0.11342079330991586,0.16995225853534757,0.0330515690292448,0.6
2008-02-08,0.019896369031399935,0.06367901009409188,0.11342079330991586,0.16995225853534757,0.0330515690292448,0.6
2008-02-15,0.019896369031399935,0.06367901009409188,0.11342079330991586,0.16995225853534757,0.0330515690292448,0.6
2008-02-22,0.019896369031399935,0.06367901009409188,0.11342079330991586,0.16995225853534757,0.0330515690292448,0.6
2008-02-29,0.018643973459185153,0.060648002724118015,0.11473723843560245,0.17397135512120854,0.03199943025988586,0.6
2008-03-07,0.018643973459185153,0.060648002724118015,0.11473723843560245,0.17397135512120854,0.03199943025988586,0.6
2008-03-14,0.018643973459185153,0.060648002724118015,0.11473723843560245,0.17397135512120854,0.03199943025988586,0.6
2008-03-21,0.018643973459185153,0.060648002724118015,0.11473723843560245,0.17397135512120854,0.03199943025988586,0.6
2008-03-28,0.017804545056783895,0.058573338400761656,0.11619520723503202,0.17638281307272516,0.031044096234697335,0.5999999999999999
2008-04-04,0.017804545056783895,0.058573338400761656,0.11619520723503202,0.17638281307272516,0.031044096234697335,0.5999999999999999
2008-04-11,0.017804545056783895,0.058573338400761656,0.11619520723503202,0.17638281307272516,0.031044096234697335,0.5999999999999999
2008-04-18,0.017804545056783895,0.058573338400761656,0.11619520723503202,0.17638281307272516,0.031044096234697335,0.5999999999999999
2008-04-25,0.017293567324470016,0.056915854945043254,0.11781030740663445,0.1778296878436351,0.030150582480217205,0.6
2008-05-02,0.017293567324470016,0.056915854945043254,0.11781030740663445,0.1778296878436351,0.030150582480217205,0.6
2008-05-09,0.017293567324470016,0.056915854945043254,0.11781030740663445,0.1778296878436351,0.030150582480217205,0.6
2008-05-16,0.017293567324470016,0.056915854945043254,0.11781030740663445,0.1778296878436351,0.030150582480217205,0.6
2008-05-23,0.017293567324470016,0.056915854945043254,0.11781030740663445,0.1778296878436351,0.030150582480217205,0.6
2008-05-30,0.035542586015383494,0.1168200321613395,0.24079997337363263,0.34831075520644145,0.058526653243202956,0.19999999999999996
2008-06-06,0.035542586015383494,0.1168200321613395,0.24079997337363263,0.34831075520644145,0.058526653243202956,0.19999999999999996
2008-06-13,0.035542586015383494,0.1168200321613395,0.24079997337363263,0.34831075520644145,0.058526653243202956,0.19999999999999996
2008-06-20,0.035542586015383494,0.1168200321613395,0.24079997337363263,0.34831075520644145,0.058526653243202956,0.19999999999999996
2008-06-27,0.03603500686680191,0.11780981793233414,0.24408253390270415,0.34459047648991853,0.05748216480824131,0.19999999999999996
2008-07-04,0.03603500686680191,0.11780981793233414,0.24408253390270415,0.34459047648991853,0.05748216480824131,0.19999999999999996
2008-07-11,0.03603500686680191,0.11780981793233414,0.24408253390270415,0.34459047648991853,0.05748216480824131,0.19999999999999996
2008-07-18,0.03603500686680191,0.11780981793233414,0.24408253390270415,0.34459047648991853,0.05748216480824131,0.19999999999999996
2008-07-25,0.035127806813531996,0.112318833590936,0.24494993700343698,0.3507542858939512,0.056849136698143954,0.19999999999999984
2008-08-01,0.035127806813531996,0.112318833590936,0.24494993700343698,0.3507542858939512,0.056849136698143954,0.19999999999999984
2008-08-08,0.035127806813531996,0.112318833590936,0.24494993700343698,0.3507542858939512,0.056849136698143954,0.19999999999999984
2008-08-15,0.035127806813531996,0.112318833590936,0.24494993700343698,0.3507542858939512,0.056849136698143954,0.19999999999999984
2008-08-22,0.035127806813531996,0.112318833590936,0.24494993700343698,0.3507542858939512,0.056849136698143954,0.19999999999999984
2008-08-29,0.05489618627278371,0.12157525506870193,0.22664384275677368,0.31620795676636465,0.08067675913537602,0.20000000000000007
2008-09-05,0.05489618627278371,0.12157525506870193,0.22664384275677368,0.31620795676636465,0.08067675913537602,0.20000000000000007
2008-09-12,0.05489618627278371,0.12157525506870193,0.22664384275677368,0.31620795676636465,0.08067675913537602,0.20000000000000007
2008-09-19,0.05489618627278371,0.12157525506870193,0.22664384275677368,0.31620795676636465,0.08067675913537602,0.20000000000000007
2008-09-26,0.03197205385728305,0.06098061203711819,0.10781112069439508,0.15099496909450735,0.04824124431669638,0.6
2008-10-03,0.03197205385728305,0.06098061203711819,0.10781112069439508,0.15099496909450735,0.04824124431669638,0.6
2008-10-10,0.03197205385728305,0.06098061203711819,0.10781112069439508,0.15099496909450735,0.04824124431669638,0.6
2008-10-17,0.03197205385728305,0.06098061203711819,0.10781112069439508,0.15099496909450735,0.04824124431669638,0.6
2008-10-24,0.03197205385728305,0.06098061203711819,0.10781112069439508,0.15099496909450735,0.04824124431669638,0.6
2008-10-31,0.02875958226906139,0.05060171265665158,0.11165813800088845,0.16259698145670443,0.046383585616694215,0.6
2008-11-07,0.02875958226906139,0.05060171265665158,0.11165813800088845,0.16259698145670443,0.046383585616694215,0.6
2008-11-14,0.02875958226906139,0.05060171265665158,0.11165813800088845,0.16259698145670443,0.046383585616694215,0.6
2008-11-21,0.02875958226906139,0.05060171265665158,0.11165813800088845,0.16259698145670443,0.046383585616694215,0.6
2008-11-28,0.026732488171377466,0.04397987738714731,0.1157478271377293,0.16955818887402263,0.0439816184297233,0.6
2008-12-05,0.026732488171377466,0.04397987738714731,0.1157478271377293,0.16955818887402263,0.0439816184297233,0.6
2008-12-12,0.026732488171377466,0.04397987738714731,0.1157478271377293,0.16955818887402263,0.0439816184297233,0.6
2008-12-19,0.026732488171377466,0.04397987738714731,0.1157478271377293,0.16955818887402263,0.0439816184297233,0.6
2008-12-26,0.03456395383748377,0.050807616127838046,0.10047583562991261,0.16828957508970105,0.04586301931506455,0.6
2009-01-02,0.03456395383748377,0.050807616127838046,0.10047583562991261,0.16828957508970105,0.04586301931506455,0.6
2009-01-09,0.03456395383748377,0.050807616127838046,0.10047583562991261,0.16828957508970105,0.04586301931506455,0.6
2009-01-16,0.03456395383748377,0.050807616127838046,0.10047583562991261,0.16828957508970105,0.04586301931506455,0.6
2009-01-23,0.03456395383748377,0.050807616127838046,0.10047583562991261,0.16828957508970105,0.04586301931506455,0.6
2009-01-30,0.0395702293352247,0.05487087695030327,0.09097986372891131,0.16826042887185136,0.04631860111370938,0.5999999999999999
2009-02-06,0.0395702293352247,0.05487087695030327,0.09097986372891131,0.16826042887185136,0.04631860111370938,0.5999999999999999
2009-02-13,0.0395702293352247,0.05487087695030327,0.09097986372891131,0.16826042887185136,0.04631860111370938,0.5999999999999999
2009-02-20,0.0395702293352247,0.05487087695030327,0.09097986372891131,0.16826042887185136,0.04631860111370938,0.5999999999999999
2009-02-27,0.04329934990254772,0.057696601898874614,0.08557998759890657,0.16648298900000663,0.04694107159966448,0.6
2009-03-06,0.04329934990254772,0.057696601898874614,0.08557998759890657,0.16648298900000663,0.04694107159966448,0.6
2009-03-13,0.04329934990254772,0.057696601898874614,0.08557998759890657,0.16648298900000663,0.04694107159966448,0.6
2009-03-20,0.04329934990254772,0.057696601898874614,0.08557998759890657,0.16648298900000663,0.04694107159966448,0.6
2009-03-27,0.04562070398153892,0.059005852510650936,0.08215077523680005,0.16598216536431587,0.04724050290669427,0.5999999999999999
2009-04-03,0.04562070398153892,0.059005852510650936,0.08215077523680005,0.16598216536431587,0.04724050290669427,0.5999999999999999
2009-04-10,0.04562070398153892,0.059005852510650936,0.08215077523680005,0.16598216536431587,0.04724050290669427,0.5999999999999999
2009-04-17,0.04562070398153892,0.059005852510650936,0.08215077523680005,0.16598216536431587,0.04724050290669427,0.5999999999999999
2009-04-24,0.09586698386794498,0.12497236370269038,0.15633211664960686,0.33325128967369366,0.08957724610606405,0.20000000000000018
2009-05-01,0.09586698386794498,0.12497236370269038,0.15633211664960686,0.33325128967369366,0.08957724610606405,0.20000000000000018
2009-05-08,0.09586698386794498,0.12497236370269038,0.15633211664960686,0.33325128967369366,0.08957724610606405,0.20000000000000018
2009-05-15,0.09586698386794498,0.12497236370269038,0.15633211664960686,0.33325128967369366,0.08957724610606405,0.20000000000000018
2009-05-22,0.09586698386794498,0.12497236370269038,0.15633211664960686,0.33325128967369366,0.08957724610606405,0.20000000000000018
2009-05-29,0.10606864530221977,0.1301102506679304,0.14732498489138385,0.3313317330682867,0.0851643860701794,0.19999999999999996
2009-06-05,0.10606864530221977,0.1301102506679304,0.14732498489138385,0.3313317330682867,0.0851643860701794,0.19999999999999996
2009-06-12,0.10606864530221977,0.1301102506679304,0.14732498489138385,0.3313317330682867,0.0851643860701794,0.19999999999999996
2009-06-19,0.10606864530221977,0.1301102506679304,0.14732498489138385,0.3313317330682867,0.0851643860701794,0.19999999999999996
2009-06-26,0.1449820942559526,0.1585996150769386,0.16073839044131694,0.36507120691435085,0.09060869331144118,0.07999999999999985
2009-07-03,0.1449820942559526,0.1585996150769386,0.16073839044131694,0.36507120691435085,0.09060869331144118,0.07999999999999985
2009-07-10,0.1449820942559526,0.1585996150769386,0.16073839044131694,0.36507120691435085,0.09060869331144118,0.07999999999999985
2009-07-17,0.1449820942559526,0.1585996150769386,0.16073839044131694,0.36507120691435085,0.09060869331144118,0.07999999999999985
2009-07-24,0.1449820942559526,0.1585996150769386,0.16073839044131694,0.36507120691435085,0.09060869331144118,0.07999999999999985
2009-07-31,0.15768667519380503,0.16243623493956455,0.1603527626219038,0.35278520248930517,0.08673912475542164,0.07999999999999985
2009-08-07,0.15768667519380503,0.16243623493956455,0.1603527626219038,0.35278520248930517,0.08673912475542164,0.07999999999999985
2009-08-14,0.15768667519380503,0.16243623493956455,0.1603527626219038,0.35278520248930517,0.08673912475542164,0.07999999999999985
2009-08-21,0.15768667519380503,0.16243623493956455,0.1603527626219038,0.35278520248930517,0.08673912475542164,0.07999999999999985
2009-08-28,0.15246074752031671,0.15592044414839765,0.155992613455002,0.3503104656562037,0.08531572922008002,0.09999999999999987
2009-09-04,0.15246074752031671,0.15592044414839765,0.155992613455002,0.3503104656562037,0.08531572922008002,0.09999999999999987
2009-09-11,0.15246074752031671,0.15592044414839765,0.155992613455002,0.3503104656562037,0.08531572922008002,0.09999999999999987
2009-09-18,0.15246074752031671,0.15592044414839765,0.155992613455002,0.3503104656562037,0.08531572922008002,0.09999999999999987
2009-09-25,0.17823598692271067,0.17523399875043177,0.16882736172856921,0.369315156417373,0.08838749618091522,0.02000000000000013
2009-10-02,0.17823598692271067,0.17523399875043177,0.16882736172856921,0.369315156417373,0.08838749618091522,0.02000000000000013
2009-10-09,0.17823598692271067,0.17523399875043177,0.16882736172856921,0.369315156417373,0.08838749618091522,0.02000000000000013
2009-10-16,0.17823598692271067,0.17523399875043177,0.16882736172856921,0.369315156417373,0.08838749618091522,0.02000000000000013
2009-10-23,0.17823598692271067,0.17523399875043177,0.16882736172856921,0.369315156417373,0.08838749618091522,0.02000000000000013
2009-10-30,0.16696685686351664,0.14730599836874653,0.19472966560504906,0.37162108047013986,0.09937639869254787,0.020000000000000018
2009-11-06,0.16696685686351664,0.14730599836874653,0.19472966560504906,0.37162108047013986,0.09937639869254787,0.020000000000000018
2009-11-13,0.16696685686351664,0.14730599836874653,0.19472966560504906,0.37162108047013986,0.09937639869254787,0.020000000000000018
2009-11-20,0.16696685686351664,0.14730599836874653,0.19472966560504906,0.37162108047013986,0.09937639869254787,0.020000000000000018
2009-11-27,0.1636740758979124,0.1451174029253184,0.20682930474660374,0.3658716332838745,0.09850758314629071,0.02000000000000024
2009-12-04,0.1636740758979124,0.1451174029253184,0.20682930474660374,0.3658716332838745,0.09850758314629071,0.02000000000000024
2009-12-11,0.1636740758979124,0.1451174029253184,0.20682930474660374,0.3658716332838745,0.09850758314629071,0.02000000000000024
2009-12-18,0.1636740758979124,0.1451174029253184,0.20682930474660374,0.3658716332838745,0.09850758314629071,0.02000000000000024
2009-12-25,0.163100346865042,0.14470429978922023,0.21224288230729862,0.3625399975867178,0.09741247345172134,0.02000000000000013
2010-01-01,0.163100346865042,0.14470429978922023,0.21224288230729862,0.3625399975867178,0.09741247345172134,0.02000000000000013
2010-01-08,0.163100346865042,0.14470429978922023,0.21224288230729862,0.3625399975867178,0.09741247345172134,0.02000000000000013
2010-01-15,0.163100346865042,0.14470429978922023,0.21224288230729862,0.3625399975867178,0.09741247345172134,0.02000000000000013
2010-01-22,0.163100346865042,0.14470429978922023,0.21224288230729862,0.3625399975867178,0.09741247345172134,0.02000000000000013
2010-01-29,0.1675535126757475,0.14695974658574656,0.2271280251471673,0.3377382525360958,0.10062046305524289,0.020000000000000018
2010-02-05,0.1675535126757475,0.14695974658574656,0.2271280251471673,0.3377382525360958,0.10062046305524289,0.020000000000000018
2010-02-12,0.1675535126757475,0.14695974658574656,0.2271280251471673,0.3377382525360958,0.10062046305524289,0.020000000000000018
2010-02-19,0.1675535126757475,0.14695974658574656,0.2271280251471673,0.3377382525360958,0.10062046305524289,0.020000000000000018
2010-02-26,0.17851588493544893,0.15522241055662647,0.2226270636600907,0.3194140212827104,0.10422061956512356,0.019999999999999907
2010-03-05,0.17851588493544893,0.15522241055662647,0.2226270636600907,0.3194140212827104,0.10422061956512356,0.019999999999999907
2010-03-12,0.17851588493544893,0.15522241055662647,0.2226270636600907,0.3194140212827104,0.10422061956512356,0.019999999999999907
