,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,phase4_stretch_sector_momentum_sleeve,cash::BIL
2006-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-06-30,0.10075454991364816,0.0,0.1853707017668044,0.08677232161871169,0.1793424370289266,0.10420833323971712,0.2435516564321921,0.09999999999999987
2006-07-07,0.10075454991364816,0.0,0.1853707017668044,0.08677232161871169,0.1793424370289266,0.10420833323971712,0.2435516564321921,0.09999999999999987
2006-07-14,0.10075454991364816,0.0,0.1853707017668044,0.08677232161871169,0.1793424370289266,0.10420833323971712,0.2435516564321921,0.09999999999999987
2006-07-21,0.10075454991364816,0.0,0.1853707017668044,0.08677232161871169,0.1793424370289266,0.10420833323971712,0.2435516564321921,0.09999999999999987
2006-07-28,0.06949726433713353,0.24300000000000002,0.14987605120390626,0.0563159464146187,0.11765412647220086,0.07531280980744136,0.1883438017646993,0.09999999999999998
2006-08-04,0.06949726433713353,0.24300000000000002,0.14987605120390626,0.0563159464146187,0.11765412647220086,0.07531280980744136,0.1883438017646993,0.09999999999999998
2006-08-11,0.06949726433713353,0.24300000000000002,0.14987605120390626,0.0563159464146187,0.11765412647220086,0.07531280980744136,0.1883438017646993,0.09999999999999998
2006-08-18,0.06949726433713353,0.24300000000000002,0.14987605120390626,0.0563159464146187,0.11765412647220086,0.07531280980744136,0.1883438017646993,0.09999999999999998
2006-08-25,0.05667349182137474,0.3401999999999999,0.13288498626928083,0.04473510718510679,0.08922607587276912,0.06259082379031784,0.17368951506115077,0.10000000000000009
2006-09-01,0.05667349182137474,0.3401999999999999,0.13288498626928083,0.04473510718510679,0.08922607587276912,0.06259082379031784,0.17368951506115077,0.10000000000000009
2006-09-08,0.05667349182137474,0.3401999999999999,0.13288498626928083,0.04473510718510679,0.08922607587276912,0.06259082379031784,0.17368951506115077,0.10000000000000009
2006-09-15,0.05667349182137474,0.3401999999999999,0.13288498626928083,0.04473510718510679,0.08922607587276912,0.06259082379031784,0.17368951506115077,0.10000000000000009
2006-09-22,0.05667349182137474,0.3401999999999999,0.13288498626928083,0.04473510718510679,0.08922607587276912,0.06259082379031784,0.17368951506115077,0.10000000000000009
2006-09-29,0.052359518443009144,0.37908000000000003,0.12674286435261914,0.04106801110020018,0.06881802078529216,0.05854563986791248,0.173385945450967,0.09999999999999987
2006-10-06,0.052359518443009144,0.37908000000000003,0.12674286435261914,0.04106801110020018,0.06881802078529216,0.05854563986791248,0.173385945450967,0.09999999999999987
2006-10-13,0.052359518443009144,0.37908000000000003,0.12674286435261914,0.04106801110020018,0.06881802078529216,0.05854563986791248,0.173385945450967,0.09999999999999987
2006-10-20,0.052359518443009144,0.37908000000000003,0.12674286435261914,0.04106801110020018,0.06881802078529216,0.05854563986791248,0.173385945450967,0.09999999999999987
2006-10-27,0.06836895726799823,0.32656197328555076,0.1039936626109699,0.07328325051152412,0.10107858123769246,0.0996531548858347,0.22706042020042974,2.220446049250313e-16
2006-11-03,0.06836895726799823,0.32656197328555076,0.1039936626109699,0.07328325051152412,0.10107858123769246,0.0996531548858347,0.22706042020042974,2.220446049250313e-16
2006-11-10,0.06836895726799823,0.32656197328555076,0.1039936626109699,0.07328325051152412,0.10107858123769246,0.0996531548858347,0.22706042020042974,2.220446049250313e-16
2006-11-17,0.06836895726799823,0.32656197328555076,0.1039936626109699,0.07328325051152412,0.10107858123769246,0.0996531548858347,0.22706042020042974,2.220446049250313e-16
2006-11-24,0.0544857360161292,0.44999999999999996,0.1089520243959754,0.03423913959950665,0.05033920412557113,0.05198389586281773,0.25,0.0
2006-12-01,0.0544857360161292,0.44999999999999996,0.1089520243959754,0.03423913959950665,0.05033920412557113,0.05198389586281773,0.25,0.0
2006-12-08,0.0544857360161292,0.44999999999999996,0.1089520243959754,0.03423913959950665,0.05033920412557113,0.05198389586281773,0.25,0.0
2006-12-15,0.0544857360161292,0.44999999999999996,0.1089520243959754,0.03423913959950665,0.05033920412557113,0.05198389586281773,0.25,0.0
2006-12-22,0.0544857360161292,0.44999999999999996,0.1089520243959754,0.03423913959950665,0.05033920412557113,0.05198389586281773,0.25,0.0
2006-12-29,0.05394903343676251,0.30597649770872015,0.1381315846600711,0.04747745942345347,0.06596044730994804,0.06752411491939844,0.32098086254164626,0.0
2007-01-05,0.05394903343676251,0.30597649770872015,0.1381315846600711,0.04747745942345347,0.06596044730994804,0.06752411491939844,0.32098086254164626,0.0
2007-01-12,0.05394903343676251,0.30597649770872015,0.1381315846600711,0.04747745942345347,0.06596044730994804,0.06752411491939844,0.32098086254164626,0.0
2007-01-19,0.05394903343676251,0.30597649770872015,0.1381315846600711,0.04747745942345347,0.06596044730994804,0.06752411491939844,0.32098086254164626,0.0
2007-01-26,0.055598870269218725,0.2808830969718086,0.1429521895543437,0.04920398455981418,0.0712506277983449,0.07204711465668406,0.32806411618978587,0.0
2007-02-02,0.055598870269218725,0.2808830969718086,0.1429521895543437,0.04920398455981418,0.0712506277983449,0.07204711465668406,0.32806411618978587,0.0
2007-02-09,0.055598870269218725,0.2808830969718086,0.1429521895543437,0.04920398455981418,0.0712506277983449,0.07204711465668406,0.32806411618978587,0.0
2007-02-16,0.055598870269218725,0.2808830969718086,0.1429521895543437,0.04920398455981418,0.0712506277983449,0.07204711465668406,0.32806411618978587,0.0
2007-02-23,0.04521293295673706,0.2739161072491991,0.13215677983292956,0.03277218781123562,0.14725807103873212,0.0613382284677608,0.3073456926434057,0.0
2007-03-02,0.04521293295673706,0.2739161072491991,0.13215677983292956,0.03277218781123562,0.14725807103873212,0.0613382284677608,0.3073456926434057,0.0
2007-03-09,0.04521293295673706,0.2739161072491991,0.13215677983292956,0.03277218781123562,0.14725807103873212,0.0613382284677608,0.3073456926434057,0.0
2007-03-16,0.04521293295673706,0.2739161072491991,0.13215677983292956,0.03277218781123562,0.14725807103873212,0.0613382284677608,0.3073456926434057,0.0
2007-03-23,0.04521293295673706,0.2739161072491991,0.13215677983292956,0.03277218781123562,0.14725807103873212,0.0613382284677608,0.3073456926434057,0.0
2007-03-30,0.0620495527430589,0.23268448025288438,0.11997623006460409,0.07400837320540223,0.17004940533765905,0.06829368133902916,0.2729382770573623,0.0
2007-04-06,0.0620495527430589,0.23268448025288438,0.11997623006460409,0.07400837320540223,0.17004940533765905,0.06829368133902916,0.2729382770573623,0.0
2007-04-13,0.0620495527430589,0.23268448025288438,0.11997623006460409,0.07400837320540223,0.17004940533765905,0.06829368133902916,0.2729382770573623,0.0
2007-04-20,0.0620495527430589,0.23268448025288438,0.11997623006460409,0.07400837320540223,0.17004940533765905,0.06829368133902916,0.2729382770573623,0.0
2007-04-27,0.06891399023303664,0.21584133332934,0.11522005105942408,0.09063304617236623,0.17902911281624773,0.07118715556664043,0.2591753108229449,0.0
2007-05-04,0.06891399023303664,0.21584133332934,0.11522005105942408,0.09063304617236623,0.17902911281624773,0.07118715556664043,0.2591753108229449,0.0
2007-05-11,0.06891399023303664,0.21584133332934,0.11522005105942408,0.09063304617236623,0.17902911281624773,0.07118715556664043,0.2591753108229449,0.0
2007-05-18,0.06891399023303664,0.21584133332934,0.11522005105942408,0.09063304617236623,0.17902911281624773,0.07118715556664043,0.2591753108229449,0.0
2007-05-25,0.07197818256991845,0.20974071364164426,0.11272996628474077,0.09699696604075715,0.183244573715873,0.07163947341788843,0.25367012432917796,0.0
2007-06-01,0.07197818256991845,0.20974071364164426,0.11272996628474077,0.09699696604075715,0.183244573715873,0.07163947341788843,0.25367012432917796,0.0
2007-06-08,0.07197818256991845,0.20974071364164426,0.11272996628474077,0.09699696604075715,0.183244573715873,0.07163947341788843,0.25367012432917796,0.0
2007-06-15,0.07197818256991845,0.20974071364164426,0.11272996628474077,0.09699696604075715,0.183244573715873,0.07163947341788843,0.25367012432917796,0.0
2007-06-22,0.07197818256991845,0.20974071364164426,0.11272996628474077,0.09699696604075715,0.183244573715873,0.07163947341788843,0.25367012432917796,0.0
2007-06-29,0.0750124656158395,0.20586164916214422,0.11293782398047501,0.09969041801887565,0.18428495158112268,0.0707446419098717,0.2514680497316712,0.0
2007-07-06,0.0750124656158395,0.20586164916214422,0.11293782398047501,0.09969041801887565,0.18428495158112268,0.0707446419098717,0.2514680497316712,0.0
2007-07-13,0.0750124656158395,0.20586164916214422,0.11293782398047501,0.09969041801887565,0.18428495158112268,0.0707446419098717,0.2514680497316712,0.0
2007-07-20,0.0750124656158395,0.20586164916214422,0.11293782398047501,0.09969041801887565,0.18428495158112268,0.0707446419098717,0.2514680497316712,0.0
2007-07-27,0.05566641434626882,0.19491881461368235,0.12741048606488167,0.05764424304723299,0.18061287680226976,0.06646483751306151,0.21728232761260297,0.09999999999999987
2007-08-03,0.05566641434626882,0.19491881461368235,0.12741048606488167,0.05764424304723299,0.18061287680226976,0.06646483751306151,0.21728232761260297,0.09999999999999987
2007-08-10,0.05566641434626882,0.19491881461368235,0.12741048606488167,0.05764424304723299,0.18061287680226976,0.06646483751306151,0.21728232761260297,0.09999999999999987
2007-08-17,0.05566641434626882,0.19491881461368235,0.12741048606488167,0.05764424304723299,0.18061287680226976,0.06646483751306151,0.21728232761260297,0.09999999999999987
2007-08-24,0.05566641434626882,0.19491881461368235,0.12741048606488167,0.05764424304723299,0.18061287680226976,0.06646483751306151,0.21728232761260297,0.09999999999999987
2007-08-31,0.021407437533574547,0.05968966796420823,0.06480636408157499,0.029899357633286577,0.08923826885985893,0.030593448646438592,0.10436545528105814,0.6
2007-09-07,0.021407437533574547,0.05968966796420823,0.06480636408157499,0.029899357633286577,0.08923826885985893,0.030593448646438592,0.10436545528105814,0.6
2007-09-14,0.021407437533574547,0.05968966796420823,0.06480636408157499,0.029899357633286577,0.08923826885985893,0.030593448646438592,0.10436545528105814,0.6
2007-09-21,0.021407437533574547,0.05968966796420823,0.06480636408157499,0.029899357633286577,0.08923826885985893,0.030593448646438592,0.10436545528105814,0.6
2007-09-28,0.06291600357179497,0.11512414896033447,0.14206882935483375,0.1366378346459286,0.23036787173934561,0.07522797349692341,0.22118662456497767,0.016470713665861503
2007-10-05,0.06291600357179497,0.11512414896033447,0.14206882935483375,0.1366378346459286,0.23036787173934561,0.07522797349692341,0.22118662456497767,0.016470713665861503
2007-10-12,0.06291600357179497,0.11512414896033447,0.14206882935483375,0.1366378346459286,0.23036787173934561,0.07522797349692341,0.22118662456497767,0.016470713665861503
2007-10-19,0.06291600357179497,0.11512414896033447,0.14206882935483375,0.1366378346459286,0.23036787173934561,0.07522797349692341,0.22118662456497767,0.016470713665861503
2007-10-26,0.020523220135408263,0.04081704825226472,0.06582102094938276,0.041699036633676474,0.09661297140971367,0.03035856131411964,0.10416814130543446,0.6000000000000001
2007-11-02,0.020523220135408263,0.04081704825226472,0.06582102094938276,0.041699036633676474,0.09661297140971367,0.03035856131411964,0.10416814130543446,0.6000000000000001
2007-11-09,0.020523220135408263,0.04081704825226472,0.06582102094938276,0.041699036633676474,0.09661297140971367,0.03035856131411964,0.10416814130543446,0.6000000000000001
2007-11-16,0.020523220135408263,0.04081704825226472,0.06582102094938276,0.041699036633676474,0.09661297140971367,0.03035856131411964,0.10416814130543446,0.6000000000000001
2007-11-23,0.020523220135408263,0.04081704825226472,0.06582102094938276,0.041699036633676474,0.09661297140971367,0.03035856131411964,0.10416814130543446,0.6000000000000001
2007-11-30,0.01831475872253471,0.03765367805261036,0.0691687037232252,0.036396103071031555,0.09785318064668258,0.03003733511141346,0.11057624067250212,0.6000000000000001
2007-12-07,0.01831475872253471,0.03765367805261036,0.0691687037232252,0.036396103071031555,0.09785318064668258,0.03003733511141346,0.11057624067250212,0.6000000000000001
2007-12-14,0.01831475872253471,0.03765367805261036,0.0691687037232252,0.036396103071031555,0.09785318064668258,0.03003733511141346,0.11057624067250212,0.6000000000000001
2007-12-21,0.01831475872253471,0.03765367805261036,0.0691687037232252,0.036396103071031555,0.09785318064668258,0.03003733511141346,0.11057624067250212,0.6000000000000001
2007-12-28,0.04040907777580767,0.0835841042408779,0.1637430389871811,0.08028008695728657,0.21282241135782615,0.06385953151880601,0.2553017491622147,0.09999999999999998
2008-01-04,0.04040907777580767,0.0835841042408779,0.1637430389871811,0.08028008695728657,0.21282241135782615,0.06385953151880601,0.2553017491622147,0.09999999999999998
2008-01-11,0.04040907777580767,0.0835841042408779,0.1637430389871811,0.08028008695728657,0.21282241135782615,0.06385953151880601,0.2553017491622147,0.09999999999999998
2008-01-18,0.04040907777580767,0.0835841042408779,0.1637430389871811,0.08028008695728657,0.21282241135782615,0.06385953151880601,0.2553017491622147,0.09999999999999998
2008-01-25,0.016659426728974792,0.034865606308433286,0.0713629104507258,0.03396988759541385,0.09805513896435528,0.028382089308157304,0.11670494064393971,0.5999999999999999
2008-02-01,0.016659426728974792,0.034865606308433286,0.0713629104507258,0.03396988759541385,0.09805513896435528,0.028382089308157304,0.11670494064393971,0.5999999999999999
2008-02-08,0.016659426728974792,0.034865606308433286,0.0713629104507258,0.03396988759541385,0.09805513896435528,0.028382089308157304,0.11670494064393971,0.5999999999999999
2008-02-15,0.016659426728974792,0.034865606308433286,0.0713629104507258,0.03396988759541385,0.09805513896435528,0.028382089308157304,0.11670494064393971,0.5999999999999999
2008-02-22,0.016659426728974792,0.034865606308433286,0.0713629104507258,0.03396988759541385,0.09805513896435528,0.028382089308157304,0.11670494064393971,0.5999999999999999
2008-02-29,0.016094768055804717,0.03375423097324131,0.07031498241483722,0.03224735304276118,0.09847229081720447,0.02846562790395868,0.12065074679219248,0.6
2008-03-07,0.016094768055804717,0.03375423097324131,0.07031498241483722,0.03224735304276118,0.09847229081720447,0.02846562790395868,0.12065074679219248,0.6
2008-03-14,0.016094768055804717,0.03375423097324131,0.07031498241483722,0.03224735304276118,0.09847229081720447,0.02846562790395868,0.12065074679219248,0.6
2008-03-21,0.016094768055804717,0.03375423097324131,0.07031498241483722,0.03224735304276118,0.09847229081720447,0.02846562790395868,0.12065074679219248,0.6
2008-03-28,0.01573764268550082,0.03296780247813954,0.06877725384320471,0.028294933533048263,0.10222619193055907,0.028029868800110803,0.12396630672943683,0.6
2008-04-04,0.01573764268550082,0.03296780247813954,0.06877725384320471,0.028294933533048263,0.10222619193055907,0.028029868800110803,0.12396630672943683,0.6
2008-04-11,0.01573764268550082,0.03296780247813954,0.06877725384320471,0.028294933533048263,0.10222619193055907,0.028029868800110803,0.12396630672943683,0.6
2008-04-18,0.01573764268550082,0.03296780247813954,0.06877725384320471,0.028294933533048263,0.10222619193055907,0.028029868800110803,0.12396630672943683,0.6
2008-04-25,0.015704981565655068,0.032403080975059485,0.06804875373150572,0.02646232168687771,0.10376654663697815,0.02761548154359765,0.12599883386032626,0.6
2008-05-02,0.015704981565655068,0.032403080975059485,0.06804875373150572,0.02646232168687771,0.10376654663697815,0.02761548154359765,0.12599883386032626,0.6
2008-05-09,0.015704981565655068,0.032403080975059485,0.06804875373150572,0.02646232168687771,0.10376654663697815,0.02761548154359765,0.12599883386032626,0.6
2008-05-16,0.015704981565655068,0.032403080975059485,0.06804875373150572,0.02646232168687771,0.10376654663697815,0.02761548154359765,0.12599883386032626,0.6
2008-05-23,0.015704981565655068,0.032403080975059485,0.06804875373150572,0.02646232168687771,0.10376654663697815,0.02761548154359765,0.12599883386032626,0.6
2008-05-30,0.03724566309281841,0.07587225951143395,0.1595330416026046,0.05913819352728355,0.2216772217967551,0.05977149299166953,0.28676212747743496,0.09999999999999987
2008-06-06,0.03724566309281841,0.07587225951143395,0.1595330416026046,0.05913819352728355,0.2216772217967551,0.05977149299166953,0.28676212747743496,0.09999999999999987
2008-06-13,0.03724566309281841,0.07587225951143395,0.1595330416026046,0.05913819352728355,0.2216772217967551,0.05977149299166953,0.28676212747743496,0.09999999999999987
2008-06-20,0.03724566309281841,0.07587225951143395,0.1595330416026046,0.05913819352728355,0.2216772217967551,0.05977149299166953,0.28676212747743496,0.09999999999999987
2008-06-27,0.03792291738087786,0.07611058406092759,0.16069156681303673,0.05751693793080615,0.21858478986542895,0.05891827912739824,0.2902549248215245,0.09999999999999998
2008-07-04,0.03792291738087786,0.07611058406092759,0.16069156681303673,0.05751693793080615,0.21858478986542895,0.05891827912739824,0.2902549248215245,0.09999999999999998
2008-07-11,0.03792291738087786,0.07611058406092759,0.16069156681303673,0.05751693793080615,0.21858478986542895,0.05891827912739824,0.2902549248215245,0.09999999999999998
2008-07-18,0.03792291738087786,0.07611058406092759,0.16069156681303673,0.05751693793080615,0.21858478986542895,0.05891827912739824,0.2902549248215245,0.09999999999999998
2008-07-25,0.032743923382212374,0.06311809149904578,0.13778235840395722,0.04973016108689158,0.20198682413660626,0.05283305355958137,0.2618055879317055,0.19999999999999996
2008-08-01,0.032743923382212374,0.06311809149904578,0.13778235840395722,0.04973016108689158,0.20198682413660626,0.05283305355958137,0.2618055879317055,0.19999999999999996
2008-08-08,0.032743923382212374,0.06311809149904578,0.13778235840395722,0.04973016108689158,0.20198682413660626,0.05283305355958137,0.2618055879317055,0.19999999999999996
2008-08-15,0.032743923382212374,0.06311809149904578,0.13778235840395722,0.04973016108689158,0.20198682413660626,0.05283305355958137,0.2618055879317055,0.19999999999999996
2008-08-22,0.032743923382212374,0.06311809149904578,0.13778235840395722,0.04973016108689158,0.20198682413660626,0.05283305355958137,0.2618055879317055,0.19999999999999996
2008-08-29,0.038926891622433756,0.07057621759333445,0.15906975497218007,0.052578629962858815,0.22605979712124255,0.05193576011793276,0.30085294861001766,0.09999999999999998
2008-09-05,0.038926891622433756,0.07057621759333445,0.15906975497218007,0.052578629962858815,0.22605979712124255,0.05193576011793276,0.30085294861001766,0.09999999999999998
2008-09-12,0.038926891622433756,0.07057621759333445,0.15906975497218007,0.052578629962858815,0.22605979712124255,0.05193576011793276,0.30085294861001766,0.09999999999999998
2008-09-19,0.038926891622433756,0.07057621759333445,0.15906975497218007,0.052578629962858815,0.22605979712124255,0.05193576011793276,0.30085294861001766,0.09999999999999998
2008-09-26,0.017192362500566084,0.029854738938238302,0.06821781816253261,0.020581962398871213,0.102955732334112,0.022677737019625818,0.138519648646054,0.6
2008-10-03,0.017192362500566084,0.029854738938238302,0.06821781816253261,0.020581962398871213,0.102955732334112,0.022677737019625818,0.138519648646054,0.6
2008-10-10,0.017192362500566084,0.029854738938238302,0.06821781816253261,0.020581962398871213,0.102955732334112,0.022677737019625818,0.138519648646054,0.6
2008-10-17,0.017192362500566084,0.029854738938238302,0.06821781816253261,0.020581962398871213,0.102955732334112,0.022677737019625818,0.138519648646054,0.6
2008-10-24,0.017192362500566084,0.029854738938238302,0.06821781816253261,0.020581962398871213,0.102955732334112,0.022677737019625818,0.138519648646054,0.6
2008-10-31,0.020896802519195064,0.03245755209198894,0.07450553773278072,0.015587402995659572,0.08311910486936368,0.02807132695966921,0.14536227283134284,0.6
2008-11-07,0.020896802519195064,0.03245755209198894,0.07450553773278072,0.015587402995659572,0.08311910486936368,0.02807132695966921,0.14536227283134284,0.6
2008-11-14,0.020896802519195064,0.03245755209198894,0.07450553773278072,0.015587402995659572,0.08311910486936368,0.02807132695966921,0.14536227283134284,0.6
2008-11-21,0.020896802519195064,0.03245755209198894,0.07450553773278072,0.015587402995659572,0.08311910486936368,0.02807132695966921,0.14536227283134284,0.6
2008-11-28,0.0244026878542364,0.036039515159553843,0.08189838304247597,0.013873047875038786,0.0724550496209354,0.026915345849191225,0.1444159705985684,0.6
2008-12-05,0.0244026878542364,0.036039515159553843,0.08189838304247597,0.013873047875038786,0.0724550496209354,0.026915345849191225,0.1444159705985684,0.6
2008-12-12,0.0244026878542364,0.036039515159553843,0.08189838304247597,0.013873047875038786,0.0724550496209354,0.026915345849191225,0.1444159705985684,0.6
2008-12-19,0.0244026878542364,0.036039515159553843,0.08189838304247597,0.013873047875038786,0.0724550496209354,0.026915345849191225,0.1444159705985684,0.6
2008-12-26,0.02723779093195442,0.03286606341442751,0.0770192100512431,0.013526302979014321,0.06586534707092727,0.023313000835221934,0.16017228471721145,0.6
2009-01-02,0.02723779093195442,0.03286606341442751,0.0770192100512431,0.013526302979014321,0.06586534707092727,0.023313000835221934,0.16017228471721145,0.6
2009-01-09,0.02723779093195442,0.03286606341442751,0.0770192100512431,0.013526302979014321,0.06586534707092727,0.023313000835221934,0.16017228471721145,0.6
2009-01-16,0.02723779093195442,0.03286606341442751,0.0770192100512431,0.013526302979014321,0.06586534707092727,0.023313000835221934,0.16017228471721145,0.6
2009-01-23,0.02723779093195442,0.03286606341442751,0.0770192100512431,0.013526302979014321,0.06586534707092727,0.023313000835221934,0.16017228471721145,0.6
2009-01-30,0.02812466673121121,0.030900687270950435,0.08761391845149559,0.019116898273684093,0.06148892579944022,0.02102848545356615,0.15172641801965236,0.6
2009-02-06,0.02812466673121121,0.030900687270950435,0.08761391845149559,0.019116898273684093,0.06148892579944022,0.02102848545356615,0.15172641801965236,0.6
2009-02-13,0.02812466673121121,0.030900687270950435,0.08761391845149559,0.019116898273684093,0.06148892579944022,0.02102848545356615,0.15172641801965236,0.6
2009-02-20,0.02812466673121121,0.030900687270950435,0.08761391845149559,0.019116898273684093,0.06148892579944022,0.02102848545356615,0.15172641801965236,0.6
2009-02-27,0.02872646177730935,0.029853879238847525,0.08933131645215653,0.020728996719582282,0.05926849525788324,0.019871952945301904,0.15221889760891924,0.5999999999999999
2009-03-06,0.02872646177730935,0.029853879238847525,0.08933131645215653,0.020728996719582282,0.05926849525788324,0.019871952945301904,0.15221889760891924,0.5999999999999999
2009-03-13,0.02872646177730935,0.029853879238847525,0.08933131645215653,0.020728996719582282,0.05926849525788324,0.019871952945301904,0.15221889760891924,0.5999999999999999
