,predicted_spread
2005-01-14,0.0
2005-01-21,0.0
2005-01-28,0.0
2005-02-04,0.0
2005-02-11,0.0
2005-02-18,0.0
2005-02-25,0.0
2005-03-04,0.0
2005-03-11,0.0
2005-03-18,0.0
2005-03-25,0.0
2005-04-01,0.0
2005-04-08,0.0
2005-04-15,0.0
2005-04-22,0.0
2005-04-29,0.0
2005-05-06,0.0
2005-05-13,0.0
2005-05-20,0.0
2005-05-27,0.0
2005-06-03,0.0
2005-06-10,0.0
2005-06-17,0.0
2005-06-24,0.0
2005-07-01,0.0
2005-07-08,0.0
2005-07-15,0.0
2005-07-22,0.0
2005-07-29,0.0
2005-08-05,0.0
2005-08-12,0.0
2005-08-19,0.0
2005-08-26,0.0
2005-09-02,0.0
2005-09-09,0.0
2005-09-16,0.0
2005-09-23,0.0
2005-09-30,0.0
2005-10-07,0.0
2005-10-14,0.0
2005-10-21,0.0
2005-10-28,0.0
2005-11-04,0.0
2005-11-11,0.0
2005-11-18,0.0
2005-11-25,0.0
2005-12-02,0.0
2005-12-09,0.0
2005-12-16,0.0
2005-12-23,0.0
2005-12-30,0.0
2006-01-06,0.0
2006-01-13,0.0
2006-01-20,0.0
2006-01-27,0.0
2006-02-03,0.0
2006-02-10,0.0
2006-02-17,0.0
2006-02-24,0.0
2006-03-03,0.0
2006-03-10,0.0
2006-03-17,0.0
2006-03-24,0.0
2006-03-31,0.0
2006-04-07,0.0
2006-04-14,0.0
2006-04-21,0.0
2006-04-28,0.0
2006-05-05,0.0
2006-05-12,0.0
2006-05-19,0.0
2006-05-26,0.0
2006-06-02,0.0
2006-06-09,0.0
2006-06-16,0.0
2006-06-23,0.0
2006-06-30,0.0
2006-07-07,0.0
2006-07-14,0.0
2006-07-21,0.0
2006-07-28,0.0
2006-08-04,0.0
2006-08-11,0.0
2006-08-18,0.0
2006-08-25,0.0
2006-09-01,0.0
2006-09-08,0.0
2006-09-15,0.0
2006-09-22,0.0
2006-09-29,0.0
2006-10-06,0.0
2006-10-13,0.0
2006-10-20,0.0
2006-10-27,0.0
2006-11-03,0.0
2006-11-10,0.0
2006-11-17,0.0
2006-11-24,0.0
2006-12-01,0.0
2006-12-08,0.0
2006-12-15,0.0
2006-12-22,0.0
2006-12-29,0.0
2007-01-05,0.0
2007-01-12,0.0
2007-01-19,0.0
2007-01-26,0.0
2007-02-02,0.0
2007-02-09,0.0
2007-02-16,0.0
2007-02-23,0.0
2007-03-02,0.0
2007-03-09,0.0
2007-03-16,0.0
2007-03-23,0.0
2007-03-30,0.0
2007-04-06,0.0
2007-04-13,0.0
2007-04-20,0.0
2007-04-27,0.0
2007-05-04,0.0
2007-05-11,0.0
2007-05-18,0.0
2007-05-25,0.0
2007-06-01,0.0
2007-06-08,0.0
2007-06-15,0.0
2007-06-22,0.0
2007-06-29,0.0
2007-07-06,0.0
2007-07-13,0.0
2007-07-20,0.0
2007-07-27,0.0
2007-08-03,0.0
2007-08-10,0.0
2007-08-17,0.0
2007-08-24,0.0
2007-08-31,0.0
2007-09-07,0.0
2007-09-14,0.0
2007-09-21,0.0
2007-09-28,0.0
2007-10-05,0.0
2007-10-12,0.0
2007-10-19,0.0
2007-10-26,0.0
2007-11-02,0.0
2007-11-09,0.0
2007-11-16,0.0
2007-11-23,0.0
2007-11-30,0.0
2007-12-07,0.0
2007-12-14,0.0
2007-12-21,0.0
2007-12-28,0.0
2008-01-04,0.0
2008-01-11,0.0
2008-01-18,0.0
2008-01-25,0.0
2008-02-01,0.0
2008-02-08,0.0
2008-02-15,0.0
2008-02-22,0.0
2008-02-29,0.0
2008-03-07,0.0
2008-03-14,0.0
2008-03-21,0.0
2008-03-28,0.0
2008-04-04,0.0
2008-04-11,0.0
2008-04-18,0.0
2008-04-25,0.0
2008-05-02,0.0
2008-05-09,0.0
2008-05-16,0.0
2008-05-23,0.0
2008-05-30,0.0
2008-06-06,0.0
2008-06-13,0.0
2008-06-20,0.0
2008-06-27,0.0
2008-07-04,0.0
2008-07-11,0.0
2008-07-18,0.0
2008-07-25,0.0
2008-08-01,0.0
2008-08-08,0.0
2008-08-15,0.0
2008-08-22,0.0
2008-08-29,0.0
2008-09-05,0.0
2008-09-12,0.0
2008-09-19,0.0
2008-09-26,0.0
2008-10-03,0.0
2008-10-10,0.0
2008-10-17,0.0
2008-10-24,0.0
2008-10-31,0.0
2008-11-07,0.0
2008-11-14,0.0
2008-11-21,0.0
2008-11-28,0.0
2008-12-05,0.0
2008-12-12,0.0
2008-12-19,0.0
2008-12-26,0.0
2009-01-02,0.0
2009-01-09,0.0
2009-01-16,0.0
2009-01-23,0.0
2009-01-30,0.0
2009-02-06,0.0
2009-02-13,0.0
2009-02-20,0.0
2009-02-27,0.0
2009-03-06,0.0
2009-03-13,0.0
2009-03-20,0.0
2009-03-27,0.0
2009-04-03,0.0
2009-04-10,0.0
2009-04-17,0.0
2009-04-24,0.0
2009-05-01,0.0
2009-05-08,0.0
2009-05-15,0.0
2009-05-22,0.0
2009-05-29,0.0
2009-06-05,0.0
2009-06-12,0.0
2009-06-19,0.0
2009-06-26,0.0
2009-07-03,0.0
2009-07-10,0.0
2009-07-17,0.006837672456400037
2009-07-24,0.014772466490772136
2009-07-31,0.010082686127180237
2009-08-07,0.017517804767557738
2009-08-14,0.01799214704903637
2009-08-21,0.017987796695832038
2009-08-28,0.014377474102983567
2009-09-04,0.015354155779911968
2009-09-11,0.012025498106906842
2009-09-18,0.026292893262169208
2009-09-25,0.026582258416444134
2009-10-02,0.03066639607680475
2009-10-09,0.028811985081091413
2009-10-16,0.016488337506892842
2009-10-23,0.019016913445115906
2009-10-30,0.021244831830030012
2009-11-06,0.01770533999647337
2009-11-13,0.01855485500608849
2009-11-20,0.015822533134190176
2009-11-27,0.013601321955288634
2009-12-04,0.013022468434645659
2009-12-11,0.012847111778654649
2009-12-18,0.02805540332045457
2009-12-25,0.025935326760164714
2010-01-01,0.017217117392142985
2010-01-08,0.021986530664221685
2010-01-15,0.025708338591021906
2010-01-22,0.026155389290944266
2010-01-29,0.0208344013517859
2010-02-05,0.018205975395326385
2010-02-12,0.017103213092944918
2010-02-19,0.01661652260844312
2010-02-26,0.016183823578612432
2010-03-05,0.014035482350757878
2010-03-12,0.017829322538104736
2010-03-19,0.01619250143153913
2010-03-26,0.015243968587268323
2010-04-02,0.018201395898179623
2010-04-09,0.014706229729152918
2010-04-16,0.010551019139640905
2010-04-23,0.011652338462235248
2010-04-30,0.014316474985733178
2010-05-07,0.010476344733468255
2010-05-14,0.01798684912047887
2010-05-21,0.01376040462972107
2010-05-28,0.018086949337313033
2010-06-04,0.01350687920265071
2010-06-11,0.012221548940142503
2010-06-18,0.007667702279262855
2010-06-25,0.007704574464696879
2010-07-02,0.016973656409468917
2010-07-09,0.01781673116910048
2010-07-16,0.02409106531960655
2010-07-23,0.019011189512083995
2010-07-30,0.016476559835238307
2010-08-06,0.015519497506752375
2010-08-13,0.01426073471487861
2010-08-20,0.023435783242926368
2010-08-27,0.01453410121007507
2010-09-03,0.016344447788606702
2010-09-10,0.015590552295306913
2010-09-17,0.020773120843631074
