Date,gross_return,turnover,cost,net_return,wealth,drawdown
1962-01-05,0.0,0.0,0.0,0.0,1.0,0.0
1962-01-12,0.0,0.0,0.0,0.0,1.0,0.0
1962-01-19,0.0,0.0,0.0,0.0,1.0,0.0
1962-01-26,0.0,0.0,0.0,0.0,1.0,0.0
1962-02-02,0.0,0.0,0.0,0.0,1.0,0.0
1962-02-09,0.0,0.0,0.0,0.0,1.0,0.0
1962-02-16,0.0,0.0,0.0,0.0,1.0,0.0
1962-02-23,0.0,0.0,0.0,0.0,1.0,0.0
1962-03-02,0.0,0.0,0.0,0.0,1.0,0.0
1962-03-09,0.0,0.0,0.0,0.0,1.0,0.0
1962-03-16,0.0,0.0,0.0,0.0,1.0,0.0
1962-03-23,0.0,0.0,0.0,0.0,1.0,0.0
1962-03-30,0.0,0.0,0.0,0.0,1.0,0.0
1962-04-06,0.0,0.0,0.0,0.0,1.0,0.0
1962-04-13,0.0,0.0,0.0,0.0,1.0,0.0
1962-04-20,0.0,0.0,0.0,0.0,1.0,0.0
1962-04-27,0.0,0.0,0.0,0.0,1.0,0.0
1962-05-04,0.0,0.0,0.0,0.0,1.0,0.0
1962-05-11,0.0,0.0,0.0,0.0,1.0,0.0
1962-05-18,0.0,0.0,0.0,0.0,1.0,0.0
1962-05-25,0.0,0.0,0.0,0.0,1.0,0.0
1962-06-01,0.0,0.0,0.0,0.0,1.0,0.0
1962-06-08,0.0,0.0,0.0,0.0,1.0,0.0
1962-06-15,0.0,0.0,0.0,0.0,1.0,0.0
1962-06-22,0.0,0.0,0.0,0.0,1.0,0.0
1962-06-29,0.0,0.0,0.0,0.0,1.0,0.0
1962-07-06,0.0,0.0,0.0,0.0,1.0,0.0
1962-07-13,0.0,0.0,0.0,0.0,1.0,0.0
1962-07-20,0.0,0.0,0.0,0.0,1.0,0.0
1962-07-27,0.0,0.0,0.0,0.0,1.0,0.0
1962-08-03,0.0,0.0,0.0,0.0,1.0,0.0
1962-08-10,0.0,0.0,0.0,0.0,1.0,0.0
1962-08-17,0.0,0.0,0.0,0.0,1.0,0.0
1962-08-24,0.0,0.0,0.0,0.0,1.0,0.0
1962-08-31,0.0,0.0,0.0,0.0,1.0,0.0
1962-09-07,0.0,0.0,0.0,0.0,1.0,0.0
1962-09-14,0.0,0.0,0.0,0.0,1.0,0.0
1962-09-21,0.0,0.0,0.0,0.0,1.0,0.0
1962-09-28,0.0,0.0,0.0,0.0,1.0,0.0
1962-10-05,0.0,0.0,0.0,0.0,1.0,0.0
1962-10-12,0.0,0.0,0.0,0.0,1.0,0.0
1962-10-19,0.0,0.0,0.0,0.0,1.0,0.0
1962-10-26,0.0,0.0,0.0,0.0,1.0,0.0
1962-11-02,0.0,0.0,0.0,0.0,1.0,0.0
1962-11-09,0.0,0.0,0.0,0.0,1.0,0.0
1962-11-16,0.0,0.0,0.0,0.0,1.0,0.0
1962-11-23,0.0,0.0,0.0,0.0,1.0,0.0
1962-11-30,0.0,0.0,0.0,0.0,1.0,0.0
1962-12-07,0.0,0.0,0.0,0.0,1.0,0.0
1962-12-14,0.0,0.0,0.0,0.0,1.0,0.0
1962-12-21,0.0,0.0,0.0,0.0,1.0,0.0
1962-12-28,0.0,0.0,0.0,0.0,1.0,0.0
1963-01-04,0.0,0.0,0.0,0.0,1.0,0.0
1963-01-11,0.0,0.0,0.0,0.0,1.0,0.0
1963-01-18,0.0,0.0,0.0,0.0,1.0,0.0
1963-01-25,0.0,0.0,0.0,0.0,1.0,0.0
1963-02-01,0.0,0.0,0.0,0.0,1.0,0.0
1963-02-08,0.0,0.0,0.0,0.0,1.0,0.0
1963-02-15,0.0,0.0,0.0,0.0,1.0,0.0
1963-02-22,0.0,0.0,0.0,0.0,1.0,0.0
1963-03-01,0.0,0.0,0.0,0.0,1.0,0.0
1963-03-08,0.0,0.0,0.0,0.0,1.0,0.0
1963-03-15,0.0,0.0,0.0,0.0,1.0,0.0
1963-03-22,0.0,0.0,0.0,0.0,1.0,0.0
1963-03-29,0.0,0.0,0.0,0.0,1.0,0.0
1963-04-05,0.0,0.0,0.0,0.0,1.0,0.0
1963-04-12,0.0,0.0,0.0,0.0,1.0,0.0
1963-04-19,0.0,0.0,0.0,0.0,1.0,0.0
1963-04-26,0.0,0.0,0.0,0.0,1.0,0.0
1963-05-03,0.0,0.0,0.0,0.0,1.0,0.0
1963-05-10,0.0,0.0,0.0,0.0,1.0,0.0
1963-05-17,0.0,0.0,0.0,0.0,1.0,0.0
1963-05-24,0.0,0.0,0.0,0.0,1.0,0.0
1963-05-31,0.0,0.0,0.0,0.0,1.0,0.0
1963-06-07,0.0,0.0,0.0,0.0,1.0,0.0
1963-06-14,0.0,0.0,0.0,0.0,1.0,0.0
1963-06-21,0.0,0.0,0.0,0.0,1.0,0.0
1963-06-28,0.0,0.0,0.0,0.0,1.0,0.0
1963-07-05,0.0,0.0,0.0,0.0,1.0,0.0
1963-07-12,0.0,0.0,0.0,0.0,1.0,0.0
1963-07-19,0.0,0.0,0.0,0.0,1.0,0.0
1963-07-26,0.0,0.0,0.0,0.0,1.0,0.0
1963-08-02,0.0,0.0,0.0,0.0,1.0,0.0
1963-08-09,0.0,0.0,0.0,0.0,1.0,0.0
1963-08-16,0.0,0.0,0.0,0.0,1.0,0.0
1963-08-23,0.0,0.0,0.0,0.0,1.0,0.0
1963-08-30,0.0,0.0,0.0,0.0,1.0,0.0
1963-09-06,0.0,0.0,0.0,0.0,1.0,0.0
1963-09-13,0.0,0.0,0.0,0.0,1.0,0.0
1963-09-20,0.0,0.0,0.0,0.0,1.0,0.0
1963-09-27,0.0,0.0,0.0,0.0,1.0,0.0
1963-10-04,0.0,0.0,0.0,0.0,1.0,0.0
1963-10-11,0.0,0.0,0.0,0.0,1.0,0.0
1963-10-18,0.0,0.0,0.0,0.0,1.0,0.0
1963-10-25,0.0,0.0,0.0,0.0,1.0,0.0
1963-11-01,0.0,0.0,0.0,0.0,1.0,0.0
1963-11-08,0.0,0.0,0.0,0.0,1.0,0.0
1963-11-15,0.0,0.0,0.0,0.0,1.0,0.0
1963-11-22,0.0,0.0,0.0,0.0,1.0,0.0
1963-11-29,0.0,0.0,0.0,0.0,1.0,0.0
1963-12-06,0.0,0.0,0.0,0.0,1.0,0.0
1963-12-13,0.0,0.0,0.0,0.0,1.0,0.0
1963-12-20,0.0,0.0,0.0,0.0,1.0,0.0
1963-12-27,0.0,0.0,0.0,0.0,1.0,0.0
1964-01-03,0.0,0.0,0.0,0.0,1.0,0.0
1964-01-10,0.0,0.0,0.0,0.0,1.0,0.0
1964-01-17,0.0,0.0,0.0,0.0,1.0,0.0
1964-01-24,0.0,0.0,0.0,0.0,1.0,0.0
1964-01-31,0.0,0.0,0.0,0.0,1.0,0.0
1964-02-07,0.0,0.0,0.0,0.0,1.0,0.0
1964-02-14,0.0,0.0,0.0,0.0,1.0,0.0
1964-02-21,0.0,0.0,0.0,0.0,1.0,0.0
1964-02-28,0.0,0.0,0.0,0.0,1.0,0.0
1964-03-06,0.0,0.0,0.0,0.0,1.0,0.0
1964-03-13,0.0,0.0,0.0,0.0,1.0,0.0
1964-03-20,0.0,0.0,0.0,0.0,1.0,0.0
1964-03-27,0.0,0.0,0.0,0.0,1.0,0.0
1964-04-03,0.0,0.0,0.0,0.0,1.0,0.0
1964-04-10,0.0,0.0,0.0,0.0,1.0,0.0
1964-04-17,0.0,0.0,0.0,0.0,1.0,0.0
1964-04-24,0.0,0.0,0.0,0.0,1.0,0.0
1964-05-01,0.0,0.0,0.0,0.0,1.0,0.0
1964-05-08,0.0,0.0,0.0,0.0,1.0,0.0
1964-05-15,0.0,0.0,0.0,0.0,1.0,0.0
1964-05-22,0.0,0.0,0.0,0.0,1.0,0.0
1964-05-29,0.0,0.0,0.0,0.0,1.0,0.0
1964-06-05,0.0,0.0,0.0,0.0,1.0,0.0
1964-06-12,0.0,0.0,0.0,0.0,1.0,0.0
1964-06-19,0.0,0.0,0.0,0.0,1.0,0.0
1964-06-26,0.0,0.0,0.0,0.0,1.0,0.0
1964-07-03,0.0,0.0,0.0,0.0,1.0,0.0
1964-07-10,0.0,0.0,0.0,0.0,1.0,0.0
1964-07-17,0.0,0.0,0.0,0.0,1.0,0.0
1964-07-24,0.0,0.0,0.0,0.0,1.0,0.0
1964-07-31,0.0,0.0,0.0,0.0,1.0,0.0
1964-08-07,0.0,0.0,0.0,0.0,1.0,0.0
1964-08-14,0.0,0.0,0.0,0.0,1.0,0.0
1964-08-21,0.0,0.0,0.0,0.0,1.0,0.0
1964-08-28,0.0,0.0,0.0,0.0,1.0,0.0
1964-09-04,0.0,0.0,0.0,0.0,1.0,0.0
1964-09-11,0.0,0.0,0.0,0.0,1.0,0.0
1964-09-18,0.0,0.0,0.0,0.0,1.0,0.0
1964-09-25,0.0,0.0,0.0,0.0,1.0,0.0
1964-10-02,0.0,0.0,0.0,0.0,1.0,0.0
1964-10-09,0.0,0.0,0.0,0.0,1.0,0.0
1964-10-16,0.0,0.0,0.0,0.0,1.0,0.0
1964-10-23,0.0,0.0,0.0,0.0,1.0,0.0
1964-10-30,0.0,0.0,0.0,0.0,1.0,0.0
1964-11-06,0.0,0.0,0.0,0.0,1.0,0.0
1964-11-13,0.0,0.0,0.0,0.0,1.0,0.0
1964-11-20,0.0,0.0,0.0,0.0,1.0,0.0
1964-11-27,0.0,0.0,0.0,0.0,1.0,0.0
1964-12-04,0.0,0.0,0.0,0.0,1.0,0.0
1964-12-11,0.0,0.0,0.0,0.0,1.0,0.0
1964-12-18,0.0,0.0,0.0,0.0,1.0,0.0
1964-12-25,0.0,0.0,0.0,0.0,1.0,0.0
1965-01-01,0.0,0.0,0.0,0.0,1.0,0.0
1965-01-08,0.0,0.0,0.0,0.0,1.0,0.0
1965-01-15,0.0,0.0,0.0,0.0,1.0,0.0
1965-01-22,0.0,0.0,0.0,0.0,1.0,0.0
1965-01-29,0.0,0.0,0.0,0.0,1.0,0.0
1965-02-05,0.0,0.0,0.0,0.0,1.0,0.0
1965-02-12,0.0,0.0,0.0,0.0,1.0,0.0
1965-02-19,0.0,0.0,0.0,0.0,1.0,0.0
1965-02-26,0.0,0.0,0.0,0.0,1.0,0.0
1965-03-05,0.0,0.0,0.0,0.0,1.0,0.0
1965-03-12,0.0,0.0,0.0,0.0,1.0,0.0
1965-03-19,0.0,0.0,0.0,0.0,1.0,0.0
1965-03-26,0.0,0.0,0.0,0.0,1.0,0.0
1965-04-02,0.0,0.0,0.0,0.0,1.0,0.0
1965-04-09,0.0,0.0,0.0,0.0,1.0,0.0
1965-04-16,0.0,0.0,0.0,0.0,1.0,0.0
1965-04-23,0.0,0.0,0.0,0.0,1.0,0.0
1965-04-30,0.0,0.0,0.0,0.0,1.0,0.0
1965-05-07,0.0,0.0,0.0,0.0,1.0,0.0
1965-05-14,0.0,0.0,0.0,0.0,1.0,0.0
1965-05-21,0.0,0.0,0.0,0.0,1.0,0.0
1965-05-28,0.0,0.0,0.0,0.0,1.0,0.0
1965-06-04,0.0,0.0,0.0,0.0,1.0,0.0
1965-06-11,0.0,0.0,0.0,0.0,1.0,0.0
1965-06-18,0.0,0.0,0.0,0.0,1.0,0.0
1965-06-25,0.0,0.0,0.0,0.0,1.0,0.0
1965-07-02,0.0,0.0,0.0,0.0,1.0,0.0
1965-07-09,0.0,0.0,0.0,0.0,1.0,0.0
1965-07-16,0.0,0.0,0.0,0.0,1.0,0.0
1965-07-23,0.0,0.0,0.0,0.0,1.0,0.0
1965-07-30,0.0,0.0,0.0,0.0,1.0,0.0
1965-08-06,0.0,0.0,0.0,0.0,1.0,0.0
1965-08-13,0.0,0.0,0.0,0.0,1.0,0.0
1965-08-20,0.0,0.0,0.0,0.0,1.0,0.0
1965-08-27,0.0,0.0,0.0,0.0,1.0,0.0
1965-09-03,0.0,0.0,0.0,0.0,1.0,0.0
1965-09-10,0.0,0.0,0.0,0.0,1.0,0.0
1965-09-17,0.0,0.0,0.0,0.0,1.0,0.0
1965-09-24,0.0,0.0,0.0,0.0,1.0,0.0
1965-10-01,0.0,0.0,0.0,0.0,1.0,0.0
1965-10-08,0.0,0.0,0.0,0.0,1.0,0.0
1965-10-15,0.0,0.0,0.0,0.0,1.0,0.0
1965-10-22,0.0,0.0,0.0,0.0,1.0,0.0
1965-10-29,0.0,0.0,0.0,0.0,1.0,0.0
1965-11-05,0.0,0.0,0.0,0.0,1.0,0.0
1965-11-12,0.0,0.0,0.0,0.0,1.0,0.0
1965-11-19,0.0,0.0,0.0,0.0,1.0,0.0
1965-11-26,0.0,0.0,0.0,0.0,1.0,0.0
1965-12-03,0.0,0.0,0.0,0.0,1.0,0.0
1965-12-10,0.0,0.0,0.0,0.0,1.0,0.0
1965-12-17,0.0,0.0,0.0,0.0,1.0,0.0
1965-12-24,0.0,0.0,0.0,0.0,1.0,0.0
1965-12-31,0.0,0.0,0.0,0.0,1.0,0.0
1966-01-07,0.0,0.0,0.0,0.0,1.0,0.0
1966-01-14,0.0,0.0,0.0,0.0,1.0,0.0
1966-01-21,0.0,0.0,0.0,0.0,1.0,0.0
1966-01-28,0.0,0.0,0.0,0.0,1.0,0.0
1966-02-04,0.0,0.0,0.0,0.0,1.0,0.0
1966-02-11,0.0,0.0,0.0,0.0,1.0,0.0
1966-02-18,0.0,0.0,0.0,0.0,1.0,0.0
1966-02-25,0.0,0.0,0.0,0.0,1.0,0.0
1966-03-04,0.0,0.0,0.0,0.0,1.0,0.0
1966-03-11,0.0,0.0,0.0,0.0,1.0,0.0
1966-03-18,0.0,0.0,0.0,0.0,1.0,0.0
