cik10,sec_company_name,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision_x,last_recent_decision_x,recent_decision_rows_x,symbol_count,current_tickers,first_recent_decision_y,last_recent_decision_y,recent_decision_rows_y,recovered_symbol,current_primary,selection_basis,candidate_format_valid,candidate_unique_across_ciks,audit_status,first_eligible_decision,last_eligible_decision,recent_decision_rows,tiingo_symbol,ticker,exchange,assetType,priceCurrency,startDate,endDate,inventory_interval_overlap
0000025475,CRAWFORD & CO,finance_insurance_real_estate,0001193125-26-085465,2026-03-03 00:00:00+00:00,CRD-A|CRD-B,xbrl_symbol_recovered,crda-20251231.htm,1509e54dec18f86a009dee47d8f3477eb66fa07e5710969b56d9f85552b98ad6,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,CRD-A|CRD-B,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CRD-A,CRD-A,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,CRD-A,CRD-A,NYSE,Stock,USD,1992-03-19 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0000351834,SUNOPTA INC.,manufacturing,0001062993-26-001270,2026-03-05 00:00:00+00:00,STKL|SOY,xbrl_symbol_recovered,form10k.htm,1822acfd63e7c6127cf050e79c5177f322cca001d010ca429d1c64b59ec4e98d,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,STKL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,STKL,STKL,NASDAQ,Stock,USD,1990-03-26 00:00:00+00:00,2026-05-01 00:00:00+00:00,True
0001487712,AIR LEASE CORP,services,0001628280-26-007707,2026-02-13 00:00:00+00:00,AL|AL30,xbrl_symbol_recovered,al-20251231.htm,17736430bf8ed118de0a39a9807421ee0bb7c49596cb2143af2c9eda47d5834a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,AL,AL,NYSE,Stock,USD,2011-04-19 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001593222,"CITY OFFICE REIT, INC.",finance_insurance_real_estate,0001193125-25-270904,2025-11-08 00:00:00+00:00,CIO|CIO.PRA,xbrl_symbol_recovered,cio-20250930.htm,1fbe63d594ccf5b2a418ef5426336cbe27774992b27db50f12cadbcce280174c,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,CIO,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,CIO,CIO,NYSE,Stock,USD,2014-04-15 00:00:00+00:00,2026-01-08 00:00:00+00:00,True
0000813828,PARAMOUNT GLOBAL,transport_communications_utilities,0000813828-25-000023,2025-08-01 00:00:00+00:00,PARAA|PARA,xbrl_symbol_recovered,para-20250630.htm,bd915a025056c6891e062d18695c31f47afa4c3f7adc9a2b32ca31e62832c67d,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,PARAA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,PARAA,PARAA,NASDAQ,Stock,USD,2006-01-03 00:00:00+00:00,2025-08-07 00:00:00+00:00,True
0001363829,ENSTAR GROUP LTD,finance_insurance_real_estate,0001363829-25-000083,2025-05-02 00:00:00+00:00,ESGR|ESGRP|ESGRO,xbrl_symbol_recovered,esgr-20250331.htm,5bfca71a03d9bf0b74ec88440ec266d16f807a08278477e8e657ad52b92d6b62,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,3,,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,ESGR,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,ESGR,ESGR,NASDAQ,Stock,USD,1997-05-09 00:00:00+00:00,2025-07-02 00:00:00+00:00,True
0001618921,"WALGREENS BOOTS ALLIANCE, INC.",retail_trade,0001618921-25-000056,2025-06-27 00:00:00+00:00,WBA|WBA25|WBA26,xbrl_symbol_recovered,wba-20250531.htm,45b075a98240c0846d1748b6a08faf9ebc2d560341470d3c0eca7819f1a83eab,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,3,,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,WBA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,WBA,WBA,NASDAQ,Stock,USD,1985-07-01 00:00:00+00:00,2025-08-28 00:00:00+00:00,True
0001452857,STEEL PARTNERS HOLDINGS L.P.,manufacturing,0001452857-25-000010,2025-03-12 00:00:00+00:00,SPLP|SPLP-PRA,xbrl_symbol_recovered,splp-20241231.htm,5ff5cf8f60cc1bd212661608cf8792f1e87c583b5b3db9abcc33e248481edf4d,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,SPLP,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,SPLP,SPLP,PINK,Stock,USD,2012-04-10 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
0001721386,LANDSEA HOMES CORP,construction,0001721386-25-000018,2025-05-14 00:00:00+00:00,LSEA|LSEAW,xbrl_symbol_recovered,lhi-20250331.htm,dbab3e5ca9cbfe0a4dec31568a69c2219e0ceb2305f12b7e2394e0639625151e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,LSEA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,LSEA,LSEA,NASDAQ,Stock,USD,2018-06-29 00:00:00+00:00,2025-06-25 00:00:00+00:00,True
0000920112,HEARTLAND FINANCIAL USA INC,finance_insurance_real_estate,0000920112-24-000200,2024-11-09 00:00:00+00:00,HTLF|HTLFP,xbrl_symbol_recovered,htlf-20240930.htm,6c0dfaffe308c91d7d113a7023dba4d804b03373cc539f4476a26ec6563be78d,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,2,,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,HTLF,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,HTLF,HTLF,NASDAQ,Stock,USD,1999-01-04 00:00:00+00:00,2026-08-12 00:00:00+00:00,True
