cik10,company_name_as_filed,sector,current_tickers,first_recent_decision,last_recent_decision,recent_decision_rows,validated_price_rows,batch_price_attempted,companyfacts_cached,single_current_ticker,queue_status,priority
0000799165,DAWSON GEOPHYSICAL CO,energy,DWSN,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0001282648,HALCON RESOURCES CORP,energy,BATL,2012-04-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,36,0,False,False,True,acquire_price_and_facts,2
0001692427,"NCS MULTISTAGE HOLDINGS, INC.",energy,NCSM,2019-10-01 00:00:00+00:00,2021-01-01 00:00:00+00:00,6,0,False,False,True,acquire_price_and_facts,2
0000101594,US ENERGY CORP,energy,BSIN,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,20,0,False,False,True,acquire_price_and_facts,2
0001156041,HOUSTON AMERICAN ENERGY CORP,energy,AGIG,2012-04-01 00:00:00+00:00,2013-10-01 00:00:00+00:00,7,0,False,False,True,acquire_price_and_facts,2
0000763907,FIRST UNITED CORP/MD/,finance_insurance_real_estate,FUNC,2013-01-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,20,0,False,False,True,acquire_price_and_facts,2
0001720424,HIVE DIGITAL TECHNOLOGIES LTD.,finance_insurance_real_estate,HIVE,2026-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,1,0,False,False,True,acquire_price_and_facts,2
0001812477,KEEL INFRASTRUCTURE CORP.,finance_insurance_real_estate,KEEL,2026-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,1,0,False,False,True,acquire_price_and_facts,2
0002039497,"RESOLUTE HOLDINGS MANAGEMENT, INC.",finance_insurance_real_estate,RHLD,2026-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,1,0,False,False,True,acquire_price_and_facts,2
0000932781,FIRST COMMUNITY CORP /SC/,finance_insurance_real_estate,FCCO,2018-04-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,17,0,False,False,True,acquire_price_and_facts,2
0000014846,BRT APARTMENTS CORP.,finance_insurance_real_estate,BRT,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000065172,MESABI TRUST,finance_insurance_real_estate,MSB,2012-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,39,0,False,False,True,acquire_price_and_facts,2
0000096869,TEJON RANCH CO,finance_insurance_real_estate,TRC,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000706863,UNION BANKSHARES INC,finance_insurance_real_estate,UNB,2015-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,28,0,False,False,True,acquire_price_and_facts,2
0000712770,ONE LIBERTY PROPERTIES INC,finance_insurance_real_estate,OLP,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000714712,JUNIATA VALLEY FINANCIAL CORP,finance_insurance_real_estate,JUVF,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000718413,COMMUNITY BANCORP /VT,finance_insurance_real_estate,CMTV,2018-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,16,0,False,False,True,acquire_price_and_facts,2
0000719402,FIRST NATIONAL CORP /VA/,finance_insurance_real_estate,FXNC,2019-10-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,10,0,False,False,True,acquire_price_and_facts,2
0000724742,TRINITY PLACE HOLDINGS INC.,finance_insurance_real_estate,TPHS,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,36,0,False,False,True,acquire_price_and_facts,2
0000737875,FIRST KEYSTONE CORP,finance_insurance_real_estate,FKYS,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000740806,F&M BANK CORP,finance_insurance_real_estate,FMBM,2019-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,12,0,False,False,True,acquire_price_and_facts,2
0000750558,QNB CORP,finance_insurance_real_estate,QNBC,2015-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,28,0,False,False,True,acquire_price_and_facts,2
0000750574,"AUBURN NATIONAL BANCORPORATION, INC",finance_insurance_real_estate,AUBN,2018-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,15,0,False,False,True,acquire_price_and_facts,2
0000796534,NATIONAL BANKSHARES INC,finance_insurance_real_estate,NKSH,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000880417,CSB BANCORP INC /OH,finance_insurance_real_estate,CSBB,2018-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,16,0,False,False,True,acquire_price_and_facts,2
0000885508,STRATUS PROPERTIES INC,finance_insurance_real_estate,STRS,2015-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,28,0,False,False,True,acquire_price_and_facts,2
0000894671,OHIO VALLEY BANC CORP,finance_insurance_real_estate,OVBC,2012-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,40,0,False,False,True,acquire_price_and_facts,2
0000919864,NORTHWEST INDIANA BANCORP,finance_insurance_real_estate,FNWD,2018-07-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,15,0,False,False,True,acquire_price_and_facts,2
0001070296,FIRST CAPITAL INC,finance_insurance_real_estate,FCAP,2017-04-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,20,0,False,False,True,acquire_price_and_facts,2
