strategy_name,audit_type,item,category,average_weight,max_weight,holding_frequency
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,Bonds,Bonds,0.489066265060241,1.0,1.0
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,US sectors,US sectors,0.18364457831325304,0.68,0.8493975903614458
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,International equity,International equity,0.09725903614457831,0.68,0.5
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,Factors/styles,Factors/styles,0.09159638554216867,0.51,0.4939759036144578
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,US broad equity,US broad equity,0.07551204819277109,0.68,0.39457831325301207
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,Real estate,Real estate,0.03575301204819278,0.68,0.1144578313253012
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,Commodities,Commodities,0.026144578313253012,0.24000000000000005,0.20783132530120482
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,Credit,Credit,0.0009036144578313254,0.2,0.009036144578313253
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,category,Currency/dollar,Currency/dollar,0.0001204819277108434,0.020000000000000004,0.006024096385542169
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_top3_weight,,0.6962048192771084,1.0,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_safe_asset_weight,,0.4893674698795182,1.0,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_BIL_weight,,0.4746385542168675,1.0,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_sector_weight,,0.18364457831325304,0.68,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_international_weight,,0.09725903614457831,0.68,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_SPY_QQQ_SMH_weight,,0.0705120481927711,0.34,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,summary,average_commodities_weight,,0.026144578313253012,0.24000000000000005,
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,ticker,BIL,Bonds,0.4746385542168675,1.0,1.0
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,ticker,SMH,US sectors,0.045331325301204824,0.17,0.39457831325301207
elasticnet_regression_forward_return_4w__top5_equal_weight__defensive_first,ticker,XLK,US sectors,0.043132530120481925,0.17,0.35542168674698793
