candidate,decision_at,selection_order,maximum_overlap,realized_overlap,distinct_holdings
balance_first_overlap2,2024-01-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2024-04-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2024-07-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2024-10-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2025-01-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2025-04-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2025-07-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2025-10-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2026-01-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap2,2026-04-01 00:00:00+00:00,balance_first,2,2,38
balance_first_overlap4,2023-01-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2023-04-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2023-07-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2023-10-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2024-01-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2024-04-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2024-07-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2024-10-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2025-01-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2025-04-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2025-07-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2025-10-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2026-01-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap4,2026-04-01 00:00:00+00:00,balance_first,4,4,36
balance_first_overlap6,2023-01-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2023-04-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2023-07-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2023-10-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2024-01-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2024-04-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2024-07-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2024-10-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2025-01-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2025-04-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2025-07-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2025-10-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2026-01-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap6,2026-04-01 00:00:00+00:00,balance_first,6,6,34
balance_first_overlap8,2023-01-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2023-04-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2023-07-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2023-10-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2024-01-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2024-04-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2024-07-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2024-10-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2025-01-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2025-04-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2025-07-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2025-10-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2026-01-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap8,2026-04-01 00:00:00+00:00,balance_first,8,8,32
balance_first_overlap10,2023-01-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2023-04-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2023-07-01 00:00:00+00:00,balance_first,10,9,31
balance_first_overlap10,2023-10-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2024-01-01 00:00:00+00:00,balance_first,10,9,31
balance_first_overlap10,2024-04-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2024-07-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2024-10-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2025-01-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2025-04-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2025-07-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2025-10-01 00:00:00+00:00,balance_first,10,9,31
balance_first_overlap10,2026-01-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap10,2026-04-01 00:00:00+00:00,balance_first,10,10,30
balance_first_overlap12,2023-01-01 00:00:00+00:00,balance_first,12,11,29
balance_first_overlap12,2023-04-01 00:00:00+00:00,balance_first,12,11,29
balance_first_overlap12,2023-07-01 00:00:00+00:00,balance_first,12,9,31
balance_first_overlap12,2023-10-01 00:00:00+00:00,balance_first,12,11,29
balance_first_overlap12,2024-01-01 00:00:00+00:00,balance_first,12,9,31
balance_first_overlap12,2024-04-01 00:00:00+00:00,balance_first,12,12,28
balance_first_overlap12,2024-07-01 00:00:00+00:00,balance_first,12,12,28
balance_first_overlap12,2024-10-01 00:00:00+00:00,balance_first,12,10,30
balance_first_overlap12,2025-01-01 00:00:00+00:00,balance_first,12,11,29
balance_first_overlap12,2025-04-01 00:00:00+00:00,balance_first,12,10,30
balance_first_overlap12,2025-07-01 00:00:00+00:00,balance_first,12,11,29
balance_first_overlap12,2025-10-01 00:00:00+00:00,balance_first,12,9,31
balance_first_overlap12,2026-01-01 00:00:00+00:00,balance_first,12,12,28
balance_first_overlap12,2026-04-01 00:00:00+00:00,balance_first,12,12,28
