cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision_x,last_recent_decision_x,recent_decision_rows_x,symbol_count,current_tickers,first_recent_decision_y,last_recent_decision_y,recent_decision_rows_y,first_recent_decision,last_recent_decision,recent_decision_rows,recovered_symbol,current_primary,selection_basis,candidate_format_valid,candidate_unique_across_ciks,audit_status
0001807707,"APPHARVEST, INC.",agriculture_forestry_fishing,0001807707-22-000133,2022-11-08 00:00:00+00:00,APPH|APPHW,xbrl_symbol_recovered,apph-20220930.htm,1c7d1be4a85161084bc01c97a562c9ea651997f1b26b7bae7f5cc43d9f467f4b,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2,,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,APPH,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0000357294,HOVNANIAN ENTERPRISES INC,construction,0001753926-26-000412,2026-03-03 00:00:00+00:00,HOV|HOVNP,xbrl_symbol_recovered,hov-20260131.htm,2fe4f710572c819624f0f47c8f83b74712c6f0d53f7afe625b464f67e239004a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,HOV|HOVNP|HOVVB,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,HOV,HOV,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000920760,LENNAR CORP /NEW/,construction,0001628280-26-003870,2026-01-29 00:00:00+00:00,LEN|LEN.B,xbrl_symbol_recovered,len-20251130.htm,5ea2cf1fc3a3543b43653a73cd5891b160a57f7a3a68458aea0a91ef85f9d004,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,LEN|LEN-B,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,LEN,LEN,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0001721386,LANDSEA HOMES CORP,construction,0001721386-25-000018,2025-05-14 00:00:00+00:00,LSEA|LSEAW,xbrl_symbol_recovered,lhi-20250331.htm,dbab3e5ca9cbfe0a4dec31568a69c2219e0ceb2305f12b7e2394e0639625151e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,LSEA,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0001830188,"UNITED HOMES GROUP, INC.",construction,0001830188-24-000037,2024-11-13 00:00:00+00:00,UHG|UHGWW,xbrl_symbol_recovered,uhg-20240930.htm,335afed9f75e06224a5178f2fa99b61a48417a74be9e9574d06e12ebfcaa2468,2024-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8,2,,2024-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8,2024-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,8,UHG,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0000034088,EXXON MOBIL CORP,energy,0000034088-26-000045,2026-02-19 00:00:00+00:00,XOM|XOM28|XOM32|XOM39A,xbrl_symbol_recovered,xom-20251231.htm,3591db2246ab14c52465d32f69b459b000919c141a5656c81cf59acf0a805be8,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,4,,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,XOM,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0000061398,TELLURIAN INC. /DE/,energy,0000061398-24-000031,2024-08-09 00:00:00+00:00,TELL|TELZ,xbrl_symbol_recovered,tell-20240630.htm,13962bb82580ad8c417712ae44dc7a1665bc041f166eb8eb410ef661c11cdb12,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,2,,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,TELL,,sec_xbrl_first_reported_symbol,True,True,accepted_primary_candidate
0001687187,"RAMACO RESOURCES, INC.",energy,0001104659-26-020479,2026-02-27 00:00:00+00:00,METC|METCB|METCZ|METCI,xbrl_symbol_recovered,metc-20251231x10k.htm,768010e1ec7522d1e16b749a03622f8b420ee7688976f90ed1ca53785138d6c4,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,4,METC|METCB|METCI|METCZ,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,METC,METC,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000005513,UNUM GROUP,finance_insurance_real_estate,0000005513-26-000008,2026-02-18 00:00:00+00:00,UNM|UNMA,xbrl_symbol_recovered,unm-20251231.htm,753db8d8a427b63d8a2dd4342ecab9e425d823b70f88df801739fc32355f7559,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,UNM|UNMA,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,UNM,UNM,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
0000007789,ASSOCIATED BANC-CORP,finance_insurance_real_estate,0000007789-26-000071,2026-02-13 00:00:00+00:00,ASB|ASBA,xbrl_symbol_recovered,asb-20251231.htm,e869c348049223b2b9143c674c13b6cafb069a0fc1e9c223d74933a71f404a87,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2,ASB|ASB-PE|ASB-PF|ASBA,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,ASB,ASB,sec_current_primary_matches_xbrl_first,True,True,accepted_primary_candidate
